time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025227,477.8,90.0,917.7,121.8,2683.2,324.0,423,862.8,2695.9,107,67.9
0.027227,475.5,77.7,916.7,100.5,2688.9,303.3,423.2,862.9,2696.4,106.9,68.2
0.029227,470.4,71.0,913.6,82.7,2694.8,291.4,423.7,863.1,2697.1,106.8,68.4
0.031227,459.9,72.9,907.9,77.5,2692.5,307.8,424.3,863.4,2698.2,106.7,68.5
0.033227,450.8,78.9,901.1,86.2,2680.3,337.1,425,863.8,2699.6,106.6,68.6
0.035227,450.0,79.0,895.2,96.9,2674.7,335.5,425.9,864.2,2701.2,106.4,68.7
0.037227,452.8,74.6,891.3,97.4,2684.8,308.2,426.9,864.8,2703.2,106.3,68.7
0.039227,452.4,73.7,886.9,92.3,2702.7,283.6,428.1,865.4,2705.3,106.2,68.7
0.041227,447.7,81.5,880.0,94.6,2722.9,279.6,429.4,866,2707.8,106.1,68.7
0.043227,445.6,89.6,873.3,104.5,2740.3,284.3,430.8,866.7,2710.5,106,68.7
0.045227,448.7,86.8,871.0,107.6,2748.9,269.2,432.3,867.5,2713.4,106,68.7
0.047227,450.9,79.4,871.7,100.1,2753.2,236.0,433.9,868.2,2716.5,105.9,68.8
0.049227,447.2,78.4,870.2,93.4,2759.2,207.8,435.6,869,2719.9,105.8,68.8
0.051227,439.3,85.5,864.7,97.1,2767.1,196.0,437.3,869.9,2723.4,105.7,68.8
0.053227,436.7,90.0,859.7,107.6,2774.5,189.1,439.1,870.7,2727,105.7,68.9
0.055227,440.1,86.8,860.6,112.2,2779.3,175.7,440.9,871.6,2730.8,105.6,69
0.057227,442.5,84.1,865.4,108.9,2782.9,162.6,442.7,872.4,2734.7,105.6,69
0.059227,439.3,90.9,867.7,108.9,2788.8,162.1,444.4,873.2,2738.8,105.6,69.1
0.061227,434.5,104.1,865.8,120.4,2799.3,175.4,446.2,874,2742.8,105.5,69.1
0.063227,435.6,109.1,864.4,136.2,2809.5,193.5,447.9,874.8,2747,105.5,69.1
0.065227,440.2,99.3,868.8,135.6,2805.3,214.1,449.6,875.5,2751.1,105.5,69.2
0.067227,441.9,88.8,876.2,120.4,2778.0,235.6,451.2,876.1,2755.3,105.4,69.2
0.069227,438.6,89.5,879.9,111.7,2736.7,241.5,452.7,876.7,2759.5,105.4,69.2
0.071227,434.4,96.2,878.6,117.3,2712.5,226.3,454,877.2,2763.6,105.4,69.2
0.073227,435.6,95.2,876.6,126.8,2710.8,202.6,455.3,877.6,2767.7,105.4,69.3
0.075227,439.0,86.4,877.2,125.2,2717.0,179.4,456.4,878,2771.7,105.3,69.3
0.077227,438.7,81.1,876.3,114.5,2723.6,166.0,457.4,878.2,2775.5,105.3,69.3
0.079227,433.4,86.9,868.0,113.3,2730.2,166.9,458.2,878.4,2779.3,105.3,69.4
0.081227,429.8,97.8,853.2,129.7,2737.8,170.4,458.8,878.4,2783,105.2,69.4
0.083227,431.7,101.2,837.8,152.7,2743.7,166.0,459.3,878.3,2786.4,105.2,69.5
