time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025059,412.1,41.5,578.2,91.4,2600.7,188.7,405.5,495.7,2576.4,106.6,74.8
0.027059,409.5,41.8,581.8,102.7,2604.1,198.2,405.6,496.4,2576.5,106.7,75
0.029059,407.8,44.2,582.4,112.9,2603.2,205.8,405.7,497.5,2576.8,106.8,75.2
0.031059,408.1,44.4,580.1,108.1,2597.4,190.6,405.9,499,2577.2,106.8,75.3
0.033059,408.7,42.4,578.0,98.9,2588.5,164.2,406.1,500.9,2577.6,106.9,75.4
0.035059,407.8,41.8,575.8,97.8,2578.2,145.2,406.3,503.3,2578.2,107,75.5
0.037059,405.7,44.9,571.4,107.0,2571.1,141.1,406.6,506,2578.8,107.1,75.6
0.039059,404.6,47.5,566.1,112.2,2570.0,141.6,407,509,2579.5,107.2,75.8
0.041059,405.2,46.1,563.6,105.7,2572.3,138.9,407.3,512.4,2580.3,107.3,75.9
0.043059,405.8,43.0,563.3,98.3,2574.1,140.2,407.7,516,2581.2,107.4,76
0.045059,405.3,43.4,561.0,99.2,2574.9,154.3,408.2,519.9,2582.1,107.5,76.2
0.047059,404.4,47.3,555.0,105.4,2578.3,170.1,408.6,524.1,2583.1,107.6,76.3
0.049059,404.9,48.9,550.4,105.6,2585.6,163.0,409.1,528.4,2584.1,107.7,76.5
0.051059,406.7,46.6,549.9,102.8,2592.8,143.2,409.6,532.8,2585.1,107.8,76.6
0.053059,409.1,46.6,549.3,109.9,2597.8,134.6,410.1,537.3,2586.1,107.9,76.8
0.055059,411.7,53.9,542.0,134.5,2602.1,146.9,410.6,541.9,2587.2,108,76.9
0.057059,415.3,62.8,529.6,160.4,2606.5,166.6,411.1,546.5,2588.2,108.1,77
0.059059,417.2,64.1,524.0,164.8,2608.6,174.2,411.6,551.1,2589.3,108.2,77.1
0.061059,417.0,59.7,525.5,156.6,2607.5,173.1,412.2,555.5,2590.3,108.3,77.1
0.063059,417.0,58.2,524.4,154.9,2602.3,179.7,412.7,559.9,2591.2,108.4,77.2
0.065059,417.9,63.8,517.3,162.0,2595.1,196.1,413.2,564.1,2592.2,108.5,77.3
0.067059,418.1,68.4,513.6,160.9,2590.6,199.5,413.7,568,2593,108.6,77.3
0.069059,416.7,65.3,517.8,150.7,2587.5,185.8,414.1,571.7,2593.8,108.7,77.3
0.071059,416.0,61.0,521.4,144.9,2582.1,175.1,414.6,575.2,2594.5,108.8,77.3
0.073059,416.7,64.2,517.6,150.6,2575.4,183.4,415,578.3,2595.1,108.9,77.4
0.075059,418.2,72.7,510.7,157.3,2574.6,202.8,415.4,581,2595.6,108.9,77.4
0.077059,417.6,74.2,512.3,152.4,2580.2,208.9,415.7,583.3,2596.1,109,77.4
0.079059,416.4,68.2,518.8,144.6,2584.7,199.4,416,585.3,2596.4,109.1,77.4
0.081059,416.7,66.1,520.2,146.0,2583.7,187.1,416.3,586.7,2596.6,109.1,77.4
0.083059,418.7,73.1,513.3,156.9,2582.5,176.6,416.5,587.7,2596.7,109.2,77.4
0.085059,420.0,79.7,509.0,159.7,2585.7,162.5,416.7,588.3,2596.6,109.2,77.4
0.087059,418.0,75.7,514.9,150.1,2589.2,145.3,416.8,588.3,2596.5,109.3,77.4
0.089059,415.8,67.6,521.7,139.6,2589.7,134.2,416.9,587.8,2596.2,109.3,77.4
0.091059,414.5,66.8,520.8,135.7,2586.4,139.1,417,586.8,2595.7,109.4,77.4
