time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025401,136.7,168.0,1553.8,472.9,2322.8,99.2,312.1,1676.2,2335.3,0,52.3
0.027401,142.5,108.6,1603.8,369.8,2319.4,129.0,312.4,1676.2,2335.4,0,55.1
0.029401,150.9,136.3,1629.4,343.9,2309.5,223.1,312.8,1676.2,2335.5,0,57.8
0.031401,165.0,278.4,1684.4,331.4,2331.5,298.1,313.4,1676.1,2335.6,0,60.3
0.033401,207.3,409.2,1706.4,278.8,2342.7,261.3,314.1,1676.1,2335.8,0,62.5
0.035401,284.5,379.8,1704.4,261.5,2343.8,247.9,315,1676,2336.1,0,64.3
0.037401,338.7,312.7,1696.2,245.9,2297.1,4301.8,316.1,1676,2336.3,0,65.7
0.039401,373.9,260.9,1688.9,221.5,2339.1,214.1,317.3,1675.9,2336.6,0,66.7
0.041401,398.5,220.7,1683.8,193.8,2336.0,187.0,318.7,1675.8,2337,0,67.1
0.043401,418.3,185.7,1680.6,164.8,2333.3,156.3,320.2,1675.7,2337.3,0,67.1
0.045401,434.2,156.2,1679.1,138.2,2331.5,127.0,321.9,1675.6,2337.7,0,66.6
0.047401,447.3,129.1,1679.0,114.6,2331.1,101.6,323.7,1675.5,2338.1,0,66
0.049401,452.6,106.5,1679.3,99.2,2333.4,88.8,325.6,1675.3,2338.6,0,64.9
0.051401,438.6,102.5,1680.1,96.4,2339.4,96.1,327.7,1675.2,2339.1,0,63.9
0.053401,389.4,132.8,1680.5,104.5,2348.6,126.7,329.8,1675,2339.6,0,63.5
0.055401,298.6,186.3,1676.7,118.9,2354.0,184.6,332.1,1674.9,2340.1,0,64.1
0.057401,234.8,225.2,1667.5,161.3,2341.6,271.7,334.5,1674.7,2340.6,0,65.3
0.059401,228.5,264.9,1661.2,219.9,2322.2,310.6,337,1674.5,2341.2,0,66.8
0.061401,246.9,293.9,1663.9,228.5,2324.5,282.3,339.5,1674.3,2341.7,0,68.5
0.063401,273.7,290.5,1668.1,241.1,2335.8,272.6,342.2,1674.1,2342.3,0,69.9
0.065401,306.5,263.9,1674.4,278.7,2346.1,273.5,344.9,1673.9,2342.8,0,71.1
0.067401,342.1,230.5,1684.8,320.4,2350.3,260.3,347.7,1673.7,2343.4,0,71.9
0.069401,371.7,201.2,1695.2,330.2,2349.9,230.5,350.5,1673.5,2344,0,72.5
0.071401,395.7,174.4,1702.6,308.2,2349.1,194.6,353.4,1673.3,2344.5,0,72.7
0.073401,414.3,150.9,1708.0,271.1,2349.9,162.4,356.3,1673,2345.1,0,72.7
0.075401,424.6,135.3,1714.0,238.3,2354.5,143.3,359.2,1672.8,2345.6,0,72.5
0.077401,422.5,142.5,1722.1,222.0,2366.4,144.8,362.1,1672.5,2346.1,0,72.4
0.079401,416.4,176.4,1724.8,216.2,2381.4,163.9,365.1,1672.3,2346.6,0,72.4
0.081401,420.6,203.2,1713.2,205.2,2388.2,187.9,368.1,1672,2347.1,100.2,72.5
0.083401,426.1,201.7,1693.6,185.8,2386.4,211.3,371,1671.7,2347.5,100.1,72.8
0.085401,424.6,192.0,1678.5,165.6,2385.4,242.5,373.9,1671.4,2347.9,100,73.2
0.087401,418.0,188.2,1671.9,158.7,2381.4,270.4,376.8,1671.1,2348.3,100,73.7
0.089401,416.4,177.8,1670.4,165.8,2370.1,266.6,379.7,1670.9,2348.7,99.9,74.1
0.091401,423.9,158.5,1669.8,174.4,2360.4,239.1,382.5,1670.6,2349,99.9,74.4
0.093401,434.3,139.6,1667.6,177.4,2355.8,205.6,385.3,1670.3,2349.2,99.8,74.7
0.095401,441.7,128.5,1663.7,179.1,2357.0,177.0,388,1670,2349.5,99.8,74.8
0.097401,439.2,131.6,1658.4,194.4,2361.8,165.0,390.7,1669.7,2349.7,99.7,75
0.099401,427.1,142.4,1652.6,226.3,2360.7,172.1,393.3,1669.4,2349.8,99.7,75.1
0.101401,420.2,141.3,1647.5,246.1,2348.5,178.0,395.8,1669.1,2349.9,99.7,75.2
0.103401,423.5,129.8,1642.6,242.2,2334.3,169.3,398.2,1668.8,2349.9,99.6,75.3
0.105401,428.5,121.3,1638.2,234.1,2322.4,154.8,400.5,1668.4,2349.9,99.6,75.4
0.107401,425.5,126.9,1638.6,241.8,2314.1,149.7,402.8,1668.1,2349.8,99.6,75.5
0.109401,412.4,146.5,1651.3,264.2,2311.2,165.3,404.9,1667.8,2349.7,99.6,75.5
0.111401,403.8,157.6,1669.7,267.8,2315.7,190.4,406.9,1667.5,2349.5,99.6,75.6
0.113401,406.8,153.7,1678.2,242.2,2325.5,191.8,408.8,1667.2,2349.3,99.6,75.7
0.115401,413.3,150.0,1676.4,211.3,2335.1,165.1,410.6,1666.9,2349,99.6,75.7
0.117401,412.4,157.1,1671.2,194.6,2343.3,140.4,412.3,1666.6,2348.7,99.7,75.8
0.119401,402.0,171.2,1669.4,198.5,2348.4,139.1,413.9,1666.3,2348.3,99.7,75.8
0.121401,395.9,170.3,1671.9,210.4,2348.2,160.4,415.4,1666,2347.8,99.7,75.8
0.123401,399.1,153.6,1671.2,215.9,2346.1,185.0,416.7,1665.8,2347.3,99.8,75.8
0.125401,404.3,137.3,1665.2,212.6,2348.7,199.1,417.9,1665.5,2346.8,99.9,75.8
0.127401,401.2,137.8,1660.3,208.1,2358.7,200.8,419,1665.2,2346.2,99.9,75.8
0.129401,389.1,155.2,1661.0,207.4,2366.5,195.9,419.9,1664.9,2345.5,100,75.8
0.131401,382.9,166.6,1664.2,207.9,2359.7,188.9,420.8,1664.7,2344.8,100.1,75.8
0.133401,387.4,159.0,1663.8,208.7,2345.1,178.4,421.5,1664.4,2344,100.2,75.8
0.135401,392.9,146.5,1658.7,212.0,2332.0,164.9,422.1,1664.2,2343.2,100.3,75.8
0.137401,389.2,146.8,1651.7,227.6,2323.7,153.2,422.6,1663.9,2342.3,100.4,75.8
0.139401,377.9,163.2,1647.6,254.0,2322.1,150.3,422.9,1663.7,2341.4,100.5,75.8
0.141401,375.5,174.1,1648.4,258.3,2324.9,150.3,423.2,1663.5,2340.5,100.6,75.9
0.143401,383.8,166.3,1647.5,238.1,2327.2,146.9,423.3,1663.3,2339.5,100.7,75.9
0.145401,391.8,151.2,1641.7,218.4,2327.7,144.7,423.4,1663.1,2338.5,100.8,76
0.147401,390.3,147.0,1635.2,211.4,2329.1,151.3,423.3,1662.9,2337.5,100.9,76
0.149401,382.4,160.4,1636.1,217.6,2333.2,167.0,423.2,1662.8,2336.4,101,76
0.151401,384.1,176.0,1646.6,213.3,2337.6,176.0,422.9,1662.6,2335.3,101.1,76.1
0.153401,396.6,177.2,1656.5,189.5,2339.6,168.5,422.6,1662.5,2334.2,101.3,76.2
0.155401,407.2,168.3,1661.4,165.3,2342.3,159.5,422.2,1662.3,2333.1,101.4,76.2
0.157401,407.9,168.3,1664.5,153.6,2346.9,157.7,421.7,1662.2,2331.9,101.5,76.2
0.159401,402.1,186.7,1667.4,156.2,2346.1,152.9,421.1,1662.1,2330.8,101.6,76.3
0.161401,404.3,200.3,1668.9,159.4,2337.2,136.0,420.5,1662,2329.6,101.7,76.3
0.163401,414.2,193.9,1669.0,150.6,2329.0,117.5,419.8,1662,2328.4,101.8,76.3
0.165401,421.5,179.6,1668.9,136.4,2324.7,108.2,419.1,1661.9,2327.2,101.9,76.3
0.167401,417.7,175.5,1669.7,133.7,2323.0,114.6,418.3,1661.9,2326.1,102,76.3
0.169401,405.8,180.5,1671.5,150.9,2321.0,132.4,417.5,1661.9,2324.9,102.1,76.3
0.171401,401.8,176.9,1673.2,174.9,2317.6,141.7,416.7,1661.9,2323.8,102.2,76.3
0.173401,408.5,161.4,1674.6,187.3,2316.0,139.3,415.8,1661.9,2322.6,102.3,76.3
0.175401,415.8,146.5,1676.9,193.3,2316.4,137.8,415,1661.9,2321.5,102.3,76.3
0.177401,414.7,145.2,1679.9,207.7,2316.5,145.5,414.1,1661.9,2320.4,102.4,76.3
0.179401,405.9,150.6,1678.1,232.8,2312.6,157.3,413.2,1662,2319.3,102.5,76.4
0.181401,401.5,143.8,1668.7,243.7,2306.7,157.2,412.3,1662.1,2318.3,102.5,76.4
0.183401,406.3,128.7,1662.0,225.6,2304.0,140.7,411.5,1662.2,2317.3,102.6,76.4
0.185401,411.4,120.6,1662.9,199.5,2304.4,121.4,410.6,1662.3,2316.3,102.6,76.4
0.187401,408.9,126.4,1665.5,186.8,2305.0,112.9,409.8,1662.4,2315.3,102.7,76.4
0.189401,402.2,137.1,1664.0,191.9,2304.3,120.2,409,1662.5,2314.4,102.7,76.4
0.191401,402.0,134.3,1658.8,200.7,2303.7,133.1,408.2,1662.7,2313.6,102.7,76.5
0.193401,408.8,120.4,1654.6,200.2,2305.8,140.4,407.5,1662.8,2312.8,102.8,76.4
0.195401,414.6,110.4,1655.0,195.6,2311.3,144.2,406.9,1663,2312,102.8,76.4
0.197401,412.3,117.5,1660.4,196.4,2317.4,149.8,406.3,1663.2,2311.3,102.8,76.4
0.199401,408.6,134.9,1666.7,192.9,2318.9,150.4,405.7,1663.4,2310.6,102.8,76.4
0.201401,412.9,143.3,1670.3,174.9,2315.8,138.1,405.2,1663.6,2310,102.9,76.4
0.203401,422.7,139.3,1672.4,150.5,2313.4,121.5,404.8,1663.8,2309.4,102.9,76.4
0.205401,429.7,137.0,1674.2,131.1,2314.2,112.3,404.4,1664,2308.9,102.9,76.4
0.207401,428.5,149.1,1674.1,127.1,2317.3,117.5,404.1,1664.3,2308.5,102.9,76.4
0.209401,424.4,161.9,1671.1,135.8,2319.4,129.3,403.9,1664.5,2308.1,102.9,76.4
0.211401,425.2,156.8,1668.1,143.6,2320.1,132.4,403.8,1664.8,2307.7,102.9,76.4
0.213401,431.2,142.9,1668.3,141.0,2322.2,126.2,403.7,1665.1,2307.5,102.9,76.4
0.215401,436.4,139.2,1671.1,132.8,2325.9,119.4,403.8,1665.3,2307.2,102.9,76.4
0.217401,436.2,154.2,1671.8,130.5,2327.5,119.1,403.9,1665.6,2307.1,102.9,76.3
0.219401,432.3,165.8,1668.0,136.4,2324.4,122.0,404,1665.9,2307,102.9,76.4
0.221401,430.9,156.7,1665.1,139.5,2322.1,120.5,404.3,1666.2,2306.9,102.9,76.4
0.223401,433.0,138.7,1666.3,137.5,2324.1,117.7,404.7,1666.5,2306.9,103,76.4
0.225401,432.3,130.9,1670.3,138.0,2328.4,119.6,405.1,1666.8,2307,103,76.3
0.227401,424.9,138.0,1672.5,148.1,2329.8,128.4,405.6,1667.1,2307.1,103,76.3
0.229401,417.6,141.9,1668.8,162.8,2324.7,135.4,406.2,1667.3,2307.2,103,76.3
0.231401,419.3,132.2,1663.2,168.3,2318.1,131.2,406.8,1667.6,2307.5,103,76.3
0.233401,425.4,120.6,1661.0,167.5,2314.0,121.5,407.6,1667.9,2307.7,103,76.3
0.235401,427.5,121.7,1664.7,172.4,2312.0,116.0,408.3,1668.2,2308,103,76.3
0.237401,423.4,136.8,1671.7,185.2,2309.7,117.7,409.2,1668.5,2308.4,103,76.3
0.239401,419.5,144.0,1675.0,192.6,2306.8,119.2,410.1,1668.8,2308.7,103,76.3
0.241401,421.8,132.9,1673.9,189.9,2306.0,117.1,411.1,1669,2309.2,103,76.3
0.243401,426.5,120.3,1673.1,185.5,2308.3,116.2,412.1,1669.3,2309.6,103.1,76.3
0.245401,426.9,123.3,1674.4,186.4,2312.9,120.3,413.2,1669.5,2310.1,103.1,76.3
