time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025710,439.0,64.0,1083.0,111.2,2270.2,234.1,441.3,1069.4,2276.7,95.1,67.1
0.027710,444.4,51.5,1080.2,87.9,2263.4,195.5,441.3,1069.3,2276.8,95.8,67.8
0.029710,445.3,46.7,1074.4,78.1,2262.7,175.6,441.2,1069.2,2277,96.6,68.3
0.031710,440.4,55.3,1065.3,92.1,2272.9,189.8,441.2,1069,2277.4,97.4,68.9
0.033710,435.2,69.9,1058.2,120.4,2284.2,214.9,441.1,1068.8,2277.8,98.2,69.4
0.035710,434.6,74.9,1058.1,135.4,2286.9,220.2,441,1068.5,2278.4,99,69.9
0.037710,436.6,70.7,1063.0,133.6,2283.7,210.5,440.8,1068.1,2279,99.8,70.3
0.039710,437.3,67.1,1069.0,133.8,2278.4,204.2,440.7,1067.7,2279.7,100.6,70.7
0.041710,435.1,72.4,1073.6,159.2,2273.3,219.7,440.6,1067.3,2280.5,101.4,71
0.043710,433.7,83.6,1074.9,215.3,2269.6,250.0,440.4,1066.8,2281.3,102.2,71.3
0.045710,435.9,86.9,1073.3,257.4,2266.9,260.7,440.2,1066.2,2282.3,102.9,71.5
0.047710,438.3,80.0,1071.0,249.8,2266.2,248.0,440,1065.7,2283.3,103.7,71.8
0.049710,437.5,72.7,1070.0,215.3,2270.9,240.6,439.8,1065,2284.4,104.4,72
0.051710,433.6,71.5,1071.7,181.6,2284.4,265.1,439.6,1064.3,2285.5,105.1,72.3
0.053710,430.9,72.2,1073.9,153.4,2298.7,304.6,439.4,1063.6,2286.7,105.8,72.5
0.055710,431.9,68.7,1074.0,129.0,2304.8,311.9,439.2,1062.8,2288,106.4,72.7
0.057710,433.9,64.4,1072.5,112.4,2308.4,285.7,439,1062,2289.3,107,72.9
0.059710,433.4,65.8,1071.2,110.3,2315.2,254.4,438.8,1061.1,2290.6,107.6,73.1
0.061710,431.3,73.7,1071.5,123.1,2322.3,235.9,438.5,1060.2,2291.9,108.2,73.3
0.063710,431.6,79.4,1071.7,133.4,2323.5,224.7,438.3,1059.2,2293.3,108.7,73.5
0.065710,434.3,78.0,1068.1,127.2,2318.0,209.8,438.1,1058.2,2294.7,109.1,73.7
0.067710,436.3,75.4,1060.6,115.6,2311.2,195.4,437.9,1057.2,2296.1,109.6,73.9
0.069710,436.1,77.6,1052.0,114.7,2308.5,191.7,437.7,1056.1,2297.5,110,74.1
0.071710,436.0,82.0,1045.5,124.7,2310.2,197.0,437.5,1054.9,2298.9,110.4,74.3
0.073710,438.1,81.6,1043.3,129.4,2312.3,198.7,437.3,1053.8,2300.3,110.7,74.4
0.075710,440.9,77.8,1043.4,120.3,2314.5,195.3,437.1,1052.6,2301.7,111,74.5
0.077710,442.1,77.8,1042.4,109.7,2318.8,195.5,436.9,1051.4,2303.1,111.3,74.6
0.079710,442.2,83.1,1039.8,109.2,2322.0,200.5,436.8,1050.1,2304.4,111.5,74.7
0.081710,443.2,85.7,1038.0,112.8,2318.5,200.0,436.6,1048.8,2305.7,111.7,74.8
0.083710,445.2,82.0,1038.7,109.9,2310.3,192.5,436.5,1047.5,2307,111.9,74.8
0.085710,446.2,78.8,1040.2,102.6,2303.0,189.2,436.4,1046.2,2308.2,112.1,74.9
0.087710,445.3,82.2,1040.1,101.7,2300.5,198.5,436.3,1044.8,2309.4,112.2,74.9
0.089710,444.6,87.6,1038.7,107.4,2301.8,210.1,436.2,1043.4,2310.5,112.3,75
0.091710,445.6,86.2,1038.1,108.1,2302.1,210.8,436.2,1042,2311.6,112.4,75
0.093710,446.5,80.3,1038.5,99.1,2301.2,207.5,436.1,1040.6,2312.6,112.5,75
0.095710,445.5,78.5,1037.7,90.3,2301.1,212.9,436.1,1039.1,2313.5,112.6,75
0.097710,443.6,82.2,1034.6,88.9,2301.1,222.6,436.1,1037.7,2314.3,112.6,75.1
0.099710,443.2,83.3,1031.2,88.7,2299.2,220.7,436.1,1036.2,2315.1,112.6,75.1
0.101710,444.0,78.8,1029.4,82.8,2296.7,209.8,436.2,1034.7,2315.8,112.6,75.1
0.103710,443.4,75.2,1028.4,74.6,2296.3,205.8,436.2,1033.2,2316.5,112.6,75.1
0.105710,441.2,77.6,1026.1,71.8,2299.8,216.7,436.3,1031.7,2317,112.6,75.1
0.107710,440.3,81.1,1023.1,72.8,2303.7,226.0,436.4,1030.2,2317.5,112.6,75.1
0.109710,441.3,79.4,1021.0,70.1,2303.9,218.3,436.5,1028.6,2317.9,112.5,75.2
0.111710,441.8,75.6,1020.1,63.4,2301.6,204.7,436.6,1027.1,2318.2,112.5,75.2
0.113710,440.4,76.4,1018.8,59.6,2300.4,201.8,436.8,1025.6,2318.4,112.4,75.2
0.115710,439.0,80.8,1016.5,61.4,2302.2,207.7,436.9,1024.1,2318.6,112.3,75.2
0.117710,439.8,81.5,1013.9,63.5,2304.6,205.8,437.1,1022.6,2318.7,112.2,75.3
0.119710,441.1,78.4,1011.7,62.0,2305.1,194.3,437.3,1021.1,2318.6,112.1,75.3
0.121710,440.4,78.3,1009.6,61.1,2304.3,186.5,437.4,1019.6,2318.6,112.1,75.3
0.123710,438.5,84.5,1007.6,66.3,2304.2,189.9,437.6,1018.1,2318.4,112,75.3
0.125710,438.8,89.1,1006.7,73.9,2304.3,192.9,437.8,1016.6,2318.2,111.9,75.3
0.127710,440.8,86.5,1007.0,76.4,2303.0,185.4,438,1015.2,2317.9,111.8,75.3
0.129710,441.3,82.5,1007.1,75.3,2300.6,172.9,438.2,1013.7,2317.6,111.7,75.3
0.131710,439.1,85.4,1005.6,79.5,2298.8,166.1,438.4,1012.3,2317.2,111.6,75.3
0.133710,437.6,93.4,1003.4,90.7,2299.0,165.0,438.6,1010.9,2316.7,111.5,75.3
0.135710,439.0,96.3,1002.4,98.5,2299.1,159.3,438.8,1009.5,2316.2,111.4,75.3
0.137710,440.8,94.4,1002.7,98.5,2298.5,148.0,439,1008.1,2315.7,111.3,75.3
0.139710,440.1,96.8,1002.4,100.2,2298.7,141.2,439.1,1006.8,2315.1,111.1,75.2
0.141710,438.1,106.1,1001.3,111.7,2301.4,146.0,439.3,1005.5,2314.5,111,75.2
0.143710,438.4,111.5,1001.5,124.6,2305.7,155.6,439.4,1004.2,2313.9,110.9,75.1
0.145710,440.5,106.5,1004.1,126.2,2310.0,160.3,439.5,1003,2313.2,110.8,75.1
0.147710,440.8,99.5,1006.6,121.0,2314.2,163.6,439.6,1001.8,2312.6,110.8,75
0.149710,438.0,100.4,1006.7,123.9,2319.8,176.9,439.7,1000.6,2311.9,110.7,75
0.151710,435.8,107.0,1005.3,137.7,2327.3,200.3,439.7,999.4,2311.3,110.6,74.9
0.153710,436.9,106.8,1005.7,145.0,2333.7,215.3,439.8,998.3,2310.6,110.5,74.8
0.155710,438.2,99.3,1007.8,138.3,2337.0,217.0,439.7,997.2,2310,110.4,74.8
0.157710,436.6,95.0,1008.9,132.9,2339.0,219.2,439.7,996.2,2309.3,110.3,74.7
0.159710,433.1,99.4,1008.0,142.0,2341.2,231.1,439.6,995.2,2308.7,110.2,74.7
0.161710,432.5,103.1,1007.0,155.3,2341.6,238.7,439.5,994.2,2308.2,110.1,74.7
0.163710,434.5,98.3,1007.4,153.5,2338.2,231.4,439.3,993.3,2307.6,110.1,74.7
0.165710,434.9,92.2,1007.8,143.1,2331.6,219.1,439.2,992.4,2307.1,110,74.7
0.167710,431.9,94.4,1006.0,143.6,2324.9,216.2,438.9,991.5,2306.7,109.9,74.7
0.169710,429.4,103.1,1002.9,158.6,2321.8,221.6,438.7,990.7,2306.3,109.8,74.7
0.171710,430.7,105.2,1001.4,167.5,2321.6,220.1,438.3,989.9,2306,109.7,74.7
0.173710,433.1,99.4,1001.6,158.5,2321.8,209.1,438,989.2,2305.7,109.7,74.7
0.175710,432.6,95.7,1000.7,145.5,2321.8,198.9,437.6,988.5,2305.5,109.6,74.7
0.177710,429.7,99.5,997.9,142.6,2322.9,197.0,437.1,987.8,2305.4,109.5,74.7
0.179710,429.2,102.9,996.3,144.4,2325.0,197.5,436.7,987.2,2305.3,109.4,74.7
0.181710,431.9,98.5,997.4,137.5,2326.1,193.2,436.1,986.6,2305.3,109.4,74.7
0.183710,433.4,91.5,998.4,124.6,2325.3,189.3,435.6,986.1,2305.4,109.3,74.7
0.185710,431.1,90.4,996.6,118.3,2322.3,195.9,435,985.6,2305.6,109.2,74.7
0.187710,427.8,95.5,992.9,124.6,2319.1,211.9,434.3,985.1,2305.8,109.2,74.6
0.189710,428.5,97.3,991.2,133.2,2318.7,220.9,433.6,984.6,2306.2,109.1,74.6
0.191710,431.3,92.7,992.4,133.3,2320.8,218.5,432.9,984.2,2306.6,109,74.5
0.193710,431.0,88.6,992.8,130.0,2321.9,216.0,432.1,983.9,2307.1,108.9,74.5
0.195710,426.6,90.0,989.4,135.0,2319.1,221.5,431.3,983.5,2307.7,108.9,74.5
0.197710,423.8,92.0,984.6,147.8,2313.8,226.4,430.5,983.2,2308.4,108.8,74.4
0.199710,425.6,87.8,983.3,154.3,2310.4,222.0,429.6,982.9,2309.1,108.7,74.4
0.201710,427.8,81.8,984.9,152.1,2309.8,217.0,428.7,982.7,2310,108.7,74.3
0.203710,425.9,82.7,984.5,156.2,2310.3,226.2,427.8,982.4,2310.9,108.6,74.3
0.205710,421.2,91.5,980.4,176.6,2309.5,249.2,426.8,982.2,2311.9,108.5,74.2
0.207710,420.3,96.3,976.6,197.7,2307.0,261.8,425.9,982,2312.9,108.5,74.2
0.209710,422.9,91.0,976.5,197.7,2304.4,254.8,424.9,981.8,2314,108.4,74.1
0.211710,423.6,84.8,976.9,183.5,2302.7,243.2,423.9,981.7,2315.2,108.3,74.1
0.213710,419.7,85.6,974.7,171.6,2299.4,239.7,422.9,981.6,2316.5,108.3,74.1
0.215710,415.9,88.1,973.2,162.5,2293.0,237.6,421.9,981.4,2317.8,108.2,74.1
0.217710,417.3,83.6,975.8,148.4,2287.8,225.7,420.9,981.3,2319.1,108.2,74.1
0.219710,420.5,75.8,979.2,132.0,2286.2,210.3,419.9,981.2,2320.5,108.1,74.1
0.221710,419.9,73.4,979.1,124.6,2288.6,205.2,418.8,981.2,2321.9,108.1,74.1
0.223710,415.4,80.4,974.7,135.1,2295.7,215.8,417.8,981.1,2323.4,108,74.1
0.225710,413.9,88.2,971.1,154.2,2303.7,224.5,416.9,981,2324.9,108,74
0.227710,417.3,87.2,972.4,162.0,2307.9,218.4,415.9,980.9,2326.4,107.9,74
0.229710,420.3,83.8,975.4,160.3,2309.9,208.1,414.9,980.9,2327.9,107.9,74
0.231710,418.5,88.5,975.1,166.4,2312.5,208.8,414,980.8,2329.4,107.8,74
0.233710,414.9,99.6,972.2,183.5,2315.5,219.8,413.1,980.8,2330.9,107.8,74
0.235710,415.7,101.9,971.7,190.7,2316.3,222.9,412.3,980.7,2332.4,107.8,73.9
0.237710,419.2,93.4,974.1,180.2,2316.6,215.3,411.4,980.6,2333.9,107.8,73.9
0.239710,419.9,85.7,974.2,167.2,2320.8,213.3,410.7,980.5,2335.3,107.7,73.9
0.241710,415.2,87.4,969.8,169.4,2334.1,235.6,409.9,980.5,2336.7,107.7,73.9
0.243710,411.0,93.5,965.4,184.4,2352.8,275.3,409.2,980.4,2338.1,107.7,73.9
0.245710,412.3,91.7,966.2,187.8,2361.7,296.5,408.6,980.3,2339.5,107.7,73.9
0.247710,415.5,84.5,969.5,175.1,2359.8,295.6,408,980.2,2340.8,107.7,73.9
0.249710,415.4,83.9,970.3,166.1,2356.0,298.3,407.4,980.1,2342,107.7,73.9
0.251710,412.2,93.3,969.0,171.7,2353.2,311.1,406.9,979.9,2343.2,107.7,73.9
0.253710,412.0,99.7,970.3,176.7,2349.8,311.3,406.5,979.8,2344.3,107.7,74
0.255710,415.8,94.7,974.9,167.2,2345.9,292.3,406.1,979.6,2345.3,107.7,74
0.257710,418.5,86.7,978.2,151.4,2343.1,269.1,405.8,979.5,2346.3,107.7,74
0.259710,416.3,85.7,976.9,145.4,2342.5,258.5,405.6,979.3,2347.2,107.7,74
0.261710,411.8,91.1,972.8,154.6,2343.2,264.0,405.4,979.1,2348,107.7,74
0.263710,411.6,91.8,971.6,163.4,2340.7,268.0,405.3,978.9,2348.7,107.7,73.9
0.265710,414.7,85.0,974.4,158.9,2334.9,258.6,405.2,978.6,2349.3,107.8,73.9
0.267710,415.6,79.9,976.8,150.9,2329.8,247.2,405.3,978.4,2349.9,107.8,73.9
0.269710,412.0,83.0,975.5,154.6,2328.0,247.9,405.3,978.1,2350.3,107.8,73.9
0.271710,409.0,88.9,973.3,167.8,2330.9,254.4,405.5,977.9,2350.6,107.8,73.9
0.273710,410.8,87.3,973.6,170.0,2335.1,251.9,405.7,977.6,2350.9,107.8,73.9
0.275710,414.0,81.1,975.1,156.2,2340.4,244.5,406,977.3,2351,107.9,73.9
0.277710,413.9,79.8,974.9,141.4,2349.0,249.4,406.3,977,2351.1,107.9,74
0.279710,410.7,85.1,974.6,134.5,2358.0,273.3,406.7,976.7,2351.1,107.9,74
0.281710,410.0,86.8,977.0,127.9,2361.3,295.6,407.2,976.3,2350.9,107.9,74
0.283710,413.1,80.6,980.8,115.1,2359.5,295.3,407.7,976,2350.7,108,74
0.285710,415.7,73.9,982.7,102.3,2358.9,280.4,408.2,975.7,2350.4,108,74
0.287710,414.1,74.8,980.9,100.2,2362.9,271.4,408.8,975.3,2350,108,74
0.289710,410.6,81.6,977.1,110.8,2366.6,271.2,409.5,975,2349.6,108,73.9
0.291710,410.9,83.8,975.4,121.5,2364.7,265.0,410.2,974.6,2349,108,73.9
0.293710,414.2,78.8,976.7,120.1,2358.7,249.3,410.9,974.3,2348.4,108.1,73.9
0.295710,415.4,74.6,977.6,111.7,2352.9,238.5,411.6,973.9,2347.8,108.1,73.9
0.297710,412.7,76.9,976.0,109.0,2350.6,247.8,412.4,973.6,2347.1,108.1,73.9
0.299710,410.5,81.2,974.8,112.6,2353.1,268.2,413.2,973.3,2346.3,108.1,73.9
0.301710,412.6,81.1,976.7,113.0,2360.1,275.9,414,972.9,2345.5,108.1,73.9
0.303710,415.8,77.7,979.4,104.8,2365.7,269.9,414.9,972.6,2344.6,108.1,74
0.305710,415.4,76.0,979.5,93.5,2361.1,265.5,415.7,972.3,2343.8,108.1,74
0.307710,411.9,76.7,978.2,86.1,2345.7,260.5,416.5,972,2342.9,108.1,74
0.309710,411.0,74.7,978.7,81.3,2332.4,244.9,417.4,971.7,2342,108.1,74
0.311710,413.9,69.8,981.4,75.7,2332.1,227.7,418.2,971.5,2341.1,108.1,74.1
0.313710,416.3,67.4,983.7,71.0,2343.9,223.6,419,971.2,2340.2,108.1,74.1
0.315710,414.9,70.6,983.4,71.0,2359.7,241.1,419.8,971,2339.3,108.1,74.1
0.317710,412.1,75.1,981.3,75.6,2366.8,270.8,420.5,970.8,2338.5,108.1,74
0.319710,412.4,74.1,979.9,78.9,2361.7,288.7,421.3,970.7,2337.7,108.1,74
0.321710,414.9,69.8,979.9,78.2,2354.6,285.2,421.9,970.5,2336.9,108.1,74
0.323710,415.5,68.6,979.6,77.2,2348.7,269.5,422.6,970.4,2336.2,108.1,74
0.325710,412.7,72.0,978.2,80.4,2340.4,250.6,423.2,970.4,2335.6,108.1,74
0.327710,411.1,73.8,977.6,84.6,2331.6,230.8,423.7,970.3,2335.1,108.1,74
0.329710,413.0,70.1,978.6,83.6,2326.9,214.1,424.1,970.3,2334.6,108.1,74
0.331710,415.2,65.4,979.3,78.3,2327.6,207.9,424.5,970.4,2334.2,108.1,73.9
0.333710,413.9,65.9,977.9,76.5,2332.6,220.3,424.9,970.5,2333.9,108.1,73.9
0.335710,410.4,71.1,975.3,81.9,2336.1,242.7,425.1,970.6,2333.8,108,73.9
