time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025694,433.3,55.1,2231.9,56.2,2922.7,92.8,370.3,2231.4,2910.9,0,61.7
0.027694,439.2,40.9,2226.9,40.9,2921.8,87.6,370.6,2231.5,2911,0,60.6
0.029694,442.5,39.4,2220.1,31.8,2917.4,95.6,371.1,2231.7,2911,0,59.1
0.031694,441.1,56.9,2215.1,32.6,2916.3,128.0,371.9,2231.8,2911.1,0,57.5
0.033694,429.2,102.3,2219.4,40.1,2928.0,155.5,372.8,2232.1,2911.2,0,56
0.035694,397.9,175.0,2234.4,46.6,2935.2,147.8,373.9,2232.4,2911.3,0,55
0.037694,332.1,244.8,2254.5,52.9,2929.9,143.0,375.1,2232.7,2911.4,0,54.7
0.039694,258.4,244.8,2273.7,68.2,2917.8,162.4,376.6,2233.1,2911.5,0,55.5
0.041694,269.7,297.2,2285.4,101.9,2904.0,188.4,378.2,2233.6,2911.7,0,57
0.043694,365.9,279.8,2277.9,161.4,2895.3,194.6,380,2234,2911.9,0,59.2
0.045694,392.1,207.1,2262.8,201.5,2906.0,192.8,382,2234.6,2912.1,0,61.6
0.047694,398.2,163.6,2255.8,193.8,2923.0,197.6,384.1,2235.2,2912.3,0,63.9
0.049694,400.4,135.7,2252.2,172.2,2934.0,210.0,386.3,2235.8,2912.5,0,65.9
0.051694,403.3,115.7,2247.6,154.9,2938.5,228.2,388.6,2236.4,2912.7,0,67.6
0.053694,408.0,99.7,2241.7,139.0,2937.9,248.6,391.1,2237.1,2913,0,68.9
0.055694,413.6,85.0,2236.6,121.2,2932.9,261.7,393.7,2237.9,2913.2,0,69.8
0.057694,419.0,70.2,2234.1,103.2,2927.2,251.0,396.3,2238.7,2913.5,0,70.3
0.059694,424.2,56.3,2233.0,87.8,2923.9,224.8,399,2239.5,2913.8,0,70.5
0.061694,429.3,48.9,2230.1,82.0,2921.0,220.0,401.8,2240.3,2914.1,0,70.5
0.063694,434.4,52.0,2225.6,94.7,2916.9,248.6,404.6,2241.2,2914.4,0,70.4
