time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025438,375.5,41.8,2017.0,62.0,2628.6,84.2,369.8,2026.8,2628.4,0,67.9
0.027438,374.8,29.7,2017.5,51.1,2626.4,71.4,369.8,2026.8,2628.4,0,67.2
0.029438,365.1,28.1,2021.6,54.3,2629.1,70.0,369.8,2026.8,2628.3,0,66.7
0.031438,344.2,52.3,2039.6,74.3,2642.0,72.4,369.7,2026.8,2628.3,0,66.8
0.033438,326.4,104.4,2069.2,125.2,2664.3,102.7,369.7,2026.9,2628.3,0,67.6
0.035438,325.2,107.6,2080.2,190.0,2674.0,138.7,369.6,2027,2628.2,0,68.7
0.037438,335.2,84.3,2066.4,207.1,2668.9,149.6,369.6,2027,2628.1,0,69.7
0.039438,345.4,64.8,2050.2,194.0,2660.2,146.0,369.5,2027.1,2628.1,0,70.4
0.041438,354.4,49.1,2036.8,169.1,2650.5,135.3,369.4,2027.2,2628,0,70.8
0.043438,361.4,37.8,2027.5,144.0,2641.2,123.6,369.3,2027.3,2627.9,0,70.9
0.045438,367.2,31.0,2019.7,125.0,2631.5,119.3,369.2,2027.5,2627.8,0,70.9
0.047438,371.0,33.3,2010.8,122.9,2620.9,144.5,369.1,2027.6,2627.7,0,70.7
0.049438,371.2,46.1,2003.4,129.2,2613.9,193.6,369,2027.8,2627.6,0,70.7
0.051438,370.9,56.0,2001.4,119.0,2612.4,204.0,368.8,2027.9,2627.4,0,70.8
0.053438,372.9,53.2,2003.2,100.8,2612.7,179.8,368.7,2028.1,2627.3,104.8,71.1
0.055438,376.4,45.4,2007.2,85.4,2615.0,150.0,368.6,2028.3,2627.1,104.8,71.5
0.057438,378.9,40.3,2012.7,83.2,2620.0,133.1,368.4,2028.5,2626.9,104.7,71.9
0.059438,379.1,38.5,2018.0,101.3,2624.8,135.0,368.3,2028.8,2626.8,104.6,72.3
0.061438,378.4,36.1,2018.2,127.5,2623.0,142.2,368.2,2029,2626.6,104.6,72.6
0.063438,378.6,31.4,2012.7,138.3,2616.5,138.9,368,2029.3,2626.4,104.5,72.9
0.065438,379.9,26.6,2006.6,135.7,2611.1,130.9,367.9,2029.6,2626.2,104.5,73.1
0.067438,380.6,25.5,2005.1,142.0,2610.9,134.4,367.7,2029.9,2625.9,104.4,73.2
0.069438,379.5,28.4,2009.5,160.0,2614.6,148.9,367.6,2030.2,2625.7,104.4,73.4
0.071438,377.7,30.1,2013.6,161.1,2615.2,148.9,367.5,2030.6,2625.5,104.4,73.5
0.073438,377.1,28.4,2014.6,144.9,2611.7,133.7,367.3,2030.9,2625.2,104.3,73.6
0.075438,377.5,26.4,2016.5,130.9,2608.1,120.7,367.2,2031.3,2624.9,104.3,73.8
0.077438,377.5,27.5,2023.3,130.9,2607.2,121.8,367.1,2031.7,2624.6,104.3,73.9
0.079438,376.0,32.3,2033.7,138.0,2609.6,134.7,367,2032.2,2624.3,104.3,73.9
0.081438,374.5,34.7,2037.2,131.8,2610.0,136.5,366.9,2032.6,2624,104.3,74
0.083438,374.5,32.9,2034.4,115.0,2607.0,124.9,366.8,2033.1,2623.7,104.3,74.1
0.085438,375.5,31.1,2032.7,103.0,2604.7,114.4,366.7,2033.6,2623.4,104.3,74.1
0.087438,375.2,33.5,2036.8,106.3,2606.7,117.8,366.6,2034.1,2623,104.4,74.1
