time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025959,489.4,46.7,1316.0,79.2,2403.8,191.9,433.2,1233,2389.9,0,63.5
0.027959,495.7,37.0,1319.1,66.2,2417.6,167.3,433.6,1233.3,2390.3,0,63.1
0.029959,495.1,32.7,1317.9,59.9,2428.7,160.1,434.2,1233.9,2390.9,0,62.6
0.031959,477.4,41.7,1306.9,73.2,2432.0,203.8,435.1,1234.7,2391.8,0,62.3
0.033959,431.8,78.5,1284.7,124.4,2416.3,321.4,436.2,1235.7,2393,0,62.6
0.035959,395.8,126.4,1259.3,202.0,2386.8,335.3,437.6,1236.9,2394.3,0,63.5
0.037959,409.3,137.6,1247.5,237.9,2384.7,258.5,439.1,1238.3,2396,0,64.6
0.039959,436.4,120.8,1254.9,223.6,2393.2,208.9,441,1240,2397.8,0,65.7
0.041959,457.1,100.0,1266.3,195.6,2402.0,177.8,443,1241.8,2399.9,0,66.6
0.043959,471.7,81.4,1276.2,166.9,2410.4,154.9,445.2,1243.7,2402.2,0,67.1
0.045959,482.6,65.6,1284.2,140.9,2418.5,137.0,447.6,1245.8,2404.7,0,67.4
0.047959,489.5,54.3,1289.6,122.0,2425.9,127.2,450.2,1248.1,2407.4,0,67.5
0.049959,490.3,52.1,1290.3,121.0,2430.7,137.0,453,1250.5,2410.3,0,67.7
0.051959,487.2,59.1,1286.5,138.4,2432.9,165.1,455.9,1253,2413.3,0,67.9
0.053959,488.5,61.9,1283.9,143.3,2436.8,172.9,458.9,1255.5,2416.5,0,68.2
0.055959,494.0,57.9,1283.3,130.2,2442.5,160.0,462.1,1258.2,2419.9,101.9,68.6
0.057959,500.4,54.5,1282.8,114.3,2449.0,146.1,465.3,1260.9,2423.4,102,68.9
0.059959,504.1,58.5,1281.6,105.9,2454.0,141.1,468.7,1263.6,2427,102.1,69.1
0.061959,501.8,72.8,1280.6,106.4,2454.5,144.3,472.1,1266.3,2430.7,102.2,69.4
0.063959,497.3,86.0,1280.8,105.6,2453.6,143.8,475.5,1269,2434.5,102.4,69.5
0.065959,497.9,87.6,1281.5,99.6,2457.0,137.9,479,1271.7,2438.4,102.5,69.6
0.067959,502.3,84.4,1281.4,93.5,2466.0,134.5,482.5,1274.4,2442.4,102.7,69.7
0.069959,504.2,86.2,1279.6,94.2,2478.9,140.5,486,1276.9,2446.4,102.8,69.8
0.071959,498.6,95.8,1276.0,106.8,2489.5,153.6,489.5,1279.4,2450.4,103,69.8
0.073959,491.3,103.3,1272.6,125.3,2490.2,157.5,492.9,1281.8,2454.4,103.1,69.8
0.075959,489.7,100.3,1269.7,136.5,2483.1,151.8,496.2,1284,2458.4,103.3,69.9
0.077959,492.0,96.3,1267.2,141.8,2477.0,150.0,499.5,1286,2462.5,103.5,69.9
0.079959,492.2,102.7,1264.8,154.6,2475.6,160.4,502.7,1287.9,2466.5,103.7,70
0.081959,487.8,116.1,1261.2,174.8,2477.1,177.3,505.7,1289.6,2470.4,103.9,70.1
0.083959,484.9,118.7,1257.5,184.0,2479.1,182.1,508.6,1291.1,2474.3,104,70.2
0.085959,486.3,107.9,1253.2,176.4,2479.4,175.8,511.4,1292.3,2478.1,104.2,70.2
0.087959,488.0,96.1,1248.0,164.8,2477.2,173.2,514,1293.3,2481.8,104.4,70.3
0.089959,485.0,92.8,1244.3,162.0,2472.1,186.5,516.4,1294.1,2485.5,104.6,70.4
0.091959,479.1,94.9,1245.4,161.7,2465.0,208.2,518.7,1294.5,2489,104.7,70.4
0.093959,477.5,91.0,1247.7,148.1,2461.2,210.1,520.7,1294.7,2492.4,104.9,70.5
0.095959,480.1,83.1,1246.4,129.7,2461.7,194.5,522.5,1294.6,2495.7,105.1,70.5
0.097959,481.5,79.9,1241.6,121.7,2462.2,181.4,524.1,1294.2,2498.8,105.2,70.6
0.099959,479.0,85.4,1235.4,132.2,2456.9,181.4,525.5,1293.5,2501.8,105.3,70.7
0.101959,478.1,91.6,1232.3,151.0,2447.0,183.9,526.6,1292.4,2504.7,105.5,70.8
0.103959,482.4,90.1,1232.2,156.3,2441.5,177.4,527.5,1291.1,2507.3,105.6,70.9
0.105959,487.4,86.1,1229.7,150.3,2441.6,170.6,528.1,1289.4,2509.9,105.7,71
0.107959,487.8,88.6,1223.7,147.0,2441.8,173.0,528.4,1287.4,2512.2,105.8,71.1
0.109959,482.3,96.5,1218.1,146.0,2436.8,183.5,528.5,1285,2514.4,105.9,71.1
0.111959,478.7,96.7,1216.9,137.4,2430.7,189.6,528.4,1282.4,2516.4,106,71.2
0.113959,481.8,88.5,1217.0,125.0,2430.5,188.2,528,1279.4,2518.2,106.1,71.2
0.115959,486.2,83.1,1214.4,119.1,2436.7,190.7,527.3,1276.1,2519.8,106.1,71.2
0.117959,485.8,87.7,1208.2,127.5,2446.9,209.3,526.3,1272.5,2521.3,106.2,71.2
0.119959,480.5,99.4,1202.9,146.5,2456.9,239.5,525.1,1268.6,2522.5,106.3,71.2
0.121959,478.8,103.1,1202.4,153.9,2461.4,255.5,523.7,1264.5,2523.6,106.3,71.2
0.123959,482.8,99.0,1200.8,146.2,2462.4,259.7,522,1260,2524.6,106.3,71.3
0.125959,486.9,100.4,1195.7,139.4,2464.8,276.1,520.1,1255.3,2525.4,106.4,71.3
0.127959,485.2,111.7,1190.4,140.0,2470.2,316.9,517.9,1250.4,2526,106.4,71.3
0.129959,479.2,117.8,1188.9,139.0,2476.5,378.7,515.6,1245.3,2526.4,106.5,71.3
0.131959,477.7,108.9,1189.9,130.9,2485.0,443.2,513.1,1239.9,2526.7,106.5,71.4
0.133959,481.3,99.0,1189.3,121.6,2500.2,489.3,510.3,1234.4,2526.9,106.5,71.4
0.135959,483.5,99.3,1187.4,117.4,2518.5,493.3,507.4,1228.7,2526.9,106.5,71.5
0.137959,480.0,105.9,1188.7,115.9,2525.3,435.5,504.4,1222.8,2526.9,106.6,71.5
0.139959,476.2,104.0,1194.9,109.5,2524.5,340.1,501.2,1216.9,2526.7,106.6,71.5
0.141959,478.2,94.9,1200.2,100.8,2528.8,251.1,497.8,1210.8,2526.4,106.6,71.6
0.143959,482.2,89.8,1200.0,97.6,2538.1,187.9,494.4,1204.7,2526,106.6,71.5
0.145959,481.8,95.3,1194.3,105.6,2548.2,150.8,490.9,1198.6,2525.6,106.6,71.5
0.147959,475.9,107.1,1188.2,123.2,2555.7,133.6,487.3,1192.4,2525,106.6,71.5
0.149959,473.0,109.4,1188.0,134.6,2559.8,129.6,483.7,1186.3,2524.5,106.6,71.4
0.151959,475.4,101.2,1188.5,132.6,2561.9,136.8,480,1180.2,2523.9,106.6,71.4
0.153959,477.3,95.5,1183.8,128.4,2563.5,150.8,476.3,1174.1,2523.2,106.6,71.4
0.155959,473.7,99.7,1175.8,130.8,2564.9,161.0,472.7,1168.2,2522.6,106.6,71.4
0.157959,467.5,102.7,1169.8,132.0,2564.1,167.0,469,1162.4,2522,106.6,71.4
0.159959,467.4,95.0,1168.7,123.2,2561.8,174.6,465.4,1156.7,2521.3,106.6,71.4
0.161959,471.9,86.6,1169.1,110.3,2562.3,191.6,461.9,1151.2,2520.7,106.6,71.4
0.163959,474.4,88.5,1169.7,103.8,2571.5,225.2,458.5,1145.9,2520.2,106.6,71.4
0.165959,471.9,100.2,1173.0,105.7,2587.5,269.8,455.2,1140.9,2519.7,106.5,71.5
0.167959,470.2,106.1,1179.9,107.6,2596.4,290.5,452,1136.1,2519.2,106.5,71.5
0.169959,474.1,100.3,1185.8,104.5,2593.3,268.7,449,1131.6,2518.9,106.5,71.5
0.171959,479.2,93.9,1187.2,101.4,2586.7,237.7,446.1,1127.4,2518.6,106.5,71.6
0.173959,479.9,96.7,1186.4,106.3,2581.5,226.4,443.4,1123.5,2518.4,106.5,71.6
0.175959,476.6,105.5,1188.9,118.3,2575.8,236.3,440.9,1119.9,2518.3,106.4,71.6
0.177959,476.4,104.6,1194.5,123.8,2565.4,250.7,438.6,1116.7,2518.4,106.4,71.7
0.179959,481.1,95.4,1196.6,120.5,2550.2,252.0,436.5,1113.9,2518.5,106.4,71.7
0.181959,485.8,90.3,1193.3,120.4,2536.2,241.3,434.7,1111.5,2518.8,106.4,71.7
0.183959,485.2,96.1,1186.1,131.8,2528.2,233.7,433.1,1109.4,2519.3,106.4,71.7
0.185959,480.8,104.0,1180.2,144.6,2524.7,232.3,431.8,1107.8,2519.9,106.3,71.7
0.187959,480.7,101.2,1179.4,142.7,2522.3,226.1,430.8,1106.7,2520.6,106.3,71.7
0.189959,485.8,94.2,1179.8,134.6,2521.8,212.0,430,1105.9,2521.5,106.3,71.7
0.191959,489.9,95.1,1178.0,135.0,2527.7,200.0,429.6,1105.6,2522.5,106.3,71.7
0.193959,487.8,105.1,1175.9,142.7,2540.6,198.2,429.4,1105.7,2523.7,106.3,71.7
0.195959,483.3,109.8,1178.0,139.9,2555.7,199.8,429.5,1106.3,2525.1,106.3,71.7
0.197959,484.6,102.9,1182.3,124.7,2564.9,192.1,429.9,1107.3,2526.6,106.3,71.7
0.199959,490.4,96.3,1183.3,112.9,2562.8,175.3,430.6,1108.8,2528.3,106.3,71.8
0.201959,494.0,99.3,1180.6,114.1,2555.2,163.5,431.5,1110.7,2530.1,106.3,71.8
0.203959,492.7,111.7,1179.2,126.3,2549.4,163.6,432.8,1113.1,2532.1,106.3,71.8
0.205959,491.5,117.0,1184.5,130.8,2545.8,169.3,434.4,1115.8,2534.2,106.4,71.8
0.207959,494.3,108.8,1188.5,122.3,2541.9,173.5,436.2,1119,2536.5,106.4,71.9
