time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025023,459.9,127.4,751.6,141.4,2486.8,222.0,467.9,717.9,2511.6,107,68.2
0.027023,464.6,143.5,748.1,176.4,2464.8,222.0,467.7,717.9,2511.7,106.9,68.5
0.029023,466.1,148.4,742.9,191.7,2463.1,214.9,467.4,717.8,2511.9,106.8,68.9
0.031023,465.2,142.5,741.2,189.0,2473.2,204.7,467,717.7,2512.1,106.7,69.4
0.033023,461.7,137.0,739.4,183.7,2489.0,199.4,466.5,717.6,2512.4,106.7,69.8
0.035023,456.7,142.9,732.0,188.8,2508.3,206.5,465.9,717.4,2512.7,106.6,70.1
0.037023,454.7,160.0,719.7,203.4,2525.9,221.8,465.1,717.3,2513.1,106.5,70.4
0.039023,456.3,168.1,713.6,208.1,2536.4,227.8,464.3,717.1,2513.5,106.4,70.6
0.041023,456.5,157.1,719.4,195.6,2539.6,221.9,463.4,716.8,2514,106.3,70.7
0.043023,454.0,141.2,730.3,177.6,2535.9,213.0,462.3,716.6,2514.6,106.3,70.7
0.045023,451.2,140.9,737.4,175.8,2528.3,212.4,461.2,716.3,2515.1,106.2,70.7
0.047023,452.0,160.4,734.2,197.4,2523.5,219.6,460,716,2515.8,106.2,70.7
0.049023,457.3,177.3,724.6,218.4,2525.2,220.8,458.7,715.6,2516.4,106.2,70.7
0.051023,459.9,177.2,720.4,220.1,2529.7,214.3,457.4,715.3,2517.2,106.2,70.8
0.053023,457.4,173.8,718.9,211.4,2532.0,208.0,456,714.9,2517.9,106.2,70.9
0.055023,453.3,183.8,712.0,207.5,2530.0,208.3,454.5,714.5,2518.7,106.2,71
0.057023,453.7,204.8,700.6,211.0,2528.6,211.8,453,714.1,2519.5,106.2,71.2
0.059023,457.7,214.0,695.1,212.3,2532.3,211.3,451.4,713.7,2520.3,106.2,71.3
0.061023,458.8,205.9,698.0,207.9,2537.4,207.7,449.8,713.3,2521.1,106.3,71.4
0.063023,454.3,196.4,701.6,199.6,2538.6,207.7,448.2,712.8,2522,106.3,71.5
0.065023,448.1,200.2,697.7,195.9,2535.5,217.4,446.6,712.4,2522.8,106.4,71.6
0.067023,446.7,209.8,689.4,196.5,2533.9,227.2,444.9,711.9,2523.7,106.4,71.7
0.069023,448.7,204.8,687.7,193.5,2536.7,225.3,443.2,711.5,2524.5,106.5,71.8
0.071023,448.0,189.4,692.0,185.0,2539.7,217.2,441.6,711,2525.4,106.6,71.9
0.073023,442.8,185.8,692.5,176.7,2539.4,216.3,439.9,710.5,2526.2,106.7,71.9
0.075023,436.8,197.5,687.1,171.7,2537.3,224.1,438.3,710,2527,106.7,72
0.077023,435.1,199.4,684.6,165.3,2536.1,224.7,436.7,709.6,2527.8,106.8,72.1
0.079023,435.9,180.2,688.9,156.4,2534.9,212.6,435.1,709.1,2528.6,106.9,72.3
0.081023,434.2,158.5,694.1,147.6,2530.4,198.4,433.6,708.6,2529.4,107,72.4
0.083023,429.0,149.8,694.5,143.8,2519.6,192.6,432.1,708.2,2530.1,107.1,72.5
0.085023,425.5,152.5,691.4,146.0,2509.6,194.7,430.6,707.7,2530.8,107.2,72.6
0.087023,428.2,153.6,690.1,151.4,2512.1,194.6,429.2,707.3,2531.4,107.3,72.7
0.089023,432.3,146.0,692.6,155.6,2520.7,184.9,427.9,706.9,2532.1,107.4,72.8
0.091023,432.0,137.4,695.3,156.8,2521.9,170.6,426.7,706.5,2532.6,107.5,72.8
0.093023,429.1,143.8,693.5,165.4,2517.5,163.6,425.5,706.1,2533.2,107.5,72.9
0.095023,428.9,155.1,690.6,174.6,2514.1,162.7,424.4,705.7,2533.7,107.6,72.9
0.097023,431.5,151.5,693.1,174.9,2515.8,159.6,423.3,705.4,2534.1,107.7,72.9
0.099023,432.6,138.5,698.8,169.6,2520.3,154.3,422.4,705,2534.5,107.8,73
0.101023,429.5,131.7,702.3,164.6,2525.5,154.1,421.5,704.7,2534.8,107.8,73
0.103023,425.0,135.9,701.8,161.9,2529.7,162.6,420.7,704.5,2535.1,107.9,73
0.105023,424.0,136.7,702.1,156.1,2532.0,169.9,420,704.2,2535.3,108,73
0.107023,425.6,126.8,705.9,147.4,2532.8,169.8,419.4,704,2535.5,108,73
0.109023,425.8,116.9,710.3,140.7,2533.3,169.8,418.9,703.8,2535.6,108.1,73
0.111023,422.7,117.6,711.1,138.6,2532.6,179.1,418.4,703.7,2535.6,108.1,73
0.113023,420.7,125.2,709.1,138.3,2532.7,193.5,418.1,703.6,2535.6,108.1,73
0.115023,423.0,126.7,709.4,137.4,2537.0,200.9,417.8,703.5,2535.6,108.2,73.1
0.117023,427.2,123.1,713.4,140.0,2546.9,205.1,417.6,703.5,2535.5,108.2,73.1
0.119023,428.4,125.7,716.4,149.2,2559.0,218.8,417.5,703.5,2535.3,108.3,73.1
0.121023,426.8,135.7,714.3,157.9,2568.2,244.1,417.4,703.5,2535.1,108.3,73.2
0.123023,426.2,139.2,710.6,155.2,2572.6,264.9,417.5,703.6,2534.9,108.3,73.2
