time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025259,402.0,166.4,1953.1,180.6,2453.6,332.5,338.9,1891.4,2414.1,0,55.2
0.027259,395.9,156.9,1945.3,200.8,2444.3,316.3,339.5,1891.5,2414.3,0,55.7
0.029259,393.4,151.7,1937.5,233.8,2441.6,272.6,340.6,1891.8,2414.7,0,55.9
0.031259,398.5,141.9,1932.0,279.9,2441.6,234.8,342.1,1892.2,2415.2,0,55.9
0.033259,408.0,126.1,1924.5,329.8,2438.2,217.3,344,1892.7,2415.9,0,55.8
0.035259,415.7,114.7,1906.6,344.5,2431.2,216.2,346.3,1893.3,2416.7,0,55.9
0.037259,412.4,121.4,1883.9,310.2,2425.1,236.7,349,1893.9,2417.7,0,56.3
0.039259,398.2,137.4,1872.9,267.2,2427.6,286.4,352.1,1894.7,2418.8,0,57.1
0.041259,387.7,142.8,1872.9,222.7,2444.6,347.6,355.6,1895.6,2420.1,0,58.1
0.043259,383.3,137.8,1873.2,181.8,2458.9,415.1,359.4,1896.6,2421.4,0,59
0.045259,384.3,127.8,1872.4,150.4,2454.1,479.4,363.6,1897.7,2422.9,0,59.7
0.047259,390.8,115.4,1872.1,127.5,2440.3,503.2,368.1,1898.8,2424.6,0,60.2
0.049259,400.7,100.7,1872.3,111.8,2432.6,484.5,372.9,1900,2426.3,0,60.4
0.051259,410.8,85.7,1872.9,103.3,2433.7,438.1,378,1901.3,2428.1,0,60.4
0.053259,416.7,77.5,1876.4,105.4,2444.6,377.3,383.4,1902.7,2430,0,60.6
0.055259,415.8,85.0,1888.1,125.8,2462.3,322.6,389,1904.2,2432.1,0,60.8
0.057259,414.7,111.6,1910.2,150.2,2474.8,263.3,394.8,1905.7,2434.2,0,61.3
0.059259,422.1,150.2,1927.0,155.3,2468.4,207.6,400.8,1907.2,2436.4,0,62
0.061259,434.8,176.2,1930.4,155.1,2452.0,179.1,407,1908.8,2438.6,0,62.8
0.063259,445.9,172.2,1928.1,149.6,2439.5,164.4,413.3,1910.5,2440.9,96.3,63.5
0.065259,453.6,150.7,1926.0,138.2,2434.8,153.7,419.7,1912.2,2443.2,96.6,64.1
0.067259,457.0,124.7,1925.4,132.9,2437.3,156.3,426.2,1913.9,2445.6,96.8,64.6
0.069259,457.2,102.5,1924.1,146.4,2445.6,190.6,432.8,1915.7,2448,97,65.1
0.071259,459.4,102.2,1918.7,165.4,2449.4,234.3,439.4,1917.4,2450.5,97.3,65.6
0.073259,463.6,120.3,1916.4,162.9,2449.4,235.7,446.1,1919.2,2452.9,97.6,66.2
0.075259,468.5,123.6,1918.0,145.3,2451.1,215.9,452.6,1921,2455.3,97.8,66.7
0.077259,472.7,110.7,1920.5,123.0,2453.3,192.9,459.2,1922.8,2457.8,98.1,67.2
0.079259,475.2,95.5,1923.2,102.1,2455.4,172.3,465.6,1924.6,2460.2,98.4,67.6
0.081259,475.3,89.0,1925.3,87.3,2455.7,157.1,472,1926.3,2462.6,98.7,68
0.083259,474.2,101.2,1926.4,81.4,2451.5,145.1,478.2,1928.1,2464.9,99.1,68.4
0.085259,475.0,116.5,1926.1,79.9,2444.5,135.9,484.2,1929.8,2467.2,99.4,68.8
0.087259,476.8,110.0,1926.0,77.0,2441.8,132.8,490.1,1931.5,2469.5,99.7,69.1
0.089259,478.7,94.7,1927.9,69.8,2444.3,125.4,495.7,1933.2,2471.6,100,69.5
0.091259,478.9,84.6,1931.6,64.2,2450.3,117.5,501.1,1934.8,2473.8,100.3,69.8
0.093259,476.9,85.3,1936.4,68.1,2457.7,116.4,506.2,1936.3,2475.8,100.6,70
0.095259,475.2,89.0,1940.4,78.7,2461.5,116.4,511.1,1937.8,2477.7,100.9,70.2
0.097259,475.3,84.2,1942.0,82.1,2462.1,110.7,515.6,1939.3,2479.6,101.2,70.4
0.099259,475.7,74.0,1942.6,77.1,2462.9,105.2,519.8,1940.7,2481.3,101.5,70.5
0.101259,474.4,68.2,1945.0,74.3,2465.0,110.8,523.7,1942,2482.9,101.8,70.6
0.103259,471.0,72.0,1950.3,82.0,2467.5,135.2,527.2,1943.3,2484.5,102.1,70.6
0.105259,468.4,76.1,1953.7,94.0,2467.1,161.2,530.3,1944.4,2485.9,102.3,70.7
0.107259,468.7,71.3,1951.9,96.1,2465.5,166.4,533,1945.5,2487.1,102.5,70.7
0.109259,469.7,63.2,1947.8,89.6,2466.2,160.9,535.3,1946.6,2488.3,102.8,70.8
0.111259,468.0,60.5,1944.8,85.6,2469.6,166.7,537.2,1947.5,2489.3,103,70.8
0.113259,463.3,67.0,1944.5,89.2,2470.4,191.4,538.7,1948.3,2490.2,103.2,70.9
0.115259,460.7,73.0,1944.7,90.7,2464.0,204.6,539.7,1949.1,2490.9,103.4,70.9
0.117259,462.0,70.3,1943.2,83.0,2457.9,191.1,540.3,1949.7,2491.5,103.6,70.9
0.119259,463.4,64.5,1941.3,72.7,2456.8,173.3,540.4,1950.3,2492,103.7,70.9
0.121259,461.1,64.9,1941.0,69.6,2460.4,171.2,540.1,1950.8,2492.3,103.9,70.9
0.123259,455.8,74.4,1944.2,78.8,2466.1,186.7,539.3,1951.2,2492.5,104.1,70.9
