time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.024993,428.9,82.6,1684.1,342.3,2217.5,285.0,364.6,1641.3,2169.2,0,54.8
0.026993,427.3,78.4,1692.4,443.2,2207.4,302.3,364.9,1641.6,2169.5,0,54.1
0.028993,398.5,120.6,1754.5,645.6,2188.8,362.8,365.4,1642.1,2170.1,0,54.1
0.030993,341.4,194.8,1819.1,707.8,2169.1,459.7,366.1,1642.7,2170.8,0,55
0.032993,332.5,209.7,1756.4,454.1,2214.3,459.1,367.1,1643.5,2171.8,0,56.5
0.034993,357.2,184.9,1721.3,350.3,2226.0,359.9,368.2,1644.5,2173,0,58.2
0.036993,370.1,151.7,1703.4,330.9,2227.9,316.4,369.5,1645.7,2174.4,0,59.8
0.038993,375.7,128.5,1681.3,319.1,2228.6,293.9,371,1647,2175.9,0,61.2
0.040993,379.6,116.0,1660.6,288.0,2228.4,274.3,372.7,1648.5,2177.7,0,62.3
0.042993,385.5,108.7,1650.7,249.4,2227.7,254.1,374.5,1650.2,2179.7,0,63.1
0.044993,395.0,100.1,1648.9,217.7,2227.3,233.7,376.6,1652,2181.8,0,63.4
0.046993,407.0,86.6,1649.9,198.5,2227.4,218.4,378.7,1653.9,2184.1,0,63.5
0.048993,419.3,67.9,1650.3,198.2,2227.4,217.8,381.1,1656,2186.5,0,63.2
0.050993,430.4,48.4,1646.0,228.6,2223.9,241.4,383.5,1658.1,2189.1,0,62.8
0.052993,437.0,38.7,1637.1,311.1,2214.4,283.2,386.1,1660.4,2191.8,0,62.6
0.054993,429.6,58.4,1661.2,500.2,2210.9,338.1,388.9,1662.8,2194.6,0,63.1
0.056993,402.9,121.8,1690.7,530.0,2217.4,330.4,391.7,1665.3,2197.6,0,64.2
0.058993,389.9,165.6,1672.5,426.2,2221.5,274.0,394.6,1667.8,2200.6,0,65.6
0.060993,404.5,150.1,1664.2,363.6,2221.2,235.8,397.6,1670.4,2203.7,0,67
0.062993,419.8,118.9,1659.8,320.1,2219.7,205.8,400.6,1673.1,2206.9,0,68
0.064993,430.2,90.9,1657.1,285.5,2218.2,179.7,403.8,1675.8,2210.1,0,68.7
0.066993,437.4,67.1,1655.0,256.9,2216.9,155.9,406.9,1678.6,2213.4,0,68.9
0.068993,442.5,46.9,1652.7,233.1,2216.0,134.0,410.1,1681.3,2216.7,0,68.8
0.070993,446.0,30.6,1649.4,215.5,2215.4,114.3,413.3,1684.1,2220,0,68.2
0.072993,447.2,19.6,1643.0,216.0,2215.3,100.8,416.5,1686.8,2223.4,0,67.5
0.074993,443.6,17.5,1624.7,301.6,2213.4,110.5,419.7,1689.6,2226.6,0,66.9
0.076993,429.9,39.9,1649.7,659.1,2202.2,194.6,422.9,1692.2,2229.9,0,66.9
0.078993,406.0,110.0,1797.0,463.0,2247.1,309.4,426,1694.9,2233.1,0,67.5
0.080993,394.5,151.1,1771.2,337.0,2259.7,247.1,429.1,1697.5,2236.3,0,68.6
0.082993,405.2,130.4,1752.1,302.5,2251.5,209.7,432.1,1700,2239.3,0,69.7
0.084993,418.0,101.0,1736.6,281.5,2243.0,183.3,435,1702.4,2242.3,0,70.5
0.086993,428.5,76.6,1722.0,263.4,2235.0,161.9,437.9,1704.8,2245.2,0,71.1
0.088993,436.9,57.5,1706.6,246.8,2226.7,145.2,440.6,1707,2248,0,71.3
0.090993,442.4,45.0,1689.6,233.3,2217.5,136.0,443.2,1709.1,2250.6,0,71.5
0.092993,441.6,41.2,1671.9,235.6,2206.4,142.3,445.7,1711.1,2253.1,0,71.5
