time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025268,289.9,64.0,1152.1,56.9,2488.3,121.0,301.6,1114.7,2510.7,116.4,59.1
0.027268,275.0,49.6,1153.0,68.4,2470.0,155.8,301.6,1114.8,2510.6,115.5,59.9
0.029268,267.5,45.0,1154.0,98.6,2449.3,181.2,301.6,1114.9,2510.6,114.7,60.8
0.031268,266.5,45.7,1144.4,128.9,2438.3,192.9,301.5,1115.2,2510.6,113.8,61.9
0.033268,271.2,46.8,1133.9,133.9,2438.8,199.2,301.5,1115.4,2510.6,112.9,63
0.035268,279.7,47.9,1131.2,139.5,2458.8,194.6,301.4,1115.8,2510.5,112,64.2
0.037268,290.0,50.0,1125.8,168.5,2489.4,174.8,301.4,1116.2,2510.5,111.1,65.4
0.039268,301.0,52.4,1107.2,235.0,2512.5,144.4,301.3,1116.7,2510.5,110.2,66.5
0.041268,311.1,53.3,1077.6,325.6,2518.5,114.7,301.2,1117.3,2510.4,109.3,67.5
0.043268,318.6,49.3,1057.9,373.9,2513.9,93.6,301.2,1117.8,2510.3,108.4,68.2
0.045268,323.0,41.3,1058.6,352.5,2509.1,82.2,301.1,1118.5,2510.3,107.6,68.8
0.047268,324.3,34.3,1069.0,301.8,2510.2,81.9,301,1119.2,2510.2,106.8,69.2
0.049268,321.2,32.8,1079.3,256.9,2519.7,99.3,300.9,1119.9,2510.1,106.1,69.5
0.051268,315.0,36.7,1087.7,225.3,2534.4,136.5,300.8,1120.7,2509.9,105.4,69.9
0.053268,312.4,39.2,1097.3,199.7,2546.5,177.1,300.6,1121.5,2509.8,104.8,70.2
0.055268,314.8,37.2,1109.0,177.3,2552.9,204.6,300.5,1122.4,2509.7,104.2,70.5
0.057268,318.1,34.8,1122.8,163.2,2558.8,217.3,300.4,1123.3,2509.5,103.7,70.8
0.059268,317.8,36.6,1137.5,168.1,2568.5,225.5,300.3,1124.2,2509.3,103.2,71
0.061268,311.7,44.6,1149.1,200.1,2576.6,236.6,300.1,1125.1,2509.1,102.9,71.2
0.063268,305.2,53.2,1154.5,245.0,2573.5,239.0,300,1126.1,2508.9,102.5,71.3
0.065268,304.9,55.7,1153.4,271.9,2560.1,223.7,299.8,1127.1,2508.7,102.3,71.5
0.067268,308.7,54.3,1148.0,270.4,2546.2,200.9,299.6,1128.1,2508.4,102,71.6
0.069268,310.8,55.6,1140.9,258.5,2535.1,182.6,299.5,1129,2508.2,101.9,71.7
0.071268,306.6,62.8,1134.8,249.8,2520.0,169.0,299.3,1130,2507.8,101.8,71.8
0.073268,300.3,68.4,1132.9,233.6,2502.5,152.5,299.1,1131,2507.5,101.7,72
0.075268,299.2,66.8,1134.5,206.9,2492.3,134.6,298.9,1132,2507.2,101.6,72.1
0.077268,302.3,63.1,1136.8,178.3,2492.1,123.2,298.8,1133,2506.8,101.6,72.2
0.079268,303.7,63.3,1137.6,156.9,2500.1,128.1,298.6,1133.9,2506.4,101.7,72.3
0.081268,299.2,69.1,1136.8,146.8,2511.1,160.0,298.4,1134.9,2505.9,101.7,72.4
0.083268,294.1,73.0,1136.1,141.5,2512.3,207.0,298.2,1135.8,2505.5,101.8,72.5
0.085268,294.9,70.1,1136.1,133.5,2502.9,229.2,298,1136.7,2505,101.9,72.6
0.087268,299.0,66.3,1136.8,125.3,2498.8,222.9,297.8,1137.5,2504.4,101.9,72.7
0.089268,299.9,69.2,1138.3,125.1,2503.8,207.2,297.6,1138.3,2503.9,102,72.7
0.091268,294.8,81.1,1140.8,134.9,2507.7,181.9,297.4,1139.1,2503.3,102.1,72.8
0.093268,290.2,92.5,1144.3,142.6,2502.8,147.4,297.2,1139.9,2502.7,102.3,72.9
0.095268,292.0,94.9,1147.0,141.5,2495.9,120.4,297,1140.6,2502,102.4,73
0.097268,296.2,92.0,1147.9,136.7,2491.1,105.5,296.8,1141.2,2501.3,102.5,73.1
0.099268,296.1,90.6,1147.2,136.1,2487.4,101.9,296.6,1141.8,2500.6,102.6,73.1
0.101268,290.3,93.4,1146.1,142.8,2483.7,108.5,296.4,1142.4,2499.9,102.7,73.2
0.103268,286.9,94.3,1145.6,147.7,2479.1,116.5,296.1,1142.9,2499.1,102.8,73.3
0.105268,289.8,90.4,1145.3,144.4,2474.6,117.5,295.9,1143.4,2498.3,102.9,73.4
0.107268,294.5,86.5,1145.3,140.2,2471.5,116.5,295.7,1143.8,2497.4,103,73.4
0.109268,294.5,88.3,1145.2,143.6,2470.7,121.9,295.5,1144.1,2496.6,103,73.5
0.111268,289.5,96.3,1145.9,155.2,2474.1,134.5,295.3,1144.4,2495.7,103.1,73.5
0.113268,287.5,101.7,1147.3,161.5,2481.1,142.3,295.1,1144.7,2494.8,103.2,73.6
0.115268,291.3,99.4,1147.9,156.1,2487.5,140.7,294.9,1144.9,2493.8,103.3,73.7
0.117268,295.5,94.5,1147.4,145.6,2492.6,137.4,294.7,1145,2492.9,103.3,73.7
0.119268,294.2,92.2,1146.1,136.3,2495.9,140.0,294.5,1145.1,2491.9,103.4,73.7
0.121268,288.2,91.7,1144.2,128.1,2493.6,147.3,294.4,1145.1,2490.9,103.4,73.8
0.123268,285.9,87.9,1142.3,118.1,2487.1,149.1,294.2,1145.1,2489.9,103.5,73.8
0.125268,289.7,83.8,1141.7,110.7,2487.7,143.4,294,1145.1,2488.8,103.5,73.8
0.127268,294.2,84.9,1142.5,111.1,2499.2,140.2,293.8,1145,2487.8,103.6,73.9
0.129268,293.3,92.5,1144.1,119.4,2512.9,145.2,293.6,1144.8,2486.7,103.6,73.9
0.131268,288.9,101.4,1145.9,128.3,2515.8,150.9,293.4,1144.6,2485.7,103.7,73.9
0.133268,288.6,103.7,1147.1,129.5,2508.3,148.1,293.3,1144.4,2484.6,103.7,74
0.135268,293.2,99.4,1146.8,124.1,2500.6,141.2,293.1,1144.1,2483.5,103.8,74
0.137268,297.0,93.1,1144.6,117.3,2496.6,139.9,292.9,1143.8,2482.4,103.8,74.1
0.139268,294.9,87.9,1140.2,111.1,2493.1,149.8,292.8,1143.5,2481.3,103.9,74.1
0.141268,290.5,82.9,1135.8,103.3,2484.1,161.7,292.6,1143.1,2480.2,103.9,74.2
0.143268,290.7,76.7,1133.7,94.2,2473.2,157.9,292.5,1142.7,2479.2,104,74.2
0.145268,295.1,72.0,1133.5,89.3,2470.2,145.3,292.3,1142.3,2478.1,104,74.2
0.147268,297.9,72.2,1133.6,94.0,2473.3,140.3,292.2,1141.9,2477,104,74.3
0.149268,295.0,76.8,1132.1,108.7,2471.5,143.5,292.1,1141.4,2476,104.1,74.3
0.151268,290.8,78.8,1129.3,121.0,2459.3,140.0,291.9,1141,2474.9,104.1,74.3
0.153268,291.3,74.7,1127.5,120.4,2446.3,125.7,291.8,1140.5,2473.9,104.1,74.4
0.155268,294.7,68.5,1127.0,115.0,2439.3,113.8,291.7,1140.1,2472.9,104.2,74.4
0.157268,295.3,65.7,1127.0,116.3,2437.8,117.2,291.6,1139.6,2472,104.2,74.4
