time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025467,312.8,129.5,538.5,407.2,2324.6,285.6,278,526.6,2422.2,0,57.5
0.027467,324.8,227.1,492.0,390.2,2321.0,307.4,278,526.7,2422.4,0,56.5
0.029467,274.8,383.6,485.2,260.5,2317.6,343.4,278,526.8,2422.8,0,56.2
0.031467,228.2,377.0,506.1,222.9,2303.3,388.6,278,527,2423.4,0,57
0.033467,236.0,288.7,517.2,218.6,2302.4,454.6,278,527.3,2424.2,0,58.7
0.035467,254.9,190.6,528.6,197.2,2344.6,574.0,278,527.6,2425.1,0,60.6
0.037467,264.2,134.2,537.0,164.5,2378.8,725.9,278.1,528,2426.2,0,62.5
0.039467,270.1,113.4,540.4,152.8,2405.1,780.9,278.1,528.4,2427.4,0,64.3
0.041467,275.0,115.9,540.8,164.6,2467.7,687.2,278.1,528.9,2428.8,0,65.9
0.043467,279.0,129.0,538.8,178.5,2494.1,537.2,278.1,529.4,2430.3,0,67.2
0.045467,281.7,133.7,538.6,169.1,2487.4,439.0,278.1,530,2431.9,0,68.4
0.047467,284.3,120.8,542.2,143.7,2473.3,378.6,278.1,530.6,2433.7,0,69.2
0.049467,287.2,100.9,546.7,118.5,2460.4,333.7,278.1,531.3,2435.6,99.3,69.9
0.051467,289.4,84.3,550.4,98.5,2450.9,296.3,278.1,531.9,2437.6,99.6,70.3
0.053467,288.9,75.7,553.3,84.7,2447.3,276.8,278.1,532.7,2439.7,99.8,70.8
0.055467,284.7,76.2,556.1,77.3,2455.2,300.0,278.1,533.4,2441.9,100.1,71.2
0.057467,281.2,78.9,558.9,74.2,2484.3,364.0,278.1,534.2,2444.2,100.4,71.6
0.059467,281.3,77.1,561.4,70.8,2527.3,415.7,278.1,534.9,2446.5,100.7,72
0.061467,281.9,72.4,563.5,66.0,2553.5,416.5,278.1,535.8,2448.9,101,72.3
0.063467,280.0,70.8,564.8,65.4,2547.8,377.0,278,536.6,2451.4,101.3,72.7
0.065467,276.0,75.7,564.2,79.0,2526.9,333.6,278,537.4,2453.8,101.6,73
0.067467,274.9,81.8,559.7,113.6,2513.8,313.4,277.9,538.2,2456.4,101.9,73.3
0.069467,278.0,83.3,551.8,155.6,2510.0,309.4,277.8,539,2458.9,102.2,73.6
0.071467,280.7,82.8,545.1,184.0,2508.1,308.3,277.7,539.9,2461.4,102.5,73.8
0.073467,280.7,86.6,540.7,205.3,2506.5,313.5,277.7,540.7,2463.9,102.8,74.1
0.075467,279.9,97.8,534.7,239.5,2509.0,335.7,277.5,541.5,2466.4,103.1,74.3
0.077467,281.9,107.3,526.5,279.7,2518.3,358.5,277.4,542.3,2468.9,103.3,74.5
0.079467,284.4,107.3,524.1,294.9,2523.7,354.6,277.3,543,2471.3,103.6,74.7
0.081467,283.6,104.5,528.5,286.0,2514.7,327.1,277.1,543.7,2473.7,103.8,74.9
0.083467,279.7,107.1,532.3,277.1,2493.9,296.0,276.9,544.5,2476,104.1,75
0.085467,275.6,113.8,529.9,277.0,2470.6,277.5,276.7,545.1,2478.2,104.3,75.2
0.087467,275.4,115.1,524.1,278.1,2455.9,271.6,276.5,545.8,2480.3,104.5,75.3
0.089467,277.2,110.7,522.9,274.8,2454.4,273.1,276.3,546.4,2482.3,104.6,75.5
0.091467,277.0,107.1,528.3,270.7,2461.1,280.9,276,546.9,2484.2,104.8,75.6
0.093467,274.5,110.7,534.0,275.1,2468.4,296.7,275.7,547.4,2486,104.9,75.7
0.095467,273.6,120.2,532.6,288.6,2474.3,317.6,275.4,547.9,2487.7,105.1,75.8
0.097467,276.9,126.2,527.0,299.0,2484.0,333.3,275.1,548.3,2489.2,105.2,75.9
0.099467,279.9,126.3,526.4,300.4,2495.1,338.1,274.8,548.7,2490.6,105.2,75.9
0.101467,279.1,127.1,530.6,299.8,2495.8,335.0,274.4,549,2491.8,105.3,76
