time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025791,297.5,74.7,1759.3,496.7,2280.7,255.7,337.8,1743.7,2266,90,66.2
0.027791,310.3,63.9,1746.3,432.8,2279.0,216.4,337.7,1743.8,2266,90.4,67.6
0.029791,320.4,54.7,1739.3,381.6,2277.9,184.5,337.5,1743.9,2266,90.8,68.5
0.031791,329.2,45.9,1733.4,334.2,2277.2,154.4,337.3,1744.1,2266,91.3,69.1
0.033791,335.8,39.1,1728.6,295.1,2277.0,129.8,336.9,1744.3,2266,91.8,69.3
0.035791,339.1,35.2,1725.5,266.9,2277.7,116.0,336.5,1744.6,2266,92.3,69.4
0.037791,336.0,37.9,1729.8,262.4,2279.1,130.8,336,1744.9,2266.1,92.8,69.6
0.039791,331.6,43.7,1746.1,262.4,2282.1,174.9,335.5,1745.3,2266.1,93.3,69.8
0.041791,332.9,43.2,1753.9,247.9,2281.8,192.1,334.8,1745.7,2266.1,93.8,70.1
0.043791,336.9,38.8,1750.4,229.7,2277.6,175.3,334.1,1746.2,2266.1,94.4,70.4
0.045791,340.3,35.1,1741.7,216.7,2273.8,148.3,333.4,1746.7,2266.1,94.9,70.6
0.047791,339.9,36.0,1731.4,219.1,2271.7,129.2,332.6,1747.3,2266.1,95.5,70.9
0.049791,335.5,41.2,1723.8,228.1,2269.7,116.7,331.7,1747.9,2266.1,96,71.1
0.051791,332.8,43.7,1722.7,222.4,2268.0,104.1,330.8,1748.5,2266.1,96.5,71.2
0.053791,333.8,41.8,1724.5,208.3,2267.1,90.2,329.9,1749.2,2266.1,97,71.4
0.055791,335.6,40.3,1728.6,203.0,2267.0,82.7,328.9,1749.8,2266.1,97.5,71.5
0.057791,334.4,44.1,1739.4,218.8,2266.2,90.6,327.9,1750.6,2266,98,71.6
0.059791,330.0,52.6,1759.2,241.5,2264.3,117.5,326.8,1751.3,2266,98.4,71.7
0.061791,327.4,58.0,1777.1,239.4,2263.4,143.0,325.7,1752.1,2265.9,98.8,71.8
0.063791,328.5,56.4,1780.7,219.7,2263.3,143.6,324.6,1752.9,2265.8,99.2,71.8
0.065791,329.9,53.7,1776.9,200.5,2262.6,133.8,323.5,1753.7,2265.7,99.6,71.9
0.067791,327.6,56.1,1773.9,193.6,2259.4,135.0,322.3,1754.5,2265.6,99.9,72
0.069791,322.0,62.8,1774.3,194.2,2251.9,146.6,321.2,1755.4,2265.4,100.3,72
0.071791,319.7,64.7,1773.9,190.0,2245.7,144.5,320.1,1756.2,2265.3,100.5,72.1
0.073791,321.8,61.1,1771.1,181.9,2244.5,127.5,318.9,1757.1,2265,100.8,72.1
0.075791,323.9,58.5,1768.5,180.3,2246.5,112.1,317.8,1757.9,2264.8,101.1,72.2
0.077791,321.7,61.6,1768.6,190.8,2248.6,106.5,316.6,1758.8,2264.6,101.3,72.3
0.079791,316.9,67.2,1770.4,196.5,2248.7,107.4,315.5,1759.6,2264.3,101.5,72.3
0.081791,315.5,67.3,1769.1,184.3,2248.6,101.7,314.4,1760.5,2263.9,101.6,72.4
0.083791,317.5,63.5,1765.3,167.1,2250.2,90.9,313.4,1761.3,2263.6,101.8,72.4
