time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025624,258.0,36.7,1650.1,577.0,2130.1,294.4,283.9,1656.4,2118.5,0,59.9
0.027624,263.4,38.6,1690.1,591.2,2115.6,385.1,283.8,1656.5,2118.5,0,61.2
0.029624,269.7,45.2,1723.4,486.3,2130.1,517.7,283.8,1656.6,2118.5,0,62.4
0.031624,275.2,52.6,1702.3,390.6,2148.7,542.6,283.7,1656.7,2118.5,0,63.6
0.033624,280.3,51.2,1671.6,351.0,2132.1,481.6,283.6,1656.8,2118.5,0,64.5
0.035624,285.3,42.6,1640.6,321.9,2109.8,385.9,283.5,1656.9,2118.5,0,65.3
0.037624,289.8,33.9,1620.2,289.1,2100.6,306.4,283.4,1657.1,2118.5,0,65.6
0.039624,294.3,27.9,1616.2,262.4,2104.2,258.9,283.3,1657.3,2118.5,0,65.6
0.041624,299.0,26.1,1636.7,262.2,2123.6,259.1,283.1,1657.6,2118.5,0,65.3
0.043624,302.0,28.6,1671.9,293.7,2149.2,297.3,282.9,1657.8,2118.5,0,64.9
0.045624,298.2,35.3,1694.5,386.7,2142.8,350.7,282.8,1658.1,2118.5,0,64.7
0.047624,283.7,48.4,1701.3,634.6,2066.5,401.5,282.5,1658.4,2118.5,0,65.1
0.049624,274.3,54.8,1683.6,874.6,2009.8,349.7,282.3,1658.8,2118.5,0,66
0.051624,273.2,55.2,1664.7,853.8,2024.5,296.9,282.1,1659.1,2118.5,0,67.3
0.053624,273.8,56.6,1651.3,680.2,2058.7,251.2,281.8,1659.5,2118.5,0,68.5
0.055624,274.9,58.1,1642.4,532.5,2081.6,211.2,281.6,1659.9,2118.5,0,69.6
0.057624,278.0,56.2,1641.2,438.0,2095.3,181.4,281.3,1660.3,2118.6,0,70.4
0.059624,283.1,50.6,1643.2,375.9,2105.2,157.2,281,1660.7,2118.6,96.8,71
0.061624,288.6,44.7,1645.8,338.4,2112.6,138.0,280.7,1661.1,2118.6,97.2,71.3
0.063624,293.4,41.1,1647.6,320.1,2118.6,123.9,280.3,1661.5,2118.7,97.7,71.4
0.065624,295.2,42.7,1642.1,317.7,2122.2,116.9,280,1662,2118.7,98.2,71.6
0.067624,292.5,47.4,1633.1,309.9,2123.2,117.9,279.7,1662.4,2118.8,98.7,71.8
0.069624,289.5,47.3,1629.0,285.0,2123.4,116.1,279.3,1662.9,2118.8,99.3,72.1
0.071624,288.1,43.4,1630.8,257.8,2125.2,108.3,279,1663.4,2118.9,99.8,72.5
0.073624,285.8,42.0,1639.9,237.0,2129.9,105.9,278.6,1663.8,2119,100.4,72.9
