time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025211,243.0,35.3,2289.2,168.1,3353.6,229.5,219.1,2264.4,3322.6,0,53.7
0.027211,245.9,34.9,2201.6,322.6,3356.8,380.5,219.1,2264.9,3322.4,0,51.5
0.029211,247.0,44.1,1989.7,553.4,3282.2,640.5,219.1,2265.5,3322.1,0,49.4
0.031211,235.4,72.1,1889.2,597.8,3150.0,773.0,219.1,2266.5,3321.5,0,48
0.033211,208.8,99.9,2035.3,678.2,3253.7,883.0,219.1,2267.7,3320.9,0,49
0.035211,191.6,96.2,2208.9,525.9,3338.3,574.3,219.2,2269.2,3320.1,0,50.1
0.037211,181.0,83.5,2275.7,386.9,3336.5,396.5,219.2,2270.9,3319.2,0,52.3
0.039211,173.0,69.6,2305.7,310.2,3332.6,297.6,219.2,2272.9,3318.1,0,54.5
0.041211,172.5,58.6,2323.6,242.0,3338.2,243.6,219.3,2275.1,3317,0,56.6
0.043211,182.6,56.1,2336.8,175.4,3347.3,227.8,219.3,2277.6,3315.7,0,58.6
0.045211,196.3,54.5,2348.7,139.8,3348.8,233.9,219.4,2280.3,3314.2,0,60.3
0.047211,207.2,48.2,2360.3,131.1,3345.0,244.3,219.4,2283.1,3312.7,0,61.9
0.049211,217.3,40.2,2366.6,133.0,3333.5,257.6,219.5,2286.2,3311.1,0,63.3
0.051211,227.1,34.3,2363.9,131.5,3316.3,267.5,219.5,2289.5,3309.4,0,64.5
0.053211,234.2,30.4,2358.4,120.6,3300.9,263.0,219.6,2292.9,3307.5,0,65.4
0.055211,237.1,27.4,2354.8,104.9,3292.8,244.9,219.6,2296.4,3305.6,0,66
0.057211,237.4,24.6,2353.4,88.3,3291.4,220.6,219.7,2300.1,3303.6,0,66.4
0.059211,236.8,21.9,2353.9,73.3,3295.0,196.0,219.8,2303.9,3301.6,0,66.5
0.061211,236.1,20.4,2357.3,65.3,3303.0,180.4,219.8,2307.9,3299.5,0,66.6
0.063211,235.1,23.4,2367.7,77.1,3310.9,190.6,219.9,2311.9,3297.3,0,66.7
0.065211,233.3,31.7,2383.4,109.7,3308.6,217.0,219.9,2316,3295.1,0,66.9
0.067211,231.9,36.7,2389.0,125.0,3302.6,222.8,220,2320.1,3292.8,0,67.3
0.069211,231.1,36.1,2386.2,118.2,3300.1,211.3,220,2324.3,3290.6,0,67.8
0.071211,229.9,33.6,2383.2,108.9,3300.9,199.6,220.1,2328.4,3288.3,0,68.2
0.073211,228.0,32.7,2382.5,108.9,3300.4,196.5,220.1,2332.6,3286,101.6,68.5
0.075211,226.7,37.0,2383.6,121.4,3291.9,201.8,220.1,2336.8,3283.6,101.7,68.9
0.077211,227.4,42.3,2382.5,128.1,3280.7,202.0,220.2,2341,3281.3,101.7,69.2
0.079211,228.4,41.6,2379.4,118.7,3275.4,194.3,220.2,2345.1,3279,101.8,69.5
0.081211,227.6,36.0,2378.0,105.1,3275.4,189.0,220.2,2349.1,3276.8,101.8,69.9
0.083211,224.6,30.2,2380.4,100.4,3275.7,201.7,220.2,2353.1,3274.5,101.8,70.2
0.085211,221.3,28.3,2385.8,108.7,3269.8,236.9,220.2,2357,3272.3,101.9,70.6
0.087211,220.2,29.6,2388.6,116.3,3261.5,264.0,220.2,2360.8,3270.1,101.9,70.9
0.089211,221.1,29.6,2387.5,111.5,3259.6,263.6,220.2,2364.4,3267.9,102,71.1
0.091211,221.7,27.5,2385.5,100.8,3264.8,252.2,220.2,2368,3265.9,102,71.4
0.093211,220.8,25.7,2384.8,96.7,3272.3,250.8,220.1,2371.4,3263.8,102.1,71.6
0.095211,218.6,26.7,2384.6,103.6,3274.5,262.5,220.1,2374.6,3261.8,102.1,71.8
0.097211,217.4,29.2,2382.4,109.6,3270.4,267.1,220,2377.7,3259.9,102.2,72
0.099211,217.9,29.2,2378.5,104.7,3269.1,257.5,220,2380.6,3258.1,102.2,72.2
0.101211,218.7,26.5,2374.5,96.1,3271.3,246.5,219.9,2383.4,3256.3,102.2,72.3
0.103211,218.2,23.6,2370.8,94.7,3272.5,252.0,219.8,2385.9,3254.6,102.3,72.4
0.105211,216.7,23.4,2368.1,104.2,3266.9,275.4,219.8,2388.3,3253,102.3,72.6
0.107211,216.2,24.7,2367.5,110.2,3258.6,287.0,219.7,2390.5,3251.5,102.4,72.7
0.109211,217.2,24.4,2368.4,103.7,3255.9,278.7,219.6,2392.5,3250,102.4,72.8
0.111211,218.3,22.3,2369.8,94.3,3255.3,268.6,219.5,2394.3,3248.6,102.4,73
0.113211,217.7,20.7,2370.7,94.3,3247.5,282.3,219.3,2395.9,3247.3,102.4,73.1
0.115211,216.0,21.3,2369.8,105.6,3228.5,316.6,219.2,2397.3,3246.1,102.5,73.2
0.117211,215.1,22.8,2368.2,112.7,3213.1,332.0,219.1,2398.5,3245,102.5,73.4
0.119211,215.9,22.7,2368.4,106.0,3215.2,321.6,219,2399.5,3243.9,102.5,73.5
0.121211,217.0,21.0,2370.6,96.2,3227.2,308.3,218.8,2400.3,3242.9,102.5,73.6
0.123211,216.6,20.4,2373.9,96.0,3238.6,308.4,218.7,2400.9,3242,102.5,73.6
0.125211,215.3,22.0,2376.0,108.6,3240.4,316.7,218.5,2401.3,3241.2,102.5,73.7
0.127211,215.0,23.5,2375.1,117.4,3237.6,311.0,218.3,2401.5,3240.4,102.5,73.8
0.129211,216.1,22.8,2373.3,112.0,3239.6,289.1,218.2,2401.6,3239.7,102.4,73.8
0.131211,216.8,21.2,2372.7,102.1,3242.8,267.7,218,2401.5,3239,102.4,73.9
0.133211,216.0,21.5,2373.7,100.3,3238.3,262.8,217.8,2401.3,3238.4,102.4,73.9
0.135211,214.7,24.8,2375.2,104.5,3225.6,266.6,217.6,2400.9,3237.9,102.4,74
0.137211,214.8,27.3,2376.2,100.9,3218.7,256.1,217.4,2400.3,3237.4,102.3,74
0.139211,215.9,26.7,2376.9,90.7,3221.4,237.6,217.3,2399.7,3237,102.3,74.1
0.141211,216.3,24.3,2377.6,83.1,3227.3,228.6,217.1,2398.9,3236.6,102.2,74.1
0.143211,214.9,23.2,2377.1,86.7,3227.4,241.9,216.9,2398,3236.2,102.2,74.1
0.145211,213.3,24.8,2374.6,96.5,3220.0,257.5,216.7,2397,3235.9,102.2,74.2
0.147211,213.7,25.8,2371.9,97.1,3216.6,256.6,216.5,2395.9,3235.6,102.1,74.2
