time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025268,221.1,44.3,2209.4,348.9,3009.2,217.2,228,2236.2,3015.6,0,53.3
0.027268,224.2,37.6,2201.8,407.7,2992.4,240.5,228,2236.2,3015.5,0,53.2
0.029268,227.3,29.9,2182.6,623.1,2941.3,319.9,227.9,2236.3,3015.3,0,52.8
0.031268,232.7,28.4,2119.1,768.2,2862.8,335.8,227.9,2236.4,3015,0,52.4
0.033268,235.1,36.9,2170.8,536.7,2873.1,303.4,227.9,2236.5,3014.6,0,52.3
0.035268,229.6,49.8,2225.6,316.3,2922.6,262.6,227.8,2236.7,3014.2,0,52.9
0.037268,225.2,56.9,2246.3,197.3,2964.9,213.4,227.8,2236.9,3013.7,0,53.7
0.039268,226.2,57.9,2252.1,138.7,2990.0,173.2,227.7,2237.1,3013.1,0,54.6
0.041268,228.5,53.6,2252.8,114.2,3001.3,151.5,227.6,2237.3,3012.5,0,55.3
0.043268,228.6,44.3,2256.1,113.4,3013.1,147.3,227.6,2237.6,3011.8,0,55.9
0.045268,227.2,32.2,2271.3,157.7,3037.9,166.7,227.5,2237.9,3011,0,56.6
0.047268,227.7,29.5,2282.8,255.2,3056.2,214.5,227.4,2238.2,3010.2,0,57.4
0.049268,229.3,38.4,2271.6,297.1,3054.4,246.0,227.3,2238.5,3009.2,0,58.5
0.051268,231.0,41.1,2262.2,283.8,3050.0,247.1,227.2,2238.8,3008.3,0,59.7
0.053268,232.2,37.1,2255.0,259.2,3045.1,241.0,227,2239.2,3007.2,0,60.6
0.055268,232.6,31.2,2249.0,231.9,3039.7,233.6,226.9,2239.6,3006.1,0,61.1
0.057268,232.4,24.9,2243.6,202.1,3033.9,226.6,226.8,2240,3005,0,61.3
0.059268,232.1,19.1,2239.1,173.4,3028.9,223.1,226.6,2240.4,3003.8,0,61
0.061268,232.5,14.0,2234.5,147.4,3025.4,228.1,226.5,2240.8,3002.5,0,60.5
0.063268,233.3,10.7,2227.9,135.4,3030.0,257.6,226.3,2241.3,3001.2,0,59.8
0.065268,230.0,12.2,2220.4,171.9,3079.1,302.8,226.2,2241.7,2999.9,0,59.7
0.067268,215.0,21.9,2235.6,272.7,3097.4,221.0,226,2242.1,2998.5,0,60.5
0.069268,199.1,32.5,2281.8,352.8,3078.0,217.7,225.9,2242.6,2997.1,0,62.1
0.071268,194.5,40.5,2303.3,336.3,3061.2,239.7,225.7,2243.1,2995.6,0,63.9
0.073268,202.0,45.0,2291.3,279.3,3035.8,234.5,225.5,2243.5,2994.1,0,65.5
0.075268,213.7,43.4,2277.7,235.8,3018.6,216.9,225.3,2244,2992.6,0,66.9
0.077268,223.5,37.7,2266.9,203.5,3008.3,202.4,225.1,2244.4,2991,0,67.8
0.079268,229.2,31.2,2259.1,177.6,3001.6,191.9,225,2244.9,2989.5,0,68.4
0.081268,232.5,24.8,2253.3,153.9,2996.2,184.7,224.8,2245.3,2987.9,0,68.7
0.083268,234.4,19.1,2249.5,134.3,2991.6,185.4,224.6,2245.8,2986.2,0,68.7
0.085268,235.4,15.5,2249.0,129.5,2988.4,208.5,224.4,2246.2,2984.6,0,68.8
0.087268,234.3,17.1,2252.1,159.9,2992.4,253.3,224.2,2246.6,2983,0,69
0.089268,232.1,21.0,2252.1,195.3,2994.5,265.4,224,2247,2981.3,0,69.4
0.091268,230.7,21.9,2247.5,194.7,2985.3,243.7,223.8,2247.4,2979.6,0,69.9
0.093268,229.6,20.6,2243.6,176.3,2976.7,216.1,223.6,2247.8,2978,105,70.5
0.095268,227.4,19.2,2242.1,160.2,2971.9,195.1,223.4,2248.2,2976.3,104.9,70.9
0.097268,224.5,20.4,2244.0,160.6,2971.5,188.6,223.1,2248.5,2974.6,104.9,71.4
0.099268,222.8,24.0,2247.6,171.3,2972.1,192.5,222.9,2248.8,2973,104.9,71.7
0.101268,223.2,25.8,2249.2,172.2,2969.1,194.4,222.7,2249.1,2971.3,104.9,72.1
0.103268,224.0,24.0,2249.3,162.7,2963.3,193.1,222.5,2249.4,2969.6,104.9,72.5
0.105268,223.3,20.8,2251.0,153.1,2956.7,195.7,222.3,2249.6,2967.9,104.9,72.8
0.107268,221.4,19.5,2254.8,151.6,2953.4,206.1,222.1,2249.9,2966.3,104.9,73.1
0.109268,220.4,20.2,2255.7,152.2,2954.3,218.8,221.9,2250.1,2964.6,104.9,73.5
0.111268,221.4,20.2,2251.9,144.1,2953.0,219.9,221.7,2250.2,2963,104.9,73.7
0.113268,222.8,18.6,2246.8,130.2,2947.2,208.0,221.5,2250.4,2961.4,104.9,74
0.115268,222.7,16.9,2243.3,123.2,2940.3,195.8,221.3,2250.5,2959.7,104.9,74.2
