time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025721,324.3,50.4,1346.4,256.5,2287.5,253.4,309.8,1390.2,2279.5,95.8,68
0.027721,326.7,49.0,1349.2,245.8,2290.6,247.9,309.8,1390.1,2279.5,96.1,68.5
0.029721,329.0,44.0,1355.1,225.4,2295.0,223.4,309.6,1390,2279.4,96.5,68.9
0.031721,329.8,40.2,1363.6,206.0,2300.4,200.2,309.5,1389.9,2279.4,96.8,69.2
0.033721,326.5,41.6,1374.5,196.6,2305.6,190.9,309.2,1389.8,2279.4,97.2,69.5
0.035721,318.1,49.2,1384.7,194.4,2305.0,190.9,309,1389.6,2279.3,97.5,69.7
0.037721,311.4,53.8,1388.4,183.1,2296.5,176.0,308.6,1389.4,2279.2,97.9,69.8
0.039721,310.5,51.4,1388.0,165.1,2288.4,147.8,308.3,1389.2,2279.1,98.3,70
0.041721,311.8,48.3,1388.2,153.8,2284.7,123.0,307.8,1388.9,2279,98.7,70.2
0.043721,310.8,50.3,1392.0,163.3,2281.3,108.8,307.4,1388.6,2278.9,99,70.3
0.045721,305.3,59.3,1401.3,204.3,2274.3,107.5,306.9,1388.2,2278.8,99.4,70.4
0.047721,300.9,66.2,1410.9,245.6,2267.7,105.8,306.3,1387.9,2278.7,99.8,70.6
0.049721,301.2,65.8,1413.9,254.1,2266.2,96.0,305.8,1387.5,2278.5,100.1,70.7
0.051721,302.8,64.0,1411.2,244.5,2268.2,84.8,305.1,1387.1,2278.3,100.5,70.8
0.053721,301.6,67.0,1404.9,236.9,2269.6,80.6,304.5,1386.6,2278.1,100.8,70.9
0.055721,297.3,75.3,1399.1,233.6,2266.5,87.8,303.8,1386.1,2277.9,101.1,71
0.057721,295.3,79.2,1397.1,225.2,2260.2,97.4,303.1,1385.6,2277.6,101.4,71.2
0.059721,297.0,76.0,1396.0,210.2,2256.1,98.1,302.3,1385.1,2277.3,101.7,71.3
0.061721,298.5,72.1,1394.6,199.2,2256.9,92.6,301.6,1384.5,2277,102,71.4
0.063721,296.3,73.5,1392.8,203.1,2260.0,90.8,300.8,1383.9,2276.7,102.3,71.5
0.065721,291.8,79.1,1392.3,219.4,2261.6,95.4,300,1383.3,2276.3,102.5,71.6
0.067721,290.9,80.3,1393.9,226.5,2261.9,96.9,299.1,1382.7,2275.9,102.7,71.7
0.069721,292.9,77.0,1395.7,220.1,2263.7,90.9,298.3,1382,2275.5,102.9,71.8
0.071721,293.3,74.6,1395.3,211.3,2267.5,83.9,297.4,1381.3,2275,103.1,71.9
0.073721,289.2,75.3,1391.4,204.2,2272.0,81.8,296.6,1380.6,2274.5,103.3,72
0.075721,284.2,76.0,1386.1,194.3,2274.2,85.8,295.7,1379.9,2274,103.5,72.1
0.077721,284.2,71.3,1382.6,177.3,2272.2,86.5,294.8,1379.1,2273.4,103.6,72.1
0.079721,286.8,64.8,1380.2,160.0,2270.0,80.3,294,1378.4,2272.8,103.7,72.2
0.081721,286.9,61.5,1377.6,150.2,2270.6,74.2,293.1,1377.6,2272.1,103.8,72.3
0.083721,283.0,63.3,1374.0,151.6,2272.2,74.2,292.3,1376.8,2271.4,103.9,72.3
0.085721,280.3,65.7,1372.1,157.8,2272.0,78.3,291.4,1376,2270.7,104,72.4
0.087721,282.1,64.1,1372.6,157.3,2270.4,77.6,290.6,1375.1,2269.9,104.1,72.4
0.089721,284.7,59.8,1372.4,150.2,2269.9,71.4,289.7,1374.3,2269.1,104.2,72.5
0.091721,284.0,57.7,1369.9,145.0,2271.4,66.5,288.9,1373.4,2268.2,104.2,72.5
0.093721,280.0,59.7,1366.7,147.8,2272.9,68.1,288.1,1372.6,2267.3,104.3,72.5
0.095721,278.7,61.4,1366.1,152.0,2271.6,72.6,287.4,1371.7,2266.4,104.3,72.6
0.097721,281.5,59.3,1367.6,150.1,2268.7,71.2,286.6,1370.8,2265.5,104.3,72.6
0.099721,283.8,56.6,1368.2,146.4,2267.0,65.3,285.9,1369.9,2264.5,104.3,72.6
0.101721,282.5,57.4,1366.4,150.0,2266.5,62.5,285.2,1369,2263.4,104.3,72.7
0.103721,279.3,62.1,1362.7,164.4,2265.6,67.7,284.5,1368.1,2262.4,104.3,72.7
0.105721,279.8,63.6,1360.5,174.8,2262.7,76.6,283.9,1367.2,2261.3,104.3,72.7
0.107721,283.2,59.7,1359.9,171.8,2259.3,79.5,283.3,1366.3,2260.1,104.3,72.8
0.109721,285.1,55.9,1359.5,164.8,2257.3,77.5,282.7,1365.4,2259,104.3,72.8
0.111721,283.3,56.8,1358.9,164.8,2256.3,79.2,282.2,1364.5,2257.8,104.3,72.8
0.113721,280.8,60.9,1359.7,171.2,2255.1,87.4,281.7,1363.6,2256.6,104.3,72.9
0.115721,282.5,61.1,1361.7,172.1,2253.8,92.3,281.2,1362.7,2255.4,104.3,72.9
0.117721,285.9,57.8,1362.8,166.2,2253.2,88.7,280.8,1361.8,2254.2,104.2,72.9
0.119721,287.5,56.1,1362.5,162.6,2253.7,83.0,280.4,1360.9,2252.9,104.2,72.9
0.121721,285.1,60.1,1361.3,169.7,2254.5,82.6,280.1,1360,2251.7,104.2,72.9
0.123721,282.4,65.9,1361.6,180.5,2254.2,85.5,279.8,1359.2,2250.4,104.2,72.9
0.125721,284.0,65.4,1363.3,180.0,2253.4,83.2,279.5,1358.3,2249.2,104.2,72.9
0.127721,287.2,61.0,1364.5,172.4,2253.3,77.0,279.3,1357.5,2247.9,104.1,72.9
0.129721,288.1,58.6,1363.0,169.7,2252.9,73.8,279.1,1356.6,2246.7,104.1,73
0.131721,285.3,60.7,1357.8,177.8,2249.7,78.3,279,1355.8,2245.5,104.1,73
0.133721,283.4,62.5,1352.7,185.3,2243.6,84.9,278.9,1355,2244.2,104.1,73
0.135721,285.4,60.0,1351.8,182.3,2239.7,84.8,278.8,1354.2,2243,104,73
0.137721,288.1,56.6,1353.9,176.0,2240.2,80.5,278.8,1353.4,2241.8,104,73
0.139721,287.5,56.6,1354.9,178.2,2241.5,80.9,278.8,1352.7,2240.6,104,73
0.141721,283.1,60.9,1353.1,193.7,2239.4,92.8,278.8,1351.9,2239.5,104,73
0.143721,280.8,63.4,1351.1,207.2,2233.1,109.4,278.9,1351.2,2238.4,104,73
0.145721,283.0,60.1,1350.8,202.9,2229.3,111.9,279,1350.5,2237.3,103.9,73
0.147721,285.1,55.9,1350.4,190.9,2230.5,103.7,279.1,1349.8,2236.3,103.9,73
0.149721,283.6,54.6,1346.8,181.6,2233.5,97.6,279.3,1349.2,2235.3,103.9,73
0.151721,279.2,56.4,1341.1,176.3,2235.4,101.7,279.5,1348.5,2234.3,103.9,73
0.153721,278.4,55.9,1338.6,167.4,2234.9,109.0,279.7,1347.9,2233.4,103.8,73
0.155721,281.7,51.6,1338.9,154.1,2233.9,106.5,280,1347.3,2232.5,103.8,73
0.157721,284.2,48.1,1338.9,143.8,2234.9,98.5,280.2,1346.8,2231.7,103.8,73
0.159721,282.6,49.6,1337.0,144.9,2238.5,98.0,280.5,1346.2,2230.9,103.8,73
0.161721,279.5,55.2,1335.2,154.9,2242.9,111.2,280.8,1345.7,2230.2,103.7,73
0.163721,280.5,57.7,1337.1,159.5,2245.2,125.7,281.1,1345.2,2229.6,103.7,73
0.165721,284.4,55.8,1340.7,155.9,2244.6,128.6,281.5,1344.7,2228.9,103.7,73
0.167721,286.6,53.8,1342.4,153.2,2241.4,124.2,281.8,1344.3,2228.4,103.7,73
0.169721,284.6,55.9,1342.6,160.9,2236.7,124.7,282.1,1343.9,2227.9,103.6,73
0.171721,281.6,59.8,1343.8,172.3,2231.7,130.6,282.5,1343.5,2227.5,103.6,73
0.173721,282.9,58.4,1346.3,170.3,2228.4,130.0,282.8,1343.1,2227.1,103.6,73
0.175721,286.3,53.6,1347.8,158.4,2226.2,122.3,283.2,1342.7,2226.8,103.5,73
0.177721,287.2,50.7,1346.6,149.9,2222.9,118.2,283.5,1342.4,2226.6,103.5,73
0.179721,283.9,52.6,1342.4,151.0,2215.9,125.8,283.9,1342.1,2226.4,103.5,73
0.181721,280.6,55.4,1338.7,154.3,2208.5,138.6,284.2,1341.8,2226.3,103.5,73
0.183721,282.3,54.2,1339.6,149.4,2209.9,139.3,284.6,1341.5,2226.2,103.5,73
0.185721,286.0,51.3,1342.3,141.7,2218.8,130.6,284.9,1341.3,2226.2,103.4,73
0.187721,287.3,51.2,1343.0,142.2,2227.2,124.9,285.2,1341,2226.2,103.4,73
0.189721,284.6,55.7,1340.4,158.1,2228.6,126.4,285.5,1340.8,2226.3,103.4,73
0.191721,282.6,59.5,1338.4,177.2,2224.1,124.4,285.8,1340.6,2226.4,103.4,73
0.193721,284.6,57.9,1341.0,181.1,2222.9,114.1,286,1340.5,2226.6,103.4,73
0.195721,287.6,54.2,1345.3,175.9,2226.1,102.8,286.3,1340.3,2226.8,103.4,73
