time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025039,289.3,57.1,816.4,111.2,2275.4,228.5,284.6,817.2,2310.6,93.8,69.1
0.027039,292.8,61.5,807.5,150.1,2315.0,324.0,284.6,817.2,2310.4,94.2,69.6
0.029039,296.8,58.0,801.7,173.5,2347.9,406.9,284.5,817.1,2310.1,94.7,70.1
0.031039,299.1,50.8,800.0,173.6,2353.8,451.4,284.4,817.1,2309.6,95.3,70.5
0.033039,298.3,47.9,801.4,170.6,2341.2,454.9,284.3,817,2309,95.8,70.8
0.035039,292.6,53.1,801.0,187.2,2328.6,459.3,284.1,816.9,2308.3,96.3,71.1
0.037039,286.4,60.2,796.7,223.8,2320.5,479.8,284,816.8,2307.5,96.9,71.3
0.039039,285.3,61.6,794.1,263.1,2320.3,485.8,283.8,816.6,2306.5,97.4,71.6
0.041039,287.8,59.2,800.2,290.3,2329.9,465.4,283.5,816.5,2305.5,98,71.8
0.043039,289.6,58.9,814.9,307.4,2347.4,445.8,283.3,816.3,2304.3,98.6,72
0.045039,287.2,64.7,826.6,327.7,2369.5,458.5,283,816.1,2303,99.1,72.2
0.047039,283.0,71.3,826.0,350.2,2391.4,494.0,282.7,815.9,2301.6,99.7,72.5
0.049039,282.1,71.4,818.4,354.6,2399.9,506.8,282.4,815.6,2300.1,100.2,72.7
0.051039,283.2,66.5,811.3,326.3,2381.0,470.1,282.1,815.3,2298.5,100.8,72.9
0.053039,282.5,61.6,809.2,271.3,2337.9,390.4,281.7,815,2296.9,101.3,73.1
0.055039,277.9,59.1,812.5,208.3,2289.5,302.3,281.3,814.7,2295.1,101.8,73.2
0.057039,273.4,55.6,815.9,157.2,2254.3,240.9,281,814.3,2293.3,102.3,73.4
0.059039,273.1,49.7,816.7,123.0,2234.0,205.6,280.6,814,2291.4,102.7,73.6
0.061039,274.7,46.1,816.8,104.5,2225.5,189.9,280.2,813.5,2289.4,103.1,73.8
0.063039,274.3,49.6,817.7,106.4,2225.5,201.5,279.7,813.1,2287.3,103.6,74
0.065039,271.3,58.7,819.8,127.8,2226.5,237.6,279.3,812.6,2285.3,103.9,74.1
0.067039,270.4,64.2,822.0,153.5,2224.4,267.5,278.9,812.1,2283.1,104.3,74.2
0.069039,272.4,63.9,822.8,161.7,2221.6,270.9,278.5,811.5,2281,104.6,74.4
0.071039,274.1,63.6,823.7,155.2,2221.0,266.4,278,811,2278.8,104.9,74.5
0.073039,272.9,67.2,825.8,151.2,2222.8,275.9,277.6,810.3,2276.5,105.2,74.6
0.075039,270.2,71.3,828.5,159.8,2226.7,293.4,277.1,809.7,2274.3,105.5,74.7
0.077039,270.3,69.8,829.3,173.2,2232.6,288.8,276.7,809,2272,105.7,74.8
0.079039,272.2,65.9,827.3,173.4,2235.2,263.5,276.3,808.3,2269.8,105.9,74.9
0.081039,272.2,63.4,824.3,160.7,2232.2,239.5,275.8,807.5,2267.5,106,75
0.083039,268.9,64.0,822.0,153.2,2223.2,236.4,275.4,806.7,2265.3,106.2,75
