time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025626,280.9,50.1,2179.7,155.3,2488.2,303.5,290.7,2152.7,2450,93.3,69.4
0.027626,290.3,42.8,2175.4,137.4,2483.0,273.3,290.7,2152.7,2449.9,93.6,70.1
0.029626,298.3,36.3,2171.2,122.2,2477.1,249.8,290.8,2152.7,2449.7,93.9,70.4
0.031626,304.5,31.7,2166.1,114.2,2470.1,239.7,290.8,2152.6,2449.5,94.2,70.6
0.033626,307.2,31.0,2158.7,123.3,2458.4,256.6,290.9,2152.6,2449.2,94.5,70.7
0.035626,306.0,32.8,2150.8,146.2,2441.6,285.3,290.9,2152.6,2448.8,94.9,70.8
0.037626,304.9,32.3,2146.5,156.0,2428.6,287.3,291,2152.5,2448.4,95.2,71
0.039626,305.4,30.0,2145.8,147.7,2425.0,271.1,291.1,2152.4,2447.9,95.5,71.2
0.041626,305.1,29.5,2146.8,136.7,2427.4,255.8,291.2,2152.4,2447.3,95.9,71.4
0.043626,301.4,33.7,2147.9,135.2,2430.3,250.9,291.2,2152.3,2446.7,96.2,71.5
0.045626,293.9,43.4,2147.5,141.1,2430.7,255.1,291.3,2152.2,2446,96.6,71.6
0.047626,289.7,49.5,2147.7,133.4,2433.2,255.3,291.4,2152.1,2445.2,96.9,71.7
0.049626,290.6,48.2,2148.8,116.8,2435.8,251.0,291.5,2152,2444.4,97.2,71.8
0.051626,291.8,45.4,2150.5,101.5,2437.7,251.0,291.6,2151.8,2443.5,97.6,71.9
0.053626,289.9,47.2,2153.6,96.0,2440.4,269.8,291.7,2151.7,2442.6,97.9,72
0.055626,285.8,54.5,2158.4,103.9,2445.0,303.1,291.8,2151.5,2441.6,98.2,72.1
0.057626,285.5,57.8,2161.5,113.5,2447.8,313.4,291.9,2151.4,2440.5,98.5,72.2
0.059626,288.3,54.5,2161.0,113.1,2447.0,299.6,292,2151.2,2439.4,98.7,72.3
0.061626,289.8,50.6,2158.2,106.9,2444.2,281.0,292.1,2151,2438.3,99,72.4
0.063626,287.1,51.9,2154.6,106.6,2441.2,269.9,292.1,2150.7,2437,99.2,72.5
0.065626,282.7,57.8,2150.2,116.4,2439.7,264.2,292.2,2150.5,2435.8,99.4,72.6
0.067626,282.8,59.9,2146.5,124.2,2438.5,255.1,292.2,2150.2,2434.4,99.6,72.7
0.069626,286.6,55.6,2145.4,120.2,2436.3,245.5,292.2,2150,2433.1,99.8,72.8
0.071626,289.0,50.9,2145.6,113.0,2431.8,241.5,292.2,2149.7,2431.7,99.9,72.8
0.073626,286.9,50.5,2144.8,115.9,2424.8,249.6,292.2,2149.4,2430.2,100.1,72.9
0.075626,282.2,54.1,2140.7,136.1,2416.7,263.3,292.1,2149,2428.7,100.2,72.9
0.077626,282.0,54.6,2135.4,154.6,2413.5,261.4,292.1,2148.7,2427.2,100.3,73
0.079626,285.6,50.8,2135.6,151.6,2413.3,253.3,292,2148.3,2425.7,100.4,73
0.081626,288.0,47.9,2140.0,140.0,2412.3,252.9,291.9,2147.9,2424.1,100.5,73
0.083626,286.1,50.6,2145.4,137.1,2408.9,273.6,291.8,2147.5,2422.5,100.6,73
0.085626,282.3,58.3,2147.9,149.1,2403.4,315.3,291.6,2147.1,2420.9,100.6,73.1
0.087626,283.0,60.7,2145.6,156.9,2402.3,341.5,291.4,2146.7,2419.3,100.7,73.1
0.089626,286.7,56.5,2142.6,149.1,2404.1,338.4,291.2,2146.2,2417.7,100.7,73.2
0.091626,288.7,52.1,2140.2,133.4,2404.5,317.1,291,2145.8,2416.1,100.8,73.2
0.093626,286.1,53.5,2136.4,121.1,2404.5,290.7,290.7,2145.3,2414.5,100.8,73.3
0.095626,282.0,59.6,2131.6,114.5,2406.6,271.5,290.4,2144.8,2412.9,100.8,73.3
0.097626,282.5,61.5,2128.4,107.0,2409.8,256.9,290.1,2144.3,2411.4,100.8,73.4
0.099626,286.5,57.5,2127.5,97.4,2411.1,245.4,289.8,2143.8,2409.9,100.8,73.4
0.101626,288.6,54.4,2128.5,88.4,2414.7,240.9,289.4,2143.2,2408.4,100.8,73.4
0.103626,286.1,57.1,2130.0,86.0,2423.5,250.6,289.1,2142.7,2407,100.8,73.4
0.105626,281.7,63.8,2130.6,93.3,2433.3,267.2,288.7,2142.2,2405.6,100.8,73.4
0.107626,282.4,64.3,2130.1,102.5,2433.6,269.1,288.2,2141.6,2404.2,100.8,73.4
0.109626,286.4,59.0,2129.5,105.1,2427.1,260.4,287.8,2141.1,2403,100.8,73.4
0.111626,288.6,54.8,2129.8,105.8,2420.6,260.6,287.4,2140.5,2401.8,100.8,73.4
0.113626,286.1,56.3,2132.1,114.6,2414.5,290.4,286.9,2140,2400.7,100.8,73.4
0.115626,282.1,61.8,2137.7,128.7,2408.9,338.9,286.4,2139.5,2399.7,100.7,73.3
0.117626,283.1,62.2,2142.7,131.4,2405.9,353.3,285.9,2138.9,2398.7,100.7,73.3
0.119626,287.1,58.1,2144.4,124.9,2405.6,335.9,285.4,2138.4,2397.9,100.7,73.3
0.121626,289.5,54.9,2145.2,119.9,2405.1,314.2,284.9,2137.9,2397.2,100.7,73.3
0.123626,287.1,57.0,2146.4,125.5,2400.4,303.7,284.4,2137.4,2396.6,100.7,73.3
0.125626,282.8,61.6,2146.4,135.3,2392.2,295.5,283.9,2136.9,2396.1,100.7,73.3
0.127626,283.3,60.6,2144.3,133.1,2387.5,279.3,283.4,2136.4,2395.7,100.6,73.3
0.129626,287.1,55.2,2141.7,122.9,2385.8,259.4,282.9,2135.9,2395.5,100.6,73.3
0.131626,289.6,51.8,2140.7,116.5,2385.8,249.4,282.4,2135.5,2395.4,100.6,73.3
0.133626,287.6,55.0,2142.0,122.3,2389.4,259.9,282,2135.1,2395.4,100.6,73.3
0.135626,284.2,61.1,2143.0,135.2,2397.0,274.0,281.5,2134.7,2395.6,100.6,73.3
0.137626,284.9,61.2,2141.0,137.3,2403.5,268.5,281,2134.3,2395.9,100.6,73.3
0.139626,288.3,55.5,2137.8,128.2,2404.5,255.6,280.6,2134,2396.3,100.6,73.3
0.141626,289.9,50.9,2135.5,121.9,2401.1,254.9,280.2,2133.6,2396.9,100.6,73.3
0.143626,287.0,51.5,2134.7,127.1,2396.7,284.4,279.8,2133.4,2397.6,100.6,73.2
0.145626,283.0,56.0,2134.9,138.8,2398.3,331.7,279.4,2133.1,2398.5,100.6,73.2
0.147626,283.9,55.7,2134.0,140.2,2403.6,342.8,279,2132.9,2399.6,100.6,73.2
0.149626,287.3,51.3,2134.1,131.0,2405.1,329.4,278.7,2132.7,2400.7,100.6,73.2
0.151626,288.6,48.1,2136.1,122.5,2400.8,322.3,278.4,2132.5,2402.1,100.7,73.2
0.153626,284.9,50.3,2138.8,125.8,2389.1,333.5,278.1,2132.4,2403.5,100.7,73.2
0.155626,280.2,55.6,2138.6,135.1,2379.3,338.5,277.9,2132.3,2405.1,100.7,73.2
0.157626,281.0,56.2,2135.6,130.5,2383.9,322.1,277.7,2132.2,2406.8,100.7,73.2
0.159626,284.8,52.9,2133.6,115.9,2392.8,302.8,277.5,2132.2,2408.7,100.8,73.2
0.161626,286.3,50.4,2133.7,106.1,2396.7,302.0,277.3,2132.2,2410.6,100.8,73.2
0.163626,282.4,53.3,2135.3,108.4,2399.5,328.4,277.2,2132.3,2412.7,100.8,73.2
0.165626,277.8,58.9,2136.2,118.0,2408.8,345.2,277.1,2132.3,2414.9,100.8,73.2
0.167626,278.5,59.4,2135.9,120.5,2418.9,325.8,277.1,2132.5,2417.2,100.9,73.2
0.169626,281.8,54.2,2136.5,114.5,2419.5,308.4,277.1,2132.6,2419.6,100.9,73.2
0.171626,282.2,49.1,2139.1,112.1,2411.6,321.4,277.1,2132.7,2422,101,73.2
0.173626,277.9,49.4,2144.8,116.7,2406.2,373.1,277.1,2132.9,2424.5,101,73.2
