time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025048,281.4,36.0,1951.2,100.5,2187.8,87.4,281.6,1954.4,2166.8,91.2,69.2
0.027048,282.2,38.1,1954.4,127.4,2185.4,113.9,281.5,1954.3,2166.9,91.4,69.7
0.029048,281.6,39.9,1961.2,161.7,2181.6,167.5,281.3,1954.2,2167.1,91.7,70.1
0.031048,281.2,36.3,1963.1,170.8,2178.5,202.5,281.1,1954.1,2167.4,91.9,70.5
0.033048,281.3,30.1,1956.2,168.7,2176.6,196.4,280.7,1953.9,2167.7,92.2,70.8
0.035048,281.4,25.3,1946.4,161.9,2181.1,175.9,280.4,1953.7,2168.2,92.5,71
0.037048,280.6,25.3,1941.3,163.1,2192.3,169.0,279.9,1953.4,2168.7,92.8,71.2
0.039048,277.8,30.2,1942.3,189.6,2196.4,181.0,279.4,1953.1,2169.2,93.1,71.4
0.041048,275.7,33.5,1950.3,211.2,2190.1,189.2,278.8,1952.8,2169.8,93.4,71.6
0.043048,275.5,32.4,1956.9,203.4,2186.4,178.4,278.2,1952.4,2170.5,93.7,71.9
0.045048,275.5,29.4,1957.0,187.1,2187.2,155.9,277.5,1952,2171.3,94,72.1
0.047048,274.0,28.3,1956.7,177.0,2189.8,137.1,276.7,1951.6,2172,94.4,72.3
0.049048,270.3,31.7,1960.4,176.0,2189.1,131.6,276,1951.1,2172.9,94.7,72.4
0.051048,267.6,35.1,1964.2,170.5,2182.7,132.2,275.1,1950.6,2173.7,95,72.6
0.053048,268.4,34.0,1964.5,152.5,2177.2,126.3,274.2,1950,2174.6,95.3,72.8
0.055048,269.9,30.9,1962.4,131.4,2175.5,114.8,273.3,1949.4,2175.5,95.6,73
0.057048,269.4,29.1,1958.8,115.8,2175.8,107.0,272.4,1948.8,2176.5,95.9,73.2
0.059048,265.6,31.1,1953.1,109.3,2176.7,110.2,271.4,1948.2,2177.4,96.2,73.3
0.061048,262.2,34.8,1947.5,105.7,2177.5,119.2,270.4,1947.5,2178.3,96.5,73.5
0.063048,263.1,35.1,1944.7,98.1,2179.0,117.4,269.4,1946.8,2179.3,96.8,73.6
0.065048,265.4,33.0,1943.7,88.6,2181.9,105.3,268.3,1946.1,2180.2,97,73.8
0.067048,265.9,31.9,1943.2,83.6,2186.2,95.1,267.3,1945.4,2181.1,97.3,73.9
0.069048,263.3,34.3,1942.2,90.0,2189.7,97.4,266.2,1944.6,2182,97.5,74
0.071048,260.5,37.9,1941.2,104.0,2187.3,110.2,265.1,1943.8,2182.8,97.8,74.1
0.073048,261.4,37.4,1941.3,108.4,2180.3,115.2,264.1,1943,2183.6,98,74.2
0.075048,263.7,34.2,1941.1,102.3,2176.1,108.2,263,1942.2,2184.4,98.2,74.3
0.077048,263.9,32.1,1940.2,96.9,2175.4,100.7,262,1941.4,2185.1,98.4,74.4
0.079048,260.8,34.1,1938.1,103.1,2175.4,103.7,261,1940.5,2185.7,98.6,74.4
0.081048,257.8,38.3,1936.4,119.6,2172.8,115.9,259.9,1939.7,2186.3,98.7,74.5
0.083048,259.1,38.6,1936.9,124.9,2169.3,119.5,259,1938.8,2186.8,98.9,74.6
0.085048,262.0,35.5,1937.3,115.3,2168.8,112.0,258,1937.9,2187.2,99,74.6
0.087048,262.6,33.6,1935.3,104.3,2169.8,104.0,257.1,1937,2187.5,99.2,74.7
0.089048,259.1,36.9,1929.9,100.9,2170.1,103.1,256.2,1936.1,2187.8,99.3,74.7
0.091048,254.8,44.1,1925.1,101.4,2169.0,106.1,255.4,1935.2,2187.9,99.4,74.8
0.093048,255.2,46.5,1925.0,96.3,2167.6,102.2,254.5,1934.3,2188,99.5,74.8
0.095048,258.2,43.1,1926.9,86.1,2167.5,93.1,253.8,1933.4,2188,99.6,74.9
0.097048,259.2,38.8,1927.3,79.1,2167.6,87.1,253.1,1932.5,2187.8,99.7,74.9
0.099048,256.2,37.3,1924.3,84.2,2166.5,91.7,252.4,1931.6,2187.6,99.8,75
0.101048,252.8,38.3,1918.8,103.3,2163.6,104.1,251.8,1930.7,2187.2,99.9,75
0.103048,254.2,37.3,1916.5,118.2,2161.5,108.3,251.2,1929.8,2186.8,99.9,75.1
0.105048,257.8,34.0,1919.3,116.2,2162.7,104.2,250.7,1929,2186.2,100,75.1
