time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025465,558.2,174.3,1009.6,124.3,2957.2,767.5,530.6,997.8,2855.5,0,63.6
0.027465,565.5,149.7,1011.8,104.5,2926.0,588.5,530.6,997.7,2855.5,0,64.1
0.029465,570.2,128.7,1013.2,86.3,2904.7,480.9,530.6,997.7,2855.6,0,64.2
0.031465,572.9,110.4,1013.8,68.6,2888.3,398.0,530.5,997.5,2855.8,0,63.9
0.033465,570.7,99.9,1012.7,54.4,2875.6,346.5,530.5,997.4,2855.9,0,63.3
0.035465,555.3,107.7,1008.6,47.2,2872.9,345.1,530.4,997.2,2856.1,0,62.8
0.037465,517.0,151.5,1002.1,51.3,2905.6,392.8,530.4,997,2856.2,0,62.6
0.039465,483.4,205.9,996.5,69.5,2956.1,467.3,530.3,996.8,2856.4,0,63
0.041465,479.6,213.1,988.7,99.7,2797.1,1102.0,530.2,996.5,2856.6,0,63.8
0.043465,492.0,179.0,979.7,117.6,2568.0,923.7,530,996.2,2856.8,0,64.6
0.045465,506.3,144.5,977.1,114.9,2522.4,781.5,529.9,995.9,2857,0,65.3
0.047465,521.0,115.5,981.2,101.7,2544.9,697.2,529.8,995.5,2857.1,0,65.8
0.049465,533.2,94.4,987.9,87.7,2595.1,652.5,529.6,995.1,2857.2,0,66
0.051465,541.4,82.5,995.3,80.5,2682.1,657.6,529.4,994.7,2857.3,99.3,66.1
0.053465,542.1,85.6,1001.3,93.2,2862.5,606.7,529.2,994.2,2857.3,99.6,66.1
0.055465,541.4,94.6,1005.8,125.0,2905.9,429.5,529,993.7,2857.2,99.8,66.1
0.057465,543.5,95.9,1006.4,152.6,2920.6,394.3,528.8,993.2,2857.1,100,66.1
0.059465,544.9,92.6,1002.4,156.2,2937.0,374.8,528.5,992.6,2856.8,100.3,66.2
0.061465,542.9,97.1,996.8,150.2,2966.4,348.3,528.2,992,2856.4,100.5,66.2
0.063465,535.5,120.8,993.2,149.3,3020.0,302.1,528,991.4,2856,100.7,66.2
0.065465,527.8,149.4,992.4,145.6,3065.0,242.3,527.6,990.8,2855.3,101,66.2
0.067465,524.7,158.6,992.2,132.4,3084.6,207.9,527.3,990.1,2854.6,101.2,66.2
0.069465,523.2,154.2,991.4,120.6,3083.6,219.2,527,989.4,2853.7,101.4,66.3
0.071465,518.3,155.5,990.1,124.1,3063.2,293.7,526.6,988.7,2852.6,101.6,66.4
0.073465,513.1,158.2,987.8,146.9,3017.8,1261.5,526.2,987.9,2851.3,101.8,66.5
0.075465,515.6,146.9,982.9,167.8,2817.9,977.9,525.8,987.1,2849.8,102,66.6
0.077465,522.6,126.3,975.6,166.5,2709.3,817.9,525.4,986.3,2848.2,102.2,66.7
0.079465,527.3,112.3,967.5,154.7,2681.7,713.0,524.9,985.5,2846.3,102.4,66.8
0.081465,524.6,113.7,959.0,153.0,2683.7,724.0,524.4,984.6,2844.3,102.5,66.9
0.083465,517.9,127.3,953.8,166.1,2712.2,899.3,524,983.7,2842,102.6,67
0.085465,518.5,135.9,956.2,178.0,2857.1,1245.2,523.5,982.8,2839.4,102.8,67
0.087465,524.2,133.9,960.4,175.7,2884.6,411.3,522.9,981.9,2836.7,102.9,67.1
0.089465,524.4,130.0,960.9,162.5,2866.3,377.3,522.4,981,2833.7,103,67.1
0.091465,514.3,137.7,962.1,153.5,2873.9,380.4,521.9,980,2830.5,103.1,67.2
0.093465,499.7,152.0,969.9,146.8,2880.3,362.9,521.3,979,2827.1,103.2,67.2
0.095465,495.5,154.3,976.3,135.2,2859.4,319.4,520.7,978,2823.4,103.2,67.2
0.097465,499.5,148.0,977.1,121.2,2824.6,270.9,520.1,977,2819.5,103.3,67.1
0.099465,501.4,148.5,975.4,113.9,2795.5,233.4,519.5,976,2815.4,103.3,67.1
0.101465,496.5,166.5,977.2,120.6,2782.1,217.4,519,974.9,2811,103.3,67.1
0.103465,492.9,187.9,984.0,134.5,2783.8,221.4,518.4,973.9,2806.5,103.4,67.1
0.105465,497.8,189.1,987.3,136.9,2787.8,227.2,517.8,972.8,2801.7,103.4,67.2
0.107465,504.5,180.5,983.7,130.1,2785.1,228.2,517.2,971.7,2796.8,103.4,67.2
0.109465,504.6,181.5,977.5,129.0,2779.5,237.9,516.6,970.7,2791.7,103.4,67.3
0.111465,497.2,190.5,973.4,139.4,2786.4,283.1,516,969.6,2786.4,103.4,67.4
0.113465,493.8,183.4,972.8,147.7,2825.0,368.9,515.4,968.5,2781,103.4,67.5
0.115465,503.2,168.4,975.0,146.6,2854.1,414.8,514.9,967.4,2775.4,103.3,67.6
0.117465,515.5,162.4,976.4,145.0,2840.1,400.9,514.3,966.3,2769.7,103.3,67.7
0.119465,521.7,170.3,976.3,149.8,2825.6,362.8,513.8,965.2,2763.9,103.3,67.9
0.121465,518.0,178.7,975.5,156.3,2824.7,351.3,513.3,964.1,2758.1,103.2,68
0.123465,514.2,165.9,976.0,153.6,2831.9,374.9,512.9,963,2752.1,103.2,68.1
0.125465,518.2,141.3,976.3,136.9,2842.2,472.7,512.4,962,2746.2,103.1,68.3
0.127465,524.7,125.9,975.0,115.4,2759.7,620.1,512,960.9,2740.2,103.1,68.4
0.129465,526.7,127.3,971.3,101.0,2679.6,611.7,511.7,959.8,2734.2,103,68.5
0.131465,521.6,136.0,965.5,98.6,2631.5,611.3,511.3,958.8,2728.2,102.9,68.6
0.133465,517.4,132.6,958.8,102.4,2592.4,620.2,511.1,957.8,2722.3,102.9,68.7
0.135465,519.8,118.2,953.3,104.0,2572.5,635.0,510.8,956.7,2716.5,102.8,68.7
0.137465,523.1,109.0,950.5,97.9,2580.1,693.8,510.6,955.7,2710.8,102.7,68.7
0.139465,521.3,118.4,949.4,93.0,2623.2,922.2,510.5,954.8,2705.2,102.7,68.6
0.141465,515.2,147.5,949.8,101.5,2685.2,1467.3,510.4,953.8,2699.7,102.6,68.5
0.143465,513.6,168.7,951.5,118.4,2726.6,2108.1,510.4,952.8,2694.4,102.5,68.5
0.145465,516.7,158.8,951.8,123.2,2790.6,2150.9,510.4,951.9,2689.3,102.5,68.5
0.147465,517.6,143.2,948.9,109.8,2819.1,1597.3,510.5,951,2684.5,102.4,68.5
0.149465,512.4,143.5,943.8,94.4,2736.8,961.5,510.7,950.1,2679.8,102.3,68.5
0.151465,504.3,150.3,939.3,87.3,2646.8,652.4,510.9,949.3,2675.5,102.3,68.6
0.153465,502.4,142.1,936.7,83.2,2609.2,485.0,511.2,948.4,2671.4,102.2,68.6
0.155465,508.1,121.0,936.6,76.2,2603.2,373.2,511.6,947.6,2667.6,102.1,68.7
0.157465,513.6,104.1,937.0,67.3,2604.4,298.5,512,946.9,2664.2,102.1,68.7
0.159465,513.5,100.6,936.5,63.3,2600.4,263.2,512.5,946.1,2661.1,102,68.8
0.161465,510.6,106.3,936.0,68.0,2594.8,264.5,513.1,945.4,2658.4,102,68.8
0.163465,513.3,103.8,937.4,72.8,2596.1,261.7,513.7,944.7,2656,101.9,68.9
0.165465,521.5,92.3,941.1,71.1,2606.2,236.4,514.5,944,2654,101.8,68.9
0.167465,528.5,84.7,944.3,66.0,2616.8,210.9,515.3,943.4,2652.5,101.8,68.9
0.169465,529.6,90.1,945.3,67.0,2621.0,210.8,516.1,942.8,2651.3,101.8,68.9
0.171465,526.5,105.2,945.2,79.1,2621.2,240.8,517.1,942.2,2650.5,101.7,68.9
0.173465,528.0,112.9,946.2,95.6,2626.4,267.2,518.1,941.6,2650.2,101.7,68.9
0.175465,535.3,108.8,948.8,105.2,2635.8,260.6,519.1,941.1,2650.3,101.7,68.9
0.177465,541.7,105.1,950.6,102.7,2641.9,236.8,520.2,940.6,2650.9,101.6,68.9
0.179465,542.1,112.9,949.7,100.4,2648.5,227.4,521.4,940.1,2651.9,101.6,68.9
0.181465,538.0,126.0,947.9,106.3,2659.7,237.9,522.7,939.7,2653.3,101.6,69
0.183465,537.8,128.9,947.7,115.0,2671.9,256.7,524,939.3,2655.1,101.5,69
0.185465,543.3,123.6,948.6,118.0,2678.8,283.5,525.3,938.9,2657.4,101.5,69.1
0.187465,548.7,125.1,948.0,113.1,2679.5,310.3,526.7,938.5,2660.1,101.5,69.1
0.189465,547.1,139.3,943.8,105.6,2682.5,348.1,528.2,938.1,2663.2,101.5,69.1
0.191465,538.8,151.1,939.1,98.4,2692.3,407.8,529.7,937.8,2666.7,101.4,69.1
0.193465,534.3,146.3,937.4,93.0,2715.0,472.8,531.2,937.5,2670.5,101.4,69.1
0.195465,537.0,133.2,938.1,89.1,2757.8,485.5,532.7,937.2,2674.8,101.4,69.1
0.197465,540.5,127.4,938.2,88.2,2775.3,404.1,534.3,936.9,2679.4,101.4,69
0.199465,538.4,134.6,935.4,94.0,2758.9,323.6,535.9,936.6,2684.3,101.4,69
0.201465,533.0,140.2,931.6,103.9,2735.2,275.4,537.5,936.4,2689.5,101.3,69
0.203465,532.3,129.5,930.6,109.8,2713.3,246.1,539.1,936.1,2695,101.3,68.9
0.205465,536.5,111.2,932.8,107.6,2694.0,230.1,540.7,935.9,2700.8,101.3,68.9
0.207465,539.8,103.9,935.3,103.7,2682.3,225.7,542.3,935.7,2706.9,101.3,68.9
0.209465,537.2,111.1,935.3,105.4,2678.9,236.4,543.9,935.5,2713.1,101.2,68.8
0.211465,531.2,117.8,934.2,110.9,2682.7,256.2,545.4,935.3,2719.6,101.2,68.8
0.213465,530.3,111.5,934.4,115.2,2694.2,256.3,547,935.1,2726.1,101.2,68.7
0.215465,535.4,98.6,936.0,116.2,2704.9,216.4,548.5,934.9,2732.9,101.2,68.7
0.217465,540.1,94.0,936.8,119.0,2708.6,178.7,550,934.6,2739.7,101.1,68.7
0.219465,540.8,105.5,936.1,136.4,2716.5,178.9,551.4,934.4,2746.6,101.1,68.7
0.221465,542.4,123.5,937.9,171.4,2737.3,217.1,552.8,934.2,2753.5,101.1,68.7
0.223465,548.0,127.1,943.0,196.3,2774.2,266.9,554.1,934,2760.5,101.1,68.8
0.225465,554.7,122.4,946.3,190.8,2809.6,285.0,555.4,933.8,2767.4,101,68.9
0.227465,559.1,129.8,943.0,170.5,2825.9,277.8,556.6,933.6,2774.3,101,69
0.229465,557.0,150.7,935.6,153.5,2839.9,277.6,557.7,933.4,2781.1,101,69.1
