time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025227,611.2,290.9,733.6,280.5,2689.6,77.9,560.2,700.5,2681.5,0,65.7
0.027227,591.6,262.3,756.3,239.8,2685.4,68.4,559.9,700.9,2681.6,0,65.4
0.029227,572.5,241.3,771.7,194.4,2679.3,60.5,559.5,701.6,2681.7,0,64.8
0.031227,546.1,242.8,776.9,154.0,2672.3,57.4,558.9,702.6,2681.9,0,64.2
0.033227,494.0,278.2,773.7,126.3,2665.2,66.1,558.1,703.8,2682.2,0,63.9
0.035227,451.7,331.6,762.8,138.2,2667.6,96.3,557.2,705.3,2682.6,0,64.3
0.037227,469.1,385.4,738.2,175.7,2681.9,113.8,556.1,707,2683,0,65.2
0.039227,507.4,395.9,719.6,197.2,2690.3,105.9,554.8,708.9,2683.4,0,66.2
0.041227,536.2,369.1,713.1,208.5,2692.6,94.3,553.5,711,2683.9,0,67.1
0.043227,551.8,323.0,717.8,212.5,2691.3,82.5,551.9,713.4,2684.4,96.5,67.7
0.045227,556.5,279.5,728.9,205.8,2687.4,72.0,550.3,715.9,2685,96.7,68.1
0.047227,556.8,244.5,739.7,192.9,2682.4,63.3,548.5,718.5,2685.6,96.9,68.3
0.049227,556.2,226.1,742.4,193.2,2681.6,61.0,546.6,721.3,2686.2,97.1,68.5
0.051227,558.7,215.2,737.1,220.1,2689.8,66.3,544.6,724.1,2686.8,97.3,68.6
0.053227,559.3,198.1,736.6,242.4,2699.2,70.8,542.6,727.1,2687.4,97.6,68.7
0.055227,553.4,182.8,744.1,232.8,2701.4,70.8,540.4,730.1,2688.1,97.8,68.7
0.057227,546.1,183.0,749.8,211.5,2695.4,69.4,538.2,733.1,2688.7,98.1,68.7
0.059227,539.6,207.9,748.4,200.0,2684.4,70.7,535.9,736.1,2689.3,98.3,68.7
0.061227,537.1,245.2,741.8,201.6,2674.9,73.9,533.6,739.1,2689.9,98.5,68.7
0.063227,539.6,252.1,738.8,206.1,2672.2,73.3,531.3,742,2690.5,98.8,68.7
0.065227,539.6,233.7,742.3,203.0,2672.7,69.4,528.9,744.9,2691.1,99,68.6
0.067227,535.3,221.5,745.3,196.8,2674.0,66.8,526.6,747.7,2691.6,99.2,68.6
0.069227,529.5,232.7,741.3,204.7,2677.4,71.0,524.2,750.3,2692,99.4,68.5
0.071227,529.5,252.6,731.4,230.9,2683.3,80.8,521.9,752.7,2692.5,99.7,68.4
0.073227,531.5,249.0,727.4,246.8,2688.0,85.5,519.6,755,2692.8,99.8,68.3
