time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025270,625.1,287.8,1309.4,183.3,2537.8,498.9,605.1,1298.3,2531.3,0,58.3
0.027270,633.2,263.8,1313.6,158.0,2542.3,440.5,605.3,1298.4,2531.3,0,58.8
0.029270,638.7,240.3,1315.8,135.5,2550.2,392.2,605.7,1298.5,2531.4,0,59
0.031270,637.7,223.0,1315.9,116.2,2558.8,354.7,606.1,1298.6,2531.6,0,58.9
0.033270,616.0,226.2,1311.9,105.2,2568.1,344.0,606.7,1298.7,2531.7,0,58.8
0.035270,550.9,264.2,1299.9,113.2,2574.5,404.5,607.4,1298.8,2532,0,58.9
0.037270,492.2,318.5,1278.2,164.6,2551.9,612.4,608.3,1299,2532.2,0,59.6
0.039270,509.9,366.7,1257.0,241.1,2465.2,769.0,609.2,1299.2,2532.5,0,60.8
0.041270,563.0,332.4,1263.3,237.2,2454.3,636.9,610.3,1299.4,2532.9,0,62.1
0.043270,601.3,277.0,1277.0,202.1,2467.6,525.8,611.4,1299.6,2533.3,0,63.3
0.045270,622.3,238.0,1286.7,171.7,2484.2,463.8,612.6,1299.9,2533.7,0,64.2
0.047270,635.0,210.7,1293.8,146.7,2503.2,419.3,614,1300.1,2534.2,95.9,64.8
0.049270,643.8,190.6,1299.7,125.6,2523.0,381.3,615.4,1300.4,2534.7,96.3,65.2
0.051270,650.1,179.5,1304.6,110.6,2538.6,356.9,616.8,1300.7,2535.3,96.6,65.3
0.053270,655.2,185.3,1308.8,109.0,2540.1,376.6,618.3,1300.9,2535.9,96.9,65.5
0.055270,662.5,201.9,1312.6,119.0,2534.5,435.2,619.9,1301.2,2536.5,97.3,65.6
0.057270,670.8,206.4,1317.0,120.4,2544.2,440.2,621.5,1301.5,2537.2,97.6,65.8
0.059270,674.4,197.2,1319.8,110.4,2556.6,409.4,623.1,1301.7,2538,98,66
0.061270,670.5,185.8,1319.9,100.1,2567.2,390.6,624.7,1302,2538.8,98.4,66.2
0.063270,658.1,182.1,1316.6,101.7,2573.5,406.0,626.3,1302.2,2539.6,98.7,66.3
0.065270,646.6,186.0,1308.1,124.5,2567.0,459.2,627.9,1302.4,2540.5,99.1,66.3
0.067270,646.1,185.2,1298.3,150.6,2551.9,492.7,629.5,1302.6,2541.4,99.4,66.3
0.069270,649.8,175.8,1294.7,154.2,2547.6,480.6,631.1,1302.8,2542.3,99.7,66.3
0.071270,650.3,169.6,1296.4,146.9,2549.4,460.6,632.6,1302.9,2543.4,100,66.3
0.073270,644.7,181.5,1300.5,148.7,2542.0,464.8,634,1303,2544.4,100.3,66.3
0.075270,639.1,204.8,1304.4,157.6,2524.5,480.9,635.4,1303.1,2545.5,100.6,66.4
0.077270,640.6,210.8,1306.7,154.4,2518.3,473.3,636.7,1303.1,2546.7,100.9,66.4
0.079270,644.0,200.7,1307.5,140.4,2525.4,450.5,637.9,1303.1,2547.9,101.2,66.5
0.081270,641.4,190.8,1305.6,127.1,2533.6,439.4,639,1303.1,2549.1,101.4,66.6
0.083270,631.1,193.1,1300.1,123.9,2534.2,468.3,640,1303,2550.4,101.6,66.7
0.085270,624.7,201.5,1295.2,128.4,2527.6,524.4,640.9,1302.8,2551.7,101.8,66.8
0.087270,628.8,199.1,1295.9,126.4,2530.7,547.9,641.7,1302.6,2553,102,66.9
0.089270,635.1,190.0,1299.8,118.4,2548.4,536.9,642.3,1302.4,2554.5,102.1,66.9
0.091270,635.7,188.6,1302.6,115.1,2568.9,527.5,642.8,1302,2555.9,102.3,66.9
0.093270,628.8,207.9,1301.3,128.7,2580.8,543.7,643.2,1301.7,2557.4,102.4,66.9
0.095270,625.4,233.9,1296.9,152.7,2580.7,553.3,643.4,1301.3,2558.9,102.5,66.9
0.097270,629.9,236.9,1294.8,158.8,2581.1,526.4,643.5,1300.8,2560.5,102.6,66.9
0.099270,633.6,224.9,1295.4,147.6,2589.0,485.8,643.4,1300.3,2562.1,102.7,66.8
0.101270,628.3,218.9,1294.9,135.9,2597.9,458.5,643.2,1299.7,2563.7,102.8,66.8
0.103270,612.6,229.0,1292.4,133.5,2598.2,464.5,642.8,1299.1,2565.4,102.8,66.7
0.105270,602.8,238.0,1291.2,134.1,2589.3,486.6,642.2,1298.4,2567.1,102.9,66.7
0.107270,605.6,229.6,1293.0,127.2,2583.6,487.9,641.5,1297.7,2568.8,102.9,66.7
0.109270,610.2,214.8,1295.1,117.4,2586.9,470.2,640.7,1296.9,2570.5,102.9,66.8
