time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025075,357.3,467.4,1210.7,350.3,1969.8,1122.3,496.4,1206.6,2015,0,53.3
0.027075,436.1,393.9,1223.0,364.7,1736.3,940.7,497,1207.3,2016.2,0,55.2
0.029075,486.1,320.8,1238.4,340.7,1685.7,859.6,497.8,1208.4,2018.3,0,56.6
0.031075,516.9,276.1,1257.6,308.3,1676.2,886.6,499.1,1209.9,2021.2,0,57.5
0.033075,539.3,244.2,1276.6,270.8,1680.7,965.5,500.6,1211.9,2024.9,0,58.1
0.035075,554.5,221.3,1290.9,232.7,1699.2,1067.0,502.6,1214.3,2029.4,0,58.3
0.037075,561.2,208.3,1299.1,201.1,1734.0,1161.0,504.8,1217.1,2034.6,0,58.3
0.039075,550.6,209.9,1297.4,178.6,1821.0,1176.4,507.3,1220.3,2040.6,0,58.4
0.041075,511.3,225.1,1280.9,158.3,2046.0,896.2,510.2,1223.9,2047.3,0,58.8
0.043075,492.2,275.3,1276.1,165.2,2247.4,568.0,513.3,1227.8,2054.7,0,59.7
0.045075,530.6,278.9,1278.3,186.9,2296.6,422.5,516.7,1232.1,2062.8,0,60.8
0.047075,562.2,230.5,1279.9,175.8,2290.5,356.2,520.3,1236.6,2071.5,0,61.8
0.049075,581.0,188.9,1283.4,154.3,2288.9,305.0,524.2,1241.4,2080.8,0,62.6
0.051075,591.6,159.4,1287.4,133.6,2293.3,265.7,528.2,1246.5,2090.6,0,63
0.053075,598.9,134.6,1292.0,113.3,2301.3,230.6,532.5,1251.7,2100.9,0,63.1
0.055075,602.6,115.5,1296.5,96.3,2312.1,203.1,536.9,1257.2,2111.7,0,62.8
0.057075,599.0,108.0,1298.4,89.4,2325.6,196.9,541.5,1262.8,2122.9,0,62.4
0.059075,581.1,126.9,1290.6,110.2,2350.5,250.6,546.2,1268.5,2134.5,0,62.2
0.061075,570.9,171.8,1278.8,165.5,2399.1,363.9,551,1274.3,2146.4,0,62.2
0.063075,575.4,191.4,1273.5,203.0,2397.1,486.3,555.8,1280.2,2158.6,0,62.7
0.065075,573.0,175.2,1263.8,208.7,2338.1,414.8,560.7,1286.1,2171,0,63.5
0.067075,577.3,168.0,1268.1,201.3,2310.4,311.8,565.7,1291.9,2183.5,0,64.4
0.069075,587.0,163.4,1276.7,186.2,2304.3,250.5,570.6,1297.7,2196.2,0,65.2
0.071075,595.7,150.0,1282.3,165.7,2306.9,214.6,575.5,1303.4,2208.9,97.2,65.8
0.073075,602.2,130.1,1286.5,142.1,2311.4,185.9,580.3,1309,2221.6,97.3,66.2
0.075075,604.8,110.8,1289.9,121.3,2315.4,164.9,585,1314.4,2234.3,97.5,66.4
0.077075,601.1,100.6,1293.0,111.1,2316.3,161.1,589.7,1319.7,2247,97.7,66.5
0.079075,589.8,107.0,1296.1,119.2,2309.1,190.0,594.2,1324.7,2259.4,97.9,66.5
0.081075,581.9,119.1,1297.2,132.5,2296.8,228.2,598.6,1329.4,2271.7,98,66.6
0.083075,582.7,119.0,1296.4,131.4,2294.4,231.6,602.8,1333.9,2283.8,98.2,66.7
0.085075,586.3,111.8,1295.1,123.9,2300.5,214.2,606.8,1338,2295.6,98.4,66.9
0.087075,587.5,110.1,1294.3,124.9,2305.6,202.1,610.5,1341.9,2307,98.6,67
0.089075,586.6,121.3,1295.5,142.7,2305.0,204.9,614.1,1345.3,2318.1,98.8,67.2
0.091075,588.7,131.9,1298.0,156.2,2303.8,203.5,617.4,1348.4,2328.8,98.9,67.3
0.093075,593.2,129.0,1298.5,148.9,2307.2,187.2,620.4,1351.1,2339,99.1,67.4
0.095075,596.6,120.9,1297.1,134.4,2314.1,167.5,623.2,1353.3,2348.8,99.3,67.5
0.097075,595.4,121.9,1295.6,130.4,2321.7,161.9,625.6,1355.1,2358,99.4,67.5
0.099075,589.4,143.4,1295.7,149.0,2328.3,183.0,627.8,1356.5,2366.7,99.6,67.5
0.101075,586.2,167.7,1297.4,172.6,2332.1,209.8,629.6,1357.4,2374.9,99.8,67.5
0.103075,588.4,170.0,1297.2,172.4,2335.8,208.9,631.1,1357.8,2382.4,99.9,67.5
0.105075,590.7,159.3,1294.7,156.6,2341.2,190.6,632.3,1357.8,2389.4,100,67.5
0.107075,587.6,151.0,1291.0,143.5,2344.0,178.9,633.2,1357.3,2395.7,100.2,67.5
0.109075,579.0,151.7,1289.0,143.3,2339.2,190.4,633.7,1356.3,2401.4,100.3,67.6
0.111075,575.6,152.5,1290.8,148.8,2329.4,213.0,633.9,1354.8,2406.4,100.4,67.6
0.113075,579.0,143.7,1292.3,143.1,2326.0,213.7,633.8,1352.9,2410.8,100.5,67.6
0.115075,582.8,131.1,1291.6,130.2,2329.9,198.4,633.3,1350.5,2414.6,100.6,67.7
0.117075,581.4,126.9,1288.7,124.6,2335.7,190.4,632.5,1347.6,2417.7,100.7,67.7
0.119075,574.4,137.9,1284.6,135.2,2338.3,204.9,631.4,1344.3,2420.1,100.8,67.7
0.121075,571.5,149.7,1282.7,147.1,2336.9,224.2,630,1340.6,2421.9,100.8,67.7
0.123075,574.9,145.7,1282.6,141.4,2336.9,222.5,628.3,1336.5,2423.1,100.9,67.8
0.125075,578.7,132.5,1282.4,126.2,2340.0,208.9,626.3,1332,2423.6,101,67.9
0.127075,577.5,121.7,1280.4,116.7,2341.4,206.2,624,1327.2,2423.6,101,68
0.129075,572.7,118.8,1276.4,121.1,2335.6,229.4,621.5,1322,2422.9,101.1,68.1
0.131075,572.6,116.4,1272.5,128.6,2325.7,257.5,618.8,1316.6,2421.7,101.1,68.2
0.133075,577.7,108.0,1270.7,124.3,2324.2,254.5,615.8,1310.8,2420,101.2,68.3
0.135075,582.9,98.5,1269.6,115.9,2332.1,235.0,612.6,1304.9,2417.7,101.2,68.4
0.137075,583.4,99.0,1267.8,122.0,2344.1,228.2,609.2,1298.7,2415,101.3,68.5
0.139075,581.3,114.3,1266.7,154.6,2354.4,245.5,605.7,1292.3,2411.9,101.3,68.6
0.141075,584.4,131.2,1269.8,194.4,2360.2,267.6,602.1,1285.8,2408.3,101.3,68.8
0.143075,592.9,136.9,1277.3,206.1,2365.8,276.4,598.3,1279.2,2404.4,101.3,68.9
0.145075,603.2,141.0,1287.5,204.7,2375.5,285.8,594.5,1272.5,2400.1,101.4,69
0.147075,609.2,150.5,1295.9,212.0,2387.3,311.1,590.6,1265.8,2395.6,101.4,69.1
0.149075,607.5,158.0,1298.4,231.4,2396.0,344.5,586.6,1259.1,2390.8,101.4,69.2
0.151075,602.3,151.1,1293.5,251.1,2398.2,360.4,582.7,1252.5,2385.8,101.4,69.2
0.153075,599.3,133.3,1283.7,253.3,2393.5,343.4,578.7,1245.9,2380.6,101.4,69.1
0.155075,596.8,114.2,1272.0,238.8,2383.5,308.6,574.8,1239.5,2375.3,101.4,69.1
0.157075,590.5,104.7,1260.9,224.0,2366.2,282.1,570.9,1233.2,2369.9,101.4,69
0.159075,580.6,107.4,1254.0,214.6,2343.9,271.8,567.2,1227.1,2364.5,101.5,68.9
0.161075,575.9,111.2,1254.3,195.8,2330.0,260.5,563.5,1221.2,2359.1,101.5,68.9
0.163075,580.3,110.1,1259.0,173.6,2331.1,248.9,560,1215.7,2353.7,101.5,68.9
0.165075,588.6,111.6,1265.5,160.7,2340.9,250.5,556.6,1210.4,2348.4,101.5,69
0.167075,593.7,121.7,1271.1,167.7,2355.8,278.0,553.4,1205.4,2343.3,101.5,69
0.169075,593.2,133.6,1273.5,192.7,2373.2,320.3,550.4,1200.8,2338.3,101.4,69.1
0.171075,591.5,133.6,1271.4,221.2,2387.7,345.7,547.6,1196.5,2333.5,101.4,69.1
0.173075,591.5,120.5,1264.5,231.1,2392.0,333.1,545.1,1192.7,2329,101.4,69.1
0.175075,591.1,107.7,1255.4,225.5,2389.7,307.5,542.8,1189.4,2324.8,101.4,69
0.177075,587.7,105.8,1245.6,225.8,2385.4,300.6,540.8,1186.4,2320.9,101.4,69.1
0.179075,584.2,115.7,1242.0,234.5,2383.5,318.3,539.1,1184,2317.3,101.4,69.1
0.181075,585.9,120.0,1245.9,225.6,2383.7,326.1,537.6,1182,2314.1,101.4,69.2
0.183075,592.0,113.6,1253.5,201.1,2384.7,314.5,536.5,1180.6,2311.2,101.4,69.3
0.185075,597.9,107.7,1261.7,182.5,2386.4,305.9,535.7,1179.6,2308.8,101.3,69.4
0.187075,599.1,107.8,1268.3,179.3,2387.4,314.9,535.2,1179.2,2306.9,101.3,69.4
0.189075,594.6,109.3,1269.2,189.6,2385.5,335.0,535,1179.3,2305.4,101.3,69.4
0.191075,589.8,103.2,1263.6,198.0,2380.1,342.6,535.2,1179.9,2304.3,101.3,69.4
0.193075,588.6,91.2,1254.7,193.2,2374.9,327.5,535.6,1181,2303.8,101.2,69.3
0.195075,588.7,84.5,1247.9,188.6,2374.6,313.5,536.4,1182.7,2303.7,101.2,69.3
0.197075,587.1,92.8,1245.6,205.4,2378.0,318.5,537.6,1184.8,2304.1,101.2,69.3
0.199075,585.4,109.9,1247.1,225.8,2378.7,310.2,539,1187.5,2305,101.1,69.3
0.201075,587.0,115.6,1248.2,215.3,2378.0,263.4,540.8,1190.6,2306.4,101.1,69.4
0.203075,592.0,108.5,1249.3,187.1,2379.4,206.4,542.8,1194.2,2308.3,101.1,69.6
0.205075,596.7,101.9,1250.2,166.9,2381.0,165.9,545.2,1198.2,2310.7,101,69.7
0.207075,597.7,101.6,1248.3,161.8,2380.1,150.6,547.8,1202.7,2313.5,101,69.8
0.209075,595.1,103.3,1242.5,166.6,2376.0,163.8,550.7,1207.5,2316.8,101,69.8
0.211075,593.1,98.1,1236.1,165.8,2370.0,200.0,553.8,1212.8,2320.5,100.9,69.8
0.213075,592.8,85.6,1233.7,152.3,2365.3,244.2,557.2,1218.3,2324.6,100.9,69.7
0.215075,591.1,73.3,1235.1,136.2,2365.6,276.1,560.7,1224.1,2329.1,100.9,69.6
0.217075,584.3,67.9,1238.9,132.0,2368.5,287.4,564.5,1230.2,2334,100.8,69.5
0.219075,576.1,70.6,1243.6,143.1,2368.8,273.8,568.4,1236.6,2339.2,100.8,69.4
0.221075,574.4,72.4,1248.4,147.3,2370.2,240.1,572.4,1243.1,2344.7,100.8,69.3
0.223075,579.5,69.9,1253.4,135.8,2376.4,202.2,576.6,1249.7,2350.4,100.8,69.3
0.225075,584.6,68.2,1259.6,125.1,2384.1,173.5,580.8,1256.5,2356.4,100.8,69.3
0.227075,584.4,69.7,1265.8,124.6,2388.9,156.2,585.1,1263.3,2362.6,100.7,69.3
0.229075,579.4,69.7,1268.9,132.6,2387.8,148.4,589.4,1270.1,2369,100.7,69.3
0.231075,576.6,64.5,1267.4,138.7,2383.5,142.9,593.7,1276.9,2375.4,100.7,69.2
0.233075,577.8,56.7,1262.4,137.5,2379.6,137.9,598,1283.6,2382,100.7,69.1
0.235075,578.6,52.6,1257.9,134.7,2378.3,142.9,602.3,1290.2,2388.6,100.7,69
0.237075,574.3,57.7,1257.3,142.2,2380.2,178.9,606.4,1296.6,2395.1,100.7,68.9
0.239075,567.5,70.5,1261.1,152.0,2383.9,245.7,610.4,1302.8,2401.6,100.7,68.8
0.241075,566.2,77.7,1262.2,146.3,2384.4,279.1,614.3,1308.7,2408,100.7,68.7
0.243075,569.9,76.1,1259.6,131.4,2382.8,269.0,618,1314.4,2414.3,100.8,68.6
0.245075,572.8,73.9,1255.9,124.0,2382.3,260.9,621.5,1319.6,2420.4,100.8,68.6
0.247075,570.5,79.8,1251.1,136.6,2382.8,298.2,624.7,1324.5,2426.2,100.8,68.6
0.249075,566.9,91.7,1247.2,162.3,2382.2,387.8,627.7,1329,2431.8,100.8,68.6
0.251075,568.7,95.3,1245.6,168.9,2381.1,456.6,630.5,1333,2437.1,100.8,68.6
0.253075,573.5,89.0,1244.6,153.8,2381.6,463.5,632.9,1336.5,2442,100.8,68.6
0.255075,575.8,82.8,1242.9,138.8,2380.9,427.0,635,1339.4,2446.6,100.8,68.7
0.257075,572.3,85.4,1239.7,137.7,2376.7,370.7,636.7,1341.8,2450.7,100.9,68.7
