time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025385,597.6,162.1,1506.8,3833.9,2057.1,132.8,601.6,1720.3,2187.7,0,54.4
0.027385,605.2,136.8,1485.3,4862.7,2051.1,113.4,601.6,1721.2,2188.2,0,54.5
0.029385,609.5,119.3,2047.5,94.9,2897.5,142.0,601.7,1722.6,2189.1,0,54.6
0.031385,608.7,126.7,2047.3,77.9,2898.7,126.6,601.9,1724.5,2190.3,0,55
0.033385,613.0,207.5,2050.8,72.4,2902.0,119.7,602.1,1727,2191.8,0,56.2
0.035385,608.9,423.5,2070.4,134.2,2892.5,191.7,602.3,1730,2193.7,0,58
0.037385,562.4,484.0,2083.3,190.9,2876.3,258.8,602.6,1733.6,2195.9,0,59.9
0.039385,566.6,339.1,1195.7,3705.1,2081.1,198.1,602.9,1737.6,2198.4,0,61.6
0.041385,584.6,246.3,1680.9,2867.4,2074.2,196.0,603.2,1742.1,2201.1,0,62.9
0.043385,598.5,190.0,1884.3,2588.4,2064.7,187.0,603.6,1747.1,2204.2,0,63.8
0.045385,607.5,154.0,2016.9,2507.1,2055.8,172.3,604,1752.6,2207.5,0,64.3
0.047385,614.3,125.5,2048.3,153.9,2124.7,2515.6,604.4,1758.4,2211.1,0,64.4
0.049385,619.9,102.4,2043.1,134.6,2198.7,2650.2,604.9,1764.6,2214.9,0,64.3
0.051385,625.7,92.6,2040.6,120.1,2094.2,3360.9,605.4,1771.2,2218.9,0,64.1
0.053385,633.0,107.3,1258.1,4101.3,2034.9,131.9,605.9,1778.1,2223.1,0,64
0.055385,635.3,119.9,1116.8,2659.4,2020.5,172.7,606.4,1785.3,2227.5,0,64.2
0.057385,632.6,114.2,1153.4,2050.4,2013.6,182.4,606.9,1792.8,2232.1,0,64.5
0.059385,631.5,101.9,1206.7,2067.3,2017.8,175.2,607.4,1800.5,2236.7,0,64.9
0.061385,627.6,95.7,1349.0,2327.9,2027.5,173.6,607.9,1808.4,2241.5,98.4,65.4
0.063385,617.2,106.7,1586.3,2468.2,2032.3,174.4,608.5,1816.4,2246.3,98.3,65.7
0.065385,604.2,129.8,1743.4,2337.7,2028.9,168.1,609,1824.6,2251.2,98.2,66.1
0.067385,599.2,137.8,1830.8,2240.3,2025.0,156.9,609.5,1832.9,2256.2,98.1,66.3
0.069385,600.8,130.2,1926.5,2212.1,2022.6,145.4,610,1841.2,2261.1,98,66.5
0.071385,603.0,120.5,2002.8,2184.0,2023.0,138.4,610.5,1849.5,2266,98,66.7
0.073385,602.8,123.5,2023.1,2174.5,2026.3,146.8,610.9,1857.8,2270.9,97.9,66.8
0.075385,602.0,135.4,2026.1,171.4,2026.1,2181.9,611.3,1866,2275.7,97.9,67
0.077385,605.5,134.5,2016.6,182.5,2100.0,2342.7,611.7,1874.2,2280.4,97.8,67.1
0.079385,610.1,119.4,2008.0,173.9,2137.5,2428.1,612.1,1882.2,2285,97.8,67.2
0.081385,612.2,101.3,2004.8,166.5,2094.5,2178.0,612.4,1890,2289.5,97.8,67.3
0.083385,610.2,97.7,2001.0,169.8,2089.3,2051.6,612.7,1897.6,2293.8,97.8,67.4
0.085385,602.8,115.3,1991.1,185.1,2126.6,2060.4,612.9,1904.9,2297.8,97.8,67.4
0.087385,595.6,138.1,1977.8,190.2,2193.7,2111.0,613.1,1912,2301.7,97.8,67.4
0.089385,596.6,144.9,1968.8,170.8,2294.7,2290.2,613.3,1918.8,2305.4,97.8,67.5
0.091385,603.6,139.6,1966.2,146.4,2424.8,2602.6,613.3,1925.3,2308.8,97.9,67.5
0.093385,610.8,140.8,1967.9,133.9,2490.7,2938.9,613.4,1931.3,2311.9,97.9,67.6
0.095385,614.3,156.9,1972.1,142.2,2332.6,2880.0,613.3,1937,2314.7,98,67.7
0.097385,614.9,166.3,1975.0,157.9,2190.7,2487.6,613.2,1942.3,2317.2,98,67.9
0.099385,616.0,155.0,1974.8,161.2,2158.4,2202.4,613.1,1947.1,2319.4,98.1,68
0.101385,617.1,139.7,1974.1,155.8,2152.4,2060.4,612.8,1951.5,2321.2,98.1,68.1
0.103385,615.6,140.1,1975.6,152.6,2144.6,2103.1,612.6,1955.4,2322.7,98.2,68.2
0.105385,610.3,171.7,1978.2,161.9,2161.1,2401.3,612.2,1958.8,2323.8,98.3,68.3
0.107385,606.9,208.1,1976.8,174.1,2242.8,2780.7,611.8,1961.7,2324.6,98.3,68.3
0.109385,607.7,213.7,1972.4,175.4,2349.4,2918.2,611.3,1964,2324.9,98.4,68.4
0.111385,609.2,198.5,1970.4,171.2,2423.7,2769.1,610.7,1965.9,2324.9,98.5,68.5
0.113385,607.3,194.9,1976.3,175.9,2430.4,2571.0,610.1,1967.2,2324.4,98.5,68.5
0.115385,601.6,216.4,1990.8,197.5,2346.1,2379.6,609.4,1967.9,2323.6,98.6,68.6
0.117385,598.6,235.9,1999.6,219.7,2284.7,2208.2,608.6,1968.1,2322.4,98.7,68.7
0.119385,601.5,227.1,1990.5,223.9,2365.7,2112.6,607.8,1967.8,2320.7,98.7,68.9
0.121385,604.2,209.3,1973.0,215.3,2527.8,2050.6,606.9,1966.9,2318.7,98.8,69
0.123385,600.3,206.7,1953.4,210.9,2649.2,1962.2,605.9,1965.4,2316.2,98.8,69.1
0.125385,590.2,229.4,1933.9,212.2,2642.8,1949.3,604.9,1963.5,2313.4,98.9,69.2
0.127385,585.8,251.7,1923.2,200.0,2547.9,2061.7,603.8,1961,2310.2,98.9,69.3
0.129385,592.1,248.4,1923.0,175.9,2479.7,2229.3,602.7,1958,2306.6,99,69.3
0.131385,600.2,238.7,1927.3,151.3,2507.6,2554.1,601.5,1954.5,2302.6,99,69.4
0.133385,602.6,247.3,1935.9,133.6,2643.6,3390.6,600.3,1950.5,2298.3,99,69.4
0.135385,598.0,285.0,1948.5,125.6,2767.1,5674.3,599,1946,2293.6,99.1,69.4
0.137385,595.4,306.7,1954.7,123.7,2337.7,6395.3,597.7,1941.1,2288.6,99.1,69.4
0.139385,596.6,284.6,1952.2,122.8,2179.4,4139.1,596.4,1935.8,2283.3,99.1,69.4
0.141385,599.4,254.3,1945.1,121.0,2175.7,3384.2,595,1930,2277.8,99.1,69.3
0.143385,598.1,251.3,1935.8,123.3,2246.6,3422.0,593.6,1923.9,2271.9,99.2,69.2
0.145385,586.4,287.0,1925.9,142.0,2312.8,3468.5,592.1,1917.4,2265.8,99.2,69.2
0.147385,575.4,320.6,1915.8,164.1,2331.6,3119.1,590.6,1910.6,2259.5,99.2,69.2
0.149385,579.8,311.3,1909.6,159.9,2346.5,2925.5,589.2,1903.5,2252.9,99.2,69.2
0.151385,591.3,285.5,1907.7,135.7,2371.9,3101.0,587.7,1896.1,2246.2,99.2,69.2
0.153385,596.9,284.3,1908.2,112.2,2349.3,3850.9,586.2,1888.4,2239.3,99.2,69.2
0.155385,594.7,322.0,1906.7,99.3,2037.6,5941.6,584.7,1880.6,2232.3,99.3,69.2
0.157385,591.4,354.5,1899.7,99.0,2780.1,180.2,583.2,1872.5,2225.2,99.3,69.2
0.159385,593.8,334.4,1694.2,6748.5,1891.6,100.6,581.7,1864.4,2218.1,99.3,69.2
0.161385,598.9,297.6,1886.0,100.2,2061.6,5077.9,580.2,1856,2210.9,99.3,69.1
0.163385,600.6,285.7,1883.3,102.7,2147.3,5108.6,578.8,1847.6,2203.6,99.3,69.1
0.165385,590.2,319.6,1883.2,118.5,2100.0,4935.2,577.4,1839.2,2196.4,99.3,69
0.167385,573.4,357.3,1884.9,141.4,2054.6,3563.3,576,1830.7,2189.3,99.3,68.9
0.169385,566.9,350.3,1886.9,151.3,2018.9,2675.6,574.6,1822.2,2182.2,99.4,68.8
0.171385,571.9,329.8,1889.3,146.9,2001.6,2441.9,573.3,1813.8,2175.2,99.4,68.8
0.173385,576.3,344.4,1895.1,142.3,1961.6,2764.1,572,1805.4,2168.3,99.4,68.8
0.175385,574.1,416.8,1749.1,3520.4,1906.2,152.5,570.8,1797.1,2161.6,99.4,68.8
0.177385,573.1,482.5,1485.1,3785.9,1914.3,170.1,569.6,1789,2155.1,99.4,68.8
0.179385,573.4,455.8,1583.6,3229.1,1910.2,173.3,568.5,1780.9,2148.9,99.4,68.8
0.181385,576.2,394.6,1694.2,2880.1,1899.3,158.9,567.4,1773.1,2142.8,99.5,68.8
0.183385,575.9,375.0,1669.9,3130.1,1891.0,136.9,566.4,1765.5,2137.1,99.5,68.8
0.185385,571.8,412.0,1261.4,4352.3,1889.2,120.0,565.5,1758,2131.6,99.5,68.8
0.187385,576.7,444.0,1891.9,114.9,2739.4,156.8,564.6,1750.9,2126.5,99.5,68.8
0.189385,588.9,409.8,1891.6,111.1,2737.8,147.8,563.8,1744,2121.8,99.5,68.8
0.191385,597.8,361.6,1888.1,103.9,2735.6,145.4,563.1,1737.3,2117.4,99.5,68.8
0.193385,599.8,351.0,1886.3,97.5,2730.1,152.3,562.5,1731,2113.5,99.6,68.8
0.195385,590.8,401.6,1888.6,100.7,2716.2,180.2,562,1725,2110,99.6,68.8
0.197385,573.5,456.8,1890.0,115.7,2694.8,230.7,561.5,1719.3,2106.9,99.6,68.8
0.199385,567.1,430.0,1253.4,4280.1,1885.9,124.4,561.2,1714,2104.3,99.6,68.8
0.201385,571.7,379.3,1561.5,3711.5,1880.0,121.3,560.9,1709,2102.2,99.6,68.7
0.203385,570.7,362.6,1626.7,3603.0,1876.8,116.0,560.7,1704.4,2100.6,99.6,68.7
0.205385,549.4,401.7,1635.3,3324.2,1878.5,123.1,560.6,1700.2,2099.5,99.6,68.7
0.207385,522.1,434.1,1725.2,2641.3,1880.3,143.3,560.6,1696.3,2098.9,99.6,68.7
0.209385,520.0,411.0,1795.1,2233.0,1876.3,153.9,560.7,1692.8,2098.9,99.6,68.6
0.211385,533.2,370.9,1836.7,2163.7,1868.6,147.6,560.9,1689.8,2099.5,99.6,68.6
0.213385,537.1,358.4,1837.4,2316.6,1863.9,139.4,561.1,1687,2100.6,99.6,68.6
0.215385,524.6,384.1,1797.4,2548.7,1865.2,144.8,561.5,1684.7,2102.4,99.6,68.6
0.217385,516.0,406.6,1788.1,2618.9,1869.6,161.4,562,1682.7,2104.7,99.6,68.7
0.219385,531.5,391.8,1827.1,2689.0,1869.3,163.2,562.5,1681.2,2107.5,99.5,68.7
0.221385,556.2,372.1,1852.8,3021.0,1865.5,147.5,563.1,1679.9,2111,99.5,68.8
0.223385,575.4,385.3,1734.0,3892.3,1864.1,126.7,563.9,1679.1,2115.1,99.5,68.8
0.225385,580.0,442.9,944.7,5565.4,1866.4,109.9,564.7,1678.6,2119.8,99.4,68.9
0.227385,568.3,469.5,1039.1,5010.1,1867.7,101.0,565.6,1678.4,2125.1,99.4,68.9
0.229385,561.0,416.8,1571.2,3720.4,1864.7,97.2,566.5,1678.6,2130.9,99.4,68.9
0.231385,565.1,356.1,1740.5,3255.5,1859.1,94.1,567.6,1679,2137.4,99.3,68.8
0.233385,567.5,329.3,1773.3,3322.4,1854.1,92.9,568.7,1679.8,2144.4,99.3,68.7
0.235385,558.1,354.2,1654.2,3791.9,1853.9,103.7,569.9,1680.9,2152,99.3,68.6
0.237385,550.7,392.5,1545.6,4343.5,1859.9,128.9,571.2,1682.2,2160.1,99.2,68.6
0.239385,567.2,398.8,1863.7,138.1,2750.4,339.5,572.6,1683.8,2168.8,99.2,68.7
0.241385,594.5,386.0,1864.3,126.3,2749.5,303.8,574,1685.6,2178,99.2,68.8
0.243385,615.9,390.2,1867.7,111.6,2756.7,257.7,575.5,1687.7,2187.7,99.1,69
0.245385,621.3,427.9,1871.8,100.2,2765.2,231.7,577,1689.9,2198,99.1,69
0.247385,611.2,447.1,1871.4,90.1,2770.6,226.3,578.6,1692.3,2208.7,99.1,69.1
0.249385,599.0,401.9,1865.7,81.7,2772.7,240.3,580.2,1694.9,2219.9,99,69
0.251385,591.7,332.7,1857.4,76.5,2776.9,268.7,581.9,1697.7,2231.5,99,68.9
0.253385,584.4,290.9,1851.3,76.9,1901.7,5466.3,583.7,1700.5,2243.6,99,68.7
0.255385,570.9,290.3,1850.5,87.0,1858.1,3597.2,585.5,1703.5,2256.1,98.9,68.5
0.257385,559.5,302.7,1804.0,2867.5,1853.7,106.3,587.3,1706.6,2268.9,98.9,68.4
0.259385,564.2,284.5,1838.3,2587.9,1852.1,113.4,589.2,1709.8,2282.1,98.9,68.3
0.261385,575.7,253.7,1846.7,105.8,1890.3,2553.6,591.1,1713,2295.7,98.9,68.3
0.263385,584.3,240.9,1842.7,92.1,1872.5,2833.3,593,1716.3,2309.5,98.9,68.2
0.265385,588.9,277.1,1447.4,4028.7,1841.7,78.6,594.9,1719.5,2323.7,98.9,68.2
0.267385,606.2,342.8,1839.6,71.8,2784.0,206.9,596.9,1722.8,2338.1,98.9,68.1
0.269385,625.3,352.3,1834.2,69.7,2778.0,184.7,598.9,1726.1,2352.8,98.9,68
0.271385,628.1,319.7,1828.5,67.2,2774.2,174.8,600.9,1729.4,2367.6,98.9,67.9
0.273385,624.7,294.8,1824.3,65.5,2771.7,173.9,602.9,1732.7,2382.7,98.9,67.9
