time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025351,535.2,93.9,1897.5,121.7,2622.1,165.6,531.8,1868.2,2611.9,96.7,63.4
0.027351,534.1,83.8,1891.2,117.5,2620.0,166.2,532,1868.2,2611.9,96.7,64.3
0.029351,536.0,72.0,1887.3,108.9,2617.5,159.9,532.3,1868.3,2611.9,96.7,65
0.031351,539.5,67.1,1886.4,110.2,2618.0,160.7,532.8,1868.4,2611.9,96.6,65.8
0.033351,542.7,75.3,1887.7,133.0,2622.0,176.2,533.3,1868.5,2611.9,96.6,66.5
0.035351,544.3,85.7,1886.6,158.8,2623.8,188.1,534,1868.6,2611.9,96.6,67.1
0.037351,544.6,83.1,1882.4,157.8,2621.7,183.6,534.7,1868.8,2611.8,96.6,67.7
0.039351,545.3,72.7,1879.4,139.9,2618.4,171.9,535.6,1869,2611.8,96.6,68.3
0.041351,546.5,65.1,1879.8,125.8,2615.1,167.5,536.5,1869.2,2611.7,96.6,68.7
0.043351,547.4,68.5,1882.2,133.0,2610.3,190.1,537.5,1869.4,2611.7,96.6,69.2
0.045351,546.2,77.9,1879.6,162.1,2606.6,243.2,538.6,1869.7,2611.6,96.5,69.6
0.047351,544.2,78.2,1870.3,176.2,2604.6,279.6,539.8,1869.9,2611.5,96.5,69.9
0.049351,544.0,70.1,1864.4,161.0,2600.8,267.4,541,1870.2,2611.3,96.5,70.2
0.051351,545.4,62.0,1863.6,137.9,2600.4,231.0,542.3,1870.4,2611.2,96.4,70.4
0.053351,547.3,63.3,1864.5,127.9,2608.0,202.0,543.6,1870.6,2611,96.4,70.6
0.055351,548.6,77.8,1861.8,137.0,2619.3,192.9,544.9,1870.9,2610.8,96.3,70.7
0.057351,548.4,88.5,1855.5,144.1,2622.7,189.4,546.3,1871.1,2610.6,96.3,70.8
0.059351,548.0,84.4,1850.4,135.8,2620.8,179.6,547.6,1871.3,2610.3,96.3,71
0.061351,548.3,73.9,1848.3,121.0,2618.6,167.3,548.9,1871.5,2610,96.2,71.1
0.063351,549.5,71.4,1849.3,115.4,2619.2,165.2,550.2,1871.6,2609.6,96.1,71.3
0.065351,550.6,86.1,1852.2,123.0,2620.1,172.3,551.5,1871.7,2609.2,96.1,71.5
0.067351,550.8,102.9,1853.8,125.2,2617.4,171.0,552.7,1871.8,2608.8,96,71.7
0.069351,550.5,101.9,1853.8,114.8,2612.1,159.1,553.9,1871.9,2608.3,96,71.9
