time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.024995,496.8,191.5,1120.4,114.1,2096.4,663.9,535.3,1114.6,2232,0,57.9
0.026995,520.3,160.9,1131.1,94.1,2129.7,642.5,535.3,1114.8,2232.4,0,58.7
0.028995,534.6,138.8,1139.8,76.7,2161.5,627.7,535.3,1115.1,2233.1,0,59.1
0.030995,542.8,122.5,1147.1,61.6,2192.8,617.7,535.4,1115.5,2234,0,59.2
0.032995,544.1,112.5,1152.8,49.5,2221.7,618.3,535.4,1116.1,2235.2,0,59
0.034995,530.9,115.3,1155.4,42.6,2241.9,647.2,535.4,1116.7,2236.7,0,58.8
0.036995,496.8,141.8,1151.4,45.3,2256.4,657.4,535.4,1117.5,2238.4,0,59.1
0.038995,480.6,178.3,1137.2,62.2,2285.9,526.1,535.4,1118.3,2240.3,0,60
0.040995,506.6,181.7,1126.3,77.9,2308.1,417.1,535.4,1119.3,2242.5,0,61.1
0.042995,533.1,159.9,1127.0,76.8,2323.9,355.6,535.5,1120.4,2245,0,62.3
0.044995,549.5,137.7,1131.7,67.9,2338.2,317.7,535.5,1121.5,2247.7,0,63.2
0.046995,560.4,119.2,1136.9,57.5,2352.5,291.4,535.5,1122.7,2250.6,0,63.8
0.048995,568.4,103.6,1141.9,47.8,2366.3,274.2,535.5,1124,2253.7,94.6,64
0.050995,573.8,92.1,1145.9,40.7,2374.0,274.8,535.5,1125.3,2257.1,95,64.1
0.052995,574.4,90.4,1147.5,39.9,2352.7,329.6,535.5,1126.6,2260.7,95.5,64
0.054995,570.7,104.4,1145.2,49.1,2256.3,480.5,535.5,1128,2264.4,96,64
0.056995,568.3,115.9,1141.6,56.7,2134.1,588.2,535.5,1129.4,2268.4,96.5,64.1
0.058995,568.6,114.3,1140.9,53.1,2118.3,605.1,535.4,1130.8,2272.5,96.9,64.3
0.060995,566.9,107.8,1141.4,46.0,2176.5,573.7,535.4,1132.1,2276.8,97.4,64.6
0.062995,560.4,104.0,1140.7,43.2,2252.3,484.6,535.4,1133.5,2281.3,97.9,64.9
0.064995,555.8,104.8,1139.1,47.9,2305.4,402.5,535.3,1134.8,2285.9,98.4,65.2
0.066995,558.3,103.3,1138.5,52.6,2336.9,359.8,535.2,1136.1,2290.7,98.8,65.4
0.068995,562.8,97.7,1139.3,50.7,2358.1,335.9,535.1,1137.4,2295.5,99.2,65.5
0.070995,563.7,92.9,1139.2,46.2,2366.1,327.1,535,1138.5,2300.5,99.7,65.5
