time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025395,474.1,138.6,911.6,120.1,2186.9,218.1,556,933,2250.3,0,60.9
0.027395,494.4,136.3,924.0,110.2,2198.0,222.1,556,933,2250.7,0,62.7
0.029395,518.0,143.9,933.9,108.4,2216.5,235.7,555.9,933,2251.3,0,64.2
0.031395,538.1,147.6,939.6,106.2,2235.4,243.9,555.7,933,2252.2,0,65.5
0.033395,551.1,142.7,942.6,99.1,2251.3,243.7,555.5,933.1,2253.3,0,66.5
0.035395,559.4,133.2,944.4,88.3,2265.6,240.3,555.3,933.1,2254.6,0,67.1
0.037395,565.2,122.3,945.7,76.4,2279.7,237.9,555.1,933.1,2256.1,0,67.6
0.039395,567.6,112.7,946.2,66.2,2291.7,237.8,554.8,933.2,2257.9,0,67.8
0.041395,565.4,108.8,946.0,62.8,2294.2,235.6,554.4,933.2,2259.9,0,68.1
0.043395,563.0,110.6,945.8,67.3,2289.3,226.9,554.1,933.2,2262,0,68.3
0.045395,566.0,111.3,945.9,71.5,2290.5,219.7,553.7,933.3,2264.4,0,68.5
0.047395,571.8,108.8,945.7,71.4,2296.9,217.5,553.2,933.3,2267,0,68.7
0.049395,576.2,104.6,944.7,70.1,2301.0,221.1,552.8,933.3,2269.7,0,68.9
0.051395,575.3,102.7,942.6,73.1,2295.4,235.9,552.3,933.3,2272.5,100.4,69
0.053395,570.1,102.9,940.7,81.1,2279.1,256.3,551.9,933.3,2275.5,100.5,69
0.055395,566.9,98.2,940.6,82.0,2265.1,260.5,551.4,933.2,2278.6,100.5,69
0.057395,566.9,89.1,941.2,72.9,2259.6,249.6,550.9,933.2,2281.9,100.6,68.9
0.059395,566.7,82.2,940.8,63.9,2257.8,242.1,550.3,933.1,2285.2,100.6,68.7
0.061395,561.1,84.4,938.2,62.9,2251.9,259.7,549.8,932.9,2288.6,100.7,68.6
0.063395,550.3,95.9,933.6,72.3,2238.1,309.4,549.3,932.8,2292.1,100.8,68.4
0.065395,545.2,103.1,930.0,80.6,2232.0,353.3,548.8,932.6,2295.7,100.8,68.3
0.067395,546.8,100.4,928.0,77.9,2240.0,366.3,548.3,932.4,2299.3,100.9,68.2
0.069395,548.7,95.8,925.6,71.2,2251.8,362.8,547.8,932.1,2302.9,101,68.1
0.071395,545.8,98.2,922.6,70.0,2260.5,354.9,547.3,931.8,2306.5,101.1,68
0.073395,539.3,108.3,921.9,77.6,2267.4,341.2,546.8,931.4,2310.1,101.2,67.9
0.075395,537.4,112.9,925.2,83.1,2278.9,323.8,546.3,931,2313.6,101.3,67.8
0.077395,539.8,111.8,928.5,80.5,2296.3,309.3,545.9,930.6,2317.2,101.5,67.8
0.079395,540.3,116.4,929.6,78.0,2315.3,297.3,545.5,930.1,2320.7,101.6,67.8
0.081395,535.1,137.0,929.4,86.4,2328.6,284.5,545.1,929.5,2324.1,101.7,67.8
0.083395,530.3,166.2,930.0,109.2,2334.5,274.2,544.7,928.9,2327.5,101.8,67.8
0.085395,534.4,179.6,930.3,130.6,2340.2,268.3,544.4,928.3,2330.8,101.9,67.9
0.087395,542.1,177.2,927.9,134.4,2346.4,264.3,544.1,927.6,2333.9,102,67.9
0.089395,545.4,173.4,921.7,128.5,2351.6,268.7,543.8,926.8,2337,102.1,68.1
0.091395,541.9,174.0,914.0,128.8,2353.0,288.1,543.6,926,2340,102.2,68.2
0.093395,540.6,172.7,909.9,139.7,2353.7,310.9,543.4,925.2,2342.8,102.3,68.4
0.095395,546.6,167.1,909.9,147.2,2363.7,323.6,543.2,924.3,2345.5,102.4,68.5
