time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025240,659.3,276.2,1656.9,139.9,2614.4,175.7,688,1646.5,2675.4,101.1,69.2
0.027240,665.5,240.0,1654.7,154.1,2610.7,179.8,687.8,1646.4,2675.2,101,70.3
0.029240,675.4,220.2,1656.0,149.9,2593.0,179.2,687.7,1646.1,2674.9,101,71.4
0.031240,687.5,207.0,1652.8,134.6,2575.4,173.2,687.4,1645.7,2674.5,101,72.4
0.033240,694.2,188.7,1642.5,123.2,2570.5,167.3,687.1,1645.2,2673.9,100.9,73.3
0.035240,692.1,167.4,1631.3,117.3,2577.8,164.9,686.8,1644.6,2673.3,100.9,74
0.037240,685.9,149.6,1627.2,113.5,2589.0,166.7,686.3,1643.9,2672.5,100.9,74.5
0.039240,678.4,137.5,1633.2,110.9,2598.5,172.4,685.8,1643.1,2671.6,100.9,74.9
0.041240,671.4,132.1,1646.9,111.3,2607.5,179.9,685.2,1642.3,2670.6,100.9,75.1
0.043240,669.8,137.3,1661.4,117.3,2619.9,183.2,684.6,1641.3,2669.6,100.9,75.3
0.045240,676.5,143.5,1668.8,134.0,2635.0,179.8,683.9,1640.3,2668.4,100.9,75.4
0.047240,682.6,136.4,1663.1,168.9,2648.2,176.6,683.2,1639.2,2667.1,100.9,75.6
0.049240,682.7,128.9,1646.1,229.6,2660.6,181.9,682.4,1638,2665.8,100.9,75.7
0.051240,680.2,134.5,1625.1,307.1,2679.0,207.4,681.5,1636.9,2664.3,100.9,75.9
0.053240,679.7,158.4,1613.1,329.1,2711.1,263.1,680.6,1635.6,2662.8,100.9,76
0.055240,682.7,187.7,1613.7,276.7,2758.8,344.6,679.7,1634.4,2661.2,101,76.1
0.057240,683.5,199.6,1618.2,229.8,2817.2,426.2,678.7,1633.1,2659.6,101,76.3
0.059240,680.5,193.4,1623.4,204.0,2873.4,460.9,677.6,1631.8,2657.9,101,76.4
0.061240,678.8,184.2,1624.8,193.5,2878.8,435.1,676.5,1630.5,2656.2,101,76.4
0.063240,681.6,184.7,1613.7,197.4,2795.2,368.1,675.4,1629.2,2654.5,101.1,76.5
0.065240,686.2,183.7,1591.1,195.3,2695.2,262.5,674.3,1628,2652.7,101.1,76.6
0.067240,688.2,168.6,1580.7,177.5,2646.9,195.7,673.1,1626.7,2650.9,101.1,76.7
0.069240,688.9,149.2,1587.2,161.6,2628.0,177.2,671.9,1625.5,2649.1,101.1,76.8
0.071240,691.6,140.5,1599.6,159.5,2620.8,193.4,670.6,1624.4,2647.3,101.1,76.9
0.073240,696.7,153.8,1607.6,179.1,2622.7,247.6,669.4,1623.3,2645.4,101.2,77
0.075240,699.5,180.6,1608.2,208.2,2631.9,318.3,668.1,1622.3,2643.6,101.2,77.1
0.077240,695.3,196.9,1613.5,214.8,2651.8,362.2,666.8,1621.3,2641.9,101.2,77.2
0.079240,687.4,196.9,1631.6,188.1,2681.7,372.8,665.6,1620.4,2640.1,101.2,77.2
0.081240,681.9,199.4,1651.6,153.7,2705.5,351.0,664.3,1619.6,2638.4,101.2,77.3
0.083240,680.9,220.5,1664.1,142.6,2712.4,316.5,663,1618.9,2636.7,101.2,77.4
0.085240,678.6,243.4,1669.0,160.5,2710.1,293.0,661.7,1618.3,2635.1,101.2,77.5
0.087240,668.4,244.9,1667.7,189.8,2705.7,284.1,660.4,1617.8,2633.6,101.1,77.6
0.089240,653.5,230.8,1660.3,198.0,2697.7,288.4,659.2,1617.5,2632.1,101.1,77.7
0.091240,640.2,223.9,1646.8,179.9,2678.2,311.4,657.9,1617.2,2630.6,101.1,77.8
0.093240,629.5,234.1,1628.9,168.5,2643.9,353.2,656.7,1617,2629.3,101.1,78
0.095240,621.2,231.1,1609.5,172.4,2613.5,393.4,655.5,1616.9,2628,101.1,78.1
0.097240,618.1,204.5,1593.2,178.6,2604.7,417.4,654.3,1617,2626.9,101.1,78.2
0.099240,618.7,181.4,1584.9,180.4,2611.9,407.2,653.2,1617.1,2625.8,101.1,78.3
0.101240,619.3,188.6,1587.1,181.3,2614.8,336.9,652,1617.4,2624.8,101.1,78.3
0.103240,624.1,241.0,1596.1,178.2,2597.2,236.4,651,1617.7,2623.9,101.1,78.3
0.105240,639.3,295.7,1602.4,164.4,2578.6,170.4,649.9,1618.2,2623.1,101.1,78.3
0.107240,646.3,298.4,1604.8,148.2,2573.4,143.7,649,1618.8,2622.4,101.1,78.3
0.109240,643.8,272.6,1607.1,134.8,2575.8,135.8,648,1619.4,2621.8,101.1,78.2
0.111240,642.5,257.9,1613.3,128.7,2578.5,138.4,647.1,1620.2,2621.3,101.2,78.1
0.113240,647.1,265.3,1626.9,140.7,2576.8,155.6,646.3,1621,2621,101.2,78.1
0.115240,656.0,261.8,1645.5,167.9,2570.4,184.0,645.5,1621.9,2620.7,101.2,78
0.117240,657.5,237.0,1658.5,182.3,2569.0,201.3,644.8,1622.8,2620.5,101.3,78
0.119240,653.2,210.6,1664.8,174.5,2576.5,197.8,644.1,1623.8,2620.5,101.3,78
