time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025943,567.4,187.3,1599.7,156.1,2352.2,311.3,548.1,1577.5,2361.5,0,58.8
0.027943,570.1,162.2,1597.1,127.7,2346.0,277.9,548.2,1577.5,2361.5,0,58.5
0.029943,568.2,142.2,1594.6,103.5,2341.5,245.9,548.3,1577.4,2361.7,0,57.9
0.031943,550.5,140.1,1591.0,92.2,2340.4,231.9,548.4,1577.3,2361.8,0,57.2
0.033943,484.3,181.9,1581.9,108.8,2343.6,267.6,548.6,1577.2,2362.1,0,56.8
0.035943,401.6,263.8,1557.4,187.4,2354.3,372.2,548.8,1577.1,2362.3,0,57
0.037943,419.6,334.6,1542.6,256.2,2377.8,357.3,549.1,1577,2362.7,0,58
0.039943,468.4,335.8,1550.7,228.6,2384.8,269.9,549.4,1576.8,2363,0,59.3
0.041943,496.1,287.4,1557.7,220.3,2394.0,256.8,549.7,1576.6,2363.4,0,60.7
0.043943,518.7,245.2,1567.6,234.8,2400.6,275.2,550.1,1576.4,2363.8,0,62.1
0.045943,544.2,211.9,1579.8,245.3,2396.9,285.3,550.5,1576.1,2364.3,0,63.4
0.047943,563.5,181.2,1586.7,232.5,2387.6,273.9,551,1575.9,2364.8,0,64.3
0.049943,573.1,155.8,1586.8,205.6,2379.3,251.2,551.5,1575.6,2365.3,0,65
0.051943,578.5,133.3,1584.6,174.8,2372.9,224.2,552,1575.2,2365.8,0,65.3
0.053943,582.4,113.2,1581.5,144.3,2368.5,195.2,552.5,1574.9,2366.3,90.5,65.4
0.055943,585.5,102.1,1577.4,123.3,2366.7,175.0,553.1,1574.5,2366.9,90.9,65.4
0.057943,589.2,112.8,1570.5,122.6,2366.6,184.4,553.7,1574,2367.4,91.4,65.3
0.059943,594.8,145.4,1566.5,139.6,2371.2,229.8,554.4,1573.6,2368,91.9,65.4
0.061943,598.6,153.5,1568.1,138.8,2374.9,248.2,555,1573.1,2368.5,92.4,65.6
0.063943,600.0,140.6,1570.2,122.9,2372.0,232.1,555.7,1572.5,2369.1,92.9,65.9
0.065943,598.4,122.7,1572.0,107.7,2368.0,209.8,556.4,1572,2369.6,93.4,66.3
0.067943,594.6,113.1,1576.0,107.8,2366.4,199.7,557.2,1571.3,2370.1,93.9,66.7
0.069943,592.3,111.4,1584.0,128.2,2365.5,208.0,557.9,1570.7,2370.6,94.4,67
0.071943,593.8,105.5,1589.0,142.0,2362.6,211.8,558.7,1570,2371,94.9,67.2
