time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025567,580.3,109.0,907.9,55.6,2832.6,230.9,580.2,888.8,2796.5,93.1,61
0.027567,589.4,108.4,910.5,57.0,2837.3,212.1,580.3,889,2796.8,93.6,61.7
0.029567,596.6,131.8,911.5,80.9,2848.7,230.2,580.5,889.3,2797.2,94,62.4
0.031567,603.1,151.6,909.3,119.1,2856.4,248.4,580.6,889.8,2797.8,94.5,63.1
0.033567,606.0,147.7,906.9,138.1,2854.2,241.6,580.9,890.4,2798.5,94.9,63.8
0.035567,603.8,134.0,906.6,128.9,2847.0,223.8,581.1,891.2,2799.4,95.4,64.5
0.037567,598.4,125.9,907.2,111.7,2838.4,208.8,581.5,892.1,2800.4,95.9,65.2
0.039567,590.9,135.3,908.1,101.3,2828.5,209.7,581.8,893,2801.5,96.3,65.9
0.041567,586.7,150.6,908.7,96.0,2821.1,220.4,582.2,894.1,2802.8,96.7,66.5
0.043567,587.2,150.4,909.1,86.1,2817.9,216.8,582.7,895.3,2804.2,97.1,67
0.045567,588.6,138.1,909.6,71.5,2816.1,195.8,583.2,896.6,2805.7,97.5,67.5
0.047567,587.2,128.6,909.8,58.7,2814.5,173.7,583.7,898,2807.4,97.9,67.9
0.049567,581.7,133.8,909.7,52.9,2811.6,163.5,584.2,899.5,2809.1,98.2,68.2
0.051567,576.7,151.1,909.1,55.8,2807.5,170.6,584.8,901,2810.8,98.6,68.4
0.053567,578.0,154.5,908.5,58.6,2806.8,174.3,585.4,902.6,2812.7,98.9,68.7
0.055567,581.4,143.9,908.3,55.8,2807.3,161.8,586,904.2,2814.6,99.1,68.9
0.057567,582.1,132.2,908.3,49.7,2806.4,144.8,586.6,905.8,2816.6,99.4,69
0.059567,578.4,133.0,907.9,47.4,2802.9,145.3,587.3,907.5,2818.5,99.6,69.2
0.061567,575.0,143.3,906.9,51.5,2796.6,170.1,587.9,909.2,2820.5,99.8,69.3
0.063567,577.4,143.8,906.1,55.6,2792.1,191.6,588.6,910.9,2822.5,100,69.4
0.065567,581.8,132.1,906.3,53.9,2792.9,186.4,589.2,912.5,2824.5,100.2,69.5
0.067567,583.3,119.2,907.0,49.0,2799.3,171.6,589.8,914.2,2826.5,100.4,69.5
0.069567,580.8,118.4,907.3,48.9,2810.4,170.2,590.5,915.8,2828.4,100.5,69.6
0.071567,578.9,128.8,906.7,56.8,2824.7,184.6,591.1,917.4,2830.2,100.6,69.6
0.073567,582.1,132.7,905.9,64.7,2833.7,192.2,591.7,918.9,2832,100.7,69.7
0.075567,586.3,125.1,906.2,64.0,2831.6,179.5,592.3,920.3,2833.8,100.8,69.7
0.077567,587.6,116.8,907.2,59.6,2825.1,159.7,592.9,921.7,2835.4,100.9,69.8
0.079567,585.1,120.0,907.6,60.7,2818.5,151.9,593.4,923,2836.9,101,69.8
0.081567,583.4,131.6,906.7,69.9,2815.8,166.4,593.9,924.1,2838.4,101,69.9
