time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025127,582.9,122.5,698.3,155.8,2515.5,187.3,520.5,679.1,2510,110.9,67.4
0.027127,564.1,127.1,691.8,110.9,2525.2,168.9,520.5,678.9,2510.1,110.7,68.4
0.029127,540.6,117.9,687.6,78.2,2536.5,160.8,520.4,678.7,2510.2,110.6,69.2
0.031127,530.1,103.9,684.6,64.4,2551.5,164.1,520.4,678.4,2510.3,110.5,69.9
0.033127,532.2,96.0,681.8,60.9,2567.7,163.4,520.3,677.9,2510.5,110.3,70.5
0.035127,536.5,96.5,678.1,60.6,2579.9,156.0,520.3,677.4,2510.7,110.2,70.9
0.037127,536.8,113.4,672.6,64.0,2586.2,154.9,520.2,676.8,2511,110,71.3
0.039127,533.8,145.3,667.9,71.7,2580.5,170.4,520.1,676.2,2511.3,109.9,71.5
0.041127,532.1,159.8,667.6,77.8,2559.8,191.9,520.1,675.4,2511.7,109.7,71.7
0.043127,532.6,153.9,668.2,76.6,2535.5,197.8,520,674.6,2512.1,109.6,71.9
0.045127,530.0,151.5,666.3,69.3,2515.5,196.4,519.9,673.7,2512.6,109.5,72.1
0.047127,519.3,161.0,663.9,61.8,2499.2,206.3,519.8,672.7,2513.1,109.3,72.3
0.049127,507.1,163.3,664.9,58.5,2490.9,229.5,519.7,671.7,2513.8,109.2,72.5
0.051127,503.9,147.9,667.0,56.1,2492.7,253.5,519.6,670.6,2514.4,109.1,72.7
0.053127,506.9,132.5,666.9,52.4,2496.0,260.8,519.5,669.4,2515.2,108.9,72.9
0.055127,506.9,129.2,664.8,48.5,2492.9,262.3,519.4,668.3,2516,108.8,73
0.057127,499.6,136.2,663.5,45.8,2477.4,292.1,519.4,667.1,2517,108.7,73.1
0.059127,493.5,134.4,665.2,44.2,2445.8,356.6,519.3,665.8,2518,108.6,73.1
0.061127,496.1,122.9,666.5,42.3,2417.1,401.8,519.3,664.6,2519.1,108.4,73.2
0.063127,501.7,118.2,665.5,40.9,2420.2,394.3,519.2,663.3,2520.2,108.3,73.3
0.065127,502.3,131.7,662.9,41.8,2451.1,358.3,519.2,662,2521.5,108.2,73.3
0.067127,498.0,155.4,661.6,45.3,2484.8,329.0,519.2,660.7,2522.9,108.1,73.3
0.069127,498.6,161.9,662.3,49.4,2507.2,311.3,519.2,659.4,2524.4,108,73.4
0.071127,504.6,153.6,662.3,50.7,2518.2,302.1,519.2,658.2,2526,107.8,73.4
0.073127,508.2,152.4,659.9,49.6,2517.9,307.4,519.3,656.9,2527.8,107.7,73.4
0.075127,504.5,169.5,656.5,49.2,2500.3,334.5,519.4,655.7,2529.6,107.6,73.5
0.077127,499.4,181.3,655.7,50.6,2466.6,369.0,519.5,654.5,2531.6,107.5,73.6
0.079127,500.6,167.2,657.0,50.6,2441.2,388.7,519.6,653.3,2533.7,107.4,73.7
0.081127,503.6,148.6,657.1,46.6,2435.5,411.4,519.8,652.2,2535.9,107.3,73.7
