time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025295,789.7,472.9,1225.1,200.1,2956.7,375.4,730.8,1180,2932.4,99.3,59.7
0.027295,791.8,450.1,1221.7,181.7,2958.8,375.5,731.3,1180.4,2932.3,99.3,60.7
0.029295,785.0,432.2,1218.7,170.2,2953.4,428.3,732.2,1181.1,2932.2,99.3,61.6
0.031295,773.9,418.0,1217.2,180.1,2932.1,599.5,733.4,1182,2932.1,99.3,62.5
0.033295,769.9,394.7,1217.5,194.7,2851.4,788.9,735,1183.1,2932,99.3,63.3
0.035295,773.1,372.1,1218.2,186.7,2822.6,782.8,736.9,1184.5,2931.8,99.3,64
0.037295,775.8,354.8,1218.7,164.8,2842.1,723.8,739,1186,2931.6,99.3,64.6
0.039295,772.9,347.9,1218.7,144.6,2879.4,651.6,741.5,1187.8,2931.3,99.3,65.2
0.041295,762.9,361.3,1218.0,140.1,2928.9,561.2,744.2,1189.8,2931,99.3,65.8
0.043295,759.2,380.7,1217.3,151.8,2960.3,477.7,747.2,1192,2930.7,99.3,66.3
0.045295,765.5,381.5,1217.0,155.9,2972.8,424.2,750.4,1194.3,2930.4,99.3,66.7
0.047295,771.5,367.1,1217.6,143.7,2974.4,389.7,753.8,1196.8,2930,99.3,67
0.049295,773.8,354.3,1218.5,129.2,2971.3,370.0,757.3,1199.3,2929.5,99.4,67.3
0.051295,770.8,356.1,1218.3,127.6,2966.4,380.5,761,1202,2929.1,99.4,67.5
0.053295,766.8,364.1,1214.6,146.7,2966.3,434.8,764.8,1204.7,2928.6,99.4,67.7
0.055295,768.2,357.8,1209.2,162.6,2975.5,479.9,768.7,1207.5,2928.1,99.4,67.8
0.057295,771.4,341.8,1207.1,157.1,2977.8,478.3,772.6,1210.3,2927.5,99.5,67.9
0.059295,774.5,333.6,1208.4,144.3,2965.4,444.8,776.5,1213,2926.9,99.5,68
0.061295,777.4,349.7,1209.7,144.9,2955.9,410.6,780.4,1215.8,2926.3,99.6,68
0.063295,781.1,378.7,1207.1,168.7,2966.9,419.4,784.3,1218.5,2925.6,99.6,68.1
0.065295,786.0,383.0,1202.4,190.0,2984.2,439.8,788,1221.1,2924.9,99.7,68.1
0.067295,787.1,364.9,1201.3,183.4,2992.2,436.3,791.7,1223.6,2924.2,99.7,68.1
0.069295,783.7,347.3,1203.5,162.8,2996.1,420.9,795.2,1226,2923.4,99.7,68.1
0.071295,775.6,347.8,1205.1,152.0,3012.3,416.2,798.5,1228.3,2922.6,99.8,68.1
0.073295,765.0,359.1,1203.0,162.1,3055.7,417.8,801.6,1230.3,2921.8,99.9,68.1
0.075295,757.1,347.5,1197.3,170.1,2778.0,1786.5,804.4,1232.2,2921,99.9,68.1
0.077295,752.9,321.1,1194.0,157.6,2661.7,1634.5,807,1233.9,2920.1,100,68.2
0.079295,754.2,307.3,1194.0,142.4,2708.5,1691.8,809.4,1235.4,2919.2,100,68.2
0.081295,756.3,321.6,1193.2,142.2,2875.0,2013.1,811.4,1236.6,2918.3,100.1,68.2
0.083295,757.1,350.1,1189.6,164.5,2947.4,363.1,813.1,1237.6,2917.3,100.1,68.2
0.085295,758.4,350.8,1188.0,186.7,2893.9,363.0,814.5,1238.3,2916.4,100.2,68.2
0.087295,757.4,327.8,1191.0,182.0,2880.2,356.9,815.5,1238.7,2915.4,100.2,68.2
0.089295,756.5,313.6,1194.4,168.3,2887.8,337.8,816.1,1238.9,2914.4,100.3,68.2
0.091295,757.7,326.9,1194.8,168.6,2905.3,314.2,816.4,1238.8,2913.4,100.3,68.2
0.093295,765.2,359.8,1191.6,193.3,2922.7,335.8,816.3,1238.4,2912.4,100.3,68.2
0.095295,766.2,362.5,1187.4,206.6,2929.8,435.9,815.9,1237.7,2911.3,100.4,68.3
0.097295,753.8,330.9,1186.8,183.8,2926.3,552.7,815,1236.7,2910.3,100.4,68.3
0.099295,746.1,304.7,1192.0,158.2,2900.4,580.7,813.8,1235.5,2909.3,100.5,68.3
0.101295,745.2,312.4,1199.7,153.0,2872.1,501.4,812.2,1234,2908.3,100.5,68.3
0.103295,752.0,347.8,1207.0,171.3,2879.9,411.5,810.3,1232.2,2907.2,100.5,68.4
0.105295,769.6,364.6,1213.9,188.7,2900.2,347.7,808.1,1230.2,2906.2,100.5,68.5
0.107295,784.8,355.2,1219.0,183.6,2918.9,303.6,805.5,1228,2905.2,100.6,68.7
0.109295,796.9,350.1,1220.1,172.7,2935.1,276.4,802.6,1225.5,2904.3,100.6,68.9
0.111295,809.8,374.0,1214.5,176.1,2943.3,264.0,799.5,1222.9,2903.3,100.6,69.1
0.113295,818.5,415.3,1203.5,191.4,2939.7,259.5,796,1220,2902.4,100.6,69.3
0.115295,815.0,429.6,1196.4,197.0,2932.2,261.2,792.4,1217.1,2901.4,100.6,69.5
0.117295,808.8,412.2,1200.5,189.8,2928.2,271.0,788.5,1213.9,2900.5,100.6,69.7
0.119295,817.8,407.6,1211.2,189.4,2926.2,277.3,784.5,1210.7,2899.7,100.6,69.7
0.121295,838.8,435.7,1219.3,205.7,2921.4,276.1,780.3,1207.4,2898.9,100.6,69.8
0.123295,846.2,459.5,1218.7,223.3,2911.6,277.9,776,1204,2898.1,100.6,69.8
0.125295,828.5,439.0,1214.9,221.2,2896.3,284.1,771.6,1200.6,2897.3,100.6,69.9
0.127295,806.3,391.7,1214.3,198.7,2881.9,291.1,767.2,1197.2,2896.6,100.6,69.9
0.129295,796.2,356.1,1217.4,173.0,2873.6,298.6,762.7,1193.8,2895.9,100.6,69.9
0.131295,793.7,348.9,1218.2,156.4,2867.5,323.8,758.3,1190.4,2895.3,100.6,70
0.133295,785.7,352.6,1211.8,150.3,2852.8,371.6,753.9,1187.2,2894.7,100.6,70
0.135295,772.3,338.4,1204.0,145.2,2833.9,400.5,749.7,1184,2894.2,100.6,70
0.137295,759.9,308.2,1200.5,134.8,2826.3,407.4,745.5,1180.9,2893.7,100.5,69.9
0.139295,752.2,284.9,1202.7,123.9,2838.5,407.3,741.5,1178,2893.2,100.5,69.8
0.141295,746.4,287.8,1206.3,123.0,2867.3,392.5,737.7,1175.3,2892.8,100.5,69.7
0.143295,738.0,303.1,1204.7,134.4,2891.0,378.6,734.2,1172.8,2892.5,100.5,69.6
0.145295,730.6,297.1,1198.3,144.5,2896.7,379.9,730.8,1170.4,2892.1,100.5,69.5
0.147295,730.8,280.4,1196.1,145.1,2890.4,361.3,727.8,1168.4,2891.9,100.4,69.4
0.149295,737.7,274.1,1199.5,141.8,2884.4,314.5,725.1,1166.5,2891.7,100.4,69.4
0.151295,742.9,288.4,1200.8,140.8,2883.0,286.3,722.6,1165,2891.5,100.4,69.4
0.153295,741.0,306.6,1196.9,140.3,2877.2,292.8,720.6,1163.7,2891.3,100.4,69.5
0.155295,735.0,295.8,1195.0,130.3,2867.0,316.2,718.8,1162.7,2891.2,100.4,69.6
0.157295,732.5,269.7,1199.0,114.5,2864.8,329.5,717.5,1162.1,2891.1,100.4,69.6
0.159295,735.9,258.0,1206.8,104.0,2880.1,311.8,716.6,1161.7,2891.1,100.4,69.6
0.161295,741.0,271.6,1214.4,105.7,2914.4,280.9,716,1161.6,2891.1,100.3,69.5
0.163295,743.4,293.3,1216.4,122.8,2949.4,269.4,715.9,1161.9,2891.1,100.3,69.5
0.165295,743.3,290.7,1212.6,139.8,2965.8,278.0,716.1,1162.4,2891.1,100.3,69.4
0.167295,742.4,270.1,1208.7,138.9,2966.1,287.0,716.8,1163.3,2891.1,100.3,69.4
0.169295,744.2,256.2,1207.0,127.5,2957.9,278.7,717.9,1164.5,2891.2,100.3,69.4
0.171295,749.1,268.7,1203.5,123.5,2948.2,255.1,719.3,1165.9,2891.2,100.4,69.4
0.173295,753.9,300.5,1195.2,133.3,2940.8,231.2,721.2,1167.6,2891.3,100.4,69.5
0.175295,754.5,309.2,1187.0,143.8,2938.9,220.3,723.4,1169.6,2891.3,100.4,69.5
0.177295,757.2,296.1,1184.9,146.8,2939.0,213.7,725.9,1171.8,2891.4,100.4,69.6
0.179295,769.9,293.4,1187.6,150.6,2935.0,203.7,728.8,1174.3,2891.4,100.4,69.6
0.181295,785.1,315.3,1186.6,160.1,2928.4,205.5,732,1176.9,2891.4,100.4,69.6
0.183295,789.6,348.8,1178.1,171.5,2919.9,227.8,735.4,1179.7,2891.3,100.5,69.6
0.185295,777.9,348.2,1171.9,172.7,2912.4,253.9,739.1,1182.7,2891.2,100.5,69.5
0.187295,766.1,315.1,1174.7,163.8,2910.9,260.3,743.1,1185.7,2891.1,100.5,69.5
0.189295,757.6,284.1,1181.0,147.1,2914.5,249.8,747.2,1188.9,2891,100.6,69.4
0.191295,745.3,278.1,1182.0,129.5,2910.9,243.6,751.4,1192.1,2890.8,100.6,69.4
0.193295,731.4,291.5,1179.3,120.3,2892.9,240.2,755.8,1195.3,2890.5,100.7,69.4
0.195295,724.9,294.8,1179.1,117.3,2872.1,234.7,760.2,1198.6,2890.2,100.7,69.4
0.197295,731.5,285.0,1183.5,117.6,2859.7,233.6,764.7,1201.8,2889.8,100.7,69.5
0.199295,749.1,283.8,1189.5,121.4,2854.3,244.7,769.2,1204.9,2889.3,100.8,69.5
0.201295,769.6,303.8,1191.6,130.3,2849.9,279.8,773.6,1207.9,2888.8,100.8,69.5
0.203295,774.7,323.4,1187.7,136.4,2845.9,350.3,778,1210.8,2888.2,100.9,69.6
0.205295,763.5,314.6,1184.5,134.5,2850.5,415.0,782.2,1213.5,2887.5,100.9,69.6
0.207295,756.6,290.5,1187.0,131.3,2863.2,432.6,786.2,1216,2886.8,101,69.6
0.209295,761.0,279.9,1192.1,132.7,2870.1,417.4,790.1,1218.2,2885.9,101.1,69.6
0.211295,768.0,295.4,1192.5,141.1,2865.9,398.1,793.7,1220.2,2885,101.1,69.6
0.213295,764.4,314.3,1187.3,150.5,2855.3,377.6,797,1221.9,2884,101.2,69.6
0.215295,754.0,305.8,1184.2,155.9,2849.7,352.6,800,1223.3,2882.9,101.2,69.6
0.217295,752.5,288.9,1187.1,161.9,2858.1,322.8,802.6,1224.3,2881.7,101.3,69.7
0.219295,762.6,289.8,1192.0,171.7,2876.8,287.9,804.9,1225,2880.5,101.4,69.7
0.221295,773.2,315.4,1190.0,180.0,2894.1,258.7,806.8,1225.2,2879.2,101.4,69.7
0.223295,767.6,331.9,1182.5,175.2,2902.6,238.6,808.2,1225.1,2877.8,101.5,69.8
0.225295,753.5,310.6,1178.5,161.8,2900.0,229.3,809.2,1224.6,2876.3,101.5,69.8
0.227295,748.0,283.4,1177.5,154.3,2885.5,235.3,809.7,1223.6,2874.8,101.6,69.8
0.229295,751.8,281.5,1174.2,158.5,2861.5,251.6,809.7,1222.2,2873.2,101.7,69.9
0.231295,756.9,306.7,1165.7,166.8,2833.6,259.6,809.2,1220.3,2871.5,101.7,69.9
0.233295,750.3,315.1,1160.3,159.9,2810.7,252.1,808.2,1218.1,2869.8,101.8,70
0.235295,740.3,285.8,1163.5,141.7,2797.9,239.2,806.7,1215.3,2868.1,101.8,70.1
0.237295,739.9,257.2,1169.1,127.4,2798.3,221.5,804.7,1212.2,2866.4,101.9,70.1
0.239295,745.3,250.5,1170.3,122.4,2812.0,205.7,802.2,1208.7,2864.6,101.9,70.1
0.241295,744.3,264.9,1162.6,126.6,2831.4,206.2,799.2,1204.7,2862.8,102,70
0.243295,732.6,280.3,1150.8,136.0,2841.5,223.6,795.7,1200.4,2861,102,69.9
0.245295,722.1,274.4,1147.3,142.5,2831.5,246.1,791.8,1195.7,2859.3,102.1,69.8
0.247295,723.8,270.8,1153.5,144.8,2818.3,252.8,787.4,1190.6,2857.5,102.1,69.7
0.249295,738.6,302.4,1159.6,153.8,2818.1,242.8,782.6,1185.3,2855.8,102.1,69.7
0.251295,755.5,360.0,1158.4,174.7,2826.1,232.7,777.4,1179.7,2854.1,102.2,69.7
0.253295,763.1,385.9,1156.1,201.2,2834.8,224.5,771.8,1173.8,2852.5,102.2,69.7
