time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025617,686.6,106.8,1098.7,64.0,2473.1,256.7,639.7,1051.1,2445.3,0,63.7
0.027617,676.8,103.7,1095.9,59.1,2455.7,227.3,639.9,1051.5,2445.6,0,64.6
0.029617,665.5,111.0,1091.1,65.0,2447.1,194.4,640.4,1052.2,2446.2,0,65.5
0.031617,663.7,113.9,1086.5,73.0,2446.6,168.2,641,1053.2,2447,0,66.3
0.033617,668.3,105.0,1084.8,71.0,2448.4,144.3,641.8,1054.3,2448.1,0,66.9
0.035617,672.2,93.7,1085.3,63.3,2450.3,125.3,642.8,1055.8,2449.3,0,67.4
0.037617,671.9,90.4,1085.9,60.3,2452.0,117.5,643.9,1057.5,2450.8,98.9,67.8
0.039617,667.6,105.7,1085.3,73.8,2455.5,129.1,645.2,1059.4,2452.5,99,68.2
0.041617,668.2,129.1,1084.1,103.4,2464.8,140.4,646.7,1061.5,2454.3,99.2,68.6
0.043617,673.4,133.7,1084.2,118.1,2471.6,132.4,648.2,1063.9,2456.4,99.4,68.9
0.045617,676.2,124.8,1085.0,110.2,2472.9,119.3,650,1066.4,2458.6,99.5,69.3
0.047617,675.2,121.7,1085.8,101.1,2473.3,112.1,651.8,1069.2,2461,99.7,69.6
0.049617,672.0,140.8,1088.3,108.9,2478.0,118.6,653.7,1072.1,2463.6,99.9,69.9
0.051617,673.9,170.7,1093.8,129.1,2488.6,129.2,655.8,1075.1,2466.3,100.1,70.1
0.053617,679.4,175.1,1098.5,131.7,2495.8,127.2,658,1078.2,2469.1,100.3,70.3
0.055617,681.1,159.2,1099.8,114.2,2496.5,117.8,660.2,1081.5,2472,100.5,70.5
0.057617,676.7,147.1,1098.8,96.7,2493.1,111.5,662.5,1084.9,2475,100.7,70.6
0.059617,664.8,152.3,1097.9,91.7,2486.8,117.4,664.8,1088.3,2478.1,100.8,70.5
0.061617,652.7,170.0,1099.0,101.2,2479.4,135.5,667.2,1091.8,2481.3,101,70.5
0.063617,651.7,173.8,1100.2,108.9,2476.7,144.4,669.7,1095.3,2484.5,101.2,70.5
0.065617,655.9,162.2,1099.4,104.3,2478.6,137.5,672.1,1098.8,2487.7,101.4,70.5
0.067617,656.6,150.7,1097.2,95.9,2482.7,127.6,674.6,1102.3,2491,101.5,70.6
0.069617,651.5,148.0,1095.4,95.5,2489.2,126.4,677,1105.7,2494.2,101.7,70.6
0.071617,648.5,147.7,1095.6,103.6,2497.4,132.0,679.4,1109.1,2497.5,101.8,70.8
0.073617,651.8,139.4,1096.1,105.6,2503.2,130.9,681.8,1112.5,2500.6,102,70.8
0.075617,655.9,127.8,1095.1,98.1,2506.0,124.1,684.1,1115.7,2503.8,102.1,70.9
0.077617,656.4,124.8,1093.7,92.7,2508.5,120.7,686.4,1118.8,2506.8,102.2,71
0.079617,653.9,141.6,1093.8,101.2,2512.1,127.4,688.6,1121.7,2509.8,102.3,71
