time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025295,856.6,205.2,1534.1,271.0,2543.4,1026.3,854.5,1515.2,2650.2,101.6,63.7
0.027295,857.6,204.9,1526.5,253.2,2550.5,1044.6,854.8,1515.2,2651,101.6,64.5
0.029295,859.6,223.4,1513.0,260.4,2549.9,1034.0,855.3,1515.2,2652.3,101.7,65.3
0.031295,863.9,231.9,1501.3,265.2,2535.4,971.2,856,1515.3,2654,101.7,66
0.033295,867.8,219.2,1500.1,249.8,2533.2,939.6,856.9,1515.4,2656.2,101.8,66.7
0.035295,870.4,206.1,1505.6,230.2,2559.1,984.7,857.9,1515.5,2659,101.8,67.4
0.037295,872.1,210.8,1515.0,224.9,2651.6,1189.3,859.1,1515.6,2662.1,101.9,68
0.039295,878.4,232.6,1529.7,235.9,3184.0,976.4,860.4,1515.7,2665.7,101.9,68.5
0.041295,887.3,237.7,1541.3,236.9,3056.0,750.1,861.9,1515.8,2669.7,102,69.1
0.043295,889.8,223.7,1542.5,221.1,3062.2,698.7,863.6,1515.9,2674.1,102,69.5
0.045295,889.4,210.3,1538.9,200.6,3082.3,629.7,865.3,1516.1,2678.9,102.1,69.9
0.047295,889.0,210.1,1532.0,185.9,2948.0,3065.7,867.2,1516.2,2684,102.1,70.3
0.049295,889.0,226.9,1520.6,185.8,2732.6,2735.8,869.1,1516.4,2689.4,102.2,70.6
0.051295,888.3,233.4,1509.1,186.8,2633.4,2370.9,871.1,1516.5,2695.1,102.2,70.9
0.053295,886.9,218.7,1503.6,176.1,2587.8,2105.7,873.1,1516.6,2701.1,102.2,71
0.055295,884.7,202.6,1502.7,162.2,2550.7,2009.6,875.2,1516.7,2707.2,102.2,71.1
0.057295,880.8,203.9,1504.0,158.9,2502.6,2119.6,877.3,1516.8,2713.6,102.2,71.1
0.059295,877.0,228.7,1505.8,176.7,2444.1,2412.3,879.4,1516.9,2720.1,102.3,71
0.061295,876.8,251.6,1506.7,206.1,2431.6,2634.7,881.5,1517,2726.7,102.3,70.8
0.063295,876.7,245.9,1506.0,216.4,2486.5,2562.3,883.5,1517,2733.4,102.3,70.7
0.065295,874.9,231.7,1506.2,210.5,2529.1,2375.5,885.5,1517,2740.1,102.2,70.7
0.067295,873.5,235.3,1507.7,211.7,2512.9,2223.6,887.4,1517,2746.9,102.2,70.7
0.069295,875.9,259.5,1509.0,225.3,2449.4,2136.7,889.2,1517,2753.6,102.2,70.7
0.071295,882.3,268.3,1510.5,225.4,2453.8,2181.6,890.8,1516.9,2760.2,102.2,70.8
0.073295,887.9,254.3,1514.0,207.1,2618.7,2430.2,892.4,1516.8,2766.8,102.1,71
0.075295,889.8,242.3,1517.2,191.3,2986.0,2878.8,893.8,1516.7,2773.2,102.1,71.1
0.077295,887.5,248.0,1518.0,194.7,3148.0,455.9,895,1516.5,2779.6,102.1,71.1
0.079295,885.8,267.1,1515.2,219.7,3139.4,470.7,896.1,1516.3,2785.7,102,71.2
