time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025077,706.1,115.1,1429.0,242.8,2419.8,192.5,687.5,1411.2,2410.5,105,64.2
0.027077,700.5,127.3,1423.9,258.5,2415.1,185.9,687.5,1410.9,2410.6,105,64.9
0.029077,698.3,121.9,1418.6,251.1,2412.9,176.7,687.5,1410.4,2410.6,105,65.6
0.031077,697.3,109.2,1415.4,236.2,2412.5,162.6,687.6,1409.7,2410.7,105.1,66.3
0.033077,695.9,103.4,1412.8,233.6,2415.0,149.2,687.6,1408.8,2410.8,105.1,66.9
0.035077,695.8,110.1,1409.4,250.3,2420.8,143.6,687.6,1407.7,2410.9,105.1,67.5
0.037077,698.4,115.5,1406.9,262.2,2426.1,144.9,687.7,1406.4,2411,105.1,68.1
0.039077,700.2,108.5,1405.2,254.9,2427.6,144.3,687.7,1405,2411.2,105.2,68.6
0.041077,698.9,98.4,1403.1,242.2,2426.5,140.6,687.8,1403.3,2411.3,105.2,69.1
0.043077,693.0,96.2,1398.3,238.5,2424.6,143.0,687.8,1401.6,2411.5,105.2,69.6
0.045077,684.9,104.3,1390.5,241.6,2421.6,158.5,687.9,1399.6,2411.7,105.2,70
0.047077,680.8,107.7,1385.2,235.1,2417.3,172.8,687.9,1397.6,2411.8,105.3,70.4
0.049077,681.1,100.2,1384.0,221.0,2413.2,171.5,688,1395.4,2412,105.3,70.7
0.051077,681.5,91.0,1385.0,210.4,2411.5,157.2,688,1393,2412.1,105.3,70.9
0.053077,680.0,90.3,1387.4,214.1,2413.2,137.6,688,1390.6,2412.3,105.3,71.1
0.055077,679.5,100.5,1392.1,227.2,2415.7,120.1,688,1388.1,2412.4,105.3,71.2
0.057077,682.8,105.9,1395.7,225.5,2414.7,109.7,688.1,1385.4,2412.5,105.3,71.4
0.059077,685.7,99.3,1395.5,213.2,2410.8,103.4,688.1,1382.8,2412.6,105.3,71.4
0.061077,685.9,91.1,1392.6,206.2,2406.2,99.7,688,1380,2412.6,105.3,71.5
0.063077,683.4,91.6,1384.9,215.0,2402.4,105.2,688,1377.2,2412.7,105.3,71.6
0.065077,680.3,100.3,1370.6,231.3,2400.4,127.1,688,1374.4,2412.7,105.3,71.6
0.067077,679.9,101.0,1360.7,230.0,2399.0,149.5,687.9,1371.6,2412.6,105.3,71.7
0.069077,681.0,93.1,1358.4,217.4,2396.8,156.6,687.9,1368.7,2412.6,105.3,71.7
0.071077,681.0,87.5,1360.0,210.4,2394.8,152.4,687.8,1365.9,2412.4,105.2,71.7
0.073077,679.9,92.7,1361.8,217.0,2395.1,149.5,687.7,1363.1,2412.3,105.2,71.7
0.075077,680.7,102.6,1361.5,222.1,2397.4,152.3,687.5,1360.3,2412.1,105.2,71.8
0.077077,683.3,102.0,1359.8,212.4,2398.7,153.2,687.4,1357.5,2411.8,105.2,71.8
0.079077,684.5,93.8,1357.6,199.2,2397.8,151.5,687.2,1354.9,2411.5,105.2,71.8
0.081077,682.9,89.8,1353.0,195.5,2396.4,155.7,687,1352.3,2411.1,105.1,71.9
0.083077,679.8,95.9,1344.2,202.2,2397.4,171.1,686.8,1349.7,2410.7,105.1,72
0.085077,678.9,101.7,1336.1,202.6,2401.1,184.4,686.6,1347.3,2410.3,105.1,72
0.087077,680.4,96.9,1333.1,191.9,2404.2,184.8,686.4,1345,2409.8,105,72.1
0.089077,681.1,88.2,1332.8,181.1,2406.1,179.1,686.2,1342.7,2409.2,105,72.1
0.091077,679.5,88.2,1333.4,181.2,2407.9,173.9,685.9,1340.6,2408.7,105,72.2
0.093077,678.0,98.9,1333.9,188.4,2408.2,167.5,685.6,1338.6,2408,104.9,72.2
0.095077,679.4,104.5,1333.9,185.7,2405.7,156.6,685.4,1336.7,2407.4,104.9,72.2
0.097077,681.6,97.4,1333.5,173.5,2402.6,144.5,685.1,1335,2406.7,104.9,72.2
0.099077,681.2,88.2,1332.1,163.4,2401.0,137.2,684.8,1333.4,2405.9,104.9,72.3
0.101077,677.7,87.5,1328.6,164.5,2402.2,141.2,684.6,1331.9,2405.2,104.8,72.3
0.103077,674.3,94.9,1323.4,172.9,2406.0,156.0,684.3,1330.6,2404.4,104.8,72.3
0.105077,675.7,96.3,1321.0,172.2,2408.0,163.7,684,1329.4,2403.6,104.8,72.4
0.107077,679.6,89.7,1322.5,162.5,2406.4,153.8,683.8,1328.3,2402.8,104.7,72.4
0.109077,682.3,85.4,1324.5,156.0,2403.9,135.7,683.6,1327.4,2402,104.7,72.4
0.111077,682.7,93.2,1322.2,164.5,2402.7,123.6,683.3,1326.6,2401.2,104.7,72.5
0.113077,683.9,106.6,1316.5,178.3,2402.6,122.8,683.2,1326,2400.4,104.6,72.5
0.115077,687.4,107.6,1315.3,178.5,2402.1,124.9,683,1325.5,2399.6,104.6,72.5
0.117077,690.8,99.2,1320.4,169.9,2400.9,127.6,682.8,1325.1,2398.8,104.6,72.5
0.119077,692.1,95.3,1329.9,165.7,2400.3,136.3,682.7,1324.9,2398.1,104.5,72.6
0.121077,690.7,103.5,1339.3,171.8,2402.6,157.8,682.7,1324.7,2397.4,104.5,72.6
0.123077,688.1,112.9,1340.3,176.7,2406.8,182.9,682.6,1324.7,2396.8,104.5,72.6
0.125077,686.8,108.9,1335.4,169.9,2407.8,191.7,682.6,1324.8,2396.1,104.5,72.6
0.127077,687.6,99.3,1333.1,158.3,2404.8,188.9,682.7,1324.9,2395.6,104.4,72.6
0.129077,688.7,98.5,1334.7,153.8,2400.4,191.8,682.8,1325.2,2395.1,104.4,72.6
0.131077,688.7,111.0,1335.1,159.5,2397.0,211.6,682.9,1325.5,2394.7,104.4,72.6
0.133077,688.5,120.2,1330.9,161.4,2396.5,234.8,683.1,1325.9,2394.4,104.3,72.7
0.135077,689.2,113.2,1327.8,153.2,2397.5,242.9,683.3,1326.4,2394.1,104.3,72.7
0.137077,690.8,103.4,1330.0,144.7,2397.5,246.0,683.6,1326.9,2393.9,104.3,72.8
0.139077,691.6,104.5,1335.9,145.8,2396.6,254.1,684,1327.4,2393.8,104.3,72.8
0.141077,690.6,116.2,1338.8,155.1,2396.4,259.5,684.3,1328,2393.8,104.2,72.8
0.143077,689.1,120.2,1334.8,158.2,2397.6,249.2,684.8,1328.5,2393.9,104.2,72.9
0.145077,689.1,111.7,1330.9,153.3,2399.8,236.8,685.3,1329.1,2394.1,104.2,72.9
0.147077,691.1,105.0,1333.2,152.0,2402.7,234.9,685.9,1329.7,2394.4,104.1,72.9
0.149077,693.3,111.7,1339.6,163.1,2407.3,241.9,686.5,1330.3,2394.8,104.1,72.9
0.151077,693.0,126.2,1341.3,178.0,2411.3,246.0,687.1,1330.8,2395.3,104.1,72.9
0.153077,690.5,127.0,1335.1,177.8,2411.4,240.3,687.8,1331.3,2396,104.1,73
0.155077,689.7,115.1,1330.6,165.9,2408.9,229.6,688.5,1331.8,2396.7,104,73
0.157077,692.2,108.4,1334.6,158.2,2405.2,215.7,689.3,1332.2,2397.5,104,73
0.159077,695.2,117.6,1342.3,162.6,2401.5,200.4,690.1,1332.5,2398.4,104,73.1
0.161077,695.0,129.6,1342.3,167.5,2398.5,188.3,691,1332.8,2399.4,103.9,73.1
0.163077,693.1,125.4,1335.2,160.9,2397.2,179.3,691.9,1333.1,2400.5,103.9,73.1
0.165077,694.5,113.8,1331.8,150.2,2397.8,169.9,692.7,1333.2,2401.7,103.8,73.2
0.167077,700.0,112.7,1335.7,149.6,2399.4,161.3,693.7,1333.3,2402.9,103.8,73.2
0.169077,706.1,128.1,1341.1,163.3,2400.4,159.0,694.6,1333.2,2404.3,103.8,73.3
0.171077,707.1,141.9,1338.3,174.5,2399.8,164.3,695.5,1333.1,2405.7,103.7,73.3
0.173077,702.8,134.1,1329.1,167.5,2398.5,171.7,696.4,1332.9,2407.2,103.7,73.3
0.175077,699.6,117.0,1322.2,153.1,2399.0,180.2,697.3,1332.6,2408.7,103.7,73.3
0.177077,699.0,110.4,1319.5,149.4,2403.3,197.4,698.2,1332.2,2410.3,103.6,73.3
0.179077,700.1,123.3,1320.1,166.1,2411.0,225.1,699.1,1331.6,2411.9,103.6,73.2
0.181077,701.4,135.4,1321.7,180.7,2414.0,233.4,700,1331,2413.6,103.6,73.2
0.183077,700.6,127.3,1321.3,174.2,2412.7,218.7,700.8,1330.3,2415.2,103.5,73.1
0.185077,698.2,111.8,1318.9,159.5,2413.3,205.6,701.6,1329.5,2416.9,103.5,73
0.187077,694.6,107.6,1314.3,154.4,2419.0,212.6,702.3,1328.6,2418.6,103.4,73
0.189077,690.2,122.4,1308.2,162.9,2427.3,238.3,703,1327.6,2420.3,103.4,72.9
0.191077,689.1,137.2,1305.9,166.7,2431.0,248.3,703.6,1326.5,2422,103.4,72.9
0.193077,693.0,133.5,1309.8,157.7,2431.2,230.5,704.1,1325.4,2423.6,103.3,72.9
0.195077,698.6,123.6,1316.4,147.2,2431.4,205.9,704.6,1324.1,2425.2,103.3,72.9
0.197077,701.7,123.2,1321.6,145.1,2430.3,191.1,705,1322.8,2426.7,103.2,73
0.199077,699.4,130.2,1321.9,147.7,2423.8,187.1,705.3,1321.5,2428.3,103.2,73
0.201077,692.6,124.8,1317.3,140.2,2413.9,185.3,705.5,1320,2429.7,103.1,73.1
0.203077,687.3,107.2,1313.1,125.7,2407.2,184.7,705.6,1318.6,2431.1,103,73.1
0.205077,684.4,93.9,1310.9,116.6,2405.9,190.3,705.6,1317.1,2432.4,103,73
0.207077,683.0,99.0,1309.9,126.2,2413.6,204.2,705.6,1315.5,2433.6,102.9,72.9
0.209077,685.0,121.1,1309.7,154.0,2427.3,217.2,705.4,1314,2434.7,102.9,72.8
0.211077,690.7,131.5,1311.0,172.0,2435.3,219.3,705.1,1312.5,2435.7,102.8,72.7
0.213077,697.3,123.4,1316.0,170.9,2437.3,212.5,704.7,1310.9,2436.6,102.7,72.6
0.215077,705.0,118.4,1325.6,170.5,2438.8,208.6,704.2,1309.4,2437.4,102.7,72.6
0.217077,713.3,131.4,1335.6,185.4,2441.9,219.4,703.6,1307.9,2438.1,102.6,72.5
0.219077,718.4,153.1,1337.4,204.6,2442.5,244.4,702.9,1306.4,2438.7,102.5,72.5
0.221077,714.4,155.0,1328.3,205.0,2436.9,270.0,702.2,1305,2439.1,102.4,72.4
0.223077,706.1,136.5,1316.8,189.6,2427.5,284.4,701.3,1303.6,2439.5,102.4,72.3
0.225077,698.3,119.2,1306.4,178.3,2417.9,287.3,700.3,1302.3,2439.7,102.3,72.2
0.227077,691.1,121.3,1292.7,189.2,2413.2,289.6,699.2,1301.1,2439.8,102.2,72.1
0.229077,685.5,133.6,1274.7,208.6,2411.5,292.6,698.1,1299.9,2439.8,102.2,72
0.231077,685.5,132.0,1266.4,209.3,2412.0,286.2,696.8,1298.9,2439.7,102.1,71.9
0.233077,690.4,120.8,1271.9,199.7,2417.4,270.9,695.5,1297.9,2439.5,102,71.9
