time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025687,778.8,305.6,1104.4,224.6,3007.8,168.4,685.9,1015,2963.2,102.2,62.4
0.027687,762.9,284.2,1103.7,186.7,3000.4,154.4,686.3,1015.9,2963.4,102,63.4
0.029687,741.3,269.3,1099.9,155.5,2991.8,141.5,686.8,1017.3,2963.6,101.8,64.3
0.031687,716.3,260.2,1095.2,143.2,2983.8,132.5,687.6,1019.3,2964,101.6,65
0.033687,704.0,250.6,1093.7,156.8,2979.5,132.0,688.6,1021.9,2964.4,101.4,65.6
0.035687,703.9,232.6,1096.1,171.2,2979.7,131.4,689.8,1025,2964.9,101.2,66.2
0.037687,704.7,211.8,1098.7,166.5,2979.1,123.1,691.3,1028.6,2965.5,101,66.6
0.039687,703.0,200.6,1098.7,154.7,2975.8,112.6,692.9,1032.7,2966.2,100.8,67
0.041687,699.8,212.1,1095.6,159.2,2973.2,110.4,694.7,1037.2,2967,100.6,67.4
0.043687,700.2,235.3,1092.2,187.3,2977.0,118.6,696.6,1042.1,2967.8,100.5,67.8
0.045687,702.9,236.7,1092.3,205.8,2983.5,122.1,698.7,1047.4,2968.6,100.3,68.1
0.047687,702.1,220.4,1094.5,194.8,2985.2,116.4,701,1053.1,2969.5,100.2,68.4
0.049687,697.9,202.5,1095.3,170.3,2982.4,107.8,703.3,1059,2970.4,100,68.6
0.051687,689.7,190.7,1093.6,152.2,2978.4,103.5,705.8,1065.1,2971.4,99.9,68.7
0.053687,682.3,185.2,1091.6,155.4,2977.4,110.7,708.3,1071.5,2972.3,99.8,68.8
0.055687,682.8,177.9,1092.7,171.0,2982.2,128.9,711,1077.9,2973.2,99.7,68.9
0.057687,684.7,163.7,1093.8,169.7,2986.9,142.7,713.6,1084.5,2974.2,99.7,69
0.059687,685.2,153.0,1092.8,159.1,2984.1,144.6,716.3,1091.1,2975.1,99.6,69.1
0.061687,688.7,163.6,1092.6,169.2,2976.7,139.4,719,1097.7,2975.9,99.5,69.1
0.063687,700.6,199.4,1096.3,215.3,2971.1,136.8,721.7,1104.2,2976.7,99.5,69.2
0.065687,713.4,218.6,1102.1,244.6,2970.9,141.6,724.3,1110.5,2977.5,99.5,69.3
0.067687,715.8,211.2,1101.4,216.9,2971.6,144.8,726.9,1116.7,2978.1,99.5,69.5
0.069687,717.9,202.8,1095.3,176.4,2970.7,141.1,729.5,1122.7,2978.7,99.5,69.6
0.071687,728.1,218.0,1088.8,164.5,2971.8,130.9,731.9,1128.3,2979.2,99.4,69.8
0.073687,742.5,255.0,1084.4,191.6,2976.8,119.3,734.2,1133.7,2979.5,99.4,70
0.075687,745.7,265.0,1085.2,223.9,2979.6,111.3,736.4,1138.6,2979.8,99.5,70.1
0.077687,737.7,243.9,1088.9,227.0,2977.7,104.5,738.5,1143.2,2979.9,99.5,70.2
0.079687,729.8,224.2,1083.9,196.3,2972.1,98.4,740.3,1147.3,2979.9,99.5,70.3
0.081687,725.4,223.8,1069.4,158.3,2964.9,94.9,742,1150.9,2979.8,99.5,70.3
0.083687,723.1,244.2,1057.8,145.9,2958.1,98.9,743.6,1153.9,2979.5,99.5,70.3
0.085687,725.5,258.8,1058.6,167.6,2954.1,108.7,744.9,1156.4,2979.1,99.5,70.3
0.087687,729.4,244.8,1071.1,197.3,2953.8,114.6,745.9,1158.3,2978.5,99.6,70.4
0.089687,735.2,232.2,1081.0,201.7,2952.9,119.6,746.8,1159.6,2977.8,99.6,70.4
0.091687,747.4,249.0,1076.7,186.1,2951.2,132.9,747.4,1160.3,2976.9,99.6,70.5
0.093687,754.4,282.2,1067.4,175.1,2951.4,153.1,747.8,1160.4,2975.8,99.6,70.5
0.095687,745.3,285.1,1066.3,173.8,2953.9,168.3,747.9,1159.7,2974.6,99.7,70.6
0.097687,732.2,253.9,1074.2,175.1,2956.7,173.7,747.8,1158.5,2973.2,99.7,70.6
0.099687,727.4,228.3,1081.7,163.9,2958.3,174.8,747.3,1156.6,2971.7,99.7,70.6
0.101687,732.2,230.8,1081.3,139.1,2958.1,175.5,746.7,1154.1,2970.1,99.8,70.6
0.103687,732.8,252.8,1076.0,117.2,2956.7,178.0,745.8,1150.9,2968.3,99.8,70.6
0.105687,718.2,253.4,1074.6,102.5,2953.2,184.5,744.6,1147.1,2966.4,99.9,70.7
0.107687,704.6,226.6,1078.5,94.5,2946.9,199.5,743.1,1142.7,2964.3,99.9,70.7
0.109687,706.8,207.8,1083.3,90.2,2938.0,234.4,741.4,1137.8,2962.2,99.9,70.7
0.111687,725.2,221.4,1083.9,89.8,2924.2,306.5,739.5,1132.3,2959.9,100,70.7
0.113687,740.1,253.3,1079.3,93.3,2902.0,417.2,737.3,1126.3,2957.6,100,70.8
0.115687,729.1,261.7,1073.6,95.5,2893.8,458.1,735,1119.9,2955.1,100.1,70.8
0.117687,708.8,237.2,1070.0,98.4,2914.6,355.7,732.4,1113.1,2952.7,100.1,70.9
0.119687,701.0,214.7,1066.7,102.5,2926.3,245.2,729.5,1105.8,2950.1,100.2,70.9
0.121687,706.7,223.6,1060.8,103.4,2925.6,181.9,726.6,1098.3,2947.6,100.2,70.9
0.123687,708.1,252.9,1051.4,100.0,2920.5,147.0,723.4,1090.4,2945,100.3,71
0.125687,697.1,261.8,1044.1,97.5,2912.7,127.1,720.1,1082.4,2942.5,100.4,71
0.127687,688.6,244.4,1041.2,99.7,2904.1,114.7,716.6,1074.2,2939.9,100.4,71
0.129687,691.9,227.0,1043.1,101.2,2896.8,111.7,713,1065.9,2937.4,100.5,71
0.131687,705.0,233.9,1047.2,97.6,2892.4,123.7,709.4,1057.6,2934.9,100.5,71
0.133687,718.2,266.0,1049.4,98.8,2889.4,145.8,705.6,1049.2,2932.6,100.6,71
0.135687,719.1,280.0,1051.7,105.8,2882.0,159.5,701.8,1041,2930.3,100.6,71
0.137687,712.9,259.2,1057.1,114.3,2874.5,162.4,697.9,1032.9,2928.1,100.7,70.9
0.139687,711.2,234.1,1064.2,116.2,2876.7,178.2,694.1,1025,2926,100.7,70.9
0.141687,714.6,232.7,1066.9,108.2,2899.4,243.4,690.2,1017.3,2924.1,100.8,70.9
0.143687,715.4,251.0,1066.0,105.7,2948.5,352.8,686.3,1010,2922.3,100.8,70.9
0.145687,706.2,252.6,1065.6,110.2,3002.2,426.3,682.5,1003.1,2920.7,100.9,71
0.147687,693.5,225.3,1065.9,114.7,3014.4,400.8,678.7,996.6,2919.3,100.9,71
0.149687,687.3,200.6,1062.8,111.4,2996.9,313.6,675,990.6,2918.1,101,71
0.151687,686.8,204.6,1054.5,100.4,2986.1,228.5,671.4,985.2,2917.1,101,70.9
0.153687,682.3,230.4,1045.9,95.0,2990.6,186.1,667.9,980.3,2916.4,101.1,70.9
0.155687,673.1,239.3,1041.4,100.3,2997.6,173.3,664.6,976.1,2915.8,101.1,70.9
0.157687,668.6,223.2,1040.9,113.2,3000.1,171.0,661.4,972.5,2915.5,101.1,70.9
0.159687,670.2,206.5,1042.0,121.9,2998.4,176.5,658.4,969.7,2915.5,101.2,70.9
0.161687,674.0,212.9,1040.5,119.5,2993.9,199.1,655.5,967.6,2915.7,101.2,70.9
0.163687,678.8,240.3,1038.1,123.1,2981.7,245.5,652.8,966.2,2916.2,101.2,70.9
0.165687,684.4,250.7,1040.0,136.6,2950.2,289.8,650.3,965.6,2916.9,101.2,70.9
0.167687,687.7,234.5,1047.4,145.4,2922.2,270.5,648,965.8,2917.9,101.3,70.9
0.169687,687.0,215.3,1057.0,139.3,2916.0,212.3,646,966.9,2919.2,101.3,70.8
0.171687,683.1,216.5,1063.5,125.3,2918.2,172.2,644.1,968.7,2920.7,101.3,70.6
0.173687,676.5,234.0,1067.7,121.8,2921.2,156.8,642.5,971.4,2922.5,101.3,70.4
0.175687,670.5,231.3,1074.0,131.7,2924.9,159.4,641.1,974.8,2924.5,101.3,70.2
0.177687,668.8,209.6,1083.5,148.7,2930.2,176.1,640,979.1,2926.8,101.3,70
0.179687,669.4,196.4,1093.4,166.9,2937.6,205.0,639,984.1,2929.3,101.3,69.8
0.181687,669.7,208.6,1099.8,186.3,2946.3,229.6,638.3,989.8,2932.1,101.3,69.6
0.183687,666.8,227.0,1102.8,201.2,2953.7,228.1,637.9,996.3,2935,101.3,69.5
0.185687,661.3,215.8,1105.6,201.2,2958.8,213.1,637.6,1003.4,2938.2,101.3,69.5
0.187687,656.9,190.1,1106.3,187.8,2963.7,202.7,637.5,1011.2,2941.5,101.3,69.4
0.189687,653.5,175.9,1104.3,171.5,2970.1,198.9,637.7,1019.5,2945,101.3,69.4
0.191687,648.2,183.3,1100.7,162.4,2979.1,195.9,638,1028.4,2948.6,101.3,69.3
0.193687,640.0,197.5,1097.1,162.3,2986.2,193.7,638.5,1037.8,2952.4,101.3,69.3
