time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025512,624.7,155.5,884.4,98.3,2588.5,63.5,626.6,835.3,2573.7,99.6,66.2
0.027512,626.1,134.8,885.2,83.3,2588.4,54.3,626.6,835.7,2573.7,99.8,67
0.029512,623.7,123.4,885.6,74.7,2587.6,51.5,626.6,836.3,2573.8,100,67.7
0.031512,618.8,132.4,886.4,83.6,2585.2,58.9,626.6,837.1,2573.9,100.2,68.3
0.033512,617.1,145.6,887.9,104.3,2582.6,68.1,626.6,838.1,2574,100.4,68.8
0.035512,619.8,144.8,888.4,113.9,2582.3,67.2,626.5,839.4,2574.1,100.6,69.4
0.037512,622.6,135.9,886.8,107.0,2583.7,60.9,626.5,840.8,2574.2,100.8,69.9
0.039512,622.4,131.1,882.0,96.1,2584.7,58.1,626.5,842.5,2574.3,101,70.4
0.041512,619.7,141.7,874.5,95.9,2582.7,66.1,626.4,844.3,2574.5,101.2,70.9
0.043512,619.5,157.7,867.3,103.3,2576.3,81.8,626.4,846.3,2574.6,101.4,71.4
0.045512,621.7,155.9,865.0,101.5,2570.6,87.1,626.3,848.4,2574.8,101.5,71.8
0.047512,623.1,141.0,866.0,88.1,2569.7,80.5,626.2,850.7,2574.9,101.7,72.2
0.049512,622.5,130.9,865.5,75.3,2571.7,73.7,626.2,853.1,2575.1,101.9,72.5
0.051512,620.9,140.0,861.4,75.2,2574.6,72.9,626.1,855.5,2575.2,102,72.8
0.053512,623.6,156.4,856.9,87.5,2575.6,73.1,626,858,2575.4,102.2,73.1
0.055512,627.9,152.7,856.8,93.3,2575.2,69.0,625.9,860.6,2575.5,102.3,73.3
0.057512,628.7,135.7,859.6,85.1,2575.3,64.7,625.8,863.2,2575.6,102.5,73.5
0.059512,628.1,128.8,860.8,76.6,2576.2,65.2,625.7,865.8,2575.7,102.6,73.6
0.061512,628.2,146.4,858.4,80.6,2577.1,72.9,625.5,868.4,2575.7,102.7,73.7
0.063512,631.1,172.3,854.8,92.2,2576.3,79.1,625.4,870.9,2575.7,102.8,73.8
0.065512,633.3,171.9,855.5,93.7,2574.2,75.5,625.2,873.4,2575.7,102.8,73.9
0.067512,633.1,157.4,858.4,84.8,2572.1,68.5,625.1,875.8,2575.6,102.9,73.9
0.069512,631.3,154.8,858.7,78.5,2570.0,66.1,624.9,878,2575.5,102.9,73.9
