time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025701,728.1,285.2,1226.9,141.2,2913.3,214.1,674.3,1222.7,2885.2,102.2,62.9
0.027701,721.4,304.3,1230.0,140.4,2903.4,218.1,674.4,1222.7,2885.4,102.3,63.4
0.029701,716.2,336.1,1231.1,157.0,2898.8,237.9,674.5,1222.8,2885.8,102.4,63.9
0.031701,719.2,349.2,1230.3,170.8,2907.3,243.1,674.6,1223,2886.3,102.5,64.4
0.033701,721.8,341.5,1229.6,162.5,2916.3,226.0,674.8,1223.2,2887,102.6,64.9
0.035701,716.0,329.9,1228.8,142.3,2917.7,207.0,675,1223.4,2887.8,102.7,65.3
0.037701,699.8,323.8,1226.4,125.6,2911.0,201.6,675.2,1223.6,2888.8,102.8,65.8
0.039701,685.7,316.8,1222.9,119.4,2901.8,213.7,675.5,1223.9,2889.9,102.9,66.2
0.041701,684.6,301.2,1220.5,115.0,2902.0,223.8,675.8,1224.2,2891.2,103,66.6
0.043701,687.3,278.7,1220.1,104.4,2909.1,220.2,676.1,1224.6,2892.5,103.1,67
0.045701,684.7,257.1,1220.9,92.6,2912.5,220.4,676.4,1225,2894,103.2,67.3
0.047701,675.9,246.4,1223.7,89.8,2909.2,241.0,676.8,1225.4,2895.6,103.3,67.6
0.049701,670.7,243.8,1228.8,99.2,2905.4,268.1,677.1,1225.8,2897.4,103.4,67.9
0.051701,674.7,236.7,1233.5,106.1,2907.9,267.9,677.5,1226.3,2899.2,103.5,68.1
0.053701,680.2,225.6,1235.9,101.9,2910.8,248.4,677.9,1226.8,2901.1,103.6,68.3
0.055701,680.1,218.1,1236.0,93.4,2907.2,236.2,678.3,1227.3,2903.2,103.7,68.4
0.057701,671.9,219.8,1233.7,89.2,2892.4,253.3,678.6,1227.9,2905.3,103.7,68.4
0.059701,664.2,223.0,1229.6,90.4,2869.3,297.1,679,1228.5,2907.5,103.8,68.5
0.061701,666.4,216.3,1227.3,88.8,2859.5,320.9,679.3,1229.1,2909.7,103.9,68.5
0.063701,671.3,205.2,1227.9,81.8,2867.5,309.6,679.6,1229.7,2912.1,104,68.6
0.065701,670.3,198.7,1229.0,74.4,2879.5,294.3,679.9,1230.3,2914.5,104.1,68.7
0.067701,662.8,204.0,1228.1,73.4,2892.0,298.9,680.2,1230.9,2916.9,104.1,68.7
0.069701,660.0,211.8,1225.7,77.8,2907.6,312.4,680.4,1231.6,2919.4,104.2,68.8
0.071701,664.8,207.6,1224.3,78.5,2924.7,305.7,680.6,1232.3,2921.9,104.3,68.9
0.073701,669.1,195.0,1225.3,72.9,2937.1,281.2,680.7,1232.9,2924.4,104.4,69
0.075701,666.6,187.8,1227.1,67.4,2944.8,253.7,680.8,1233.6,2926.9,104.4,69
0.077701,657.8,191.9,1227.6,68.0,2946.1,226.5,680.8,1234.3,2929.5,104.5,69.1
0.079701,655.0,193.6,1226.4,71.4,2939.8,213.5,680.8,1234.9,2932,104.5,69.1
0.081701,659.8,186.2,1226.5,71.2,2933.7,210.9,680.7,1235.6,2934.5,104.6,69.2
0.083701,664.5,179.3,1230.0,68.7,2936.2,211.0,680.5,1236.3,2937.1,104.7,69.3
0.085701,662.7,182.2,1235.8,69.4,2952.0,222.2,680.3,1236.9,2939.5,104.7,69.3
0.087701,655.9,190.3,1241.2,75.5,2982.7,250.6,680,1237.6,2942,104.8,69.4
0.089701,653.2,187.1,1243.2,79.3,3021.3,283.8,679.6,1238.2,2944.4,104.8,69.5
0.091701,655.7,173.0,1242.8,74.3,3011.8,490.5,679.2,1238.8,2946.8,104.9,69.5
0.093701,656.8,161.7,1242.6,66.7,2974.1,430.8,678.6,1239.4,2949.1,104.9,69.7
0.095701,653.6,161.0,1242.6,64.1,2952.9,436.8,678,1240,2951.3,105,69.8
0.097701,650.7,165.8,1241.9,67.4,2920.9,481.8,677.3,1240.6,2953.5,105,69.9
0.099701,653.6,165.3,1240.5,68.3,2884.8,493.9,676.6,1241.1,2955.6,105.1,70.1
0.101701,659.4,162.6,1240.3,63.2,2859.8,464.9,675.7,1241.7,2957.6,105.1,70.2
0.103701,662.7,164.9,1241.7,57.3,2845.8,433.3,674.8,1242.2,2959.6,105.1,70.3
0.105701,659.3,168.4,1243.3,55.3,2846.0,448.5,673.8,1242.7,2961.4,105.2,70.4
0.107701,653.4,162.5,1244.6,58.0,2877.5,523.9,672.7,1243.1,2963.2,105.2,70.4
0.109701,653.1,153.5,1246.2,62.9,2956.4,608.3,671.6,1243.5,2964.9,105.2,70.4
0.111701,657.0,154.7,1249.0,67.0,3010.1,242.0,670.4,1243.9,2966.4,105.3,70.3
0.113701,659.5,170.5,1251.6,70.9,2985.6,182.8,669.1,1244.3,2967.9,105.3,70.3
0.115701,655.4,188.1,1251.5,75.2,2977.8,140.9,667.7,1244.6,2969.3,105.3,70.2
0.117701,648.8,178.0,1247.3,75.9,2978.3,121.6,666.3,1244.9,2970.6,105.3,70.1
0.119701,645.8,150.5,1241.7,70.6,2982.1,118.9,664.9,1245.2,2971.7,105.3,70.1
0.121701,645.2,129.2,1238.0,62.8,2988.3,137.1,663.4,1245.4,2972.8,105.4,70
0.123701,644.1,125.3,1236.9,62.0,3003.9,197.8,661.8,1245.6,2973.8,105.4,70
0.125701,643.7,133.0,1235.6,72.9,2997.5,644.5,660.3,1245.8,2974.6,105.4,69.9
0.127701,646.7,135.8,1233.3,87.3,2879.3,645.0,658.6,1245.9,2975.4,105.4,69.9
0.129701,650.4,130.5,1231.6,91.3,2860.1,573.7,657,1246,2976,105.4,69.9
0.131701,649.4,123.1,1230.8,83.9,2866.7,540.5,655.4,1246.1,2976.6,105.4,69.9
