time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025825,653.5,130.9,1175.9,99.0,2355.8,255.6,632.3,1123.6,2336.2,108.8,60.1
0.027825,649.5,191.8,1172.7,129.8,2408.2,316.1,632.6,1124.1,2336.6,108.4,60.9
0.029825,679.2,236.1,1191.0,154.8,2426.3,248.6,633.1,1125.1,2337.3,108,62.1
0.031825,688.4,227.4,1198.3,162.8,2421.4,225.6,633.9,1126.5,2338.3,107.6,63.5
0.033825,676.8,201.1,1188.2,171.1,2413.5,244.2,634.8,1128.2,2339.6,107.2,64.9
0.035825,672.3,176.2,1179.1,170.0,2391.8,238.9,636,1130.3,2341.2,106.8,66.1
0.037825,672.0,153.0,1174.0,155.3,2375.9,208.8,637.3,1132.7,2343,106.4,67
0.039825,673.0,130.7,1172.7,132.8,2367.5,174.2,638.8,1135.5,2345,106,67.6
0.041825,673.6,112.6,1173.7,112.2,2363.7,142.4,640.5,1138.5,2347.3,105.6,68
0.043825,672.4,104.9,1175.1,103.9,2362.5,121.9,642.3,1141.8,2349.8,105.3,68.3
0.045825,669.9,114.8,1175.4,120.8,2362.4,124.2,644.3,1145.4,2352.5,105,68.5
0.047825,672.1,130.6,1175.7,153.9,2364.4,141.1,646.4,1149.1,2355.3,104.7,68.7
0.049825,675.8,131.3,1177.3,162.6,2366.6,148.2,648.6,1153.1,2358.3,104.4,68.9
0.051825,675.6,122.7,1178.5,147.3,2367.3,143.6,650.9,1157.2,2361.4,104.1,69
0.053825,670.5,120.6,1178.4,133.5,2368.3,139.5,653.3,1161.5,2364.6,103.9,69.2
0.055825,661.5,136.1,1175.5,136.4,2370.4,148.8,655.8,1165.8,2367.9,103.7,69.3
0.057825,657.4,154.7,1171.0,146.8,2372.0,163.8,658.3,1170.2,2371.3,103.6,69.4
0.059825,659.7,151.8,1169.4,142.8,2371.8,163.1,660.8,1174.6,2374.7,103.4,69.5
0.061825,661.6,135.7,1171.2,127.1,2370.6,149.8,663.4,1178.9,2378.1,103.3,69.6
0.063825,658.2,123.4,1173.7,113.3,2368.7,139.0,665.9,1183.2,2381.4,103.2,69.7
0.065825,649.6,123.6,1173.8,110.2,2364.7,142.9,668.4,1187.4,2384.7,103.2,69.8
0.067825,644.9,127.3,1170.2,111.8,2359.2,154.6,670.9,1191.5,2388,103.1,69.9
0.069825,647.0,121.3,1166.7,106.4,2355.2,154.6,673.3,1195.4,2391.1,103.1,70
0.071825,649.7,110.7,1165.4,98.1,2354.3,144.4,675.7,1199.1,2394.2,103.1,70.1
0.073825,648.6,107.0,1164.7,97.7,2355.3,139.5,677.9,1202.6,2397,103.1,70.2
0.075825,645.0,116.0,1162.9,112.5,2356.5,148.8,680,1205.8,2399.8,103.1,70.3
0.077825,645.7,123.9,1160.5,127.3,2357.4,158.2,682,1208.8,2402.3,103.1,70.4
0.079825,649.8,118.7,1159.9,124.7,2359.1,152.2,683.9,1211.3,2404.6,103.2,70.4
0.081825,652.7,109.9,1161.2,116.1,2363.6,137.9,685.6,1213.6,2406.7,103.2,70.5
0.083825,651.6,110.1,1163.3,117.3,2372.3,128.3,687.2,1215.5,2408.6,103.2,70.6
0.085825,648.7,121.8,1166.6,131.8,2382.4,127.3,688.6,1216.9,2410.2,103.2,70.7
0.087825,649.3,127.4,1170.0,137.8,2386.2,125.9,689.8,1218,2411.5,103.3,70.7
0.089825,651.7,119.4,1172.9,126.1,2382.7,119.4,690.8,1218.7,2412.6,103.3,70.8
0.091825,652.3,110.5,1176.3,112.9,2376.6,113.5,691.6,1218.9,2413.4,103.3,70.9
0.093825,649.2,112.7,1180.2,113.4,2371.0,117.9,692.2,1218.6,2413.9,103.3,70.9
0.095825,647.6,125.4,1183.0,131.2,2370.0,133.0,692.6,1217.9,2414.1,103.3,71
0.097825,652.4,131.1,1182.3,146.1,2373.4,140.5,692.8,1216.8,2414,103.3,71
0.099825,658.4,125.6,1177.0,142.9,2376.2,134.6,692.8,1215.2,2413.6,103.3,71.1
0.101825,661.5,123.0,1168.3,135.0,2378.1,125.3,692.6,1213.2,2413,103.3,71.1
0.103825,659.8,134.6,1156.6,137.6,2379.6,123.9,692.2,1210.7,2412,103.3,71.1
0.105825,654.9,148.3,1145.9,145.3,2378.8,132.3,691.6,1207.8,2410.8,103.2,71.2
0.107825,653.6,141.5,1142.2,141.1,2375.6,138.4,690.8,1204.5,2409.3,103.2,71.3
0.109825,656.6,125.4,1142.9,127.8,2373.3,135.1,689.8,1200.8,2407.6,103.2,71.3
0.111825,660.0,119.2,1143.5,118.7,2374.0,128.6,688.6,1196.7,2405.6,103.1,71.4
0.113825,659.9,130.3,1143.1,119.8,2376.6,127.4,687.3,1192.3,2403.4,103.1,71.5
0.115825,657.7,141.1,1144.8,120.8,2377.8,128.6,685.8,1187.5,2401,103.1,71.6
0.117825,658.6,133.3,1148.3,112.7,2376.5,124.4,684.1,1182.4,2398.4,103,71.7
0.119825,663.2,120.1,1150.6,102.8,2374.6,116.5,682.4,1177.1,2395.7,103,71.8
0.121825,668.0,118.7,1149.2,101.0,2373.9,112.8,680.5,1171.5,2392.8,102.9,71.8
0.123825,669.0,136.9,1144.0,111.0,2375.4,120.0,678.6,1165.8,2389.8,102.8,71.8
0.125825,667.2,156.4,1140.2,121.1,2379.7,128.5,676.5,1159.9,2386.7,102.8,71.8
0.127825,668.7,155.8,1142.0,120.7,2385.2,122.4,674.4,1153.9,2383.6,102.7,71.8
0.129825,675.1,149.5,1146.3,118.8,2390.2,106.0,672.3,1147.7,2380.4,102.7,71.8
0.131825,683.2,157.7,1149.0,127.3,2393.9,92.8,670.1,1141.6,2377.2,102.6,71.8
0.133825,688.2,184.0,1147.4,147.4,2395.4,90.3,667.9,1135.5,2374.1,102.6,71.8
0.135825,687.2,199.2,1144.2,158.1,2394.0,98.0,665.7,1129.3,2371,102.5,71.7
0.137825,684.3,184.5,1143.1,147.7,2390.0,111.1,663.6,1123.3,2368,102.5,71.7
0.139825,685.6,165.3,1143.0,134.5,2386.7,119.6,661.5,1117.4,2365.1,102.4,71.7
0.141825,690.1,164.5,1141.2,134.5,2387.3,119.2,659.5,1111.7,2362.3,102.4,71.7
0.143825,690.8,180.8,1135.4,145.1,2390.1,122.0,657.5,1106.2,2359.7,102.3,71.7
0.145825,685.2,183.4,1130.4,144.5,2391.2,134.7,655.7,1100.9,2357.3,102.3,71.7
0.147825,681.0,163.6,1130.3,129.4,2388.3,151.4,654,1096,2355.1,102.3,71.7
0.149825,683.0,146.4,1132.0,117.7,2382.3,158.3,652.4,1091.3,2353.2,102.2,71.7
0.151825,688.2,150.8,1131.8,122.0,2377.7,151.2,651,1087,2351.5,102.2,71.7
0.153825,691.1,173.8,1129.6,138.6,2377.0,143.1,649.7,1083.1,2350.1,102.2,71.7
0.155825,689.5,182.1,1130.0,143.1,2377.8,141.0,648.6,1079.6,2349.1,102.1,71.8
0.157825,688.0,167.0,1133.6,131.5,2378.7,141.7,647.7,1076.6,2348.3,102.1,71.8
0.159825,690.9,152.1,1136.6,122.2,2380.0,141.0,647,1074,2347.9,102.1,71.8
0.161825,696.3,155.6,1136.6,128.8,2384.9,141.2,646.5,1071.9,2347.8,102.1,71.9
0.163825,698.3,173.8,1133.7,145.8,2394.9,143.2,646.2,1070.3,2348.1,102.1,71.9
0.165825,693.7,176.6,1132.0,145.5,2403.1,140.9,646.2,1069.2,2348.8,102,72
0.167825,689.0,160.2,1133.0,128.9,2404.6,132.1,646.3,1068.6,2349.9,102,72.1
0.169825,689.0,146.1,1134.5,115.9,2401.3,121.3,646.7,1068.6,2351.3,102,72.1
0.171825,689.9,147.6,1134.6,115.8,2396.4,118.2,647.3,1069.1,2353.1,102,72.2
0.173825,687.0,158.6,1134.6,122.2,2393.8,124.3,648.1,1070.1,2355.3,102,72.3
0.175825,682.3,157.2,1136.9,118.3,2394.3,126.0,649.1,1071.7,2357.9,102,72.3
0.177825,680.1,144.2,1139.2,106.0,2395.8,116.7,650.4,1073.8,2360.8,102,72.4
0.179825,680.3,134.7,1138.8,97.3,2396.8,103.7,651.8,1076.4,2364.1,102,72.3
0.181825,679.8,140.6,1135.2,101.2,2398.1,98.8,653.5,1079.5,2367.7,102,72.3
0.183825,676.2,155.4,1131.5,113.8,2400.5,108.6,655.3,1083,2371.6,102,72.3
0.185825,672.7,154.4,1132.2,115.2,2403.3,122.0,657.3,1087,2375.8,102,72.2
0.187825,673.0,141.9,1135.4,105.8,2405.4,121.3,659.4,1091.4,2380.4,102.1,72.2
0.189825,676.3,136.7,1137.1,100.2,2407.5,108.2,661.7,1096.2,2385.1,102.1,72.2
0.191825,678.7,148.5,1135.8,107.1,2410.8,101.0,664.1,1101.3,2390.2,102.1,72.2
0.193825,678.0,165.9,1134.6,118.7,2415.6,106.9,666.6,1106.8,2395.4,102.1,72.2
0.195825,675.8,162.9,1136.8,115.2,2419.5,114.9,669.2,1112.5,2400.8,102.1,72.2
0.197825,674.9,147.8,1139.2,101.4,2420.7,113.2,671.8,1118.5,2406.3,102.1,72.2
0.199825,675.0,140.7,1139.2,92.6,2421.6,102.9,674.5,1124.6,2411.9,102.1,72.2
0.201825,673.0,149.8,1135.5,95.9,2424.7,99.1,677.2,1130.9,2417.7,102.1,72.2
0.203825,668.3,159.4,1130.7,104.2,2430.1,113.0,679.9,1137.2,2423.4,102.2,72.2
0.205825,665.5,149.4,1129.4,101.6,2434.4,140.2,682.5,1143.6,2429.2,102.2,72.2
0.207825,666.8,132.9,1130.7,91.8,2433.6,160.1,685.1,1150,2434.9,102.2,72.2
0.209825,669.7,127.8,1131.3,86.6,2428.9,160.6,687.6,1156.3,2440.6,102.2,72.3
0.211825,669.2,138.8,1129.5,89.9,2424.9,158.8,690,1162.5,2446.1,102.2,72.3
0.213825,664.6,148.4,1128.7,92.1,2424.0,165.6,692.3,1168.5,2451.5,102.2,72.3
0.215825,661.1,140.1,1131.0,85.1,2424.8,171.1,694.4,1174.4,2456.8,102.2,72.3
0.217825,660.2,126.0,1133.9,75.1,2426.6,167.5,696.3,1179.9,2461.8,102.2,72.2
0.219825,659.2,122.5,1135.3,71.4,2430.6,159.0,698.1,1185.2,2466.5,102.2,72.1
0.221825,656.4,137.6,1134.5,79.6,2435.1,155.0,699.6,1190,2471,102.2,72.1
0.223825,655.5,153.4,1133.5,91.6,2435.5,153.5,700.8,1194.5,2475.2,102.2,72
0.225825,658.6,149.2,1134.0,92.1,2431.5,146.1,701.8,1198.5,2479,102.2,71.9
0.227825,662.9,138.6,1134.3,85.9,2427.5,132.5,702.5,1202.1,2482.4,102.2,71.9
0.229825,665.1,139.5,1131.6,85.3,2426.3,122.3,702.9,1205.1,2485.4,102.2,71.9
0.231825,662.1,155.0,1125.6,95.6,2427.6,126.6,702.9,1207.5,2488,102.2,71.8
0.233825,657.2,160.8,1121.4,104.3,2428.6,145.3,702.7,1209.4,2490.1,102.2,71.8
0.235825,654.9,144.2,1121.9,97.9,2426.0,160.8,702.1,1210.6,2491.8,102.2,71.8
0.237825,655.6,126.4,1123.3,86.4,2424.1,157.3,701.1,1211.2,2492.9,102.2,71.7
