time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025163,449.0,252.1,894.6,148.8,2911.7,131.6,534.7,900.6,2929.7,0,61.5
0.027163,466.9,228.3,889.4,148.2,2917.0,149.6,534.5,900.4,2929.6,0,63
0.029163,485.6,205.5,882.9,152.4,2920.7,158.0,534.2,900.2,2929.4,0,64.4
0.031163,502.8,182.4,881.0,154.9,2920.0,151.6,533.8,899.8,2929.3,0,65.5
0.033163,514.4,155.9,885.2,144.2,2918.8,138.4,533.2,899.3,2929,0,66.3
0.035163,522.3,131.3,891.0,125.8,2918.2,123.9,532.5,898.7,2928.8,91.1,66.9
0.037163,529.3,109.7,897.3,105.4,2917.9,110.0,531.7,898,2928.4,91.7,67.1
0.039163,535.7,99.9,904.1,94.1,2916.2,106.1,530.8,897.1,2928.1,92.4,67.3
0.041163,541.5,113.0,913.4,102.8,2910.4,133.8,529.7,896.2,2927.6,93,67.5
0.043163,542.4,130.8,919.8,113.3,2904.5,213.0,528.6,895.2,2927.2,93.7,67.8
0.045163,541.8,128.1,920.7,106.4,2889.8,269.9,527.4,894.1,2926.7,94.4,68.2
0.047163,541.9,117.4,918.1,92.3,2886.2,237.0,526,893,2926.1,95.1,68.6
0.049163,539.3,108.9,913.5,79.7,2897.3,185.3,524.6,891.7,2925.5,95.9,69
0.051163,531.8,111.0,907.8,78.6,2914.3,139.5,523.1,890.3,2924.9,96.6,69.4
0.053163,522.4,122.5,901.9,96.4,2929.7,111.9,521.5,888.9,2924.2,97.3,69.7
0.055163,520.6,127.4,897.2,124.7,2938.9,103.4,519.9,887.4,2923.6,98,69.9
0.057163,524.1,122.0,893.6,141.7,2943.1,96.5,518.2,885.9,2922.8,98.6,70.1
0.059163,526.4,116.1,890.5,139.0,2942.7,90.7,516.4,884.3,2922.1,99.3,70.2
0.061163,524.3,121.2,887.0,134.5,2938.3,93.4,514.6,882.6,2921.3,99.9,70.3
0.063163,519.0,136.7,884.4,136.1,2932.3,104.3,512.7,880.9,2920.5,100.5,70.5
0.065163,517.5,142.6,884.4,133.5,2930.8,107.4,510.8,879.2,2919.6,101.1,70.6
0.067163,519.4,136.8,884.9,122.5,2933.0,100.3,508.9,877.4,2918.8,101.6,70.7
0.069163,519.3,132.0,882.9,111.8,2935.2,92.3,507,875.6,2917.9,102.1,70.8
0.071163,513.2,139.4,876.8,112.8,2935.0,92.7,505.1,873.8,2917,102.6,70.9
0.073163,505.3,154.6,868.3,128.4,2931.8,102.5,503.1,872,2916.1,103,71
0.075163,503.9,156.3,863.3,139.3,2929.0,110.1,501.2,870.1,2915.2,103.4,71
0.077163,505.8,146.7,862.1,133.0,2928.1,111.7,499.3,868.3,2914.3,103.8,71.1
0.079163,504.8,142.0,858.8,120.8,2929.8,117.7,497.4,866.5,2913.4,104.1,71.2
0.081163,499.2,150.2,850.9,119.3,2934.9,143.3,495.6,864.6,2912.5,104.4,71.3
0.083163,496.1,160.2,841.9,130.9,2943.6,185.7,493.7,862.9,2911.6,104.7,71.4
0.085163,499.7,156.1,839.2,139.6,2948.7,203.5,492,861.1,2910.6,104.9,71.4
0.087163,503.9,146.8,841.7,137.7,2946.7,199.8,490.3,859.4,2909.7,105.1,71.5
0.089163,503.9,149.6,843.1,133.9,2933.5,206.7,488.6,857.7,2908.8,105.3,71.6
0.091163,500.2,161.4,842.3,134.7,2906.9,227.9,487,856,2908,105.5,71.7
0.093163,499.1,157.3,843.6,133.4,2881.3,228.6,485.5,854.4,2907.1,105.6,71.7
0.095163,502.0,139.3,847.1,126.1,2874.5,204.4,484,852.9,2906.2,105.7,71.8
0.097163,503.0,124.5,849.0,115.3,2879.0,177.8,482.6,851.4,2905.4,105.8,71.8
0.099163,496.8,124.5,846.1,109.7,2885.6,168.6,481.4,850,2904.6,105.9,71.8
0.101163,487.5,134.5,841.8,114.2,2889.9,178.2,480.2,848.7,2903.8,106,71.8
0.103163,485.4,136.2,840.8,121.9,2892.8,186.8,479,847.4,2903.1,106.1,71.8
0.105163,489.0,126.7,842.3,122.3,2896.7,182.9,478,846.3,2902.3,106.1,71.7
0.107163,490.2,122.3,841.8,119.9,2902.6,179.6,477.1,845.2,2901.6,106.1,71.7
0.109163,484.9,132.8,837.9,124.7,2909.7,194.0,476.3,844.2,2901,106.1,71.7
0.111163,480.0,144.7,835.9,134.8,2914.0,219.3,475.6,843.3,2900.3,106.2,71.7
0.113163,481.7,140.2,838.2,138.7,2914.2,229.1,475,842.5,2899.7,106.2,71.8
0.115163,485.7,129.2,840.6,135.3,2912.1,223.5,474.4,841.8,2899.2,106.1,71.8
0.117163,485.1,128.5,839.1,135.2,2908.8,226.2,474,841.2,2898.7,106.1,71.8
0.119163,478.7,141.3,834.9,144.5,2906.6,243.4,473.7,840.7,2898.2,106.1,71.7
0.121163,475.7,148.0,834.9,153.5,2911.3,245.0,473.5,840.3,2897.7,106.1,71.7
0.123163,478.9,138.8,838.8,150.7,2917.8,225.2,473.3,840,2897.3,106,71.7
0.125163,482.0,127.6,840.4,140.2,2924.1,208.9,473.3,839.9,2897,106,71.7
0.127163,478.4,126.2,837.0,132.0,2932.6,211.4,473.3,839.8,2896.7,105.9,71.7
0.129163,469.6,127.6,833.0,125.3,2940.6,237.1,473.5,839.8,2896.4,105.9,71.7
0.131163,466.6,116.6,834.5,115.0,2932.6,265.2,473.7,840,2896.2,105.8,71.8
