time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025383,447.7,120.3,608.0,154.9,2728.2,88.6,421.4,608.5,2670.2,99.5,68.1
0.027383,451.6,101.9,615.8,148.4,2723.3,78.8,421.6,608.7,2670.5,100,69.1
0.029383,456.4,86.2,624.9,146.2,2716.3,73.3,421.9,609.2,2671,100.5,70
0.031383,463.1,79.1,637.1,165.5,2707.5,75.9,422.3,609.8,2671.6,101.1,70.9
0.033383,471.1,85.2,650.4,215.7,2702.1,86.2,422.8,610.6,2672.4,101.6,71.7
0.035383,477.5,98.0,652.7,251.3,2703.2,90.2,423.5,611.6,2673.4,102.2,72.5
0.037383,480.9,105.6,648.1,252.6,2705.2,85.6,424.2,612.7,2674.5,102.8,73.2
0.039383,478.7,106.2,644.7,229.8,2705.8,77.8,425.1,614,2675.8,103.3,73.9
0.041383,469.5,103.0,644.5,195.7,2705.1,72.3,426,615.4,2677.3,103.9,74.4
0.043383,454.8,97.4,646.6,159.3,2704.4,73.1,427.1,617,2678.9,104.4,74.8
0.045383,442.1,90.4,648.9,130.8,2705.7,82.7,428.2,618.7,2680.7,104.9,75.1
0.047383,438.7,85.0,648.9,115.7,2708.3,90.8,429.4,620.5,2682.6,105.4,75.4
0.049383,440.0,80.2,648.1,108.7,2709.6,89.4,430.7,622.5,2684.6,105.9,75.6
0.051383,439.8,77.1,648.9,108.2,2707.6,82.5,432,624.5,2686.8,106.3,75.7
0.053383,436.5,78.4,650.9,114.6,2703.3,75.7,433.4,626.6,2689,106.8,75.9
0.055383,434.7,81.8,651.8,122.3,2699.9,69.8,434.9,628.8,2691.4,107.1,76
0.057383,437.3,82.5,650.4,125.7,2697.9,64.3,436.3,631.1,2693.9,107.5,76.1
0.059383,440.2,80.0,650.1,126.8,2696.2,60.3,437.8,633.4,2696.4,107.8,76.2
0.061383,439.5,78.4,652.2,131.0,2695.3,59.3,439.4,635.7,2699.1,108.1,76.2
0.063383,436.6,80.2,654.5,137.8,2696.2,60.6,440.9,638.1,2701.8,108.3,76.3
0.065383,436.4,81.7,653.4,138.9,2696.9,60.7,442.4,640.4,2704.5,108.5,76.4
0.067383,438.7,80.0,650.7,134.6,2695.9,58.8,444,642.8,2707.3,108.7,76.5
0.069383,439.3,78.0,649.9,133.0,2694.4,57.2,445.5,645.1,2710.1,108.8,76.6
0.071383,437.0,80.2,650.5,139.4,2695.3,57.0,446.9,647.4,2713,108.9,76.6
0.073383,435.7,85.4,649.4,148.6,2698.4,56.6,448.4,649.6,2715.8,109,76.7
0.075383,437.8,87.3,645.9,150.0,2699.7,55.0,449.7,651.8,2718.7,109,76.7
0.077383,440.0,85.4,643.7,146.4,2698.3,53.1,451.1,653.9,2721.5,109.1,76.8
0.079383,438.8,84.7,643.7,145.0,2695.8,52.2,452.3,655.9,2724.4,109.1,76.8
0.081383,435.7,88.8,643.8,148.8,2695.4,52.0,453.5,657.8,2727.1,109,76.9
0.083383,435.9,93.5,641.2,150.7,2696.2,51.1,454.5,659.6,2729.9,109,76.9
0.085383,438.6,93.1,637.9,145.9,2695.6,49.8,455.5,661.2,2732.6,108.9,76.9
0.087383,438.6,88.9,637.5,136.8,2692.5,50.3,456.4,662.7,2735.2,108.9,76.9
