time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025039,484.1,161.9,1422.5,153.3,2513.3,405.2,542.1,1386.8,2443.9,0,57.9
0.027039,457.4,227.9,1404.7,285.6,2486.2,428.9,542.2,1386.9,2444,0,60
0.029039,481.8,215.3,1377.7,273.5,2434.4,405.6,542.3,1387,2444.3,0,62.1
0.031039,515.0,179.7,1376.6,215.4,2418.3,356.4,542.5,1387.2,2444.7,0,63.9
0.033039,539.5,150.4,1383.5,175.7,2420.2,316.3,542.7,1387.5,2445.2,0,65.3
0.035039,555.5,127.1,1390.6,147.7,2427.0,283.4,542.9,1387.8,2445.8,0,66.2
0.037039,566.7,106.8,1396.7,125.2,2435.0,254.8,543.2,1388.2,2446.5,0,66.8
0.039039,575.4,88.2,1401.9,105.5,2443.7,229.2,543.6,1388.6,2447.3,0,66.9
0.041039,582.7,71.1,1406.1,88.6,2453.0,207.5,544,1389,2448.2,0,66.6
0.043039,587.2,57.4,1407.5,76.6,2463.6,196.9,544.4,1389.5,2449.2,0,66.2
0.045039,580.6,56.3,1399.0,81.6,2473.8,229.9,544.8,1390.1,2450.3,0,65.7
0.047039,559.4,74.2,1376.1,112.5,2488.9,339.7,545.3,1390.6,2451.4,0,65.4
0.049039,544.7,89.3,1361.8,133.5,2503.7,413.9,545.9,1391.2,2452.7,0,65.5
0.051039,542.9,90.1,1365.4,133.2,2496.5,395.7,546.4,1391.8,2453.9,0,65.9
0.053039,544.8,91.7,1378.2,137.9,2472.3,341.7,547,1392.5,2455.3,102.7,66.6
0.055039,546.1,100.8,1394.4,158.4,2449.5,291.6,547.7,1393.1,2456.6,102.7,67.3
0.057039,549.8,105.5,1406.7,174.8,2442.0,257.8,548.3,1393.8,2458.1,102.6,67.9
0.059039,556.3,97.8,1411.5,167.5,2444.2,231.6,549,1394.5,2459.5,102.6,68.4
0.061039,562.9,85.1,1412.7,149.0,2449.5,208.9,549.7,1395.1,2461,102.6,68.8
0.063039,566.8,75.1,1411.7,133.5,2454.8,196.0,550.4,1395.8,2462.4,102.6,69.1
0.065039,564.3,75.9,1408.3,133.3,2456.1,205.1,551.2,1396.5,2463.9,102.6,69.3
0.067039,557.4,89.8,1404.9,147.8,2454.5,231.5,551.9,1397.1,2465.4,102.6,69.5
0.069039,554.8,99.7,1403.9,151.7,2456.0,239.5,552.7,1397.7,2466.9,102.6,69.6
0.071039,557.4,96.9,1402.9,140.8,2460.5,228.5,553.4,1398.3,2468.3,102.6,69.8
