time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025968,450.8,88.9,1004.4,106.0,2356.5,399.4,464.7,982.1,2368.9,0,65.2
0.027968,459.8,98.9,1008.0,108.8,2362.2,321.3,464.8,982.3,2368.9,0,66.1
0.029968,469.2,95.2,1010.7,100.9,2366.9,284.3,464.8,982.7,2369,0,66.8
0.031968,477.5,80.9,1013.9,85.2,2371.0,256.1,464.9,983.3,2369.1,0,67.2
0.033968,484.5,63.9,1017.4,67.6,2374.9,231.1,465.1,984,2369.2,0,67.4
0.035968,489.2,48.7,1020.4,51.8,2378.1,212.5,465.2,984.9,2369.4,0,67.4
0.037968,489.1,39.0,1021.5,42.5,2376.5,216.6,465.4,985.9,2369.6,0,67.3
0.039968,481.4,39.8,1018.6,46.9,2360.2,285.2,465.6,987,2369.8,0,67.3
0.041968,472.1,50.5,1012.6,68.6,2341.9,418.8,465.8,988.3,2370.1,0,67.5
0.043968,467.2,61.1,1006.8,91.7,2354.4,460.1,466,989.7,2370.4,0,68
0.045968,462.6,70.8,1003.2,104.8,2371.0,376.4,466.3,991.2,2370.7,0,68.7
0.047968,457.6,83.7,1003.2,113.5,2380.0,297.7,466.6,992.8,2371,0,69.4
0.049968,457.2,89.9,1005.2,112.4,2383.5,252.0,466.9,994.5,2371.3,0,70
0.051968,462.4,84.9,1007.3,101.3,2385.0,221.9,467.2,996.3,2371.6,102.1,70.4
0.053968,469.7,74.8,1008.4,86.5,2386.4,199.1,467.6,998.1,2372,102.4,70.7
0.055968,474.8,68.0,1007.1,75.4,2388.8,183.5,467.9,1000.1,2372.3,102.7,70.9
0.057968,474.8,71.6,1003.6,74.5,2393.4,177.0,468.3,1002,2372.7,103,71.1
0.059968,472.9,80.4,1001.7,78.5,2398.3,173.4,468.7,1004,2373,103.3,71.3
0.061968,474.2,80.6,1004.0,75.1,2399.7,169.1,469.1,1006,2373.4,103.6,71.5
0.063968,476.8,74.3,1008.1,66.4,2398.1,167.8,469.5,1008,2373.7,103.9,71.8
0.065968,476.8,70.7,1012.0,61.8,2393.6,174.9,469.9,1010,2374.1,104.3,72
0.067968,473.6,74.2,1014.4,68.7,2387.0,187.8,470.3,1012,2374.4,104.6,72.3
0.069968,472.5,77.7,1015.2,84.2,2383.5,190.5,470.8,1014,2374.7,104.9,72.5
0.071968,475.2,74.5,1015.4,94.0,2383.6,182.6,471.2,1015.9,2375,105.3,72.7
0.073968,477.5,69.4,1015.2,94.7,2383.7,176.2,471.6,1017.7,2375.2,105.6,72.8
0.075968,476.3,70.6,1013.2,99.1,2380.8,183.1,472.1,1019.5,2375.5,105.9,72.9
0.077968,472.6,80.8,1009.1,118.2,2374.9,204.0,472.5,1021.2,2375.6,106.2,73
0.079968,472.0,88.0,1006.3,140.7,2370.8,218.9,472.9,1022.7,2375.8,106.5,73
0.081968,474.2,83.5,1007.8,145.5,2369.1,218.9,473.4,1024.2,2375.9,106.8,73.1
0.083968,474.3,77.4,1010.3,138.7,2366.3,215.3,473.8,1025.5,2376,107.1,73.1
0.085968,470.2,81.0,1009.1,140.0,2359.9,218.7,474.2,1026.7,2376.1,107.4,73.2
0.087968,465.9,91.7,1005.3,150.0,2354.4,223.1,474.6,1027.8,2376.1,107.6,73.3
0.089968,466.1,94.7,1004.6,151.0,2355.1,219.8,475,1028.7,2376.1,107.8,73.3
0.091968,468.2,88.7,1007.4,140.9,2360.2,215.1,475.4,1029.4,2376,108,73.4
0.093968,466.8,87.0,1008.4,135.3,2365.9,220.4,475.8,1030,2375.8,108.2,73.4
0.095968,461.8,97.5,1004.6,144.1,2370.5,235.2,476.1,1030.3,2375.7,108.4,73.4
0.097968,459.2,109.5,999.8,153.5,2373.7,239.0,476.5,1030.5,2375.4,108.5,73.4
0.099968,461.1,108.1,999.7,146.4,2375.1,227.5,476.8,1030.5,2375.1,108.6,73.4
0.101968,463.4,100.0,1002.3,132.7,2373.6,215.7,477.1,1030.3,2374.8,108.7,73.4
0.103968,462.6,99.2,1001.9,130.7,2367.1,215.4,477.4,1029.9,2374.4,108.8,73.4
0.105968,461.6,105.9,996.6,142.0,2357.9,221.6,477.7,1029.3,2374,108.9,73.4
0.107968,464.1,106.2,992.6,146.4,2353.0,220.1,478,1028.5,2373.5,108.9,73.5
0.109968,467.7,97.3,994.6,134.6,2353.4,213.4,478.3,1027.4,2373,108.9,73.5
0.111968,468.1,90.8,998.2,122.9,2355.8,211.8,478.5,1026.2,2372.4,108.9,73.5
0.113968,465.8,94.2,998.0,128.1,2358.1,216.6,478.8,1024.8,2371.7,108.9,73.5
0.115968,466.2,99.1,993.9,144.0,2360.4,215.1,479,1023.1,2371.1,108.9,73.6
0.117968,470.0,94.7,992.0,147.3,2362.8,205.3,479.2,1021.3,2370.3,108.9,73.6
0.119968,472.4,86.2,994.3,134.4,2364.3,197.6,479.4,1019.3,2369.6,108.8,73.7
0.121968,470.7,84.6,996.5,125.3,2363.1,200.4,479.5,1017.1,2368.8,108.7,73.7
0.123968,468.2,91.0,994.9,131.9,2360.4,207.8,479.7,1014.7,2368,108.7,73.7
0.125968,470.2,93.6,990.9,140.6,2360.0,206.5,479.8,1012.1,2367.1,108.6,73.8
0.127968,474.5,88.8,988.4,136.6,2362.0,200.3,480,1009.4,2366.2,108.5,73.8
0.129968,476.6,86.3,987.7,127.9,2364.0,200.1,480.1,1006.5,2365.3,108.4,73.9
0.131968,475.3,93.2,986.9,130.8,2363.8,207.7,480.2,1003.5,2364.3,108.3,74
0.133968,475.3,101.5,985.8,143.1,2362.8,209.7,480.3,1000.3,2363.4,108.2,74
0.135968,479.1,99.1,985.1,146.5,2362.9,201.6,480.4,997.1,2362.4,108.1,74.1
0.137968,483.1,91.6,983.7,138.7,2363.0,191.4,480.5,993.7,2361.5,108,74.2
0.139968,483.4,90.3,980.1,134.8,2360.6,184.8,480.6,990.3,2360.5,107.8,74.2
0.141968,480.9,97.4,976.5,145.0,2356.1,180.2,480.7,986.7,2359.5,107.7,74.3
0.143968,481.0,99.7,976.6,154.9,2353.3,172.8,480.8,983.1,2358.5,107.6,74.3
0.145968,484.6,92.2,978.8,150.3,2352.7,164.4,480.8,979.5,2357.6,107.5,74.4
0.147968,487.6,85.1,978.2,141.6,2352.7,160.0,480.9,975.8,2356.7,107.4,74.4
0.149968,486.6,87.2,973.5,145.8,2351.5,160.8,481,972.2,2355.7,107.2,74.4
0.151968,483.6,95.3,969.6,163.7,2350.2,160.3,481.1,968.5,2354.8,107.1,74.4
0.153968,484.1,95.7,971.4,172.0,2350.6,154.9,481.2,964.8,2354,107,74.5
0.155968,487.5,88.9,974.1,163.9,2351.6,149.3,481.3,961.2,2353.2,106.9,74.5
0.157968,489.2,85.6,971.9,157.1,2350.8,148.2,481.4,957.7,2352.4,106.8,74.5
0.159968,486.3,91.3,964.9,165.8,2345.8,149.8,481.5,954.2,2351.6,106.7,74.5
0.161968,482.9,97.4,959.7,183.6,2340.5,147.2,481.6,950.7,2350.9,106.6,74.5
0.163968,484.5,93.9,960.1,190.3,2339.0,142.0,481.8,947.4,2350.3,106.4,74.5
0.165968,488.8,87.4,960.8,187.4,2339.8,140.6,481.9,944.2,2349.7,106.3,74.6
0.167968,491.3,89.7,957.9,195.9,2340.7,150.1,482.1,941.1,2349.2,106.2,74.6
0.169968,490.5,103.2,954.6,225.6,2341.7,169.4,482.3,938.2,2348.7,106.1,74.7
0.171968,490.2,110.9,957.1,245.7,2343.8,180.7,482.5,935.4,2348.3,106,74.7
0.173968,492.9,105.6,962.0,239.1,2348.3,180.8,482.7,932.8,2348,105.9,74.8
0.175968,496.9,99.8,961.9,227.2,2356.0,180.8,482.9,930.4,2347.7,105.8,74.9
0.177968,498.2,102.9,955.7,228.1,2365.1,185.8,483.2,928.2,2347.5,105.8,74.9
0.179968,495.8,109.6,951.0,234.7,2369.7,187.6,483.4,926.2,2347.4,105.7,75
0.181968,494.0,105.0,954.8,224.7,2368.3,179.8,483.7,924.3,2347.4,105.6,75.1
0.183968,495.1,91.3,959.9,200.5,2363.9,168.5,484,922.7,2347.4,105.5,75.1
0.185968,496.6,80.9,958.6,181.7,2358.3,163.0,484.4,921.4,2347.6,105.4,75.1
0.187968,495.2,82.1,950.7,184.2,2353.1,171.0,484.7,920.2,2347.8,105.4,75.1
0.189968,492.2,90.3,945.3,199.8,2352.5,185.0,485.1,919.3,2348.1,105.3,75.1
0.191968,492.0,90.1,948.5,199.8,2356.3,188.3,485.5,918.7,2348.4,105.2,75.1
0.193968,495.0,83.1,953.1,187.1,2361.7,185.0,485.9,918.3,2348.9,105.2,75.1
0.195968,497.3,80.2,953.0,182.1,2367.1,186.9,486.4,918.1,2349.4,105.1,75.1
0.197968,495.9,86.7,949.5,193.5,2370.7,198.5,486.8,918.2,2350,105,75.1
0.199968,493.1,93.9,950.6,203.6,2373.5,208.8,487.3,918.5,2350.6,105,75.1
0.201968,493.3,91.7,956.1,195.2,2377.7,209.2,487.8,919.1,2351.3,104.9,75.1
0.203968,496.5,85.8,959.5,181.0,2385.8,206.5,488.3,919.9,2352.1,104.9,75.1
0.205968,498.3,85.7,957.1,178.9,2396.8,210.7,488.8,920.9,2353,104.9,75
0.207968,494.9,91.2,951.7,187.7,2400.1,222.9,489.3,922.2,2353.9,104.8,75
0.209968,489.9,90.2,950.6,185.1,2391.2,234.1,489.9,923.7,2354.9,104.8,75
0.211968,489.0,79.9,952.8,164.1,2376.4,237.1,490.4,925.4,2355.9,104.7,74.9
0.213968,490.7,70.8,951.5,144.0,2361.1,233.5,491,927.3,2356.9,104.7,74.9
0.215968,490.8,72.2,945.6,144.7,2347.3,228.2,491.5,929.3,2358,104.7,74.9
0.217968,488.5,83.4,940.2,169.8,2339.2,224.2,492.1,931.6,2359.1,104.6,74.9
0.219968,488.6,88.6,942.4,192.4,2339.6,217.9,492.7,934,2360.3,104.6,74.9
0.221968,492.5,84.5,949.4,196.8,2348.8,210.3,493.2,936.6,2361.5,104.6,74.9
0.223968,497.0,82.2,953.9,198.4,2364.2,206.6,493.8,939.3,2362.7,104.5,74.9
0.225968,497.7,88.1,953.5,209.4,2378.3,208.1,494.4,942.1,2363.9,104.5,74.9
0.227968,494.6,95.8,953.6,217.3,2384.1,210.4,494.9,945,2365.1,104.5,74.9
0.229968,492.8,93.5,957.6,205.2,2384.5,208.7,495.4,948.1,2366.2,104.5,74.9
0.231968,494.6,84.9,960.2,184.0,2384.5,203.6,496,951.1,2367.4,104.4,74.9
0.233968,496.3,79.7,956.8,171.2,2384.3,200.3,496.5,954.3,2368.6,104.4,74.8
0.235968,493.7,82.2,948.0,173.3,2377.6,203.1,497,957.4,2369.7,104.4,74.8
0.237968,488.2,84.3,941.7,176.0,2361.1,207.8,497.4,960.6,2370.8,104.3,74.7
0.239968,486.4,77.5,943.0,163.0,2344.8,208.0,497.9,963.7,2371.9,104.3,74.7
0.241968,489.1,69.4,945.7,146.7,2339.8,207.4,498.3,966.9,2372.9,104.3,74.7
0.243968,491.7,69.7,945.1,146.0,2346.2,212.6,498.6,969.9,2373.8,104.2,74.6
0.245968,490.5,79.4,941.9,163.5,2350.2,220.8,499,973,2374.7,104.2,74.6
0.247968,488.2,85.3,942.8,177.4,2345.9,222.9,499.3,975.9,2375.5,104.2,74.6
0.249968,489.4,80.3,948.4,172.3,2343.4,219.6,499.6,978.7,2376.3,104.1,74.6
0.251968,493.3,74.4,952.6,163.7,2350.7,219.1,499.8,981.4,2376.9,104.1,74.6
0.253968,495.7,77.5,952.2,170.7,2367.4,227.1,500,983.9,2377.5,104.1,74.6
0.255968,494.6,89.0,949.5,191.8,2381.5,236.5,500.1,986.3,2378,104,74.6
0.257968,493.0,93.8,951.1,199.2,2384.9,236.9,500.2,988.6,2378.4,104,74.6
0.259968,494.2,86.4,956.3,184.7,2383.2,229.4,500.2,990.6,2378.6,104,74.6
0.261968,496.7,77.3,959.7,167.7,2380.7,221.6,500.1,992.4,2378.8,103.9,74.6
0.263968,496.5,75.8,959.0,164.3,2376.5,218.8,500.1,994,2378.9,103.9,74.6
0.265968,492.6,82.0,956.9,170.7,2369.6,218.0,499.9,995.4,2378.8,103.9,74.6
0.267968,490.1,84.1,958.6,165.7,2363.5,212.7,499.7,996.5,2378.7,103.8,74.6
0.269968,491.6,78.7,962.2,150.2,2361.8,205.3,499.4,997.3,2378.4,103.8,74.6
0.271968,494.4,74.2,964.0,140.5,2365.7,201.4,499.1,997.9,2378,103.8,74.5
0.273968,493.8,76.7,962.3,144.5,2371.2,200.7,498.7,998.2,2377.5,103.7,74.5
0.275968,489.6,82.7,959.9,152.8,2370.8,195.4,498.2,998.2,2376.8,103.7,74.5
0.277968,487.5,81.4,960.8,146.4,2365.1,184.5,497.7,998,2376.1,103.7,74.5
0.279968,489.3,73.7,962.9,130.0,2359.0,174.4,497,997.4,2375.2,103.7,74.5
0.281968,491.7,68.5,962.9,121.2,2355.8,172.7,496.4,996.6,2374.2,103.7,74.5
0.283968,490.9,73.2,960.4,132.0,2359.1,183.2,495.6,995.4,2373,103.6,74.4
0.285968,488.4,82.7,958.8,152.4,2367.2,192.7,494.8,994,2371.8,103.6,74.4
0.287968,488.5,84.0,960.8,155.7,2373.8,190.1,493.9,992.2,2370.4,103.6,74.4
0.289968,491.1,78.3,962.8,144.4,2377.8,182.6,492.9,990.2,2369,103.6,74.4
