time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025757,514.7,57.8,2161.3,88.9,2883.6,244.2,490.6,2170.5,2880.1,85.6,69.2
0.027757,510.0,95.4,2150.0,132.4,2875.4,859.8,490.7,2170.5,2880,86.8,69.3
0.029757,505.6,121.3,2141.2,144.1,2811.4,640.5,490.8,2170.3,2879.9,88,69.8
0.031757,505.6,113.3,2142.7,129.2,2805.8,600.5,491.1,2170.2,2879.8,89.1,70.5
0.033757,506.1,94.3,2148.9,110.8,2839.3,615.2,491.4,2170,2879.6,90.3,71.1
0.035757,504.5,78.9,2157.7,96.2,2903.7,341.2,491.7,2169.8,2879.4,91.5,71.7
0.037757,501.8,72.4,2166.9,91.7,2889.6,323.7,492.2,2169.5,2879.1,92.6,72.2
0.039757,501.0,69.1,2172.2,100.2,2886.0,364.8,492.7,2169.2,2878.8,93.7,72.5
0.041757,502.3,62.9,2172.5,108.0,2876.9,402.3,493.2,2168.8,2878.5,94.8,72.8
0.043757,503.9,56.3,2171.7,105.7,2882.0,367.3,493.8,2168.5,2878.2,95.8,73
0.045757,503.2,55.2,2170.6,102.3,2894.5,290.2,494.5,2168,2877.8,96.8,73.2
0.047757,499.1,62.3,2165.2,107.4,2900.3,239.6,495.1,2167.6,2877.4,97.7,73.3
0.049757,495.2,68.7,2156.8,113.1,2899.6,217.1,495.9,2167.1,2877,98.6,73.5
0.051757,495.3,67.2,2152.4,108.6,2895.5,203.6,496.7,2166.6,2876.6,99.4,73.6
0.053757,497.3,63.2,2153.5,98.9,2891.0,191.1,497.5,2166.1,2876.1,100.1,73.7
0.055757,497.2,64.9,2158.3,94.2,2886.8,184.3,498.3,2165.6,2875.7,100.8,73.9
0.057757,494.4,72.5,2163.1,98.8,2881.9,191.1,499.1,2165,2875.2,101.4,74
0.059757,492.7,75.3,2164.7,102.2,2877.5,197.1,500,2164.5,2874.7,102,74.1
0.061757,494.3,70.4,2164.8,95.9,2875.0,191.3,500.9,2163.9,2874.2,102.5,74.2
0.063757,496.1,65.4,2165.7,85.4,2873.4,179.4,501.8,2163.3,2873.7,102.9,74.3
0.065757,495.3,67.2,2167.6,82.0,2872.8,168.6,502.7,2162.7,2873.2,103.3,74.3
0.067757,491.9,73.9,2168.3,95.5,2872.8,164.9,503.6,2162.1,2872.7,103.7,74.4
0.069757,490.5,74.1,2166.9,114.3,2872.2,163.8,504.5,2161.5,2872.3,104,74.4
0.071757,491.9,68.8,2166.6,122.2,2870.9,160.1,505.3,2160.9,2871.8,104.2,74.5
0.073757,493.6,66.7,2171.0,124.6,2868.6,160.1,506.2,2160.3,2871.3,104.4,74.5
0.075757,494.8,73.5,2179.7,137.8,2863.6,178.4,507,2159.8,2870.9,104.6,74.6
0.077757,496.8,82.1,2185.6,163.6,2854.5,216.3,507.8,2159.2,2870.4,104.8,74.6
0.079757,499.6,81.4,2183.6,174.0,2845.6,237.7,508.6,2158.6,2870,105,74.7
