time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025188,158.1,108.4,1830.5,433.4,2386.4,420.6,311.1,1819,2372.1,0,61.5
0.027188,174.8,149.1,1828.5,307.9,2383.8,363.4,311.3,1819,2372.1,0,63.9
0.029188,197.3,198.7,1822.3,264.2,2379.6,324.3,311.7,1819,2372.1,0,65.9
0.031188,231.5,228.2,1819.3,248.4,2246.1,4243.1,312.2,1819.1,2372.2,0,67.6
0.033188,273.2,230.7,1815.0,227.6,2323.0,3761.3,312.8,1819.1,2372.2,0,68.8
0.035188,314.5,211.8,1810.1,201.3,2369.5,263.9,313.6,1819.2,2372.3,0,69.6
0.037188,346.8,184.7,1806.2,175.8,2363.7,238.4,314.5,1819.3,2372.4,0,70
0.039188,373.2,155.5,1803.3,151.2,2358.8,213.5,315.6,1819.4,2372.5,0,69.9
0.041188,396.0,126.4,1801.4,127.7,2354.8,189.3,316.8,1819.5,2372.6,0,69.4
0.043188,418.2,96.2,1800.0,104.8,2351.3,165.4,318.1,1819.6,2372.8,0,68.5
0.045188,438.0,69.0,1798.7,85.6,2348.8,145.8,319.6,1819.7,2372.9,0,67
0.047188,452.7,47.6,1797.1,72.4,2349.4,136.0,321.1,1819.9,2373,0,65.2
0.049188,448.0,47.1,1797.2,81.2,2368.2,162.7,322.8,1820,2373.2,0,63.5
0.051188,404.4,86.4,1804.4,133.9,2413.3,247.0,324.6,1820.1,2373.3,0,62.5
0.053188,334.0,132.5,1810.8,213.1,2415.8,322.2,326.5,1820.3,2373.5,0,62.5
0.055188,270.2,156.6,1811.6,256.7,2384.1,336.2,328.5,1820.5,2373.6,0,63.5
0.057188,223.9,183.2,1818.7,254.8,2370.7,324.9,330.5,1820.6,2373.8,0,65.2
0.059188,217.2,261.7,1830.7,206.9,2385.2,278.4,332.7,1820.8,2373.9,0,66.8
0.061188,261.5,383.0,1832.3,150.4,2387.4,205.5,334.9,1820.9,2374,0,68.3
0.063188,318.2,377.0,1834.5,122.7,2385.5,169.1,337.2,1821.1,2374.2,0,69.8
0.065188,341.1,309.9,1840.2,108.7,2388.4,153.5,339.6,1821.3,2374.3,0,71.1
0.067188,352.9,249.3,1847.2,102.8,2396.3,151.4,342,1821.4,2374.4,0,72.3
0.069188,362.4,198.2,1853.7,107.1,2408.3,166.6,344.5,1821.6,2374.4,0,73.3
0.071188,372.6,161.5,1856.9,121.8,2419.8,197.9,347,1821.7,2374.5,0,74.1
0.073188,384.3,134.5,1855.5,141.8,2423.9,232.9,349.6,1821.9,2374.6,0,74.6
0.075188,396.1,113.0,1849.8,157.5,2418.2,253.9,352.1,1822,2374.6,0,74.8
0.077188,408.0,93.1,1841.1,166.3,2406.4,258.0,354.7,1822.2,2374.6,0,74.6
0.079188,418.3,76.4,1831.2,167.8,2394.0,245.2,357.3,1822.3,2374.6,0,74.3
0.081188,421.7,69.7,1824.4,166.5,2389.2,218.4,359.9,1822.4,2374.5,0,73.8
0.083188,403.1,89.7,1826.4,174.6,2397.0,195.5,362.5,1822.5,2374.4,0,73.5
0.085188,347.8,148.6,1827.4,185.5,2404.1,181.8,365.1,1822.6,2374.3,0,73.7
0.087188,282.8,209.0,1815.3,188.1,2400.3,186.7,367.6,1822.6,2374.1,0,74.3
0.089188,271.2,224.2,1806.8,196.7,2392.5,231.5,370.2,1822.7,2374,0,75.1
0.091188,302.3,198.9,1807.6,199.6,2384.0,278.2,372.6,1822.7,2373.7,0,75.9
0.093188,335.3,164.8,1806.9,190.1,2373.1,291.9,375.1,1822.7,2373.5,0,76.5
0.095188,362.0,135.3,1804.7,174.4,2362.1,281.5,377.5,1822.7,2373.2,0,76.8
0.097188,385.5,109.0,1802.8,157.1,2352.4,260.8,379.8,1822.7,2372.8,0,76.9
0.099188,404.2,89.5,1803.1,145.1,2346.3,241.0,382.1,1822.7,2372.4,91.8,76.9
0.101188,415.4,82.6,1808.7,147.8,2347.1,232.9,384.3,1822.6,2372,92.2,76.8
0.103188,413.9,99.0,1823.1,171.9,2358.4,242.4,386.4,1822.5,2371.5,92.6,76.7
0.105188,407.7,121.1,1831.5,186.0,2365.0,249.6,388.4,1822.4,2371,93.1,76.7
0.107188,407.0,122.2,1825.9,179.9,2361.0,246.6,390.4,1822.3,2370.4,93.5,76.8
0.109188,411.7,108.2,1816.5,165.2,2353.8,234.1,392.3,1822.1,2369.8,93.9,76.9
0.111188,415.5,94.3,1810.4,154.1,2349.3,217.5,394,1821.9,2369.1,94.4,77.1
0.113188,412.2,92.0,1812.4,162.3,2351.0,211.7,395.7,1821.7,2368.4,94.8,77.3
0.115188,408.0,96.3,1822.3,186.2,2354.0,216.0,397.2,1821.5,2367.7,95.3,77.6
0.117188,410.8,95.7,1831.6,199.4,2352.9,215.8,398.7,1821.2,2366.9,95.7,77.8
0.119188,417.5,89.6,1835.2,194.3,2348.4,207.4,400,1820.9,2366,96.2,77.9
0.121188,421.9,87.3,1838.3,182.9,2344.9,199.2,401.3,1820.6,2365.1,96.6,78.1
0.123188,420.2,97.5,1846.2,174.1,2345.8,198.1,402.4,1820.2,2364.2,97,78.2
0.125188,415.4,113.2,1851.2,169.4,2349.7,201.4,403.4,1819.9,2363.2,97.4,78.2
0.127188,414.9,111.7,1844.0,166.2,2350.1,199.2,404.2,1819.5,2362.2,97.8,78.3
0.129188,418.6,97.5,1829.5,159.6,2346.9,191.9,405,1819.1,2361.1,98.1,78.4
0.131188,420.2,86.0,1815.2,150.0,2344.3,187.8,405.6,1818.6,2360,98.5,78.5
0.133188,413.9,86.1,1807.9,144.1,2345.3,200.0,406.1,1818.2,2358.9,98.8,78.5
0.135188,403.1,94.7,1810.2,142.3,2347.5,232.5,406.5,1817.7,2357.7,99.1,78.6
0.137188,401.2,96.2,1813.8,137.4,2345.1,255.0,406.8,1817.1,2356.5,99.4,78.7
0.139188,406.1,89.6,1812.7,130.2,2339.0,254.2,406.9,1816.6,2355.3,99.7,78.7
0.141188,409.0,85.0,1809.1,126.4,2335.5,240.2,406.9,1816,2354,100,78.7
0.143188,403.0,92.1,1807.3,136.6,2339.1,227.7,406.9,1815.5,2352.7,100.2,78.8
0.145188,393.7,105.1,1810.0,160.0,2343.2,221.1,406.7,1814.9,2351.4,100.4,78.8
0.147188,392.9,106.4,1813.7,175.4,2342.3,217.4,406.4,1814.2,2350.1,100.6,78.8
0.149188,399.2,96.3,1815.5,171.6,2338.7,212.3,405.9,1813.6,2348.8,100.8,78.8
0.151188,402.7,90.0,1817.3,158.5,2337.8,206.9,405.4,1812.9,2347.4,101,78.8
0.153188,396.9,96.0,1818.9,147.6,2342.5,208.3,404.8,1812.3,2346,101.2,78.8
0.155188,386.9,107.4,1815.0,142.3,2347.1,214.2,404.1,1811.6,2344.6,101.3,78.8
0.157188,385.2,107.6,1806.9,138.6,2345.5,210.6,403.3,1810.9,2343.2,101.5,78.8
0.159188,390.4,98.0,1800.3,136.2,2341.8,197.2,402.4,1810.2,2341.8,101.6,78.9
0.161188,392.3,91.2,1796.5,140.6,2342.1,184.2,401.5,1809.4,2340.5,101.7,78.9
0.163188,384.3,95.7,1795.1,160.6,2347.7,183.8,400.4,1808.7,2339.1,101.9,78.9
0.165188,373.8,106.6,1795.0,185.0,2352.9,194.2,399.3,1808,2337.7,102,79
0.167188,374.5,109.7,1795.9,185.9,2354.6,195.7,398.1,1807.2,2336.3,102.1,79
0.169188,382.0,105.8,1798.1,174.4,2356.3,183.9,396.9,1806.4,2334.9,102.2,79
0.171188,385.6,105.1,1802.2,168.0,2361.4,170.2,395.6,1805.7,2333.5,102.3,79
0.173188,378.4,116.4,1807.7,172.8,2368.8,168.4,394.3,1804.9,2332.2,102.3,79
0.175188,368.9,127.5,1809.3,176.9,2370.5,181.5,392.9,1804.1,2330.9,102.4,79.1
0.177188,368.6,123.3,1805.7,174.4,2363.6,198.6,391.5,1803.4,2329.6,102.5,79.1
0.179188,374.5,110.3,1801.1,169.3,2352.9,206.4,390.1,1802.6,2328.3,102.6,79.1
0.181188,376.4,102.6,1800.0,168.0,2343.9,205.9,388.6,1801.8,2327,102.6,79.1
0.183188,369.3,105.7,1802.5,172.7,2336.5,210.6,387.2,1801,2325.8,102.7,79.1
0.185188,363.0,108.5,1803.3,169.5,2326.9,216.3,385.7,1800.3,2324.6,102.7,79.1
0.187188,365.8,102.8,1800.7,155.1,2317.3,213.1,384.2,1799.5,2323.5,102.8,79.1
0.189188,373.9,92.5,1798.0,139.1,2310.6,205.8,382.8,1798.8,2322.3,102.9,79.1
0.191188,377.6,88.9,1798.3,135.1,2310.4,208.4,381.3,1798,2321.2,102.9,79.1
0.193188,374.7,96.2,1802.3,148.7,2316.1,224.0,379.9,1797.3,2320.2,102.9,79.1
0.195188,374.4,102.1,1805.0,166.8,2318.8,232.3,378.4,1796.6,2319.2,103,79.1
0.197188,381.3,96.4,1802.2,170.5,2315.4,222.8,377,1795.9,2318.2,103,79.1
0.199188,388.3,87.1,1797.4,162.5,2311.3,209.6,375.7,1795.1,2317.2,103.1,79.1
0.201188,387.3,85.1,1793.4,159.1,2310.3,207.4,374.4,1794.5,2316.3,103.1,79.1
0.203188,377.6,93.8,1790.6,164.7,2312.4,216.5,373.1,1793.8,2315.5,103.1,79.1
0.205188,372.3,99.4,1787.9,164.7,2312.8,216.7,371.9,1793.1,2314.7,103.1,79.1
0.207188,376.2,95.0,1785.6,154.2,2311.2,205.4,370.7,1792.5,2313.9,103.2,79.1
0.209188,382.0,87.6,1784.8,142.5,2310.7,192.9,369.6,1791.8,2313.2,103.2,79.1
0.211188,380.4,88.2,1787.1,142.5,2313.4,187.3,368.5,1791.2,2312.5,103.2,79.1
0.213188,373.2,96.6,1790.6,156.4,2315.6,187.1,367.5,1790.6,2311.8,103.2,79.1
0.215188,371.7,99.0,1790.5,165.4,2313.0,183.5,366.6,1790,2311.2,103.3,79.1
0.217188,377.9,92.9,1787.3,157.7,2309.6,174.5,365.8,1789.4,2310.7,103.3,79.1
0.219188,383.4,86.6,1783.6,144.6,2308.9,170.2,365,1788.9,2310.1,103.3,79.1
0.221188,379.1,90.0,1781.4,140.9,2311.7,182.8,364.3,1788.3,2309.7,103.3,79.1
0.223188,369.5,100.1,1781.0,145.1,2314.1,203.0,363.7,1787.8,2309.2,103.3,79.1
0.225188,367.0,103.6,1781.7,146.6,2311.6,203.8,363.2,1787.3,2308.8,103.3,79.1
0.227188,372.8,97.8,1783.5,142.6,2307.8,185.8,362.7,1786.8,2308.4,103.4,79.2
0.229188,376.9,91.7,1786.9,142.4,2306.6,169.2,362.4,1786.3,2308,103.4,79.2
0.231188,372.5,91.1,1789.8,154.4,2306.1,166.3,362.1,1785.9,2307.7,103.4,79.2
0.233188,366.3,91.0,1787.3,167.1,2302.3,173.9,361.9,1785.4,2307.4,103.4,79.2
0.235188,368.3,85.2,1779.7,162.3,2296.0,177.2,361.8,1785,2307.1,103.4,79.2
0.237188,375.8,78.0,1774.2,148.4,2293.9,173.9,361.8,1784.6,2306.9,103.4,79.2
0.239188,379.6,76.9,1773.8,139.6,2299.7,174.0,361.8,1784.2,2306.6,103.4,79.2
0.241188,375.2,86.2,1780.4,138.0,2312.7,182.0,362,1783.8,2306.4,103.4,79.2
0.243188,370.8,95.9,1789.1,134.1,2321.8,188.6,362.2,1783.4,2306.2,103.4,79.2
0.245188,375.0,93.5,1791.5,125.9,2320.5,185.9,362.5,1783.1,2306,103.4,79.2
0.247188,383.0,86.3,1790.2,115.6,2317.4,174.1,362.8,1782.7,2305.8,103.4,79.2
0.249188,385.4,85.6,1788.5,110.5,2318.3,161.9,363.3,1782.4,2305.6,103.4,79.2
0.251188,378.0,95.0,1787.7,117.0,2321.1,157.4,363.8,1782.1,2305.4,103.4,79.2
0.253188,370.9,102.7,1787.6,126.6,2319.0,153.8,364.4,1781.8,2305.2,103.4,79.2
0.255188,372.1,99.2,1787.0,129.8,2312.3,149.0,365,1781.4,2305,103.4,79.2
0.257188,376.9,89.2,1786.2,131.0,2303.9,146.7,365.7,1781.1,2304.8,103.4,79.2
0.259188,375.5,84.2,1787.1,141.5,2297.3,152.6,366.5,1780.8,2304.6,103.4,79.2
0.261188,368.0,86.9,1789.8,161.5,2294.1,163.8,367.3,1780.6,2304.4,103.4,79.2
0.263188,365.9,89.0,1790.1,169.5,2293.8,164.0,368.2,1780.3,2304.1,103.4,79.2
0.265188,372.5,84.8,1786.1,160.2,2294.6,151.5,369.1,1780,2303.8,103.4,79.3
0.267188,379.4,80.0,1782.3,149.7,2296.4,139.5,370,1779.7,2303.5,103.4,79.3
0.269188,378.1,81.5,1781.9,147.7,2299.5,138.5,371,1779.4,2303.2,103.4,79.3
0.271188,370.9,87.8,1785.2,149.2,2300.8,151.0,372,1779.2,2302.8,103.4,79.2
0.273188,369.7,88.7,1787.3,142.4,2297.5,163.5,373,1778.9,2302.4,103.4,79.2
0.275188,376.6,82.3,1785.1,131.1,2292.6,163.3,374,1778.6,2302,103.5,79.2
0.277188,382.6,75.8,1781.0,123.9,2289.6,157.8,375.1,1778.3,2301.5,103.5,79.2
0.279188,379.7,76.6,1777.7,129.3,2290.0,160.3,376.1,1778.1,2301,103.5,79.2
0.281188,371.5,82.2,1776.6,145.0,2290.1,171.5,377.2,1777.8,2300.5,103.5,79.2
0.283188,371.0,82.0,1775.6,150.8,2286.4,173.8,378.2,1777.5,2299.9,103.5,79.2
0.285188,377.8,76.1,1774.2,145.2,2282.6,164.8,379.2,1777.2,2299.3,103.6,79.2
