time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025401,468.7,154.1,1098.3,118.9,2551.3,480.1,500.2,1045.1,2550.3,94.6,58.5
0.027401,482.4,132.4,1100.3,102.0,2569.7,436.5,500.3,1045.4,2550.5,94.8,59.2
0.029401,493.6,113.5,1098.4,84.4,2583.1,403.1,500.6,1045.9,2550.9,95,59.8
0.031401,497.0,102.1,1093.4,74.1,2574.2,410.8,501,1046.7,2551.4,95.3,60.4
0.033401,493.6,99.6,1089.6,76.7,2523.7,480.6,501.4,1047.6,2552.1,95.5,61.1
0.035401,494.7,95.6,1090.2,81.3,2472.0,543.9,502,1048.7,2553,95.8,61.8
0.037401,502.8,85.5,1093.0,76.1,2471.4,540.1,502.6,1050.1,2553.9,96.2,62.5
0.039401,513.5,75.1,1095.1,66.4,2497.8,477.3,503.4,1051.6,2555,96.5,63.3
0.041401,523.4,74.8,1096.2,65.4,2527.6,425.6,504.2,1053.3,2556.3,96.9,64.1
0.043401,530.0,86.1,1096.8,78.7,2548.8,404.7,505.1,1055.1,2557.6,97.2,65
0.045401,534.7,91.0,1097.4,88.7,2561.1,380.1,506.1,1057.2,2559.1,97.6,65.7
0.047401,539.5,83.6,1098.4,83.4,2573.7,340.8,507.2,1059.3,2560.7,98.1,66.3
0.049401,544.1,71.0,1099.1,69.4,2587.5,296.4,508.3,1061.6,2562.4,98.5,66.6
0.051401,547.0,58.8,1098.9,54.3,2599.9,257.8,509.6,1064.1,2564.2,98.9,66.7
0.053401,544.0,51.1,1096.5,43.5,2604.9,243.8,510.8,1066.6,2566.1,99.4,66.6
0.055401,529.9,53.1,1091.0,41.8,2589.9,293.1,512.2,1069.2,2568.1,99.8,66.6
0.057401,512.1,64.2,1084.6,49.7,2549.4,425.6,513.5,1072,2570.2,100.3,66.6
0.059401,504.2,72.7,1080.6,57.8,2529.2,501.6,514.9,1074.7,2572.3,100.7,67
0.061401,503.0,78.0,1078.7,63.2,2563.4,412.4,516.4,1077.6,2574.4,101.2,67.6
0.063401,503.9,87.9,1077.7,73.7,2592.1,299.3,517.9,1080.5,2576.6,101.6,68.3
0.065401,508.7,95.2,1077.8,84.3,2605.7,238.7,519.4,1083.4,2578.9,102.1,69
0.067401,517.3,92.0,1079.4,84.7,2614.5,203.4,520.9,1086.3,2581.1,102.5,69.6
0.069401,526.7,83.8,1081.6,77.5,2621.8,177.5,522.4,1089.2,2583.4,102.9,70
0.071401,534.6,78.7,1082.9,71.6,2627.4,161.7,523.9,1092,2585.7,103.3,70.3
0.073401,539.0,84.6,1082.5,76.1,2630.6,162.3,525.4,1094.8,2588,103.7,70.6
0.075401,540.4,99.0,1081.4,90.6,2632.2,171.5,526.9,1097.6,2590.2,104,70.8
0.077401,542.4,105.4,1082.0,98.2,2634.6,169.8,528.4,1100.3,2592.4,104.4,71
0.079401,544.8,101.6,1083.4,92.9,2637.3,158.9,529.8,1102.9,2594.6,104.7,71.1
0.081401,544.1,98.6,1082.8,85.6,2636.5,152.3,531.2,1105.4,2596.8,105,71.3
0.083401,538.0,104.8,1078.5,88.6,2628.4,161.8,532.6,1107.8,2598.8,105.3,71.4
0.085401,532.3,115.7,1072.1,104.6,2616.4,180.7,533.9,1110,2600.8,105.6,71.5
0.087401,533.3,116.4,1068.2,119.3,2610.6,185.9,535.1,1112.1,2602.8,105.8,71.6
0.089401,537.1,108.4,1068.5,120.8,2610.7,177.7,536.3,1114,2604.6,106.1,71.7
0.091401,537.3,104.6,1070.0,116.8,2608.9,173.6,537.5,1115.8,2606.4,106.3,71.8
0.093401,532.3,111.6,1070.9,117.5,2601.9,181.6,538.5,1117.3,2608,106.5,71.9
0.095401,529.1,117.8,1072.9,116.7,2597.9,186.1,539.5,1118.7,2609.5,106.7,71.9
0.097401,531.7,112.8,1076.0,106.7,2601.4,175.2,540.4,1119.9,2610.9,106.8,72
0.099401,535.1,104.2,1078.0,93.3,2606.8,158.8,541.3,1120.9,2612.2,107,72.1
0.101401,533.0,103.1,1077.5,86.2,2607.8,150.0,542,1121.6,2613.4,107.1,72.1
0.103401,526.3,110.4,1075.7,88.2,2603.9,150.3,542.6,1122.1,2614.4,107.2,72.1
