time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025748,503.7,186.5,687.9,212.5,2664.1,179.5,491,521,2610.1,106.4,66.5
0.027748,506.0,205.5,673.0,235.7,2661.6,184.5,491.2,521.9,2610.5,106.5,67.3
0.029748,516.0,213.7,657.8,259.6,2664.8,187.5,491.6,523.5,2611,106.6,68.1
0.031748,522.7,206.6,653.9,269.3,2668.6,181.9,492.1,525.6,2611.7,106.7,68.8
0.033748,523.2,201.8,655.4,266.4,2669.3,173.5,492.8,528.3,2612.7,106.9,69.4
0.035748,523.7,212.8,649.3,264.9,2667.1,170.8,493.5,531.5,2613.8,107,70
0.037748,533.6,235.2,629.7,275.1,2665.0,175.5,494.5,535.3,2615.1,107.1,70.6
0.039748,555.5,233.5,604.1,302.3,2664.1,178.0,495.5,539.7,2616.6,107.2,71.1
0.041748,565.3,203.6,595.0,341.1,2662.0,175.2,496.7,544.4,2618.3,107.3,71.6
0.043748,573.5,179.7,580.8,385.7,2658.8,176.5,497.9,549.7,2620.1,107.5,72.1
0.045748,552.5,480.4,581.0,148.6,2660.3,194.8,499.3,555.3,2622.1,107.6,72.5
0.047748,525.8,586.3,582.5,125.7,2671.4,225.7,500.8,561.3,2624.2,107.7,72.8
0.049748,521.4,629.1,581.1,116.8,2683.8,238.9,502.3,567.7,2626.4,107.9,73.1
0.051748,531.3,611.8,578.9,117.6,2683.2,226.0,503.9,574.3,2628.8,108,73.3
0.053748,532.4,582.7,578.0,123.6,2668.7,205.5,505.6,581.2,2631.2,108.1,73.5
0.055748,518.2,562.6,580.8,131.7,2649.1,190.5,507.3,588.2,2633.7,108.2,73.6
0.057748,506.7,548.9,584.7,136.7,2638.1,185.1,509,595.4,2636.2,108.3,73.7
0.059748,511.8,529.6,585.3,139.3,2637.4,181.0,510.8,602.7,2638.8,108.4,73.7
0.061748,521.3,507.0,583.7,142.5,2637.2,171.8,512.6,610,2641.4,108.5,73.7
0.063748,517.5,503.5,584.3,143.9,2632.2,163.5,514.4,617.3,2644.1,108.6,73.8
0.065748,500.7,530.6,588.6,139.3,2627.7,164.5,516.2,624.5,2646.7,108.7,73.8
0.067748,492.9,554.6,592.0,133.8,2629.9,170.7,518,631.6,2649.2,108.8,73.8
0.069748,499.5,550.4,592.7,132.5,2633.3,169.2,519.7,638.6,2651.8,108.8,73.8
0.071748,502.9,540.3,593.1,132.6,2629.0,157.6,521.4,645.3,2654.2,108.9,73.9
0.073748,489.5,559.8,595.2,127.5,2617.1,144.9,523,651.7,2656.6,109,73.9
0.075748,473.4,596.7,597.6,119.6,2607.4,137.0,524.5,657.8,2658.9,109,73.9
0.077748,474.8,606.6,598.2,116.2,2604.8,132.2,526,663.6,2661.1,109,73.9
0.079748,486.0,585.0,597.8,118.1,2604.2,126.0,527.3,668.9,2663.1,109,73.9
0.081748,487.2,562.6,598.7,121.1,2601.6,121.3,528.6,673.8,2665.1,109.1,74
0.083748,476.7,559.3,601.1,120.4,2598.1,123.9,529.8,678.2,2666.8,109.1,74
0.085748,474.7,554.7,602.7,119.2,2597.4,129.8,530.8,682.1,2668.4,109.1,74.1
0.087748,486.3,528.8,602.8,122.4,2597.9,129.6,531.7,685.4,2669.8,109,74.1
0.089748,495.8,485.8,603.6,129.9,2594.6,122.5,532.5,688.2,2671.1,109,74.2
0.091748,491.4,434.2,608.2,138.5,2585.3,115.2,533.1,690.4,2672.1,109,74.2
0.093748,481.8,376.0,616.9,144.9,2574.1,113.6,533.6,691.9,2672.9,109,74.3
0.095748,480.4,315.4,626.4,151.4,2568.4,115.4,533.9,692.8,2673.6,108.9,74.3
0.097748,483.2,277.2,632.5,157.8,2570.3,116.4,534.1,693.1,2674,108.9,74.3
0.099748,484.5,278.4,630.1,161.1,2576.7,122.1,534.1,692.8,2674.2,108.8,74.3
0.101748,484.6,334.3,617.0,154.9,2587.8,141.2,534,691.8,2674.2,108.7,74.3
0.103748,485.8,397.0,606.7,143.7,2602.8,166.4,533.7,690.1,2674,108.7,74.3
0.105748,495.4,403.1,603.3,145.0,2614.5,177.2,533.2,687.9,2673.6,108.6,74.4
0.107748,503.3,381.8,603.4,153.6,2617.2,171.0,532.6,685,2673,108.5,74.4
