time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025190,536.2,215.2,1762.4,114.4,2435.6,157.8,515.4,1775.5,2431.8,108.2,62.2
0.027190,534.8,193.7,1764.6,111.7,2431.7,148.6,515.4,1775.6,2431.8,108,62.5
0.029190,530.1,171.8,1767.5,112.7,2428.2,145.1,515.4,1775.7,2431.9,107.8,62.9
0.031190,523.6,160.1,1769.8,120.1,2424.5,153.0,515.4,1775.8,2432,107.6,63.2
0.033190,517.7,162.2,1769.7,129.3,2421.3,171.9,515.4,1776,2432.1,107.3,63.5
0.035190,517.5,164.2,1767.7,126.6,2422.5,184.1,515.4,1776.2,2432.2,107.1,64
0.037190,522.0,157.2,1766.6,115.0,2429.6,183.0,515.3,1776.5,2432.4,106.9,64.5
0.039190,524.9,152.8,1765.5,106.3,2434.0,190.0,515.3,1776.8,2432.5,106.7,65.1
0.041190,522.9,158.9,1764.1,103.2,2427.0,223.6,515.3,1777.1,2432.7,106.4,65.7
0.043190,516.5,160.7,1764.4,104.3,2416.4,271.0,515.2,1777.5,2432.9,106.2,66.3
0.045190,512.7,147.7,1766.8,103.7,2419.5,293.6,515.2,1777.8,2433.1,106,66.8
0.047190,513.8,133.1,1770.4,102.2,2432.5,277.0,515.1,1778.3,2433.3,105.9,67.3
0.049190,514.5,125.8,1779.2,113.4,2445.7,236.7,515,1778.7,2433.6,105.7,67.8
0.051190,513.1,133.2,1793.7,140.2,2448.0,207.5,515,1779.1,2433.8,105.6,68.3
0.053190,513.9,140.9,1801.4,153.1,2445.2,189.1,514.8,1779.6,2434,105.5,68.8
0.055190,517.6,133.3,1799.9,146.9,2442.0,172.0,514.7,1780.1,2434.3,105.4,69.2
0.057190,521.0,118.4,1795.1,134.0,2439.8,156.9,514.6,1780.6,2434.5,105.3,69.5
0.059190,521.1,109.8,1791.5,126.0,2438.8,147.5,514.4,1781.1,2434.7,105.2,69.7
0.061190,515.3,117.4,1790.6,131.1,2438.2,148.6,514.2,1781.7,2435,105.2,69.9
0.063190,507.9,135.3,1791.3,143.6,2436.0,155.7,514,1782.2,2435.2,105.2,70.1
0.065190,506.2,138.7,1789.7,143.7,2433.6,153.3,513.8,1782.7,2435.3,105.2,70.2
0.067190,507.6,128.9,1786.9,133.4,2432.8,142.5,513.5,1783.2,2435.5,105.2,70.4
0.069190,506.7,121.3,1786.2,124.8,2435.9,132.1,513.3,1783.7,2435.7,105.3,70.6
0.071190,502.0,124.5,1789.5,126.8,2443.1,130.2,512.9,1784.2,2435.8,105.3,70.7
0.073190,500.0,127.8,1792.7,132.8,2448.2,133.3,512.6,1784.7,2435.9,105.4,70.9
0.075190,503.0,120.5,1791.7,130.9,2448.2,131.3,512.2,1785.2,2435.9,105.5,71
0.077190,506.5,108.8,1788.8,124.4,2446.1,127.2,511.8,1785.7,2436,105.6,71.1
0.079190,506.1,104.6,1788.7,123.5,2445.9,131.2,511.4,1786.1,2436,105.7,71.2
0.081190,502.0,111.6,1794.4,131.5,2448.7,151.0,510.9,1786.5,2435.9,105.8,71.3
0.083190,500.8,116.0,1799.7,136.0,2449.9,169.9,510.4,1786.9,2435.9,105.9,71.4
0.085190,503.6,109.3,1798.7,130.8,2446.6,169.8,509.8,1787.2,2435.7,106,71.5
0.087190,506.1,100.9,1795.3,123.8,2441.6,160.7,509.2,1787.5,2435.6,106.1,71.5
0.089190,504.6,103.2,1794.1,124.0,2437.5,155.9,508.6,1787.8,2435.3,106.3,71.6
0.091190,501.5,114.4,1795.3,129.5,2433.8,158.4,508,1788,2435.1,106.4,71.7
0.093190,502.2,115.8,1794.3,128.8,2430.6,158.2,507.3,1788.2,2434.8,106.5,71.8
0.095190,505.7,106.2,1790.8,121.8,2427.9,152.7,506.6,1788.4,2434.4,106.6,71.8
0.097190,506.7,99.2,1787.7,118.0,2425.7,150.7,505.8,1788.5,2434,106.7,71.8
0.099190,502.7,105.1,1787.4,124.5,2422.8,160.6,505,1788.6,2433.5,106.7,71.8
0.101190,497.2,117.3,1788.4,134.9,2418.1,177.3,504.2,1788.6,2433,106.8,71.8
0.103190,497.0,116.6,1786.6,134.0,2414.7,181.1,503.4,1788.6,2432.5,106.9,71.8
0.105190,499.6,106.7,1783.3,126.3,2414.9,175.3,502.5,1788.5,2431.9,107,71.8
0.107190,499.3,102.0,1781.0,122.0,2419.1,173.2,501.6,1788.4,2431.2,107,71.8
0.109190,494.5,110.6,1781.3,125.3,2425.6,180.5,500.7,1788.2,2430.5,107.1,71.7
0.111190,491.1,118.4,1781.4,126.2,2428.0,184.6,499.7,1787.9,2429.7,107.1,71.7
0.113190,492.7,113.0,1779.1,120.2,2425.9,178.6,498.8,1787.7,2428.9,107.1,71.8
0.115190,495.0,103.5,1775.8,114.1,2423.6,172.3,497.8,1787.3,2428.1,107.2,71.8
0.117190,492.9,103.6,1773.3,117.3,2423.7,180.1,496.8,1787,2427.2,107.2,71.8
0.119190,488.2,112.4,1772.3,128.1,2424.6,201.5,495.8,1786.5,2426.3,107.2,71.8
0.121190,487.3,114.3,1771.3,132.4,2422.9,213.9,494.8,1786.1,2425.3,107.2,71.8
0.123190,490.5,105.2,1769.6,127.4,2419.4,206.9,493.8,1785.5,2424.3,107.2,71.8
0.125190,492.1,98.7,1768.9,124.5,2416.1,193.0,492.8,1785,2423.3,107.2,71.8
0.127190,489.3,104.7,1770.7,131.5,2412.7,179.7,491.8,1784.4,2422.2,107.2,71.8
