time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025349,461.6,67.9,1375.1,128.0,2181.4,116.1,422.3,1319.6,2166.8,105.1,71.8
0.027349,462.2,66.4,1375.0,148.8,2180.7,118.7,422.6,1319.9,2167,105.2,72.1
0.029349,464.0,59.9,1374.6,148.2,2179.8,115.1,423.1,1320.5,2167.4,105.2,72.2
0.031349,464.9,56.9,1372.5,146.3,2181.0,119.0,423.9,1321.2,2167.8,105.3,72.4
0.033349,464.3,63.6,1369.8,158.4,2185.0,140.4,424.8,1322.2,2168.4,105.3,72.5
0.035349,464.1,72.2,1367.8,167.4,2188.4,160.8,426,1323.4,2169.1,105.4,72.6
0.037349,465.3,70.7,1366.0,156.6,2188.5,158.1,427.3,1324.8,2169.9,105.4,72.8
0.039349,466.0,63.3,1364.0,139.2,2188.5,144.1,428.9,1326.4,2170.8,105.5,72.9
0.041349,464.4,61.0,1362.2,132.9,2192.0,134.1,430.6,1328.1,2171.8,105.5,73
0.043349,461.3,68.9,1361.7,142.9,2198.3,131.4,432.5,1330.1,2173,105.6,73.1
0.045349,460.0,77.1,1362.0,149.9,2201.2,126.9,434.5,1332.1,2174.2,105.7,73.2
0.047349,461.2,75.1,1362.3,140.7,2200.5,118.2,436.7,1334.3,2175.5,105.7,73.3
0.049349,461.9,69.1,1363.1,127.1,2200.5,113.2,439,1336.6,2176.9,105.8,73.4
0.051349,459.6,69.7,1364.6,123.0,2204.4,122.7,441.4,1339.1,2178.4,105.9,73.4
0.053349,456.1,78.0,1365.3,128.4,2210.2,145.6,443.9,1341.6,2179.9,105.9,73.5
0.055349,455.9,82.0,1363.3,129.1,2211.4,159.1,446.6,1344.1,2181.5,106,73.6
0.057349,458.2,77.1,1359.9,122.3,2207.9,154.5,449.2,1346.8,2183.1,106,73.6
0.059349,459.1,73.1,1357.9,119.3,2204.5,146.1,452,1349.4,2184.7,106.1,73.7
0.061349,456.9,79.9,1359.7,132.5,2203.3,146.6,454.8,1352.1,2186.4,106.1,73.7
0.063349,455.0,92.7,1362.4,153.6,2201.3,151.4,457.6,1354.7,2188.1,106.2,73.8
0.065349,456.2,94.6,1359.7,157.1,2196.3,147.0,460.4,1357.3,2189.8,106.2,73.8
0.067349,458.0,86.4,1352.3,146.2,2190.4,137.9,463.2,1359.9,2191.5,106.2,73.9
0.069349,456.4,82.3,1343.8,142.0,2185.5,138.5,466,1362.4,2193.2,106.3,73.9
0.071349,451.3,90.6,1336.5,155.7,2182.1,156.2,468.8,1364.8,2194.9,106.3,73.9
0.073349,448.1,101.3,1332.1,169.3,2179.5,171.5,471.4,1367.1,2196.5,106.3,73.9
0.075349,449.7,99.7,1329.6,163.4,2178.0,166.9,474,1369.2,2198.1,106.3,73.9
0.077349,451.9,91.8,1328.6,150.8,2178.4,156.2,476.6,1371.2,2199.6,106.2,73.9
0.079349,450.5,92.5,1330.0,152.5,2180.5,159.3,479,1373.1,2201.1,106.2,73.9
0.081349,447.1,104.7,1334.4,170.6,2182.2,177.6,481.3,1374.7,2202.5,106.2,73.9
0.083349,447.5,111.2,1337.3,178.3,2181.2,184.9,483.4,1376.2,2203.8,106.2,73.9
0.085349,451.2,103.3,1336.4,166.2,2179.2,172.2,485.4,1377.4,2205.1,106.1,73.9
0.087349,453.2,94.0,1335.2,154.4,2178.8,156.9,487.3,1378.4,2206.3,106.1,73.9
0.089349,451.3,95.7,1336.8,162.6,2179.9,154.8,488.9,1379.1,2207.4,106,74
0.091349,449.6,103.8,1340.1,184.0,2179.7,161.6,490.4,1379.6,2208.3,105.9,74
0.093349,452.3,101.8,1339.7,186.2,2177.5,158.0,491.7,1379.9,2209.2,105.9,74
0.095349,456.3,90.9,1336.4,168.0,2176.2,145.3,492.8,1379.8,2210,105.8,74
0.097349,457.0,84.5,1333.6,154.3,2178.0,139.0,493.7,1379.5,2210.7,105.7,74
0.099349,453.7,89.9,1333.2,161.2,2183.2,149.6,494.3,1378.9,2211.2,105.7,74.1
0.101349,452.2,97.2,1332.9,174.7,2187.2,164.2,494.8,1377.9,2211.6,105.6,74.1
0.103349,455.5,93.2,1330.8,168.6,2188.4,163.4,495,1376.7,2212,105.5,74.1
0.105349,459.3,83.8,1329.2,148.2,2189.1,153.7,495,1375.2,2212.2,105.4,74.1
0.107349,459.2,80.7,1329.9,135.4,2189.5,149.7,494.8,1373.4,2212.3,105.3,74.1
0.109349,455.7,86.5,1332.7,142.4,2185.7,155.2,494.3,1371.3,2212.3,105.3,74.1
