time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025095,390.1,70.9,1052.9,140.5,2579.0,171.2,407,1072.9,2595.4,82.8,64.7
0.027095,398.0,62.7,1058.1,113.4,2570.8,162.5,406.8,1072.7,2595.6,83.4,64.8
0.029095,403.7,71.2,1066.4,107.6,2563.3,169.7,406.4,1072.5,2596,84.1,64.7
0.031095,406.2,100.3,1076.6,122.5,2560.4,190.5,405.9,1072.1,2596.5,84.8,64.8
0.033095,407.3,127.5,1085.9,141.7,2562.3,201.3,405.3,1071.7,2597.2,85.6,65
0.035095,409.2,127.9,1092.1,146.3,2563.6,191.1,404.5,1071.1,2598,86.3,65.3
0.037095,410.3,116.3,1092.3,132.9,2566.4,169.1,403.6,1070.5,2598.9,87.1,65.7
0.039095,408.6,109.0,1087.6,110.1,2573.7,146.0,402.5,1069.8,2600,87.8,66.1
0.041095,401.7,108.0,1080.8,87.5,2583.9,131.7,401.4,1069,2601.1,88.6,66.4
0.043095,391.3,102.0,1074.6,69.5,2593.1,130.7,400.1,1068.1,2602.4,89.3,66.8
0.045095,386.5,85.1,1070.2,58.2,2596.7,141.8,398.8,1067.1,2603.8,90.1,67
0.047095,387.9,67.8,1066.2,50.8,2594.7,160.3,397.4,1066.1,2605.4,90.8,67.2
0.049095,391.0,57.4,1061.6,46.5,2589.1,178.0,395.9,1065.1,2606.9,91.5,67.3
0.051095,391.2,57.6,1055.2,47.8,2586.4,187.8,394.3,1063.9,2608.6,92.2,67.3
0.053095,386.6,72.2,1048.0,61.0,2589.2,182.3,392.7,1062.8,2610.4,92.9,67.4
0.055095,384.6,90.0,1044.0,83.5,2582.3,176.7,391.1,1061.6,2612.2,93.5,67.5
0.057095,388.8,89.9,1045.6,97.0,2566.0,192.6,389.4,1060.3,2614,94.1,67.6
0.059095,393.0,79.2,1051.3,93.3,2555.4,220.2,387.7,1059.1,2615.9,94.7,67.8
0.061095,393.3,71.8,1058.9,84.4,2565.8,263.1,386,1057.8,2617.8,95.2,67.9
0.063095,387.9,74.8,1064.8,82.9,2618.7,340.5,384.4,1056.5,2619.8,95.8,68
0.065095,381.0,83.5,1066.3,91.8,2721.6,436.7,382.7,1055.2,2621.7,96.2,68.1
0.067095,379.9,83.0,1064.3,101.6,2789.4,478.5,381.1,1054,2623.7,96.7,68.2
0.069095,382.5,75.9,1064.2,104.5,2771.8,460.1,379.6,1052.7,2625.6,97.1,68.3
0.071095,384.0,73.0,1069.1,102.7,2727.0,378.6,378.1,1051.5,2627.5,97.5,68.4
0.073095,379.8,77.8,1072.7,101.4,2707.5,290.0,376.7,1050.3,2629.4,97.8,68.6
0.075095,373.7,81.4,1068.5,100.4,2706.9,234.2,375.3,1049.1,2631.2,98.2,68.7
0.077095,373.5,76.5,1059.6,98.3,2709.0,202.7,374.1,1048,2632.9,98.4,68.8
0.079095,377.9,67.2,1050.6,96.8,2706.6,195.3,373,1047,2634.6,98.7,68.9
0.081095,380.6,59.8,1042.0,101.0,2696.4,216.8,371.9,1046,2636.3,99,69
0.083095,377.1,58.4,1032.8,114.7,2677.2,257.9,371,1045,2637.8,99.2,69.1
0.085095,370.5,59.1,1024.7,129.1,2650.0,286.5,370.3,1044.2,2639.3,99.4,69.2
0.087095,368.8,57.2,1022.4,131.5,2627.3,276.8,369.6,1043.4,2640.6,99.5,69.2
0.089095,373.1,54.7,1024.6,127.5,2617.2,244.2,369.1,1042.7,2641.9,99.7,69.3
0.091095,377.0,55.8,1027.1,125.5,2618.8,218.8,368.7,1042.1,2643.1,99.8,69.4
0.093095,375.8,60.0,1028.5,121.3,2628.4,215.1,368.4,1041.5,2644.1,99.9,69.4
0.095095,372.1,61.8,1030.6,109.0,2644.0,239.4,368.3,1041.1,2645.1,100,69.5
0.097095,372.6,57.9,1033.0,93.6,2661.0,301.5,368.3,1040.8,2645.9,100.1,69.6
0.099095,376.5,51.9,1032.5,83.1,2654.9,395.4,368.5,1040.5,2646.6,100.2,69.6
0.101095,378.8,48.9,1027.3,80.4,2608.5,459.5,368.7,1040.4,2647.2,100.2,69.6
0.103095,375.4,53.0,1016.8,89.8,2566.0,470.6,369.1,1040.3,2647.6,100.3,69.6
0.105095,370.6,60.0,1008.0,104.3,2552.7,496.9,369.7,1040.3,2648,100.3,69.6
