time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025270,396.6,78.3,645.7,115.9,2558.5,182.8,377.9,583.9,2588,0,61.8
0.027270,402.4,60.6,653.4,101.4,2557.4,159.2,378,584.3,2588.5,0,61.5
0.029270,401.7,56.4,654.1,96.0,2553.5,156.0,378.3,584.9,2589.3,0,61.3
0.031270,386.7,78.4,638.1,107.1,2552.5,183.1,378.6,585.7,2590.4,0,61.7
0.033270,353.1,143.3,614.7,132.8,2575.6,233.0,379.1,586.8,2591.7,0,62.7
0.035270,334.3,181.9,614.9,148.9,2616.7,258.9,379.6,588.1,2593.4,0,64.1
0.037270,345.1,160.0,623.8,138.7,2629.9,257.0,380.3,589.7,2595.4,0,65.4
0.039270,361.7,130.4,628.9,123.4,2626.7,242.8,381,591.4,2597.6,0,66.6
0.041270,376.3,104.8,632.4,109.9,2620.5,219.9,381.8,593.4,2600.1,0,67.3
0.043270,389.1,82.7,635.8,98.5,2615.2,191.3,382.7,595.5,2602.9,0,67.6
0.045270,400.8,63.7,639.4,89.8,2611.9,159.8,383.7,597.8,2605.9,0,67.6
0.047270,410.6,49.2,642.0,85.8,2610.0,130.0,384.7,600.3,2609.2,0,67.3
0.049270,415.3,43.7,637.1,92.3,2608.2,110.1,385.8,602.9,2612.6,0,66.9
0.051270,408.1,65.1,606.3,124.7,2607.2,113.7,387,605.6,2616.3,0,66.7
0.053270,390.0,169.8,551.6,172.2,2620.1,147.2,388.2,608.5,2620.2,0,67.1
0.055270,358.3,242.3,567.9,172.6,2645.0,183.2,389.5,611.4,2624.2,0,67.9
0.057270,351.1,212.8,599.6,151.8,2652.7,193.9,390.8,614.5,2628.4,0,68.9
0.059270,363.7,176.1,613.0,136.5,2652.4,187.7,392.2,617.6,2632.8,0,69.8
0.061270,377.7,143.0,621.1,124.6,2651.0,176.2,393.5,620.7,2637.2,0,70.5
0.063270,389.4,115.9,627.9,114.2,2650.2,163.2,395,623.8,2641.8,0,70.9
0.065270,398.1,99.2,632.6,108.8,2651.5,153.7,396.4,627,2646.5,0,71.1
0.067270,403.4,101.7,630.6,119.2,2657.6,156.9,397.8,630.1,2651.2,0,71.3
0.069270,408.2,123.5,618.2,149.7,2668.1,168.8,399.3,633.2,2656,0,71.7
0.071270,415.0,134.5,606.5,175.6,2674.9,170.0,400.7,636.3,2660.7,0,72.1
0.073270,419.2,122.0,606.7,183.6,2675.7,160.1,402.1,639.2,2665.5,0,72.6
0.075270,420.2,104.9,612.6,185.5,2674.6,148.6,403.6,642.1,2670.3,106.4,73.2
0.077270,419.3,96.4,616.8,195.5,2676.3,144.9,405,644.9,2675.1,106.4,73.8
0.079270,418.6,96.3,618.1,211.4,2683.6,150.1,406.3,647.5,2679.8,106.3,74.3
0.081270,419.2,95.7,619.6,214.1,2692.1,155.1,407.6,650,2684.5,106.3,74.7
0.083270,420.5,91.2,622.6,203.6,2696.3,154.2,408.9,652.3,2689,106.3,75
0.085270,421.6,87.2,625.6,193.8,2696.0,150.4,410.2,654.5,2693.5,106.3,75.2
0.087270,421.5,90.9,626.8,195.8,2694.4,150.3,411.3,656.4,2697.8,106.2,75.4
0.089270,420.9,101.7,626.2,203.5,2695.5,153.5,412.5,658.2,2702,106.2,75.5
0.091270,420.6,108.7,626.4,199.6,2697.5,154.1,413.5,659.7,2706.1,106.2,75.6
0.093270,420.6,106.9,628.2,184.4,2697.5,150.0,414.5,661,2710,106.2,75.6
0.095270,419.4,102.5,629.8,169.0,2695.5,144.5,415.4,662.1,2713.7,106.2,75.7
