time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025435,385.2,64.1,1778.2,183.8,2267.4,158.3,389.6,1783.7,2293.3,97.9,65.7
0.027435,388.0,55.2,1777.6,165.4,2270.3,141.8,389.5,1783.7,2293.3,98,66.3
0.029435,389.7,45.4,1774.9,155.6,2273.2,128.3,389.3,1783.6,2293.4,98.1,66.9
0.031435,387.4,40.9,1770.3,165.0,2276.8,125.1,389,1783.4,2293.4,98.2,67.4
0.033435,381.3,44.3,1765.1,197.1,2279.7,128.2,388.6,1783.3,2293.4,98.3,67.9
0.035435,377.7,48.0,1762.6,215.3,2280.3,122.1,388.2,1783.1,2293.4,98.4,68.3
0.037435,379.6,45.3,1763.2,203.1,2280.8,106.3,387.6,1782.9,2293.4,98.5,68.6
0.039435,383.0,39.4,1763.7,182.0,2281.4,89.5,387,1782.6,2293.4,98.6,68.8
0.041435,383.8,34.6,1762.4,167.5,2281.3,77.0,386.3,1782.3,2293.5,98.8,69
0.043435,378.4,36.0,1760.4,177.8,2279.0,77.6,385.6,1782,2293.5,99,69.1
0.045435,370.5,42.4,1763.1,207.7,2275.0,89.6,384.8,1781.7,2293.6,99.1,69.3
0.047435,368.8,44.7,1768.3,222.9,2272.2,94.8,383.9,1781.4,2293.6,99.3,69.4
0.049435,372.7,40.8,1769.8,217.6,2271.6,87.8,383,1781.1,2293.7,99.5,69.6
0.051435,376.3,35.9,1767.1,211.2,2271.4,79.6,382,1780.7,2293.7,99.8,69.7
0.053435,374.7,34.9,1763.5,220.4,2270.7,83.0,381,1780.4,2293.8,100,69.8
0.055435,369.9,38.0,1767.3,234.1,2270.5,109.0,380,1780.1,2293.9,100.2,70
0.057435,368.2,39.7,1780.0,234.8,2277.7,173.4,378.9,1779.8,2294,100.5,70.1
0.059435,371.0,37.7,1791.3,226.9,2307.6,249.2,377.8,1779.5,2294.1,100.7,70.3
0.061435,374.4,35.1,1792.7,227.7,2344.4,264.7,376.7,1779.3,2294.3,100.9,70.5
0.063435,374.0,34.8,1786.5,264.6,2360.0,251.0,375.6,1779.1,2294.4,101.2,70.7
0.065435,371.2,36.0,1772.3,343.3,2353.1,248.9,374.5,1778.9,2294.6,101.4,70.9
0.067435,371.4,35.5,1753.9,430.8,2330.6,255.8,373.3,1778.8,2294.8,101.7,71.1
0.069435,375.3,34.1,1747.6,488.8,2303.4,270.4,372.2,1778.8,2295,101.9,71.3
0.071435,379.7,34.1,1762.2,526.6,2278.8,306.9,371.1,1778.8,2295.2,102.1,71.5
0.073435,380.6,36.9,1793.7,547.1,2266.4,383.9,370,1778.8,2295.4,102.3,71.6
0.075435,378.6,39.2,1823.3,503.5,2276.9,490.6,369,1778.9,2295.7,102.5,71.7
0.077435,377.9,37.3,1820.3,402.9,2298.9,508.8,368,1779.1,2295.9,102.7,71.8
0.079435,379.7,33.8,1804.1,305.5,2301.3,409.1,367,1779.4,2296.2,102.9,71.9
0.081435,381.1,33.5,1798.9,237.4,2303.7,319.2,366,1779.8,2296.5,103,71.9
0.083435,378.9,36.3,1799.0,211.5,2307.7,283.0,365.1,1780.2,2296.9,103.2,72
0.085435,375.1,37.8,1798.7,215.8,2309.6,287.4,364.3,1780.8,2297.2,103.3,72
0.087435,373.8,36.2,1799.7,240.1,2310.5,317.5,363.5,1781.4,2297.6,103.4,71.9
0.089435,375.3,34.5,1808.1,273.9,2319.2,343.9,362.8,1782.1,2298,103.5,71.9
0.091435,375.6,37.0,1826.6,301.8,2342.8,327.7,362.1,1782.9,2298.4,103.6,71.9
0.093435,372.2,43.4,1842.8,332.9,2361.4,298.3,361.5,1783.8,2298.8,103.7,71.9
0.095435,368.1,46.0,1842.9,394.1,2363.8,299.4,361,1784.8,2299.2,103.7,71.9
0.097435,367.7,43.4,1829.8,423.2,2358.8,293.1,360.5,1785.9,2299.7,103.8,71.9
0.099435,369.7,40.7,1824.9,373.3,2361.2,266.4,360.2,1787.1,2300.2,103.8,71.9
0.101435,369.3,42.1,1827.7,322.0,2365.5,245.4,359.8,1788.4,2300.7,103.8,71.9
0.103435,365.9,46.2,1829.5,306.8,2363.8,239.0,359.6,1789.8,2301.2,103.8,72
0.105435,363.8,46.7,1825.4,324.7,2351.4,243.8,359.4,1791.3,2301.7,103.8,72
0.107435,365.4,42.2,1808.4,358.5,2328.4,248.1,359.4,1792.8,2302.2,103.8,72
0.109435,367.8,38.2,1785.9,363.5,2307.1,229.9,359.3,1794.5,2302.7,103.8,72.1
0.111435,367.3,39.4,1778.2,338.1,2293.8,207.1,359.4,1796.2,2303.3,103.7,72.1
0.113435,364.9,43.2,1782.1,309.5,2283.0,187.8,359.5,1798,2303.8,103.7,72.1
0.115435,364.9,44.0,1790.4,279.9,2278.8,162.9,359.7,1799.8,2304.4,103.7,72.1
0.117435,367.8,41.9,1799.8,247.7,2280.3,132.7,360,1801.7,2304.9,103.6,72.1
