time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025351,301.6,39.5,1171.4,200.2,2171.8,380.7,312.2,1189,2192.5,0,62
0.027351,308.3,32.4,1170.5,162.7,2174.8,307.1,312.3,1189.1,2192.5,0,62.1
0.029351,314.8,26.3,1172.2,129.3,2176.4,238.1,312.3,1189.1,2192.5,0,61.8
0.031351,321.0,21.1,1176.4,101.3,2177.4,176.0,312.4,1189.3,2192.6,0,61
0.033351,326.1,18.3,1185.6,85.6,2180.6,128.5,312.5,1189.4,2192.6,0,60
0.035351,323.0,23.2,1203.0,106.8,2189.8,121.4,312.5,1189.6,2192.6,0,59.1
0.037351,302.5,40.0,1225.7,180.9,2202.6,152.3,312.6,1189.8,2192.6,0,59
0.039351,272.6,60.0,1231.0,255.4,2212.6,194.4,312.8,1190.1,2192.7,0,60.1
0.041351,256.4,71.0,1201.9,259.8,2214.4,252.3,312.9,1190.3,2192.7,0,61.9
0.043351,264.8,69.5,1181.0,227.1,2208.1,331.8,313.1,1190.7,2192.8,0,63.7
0.045351,282.0,62.7,1180.8,199.0,2206.6,349.2,313.2,1191,2192.8,0,65.2
0.047351,295.4,54.5,1183.6,173.4,2205.7,308.8,313.4,1191.4,2192.8,88,66.3
0.049351,305.3,46.6,1185.8,149.2,2204.2,256.4,313.6,1191.8,2192.8,88.5,67.1
0.051351,312.8,39.8,1187.4,127.6,2203.0,205.4,313.8,1192.2,2192.9,89,67.5
0.053351,318.3,34.9,1188.3,111.8,2202.7,161.8,314,1192.7,2192.9,89.5,67.7
0.055351,320.5,34.4,1187.9,113.6,2203.1,137.8,314.2,1193.2,2192.8,90.1,67.9
0.057351,318.9,41.1,1186.6,155.3,2203.4,153.4,314.4,1193.8,2192.8,90.7,68.2
0.059351,319.5,47.0,1188.7,216.9,2201.7,189.8,314.7,1194.4,2192.8,91.4,68.5
0.061351,323.4,45.2,1193.4,234.5,2198.4,199.5,314.9,1195,2192.7,92,69
0.063351,328.1,40.7,1196.9,217.4,2194.0,179.3,315.2,1195.6,2192.6,92.6,69.4
0.065351,332.3,39.0,1197.9,201.4,2188.3,153.2,315.4,1196.3,2192.5,93.3,69.7
0.067351,334.7,44.6,1194.9,207.2,2181.8,137.2,315.7,1197,2192.4,93.9,70
0.069351,334.3,54.0,1191.2,221.5,2178.0,129.6,315.9,1197.8,2192.2,94.6,70.3
0.071351,333.8,57.0,1192.9,218.3,2178.5,117.7,316.2,1198.6,2192,95.2,70.6
0.073351,334.8,53.4,1198.5,201.7,2181.8,101.5,316.4,1199.4,2191.7,95.8,70.8
