time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025660,361.4,155.2,2281.3,120.4,3084.7,323.3,380,2311.2,3075.3,0,56.1
0.027660,381.6,139.2,2282.3,114.2,3086.2,294.8,380.1,2311.2,3075.2,0,58.1
0.029660,395.8,110.2,2286.3,111.1,3091.2,264.3,380.3,2311.1,3075.2,0,59.8
0.031660,401.0,90.6,2293.0,111.6,3090.7,246.6,380.5,2311,3075.2,0,61.3
0.033660,398.7,84.9,2298.8,121.4,3079.4,250.7,380.8,2310.8,3075.2,0,62.6
0.035660,392.1,78.5,2300.4,142.3,3069.2,266.4,381.2,2310.7,3075.1,0,63.7
0.037660,391.8,70.5,2300.1,156.1,3077.3,268.6,381.7,2310.5,3075.1,0,64.7
0.039660,394.0,66.3,2300.2,150.9,3088.8,250.4,382.2,2310.2,3075,0,65.5
0.041660,396.3,60.2,2300.5,134.3,3096.3,226.2,382.8,2310,3075,0,66
0.043660,399.1,52.1,2300.5,114.3,3101.3,202.8,383.4,2309.7,3074.9,0,66.2
0.045660,401.9,43.7,2300.5,94.1,3104.7,182.3,384.1,2309.4,3074.8,0,66.2
0.047660,403.8,37.5,2300.8,74.9,3105.3,165.4,384.8,2309,3074.7,0,66
0.049660,402.0,40.1,2303.7,61.6,3099.4,153.6,385.6,2308.6,3074.5,0,65.9
0.051660,388.7,69.5,2316.9,78.9,3073.5,167.6,386.5,2308.3,3074.4,0,66.4
0.053660,360.3,118.0,2331.9,133.8,3044.1,201.7,387.3,2307.8,3074.2,0,67.3
0.055660,356.9,120.5,2330.1,141.7,3041.4,204.1,388.2,2307.4,3074,0,68.4
0.057660,367.4,99.5,2326.2,129.3,3048.6,193.6,389.1,2307,3073.7,0,69.4
0.059660,376.8,79.1,2322.5,114.2,3057.7,179.9,390.1,2306.5,3073.5,0,70.1
0.061660,384.0,62.4,2319.0,98.9,3067.2,164.8,391.1,2306,3073.2,0,70.6
0.063660,388.9,50.9,2316.0,85.8,3075.5,152.1,392.1,2305.5,3072.9,0,70.8
0.065660,390.8,47.7,2314.3,78.2,3079.3,151.0,393,2305,3072.5,0,70.9
0.067660,388.0,57.3,2314.5,81.6,3069.7,179.0,394,2304.5,3072.1,0,71
0.069660,384.8,67.1,2314.2,85.5,3054.3,210.1,395,2303.9,3071.6,0,71.2
0.071660,386.0,64.6,2313.0,81.1,3053.0,211.1,396,2303.4,3071.1,0,71.6
0.073660,390.3,55.4,2312.4,76.3,3060.1,198.6,397,2302.8,3070.6,106,72
0.075660,394.7,47.7,2312.6,80.9,3064.6,192.0,397.9,2302.3,3070,106,72.4
0.077660,396.9,44.3,2312.1,96.5,3063.2,196.2,398.9,2301.7,3069.4,106,72.8
0.079660,397.9,41.7,2309.5,106.0,3061.6,196.5,399.8,2301.1,3068.7,106,73.2
0.081660,399.7,37.6,2305.3,101.8,3062.2,187.0,400.6,2300.5,3068,106,73.6
0.083660,402.1,34.3,2300.7,92.5,3062.9,175.1,401.5,2300,3067.2,106,73.8
0.085660,403.9,34.8,2296.3,90.0,3062.2,173.5,402.3,2299.4,3066.3,106,74
0.087660,403.9,38.7,2294.0,97.1,3061.4,188.3,403,2298.8,3065.4,106.1,74.1
0.089660,403.0,40.4,2294.3,100.6,3063.4,201.9,403.7,2298.2,3064.5,106.1,74.3
0.091660,402.9,38.4,2295.9,95.6,3067.0,203.2,404.4,2297.7,3063.5,106.1,74.3
0.093660,403.4,36.5,2297.8,91.0,3067.3,204.8,405,2297.1,3062.4,106.1,74.4
0.095660,403.2,38.3,2300.2,95.5,3057.3,222.8,405.5,2296.5,3061.3,106.1,74.5
0.097660,402.1,42.5,2301.9,105.1,3040.3,244.5,406,2295.9,3060.1,106.1,74.6
0.099660,401.5,43.1,2302.0,105.2,3035.9,245.1,406.4,2295.4,3058.9,106.2,74.6
0.101660,402.2,40.4,2301.1,97.4,3042.6,235.2,406.8,2294.8,3057.6,106.2,74.7
0.103660,403.2,39.5,2298.7,90.4,3047.0,235.0,407.1,2294.3,3056.2,106.2,74.8
0.105660,403.3,42.9,2294.4,88.0,3040.5,255.7,407.3,2293.7,3054.8,106.2,74.9
0.107660,402.7,46.2,2290.1,84.9,3030.6,271.7,407.5,2293.2,3053.4,106.2,74.9
0.109660,402.8,44.7,2287.6,77.9,3030.5,264.1,407.6,2292.6,3051.9,106.2,75
0.111660,403.8,40.7,2285.8,71.2,3036.2,246.4,407.6,2292.1,3050.3,106.2,75.1
0.113660,404.3,39.2,2284.6,71.8,3038.9,238.4,407.6,2291.5,3048.7,106.3,75.1
0.115660,403.1,41.8,2285.0,82.4,3036.5,247.9,407.5,2291,3047.1,106.3,75.2
0.117660,401.8,43.9,2287.5,90.6,3036.5,254.9,407.4,2290.4,3045.4,106.3,75.2
0.119660,402.1,42.8,2290.8,87.7,3040.2,246.2,407.1,2289.9,3043.7,106.3,75.3
0.121660,403.6,41.5,2294.3,81.9,3042.6,230.9,406.9,2289.3,3041.9,106.3,75.4
0.123660,404.5,43.6,2296.3,81.7,3040.5,220.9,406.5,2288.8,3040.2,106.3,75.5
0.125660,404.2,47.7,2294.8,83.7,3035.5,212.8,406.2,2288.2,3038.4,106.3,75.5
0.127660,403.9,48.2,2292.3,79.9,3035.6,197.0,405.7,2287.6,3036.5,106.3,75.6
0.129660,404.5,44.7,2292.2,73.4,3041.1,177.1,405.2,2287.1,3034.7,106.2,75.7
0.131660,405.2,42.3,2293.7,71.4,3046.1,164.1,404.7,2286.5,3032.9,106.2,75.7
0.133660,404.6,44.3,2293.2,77.2,3046.6,167.2,404.2,2285.9,3031,106.2,75.8
0.135660,403.1,47.0,2289.2,83.0,3044.9,179.8,403.6,2285.3,3029.1,106.2,75.8
0.137660,402.5,45.4,2286.9,80.9,3046.4,186.1,402.9,2284.7,3027.3,106.2,75.8
0.139660,402.8,41.4,2289.4,76.6,3050.7,184.5,402.3,2284.1,3025.4,106.1,75.8
0.141660,402.9,39.7,2295.7,77.4,3052.2,184.2,401.6,2283.4,3023.6,106.1,75.8
0.143660,401.5,42.4,2299.4,85.3,3045.5,192.6,400.9,2282.8,3021.8,106.1,75.8
0.145660,400.2,44.7,2295.0,89.8,3035.0,199.6,400.2,2282.1,3020,106,75.8
0.147660,400.3,42.7,2286.8,84.8,3028.6,195.9,399.5,2281.4,3018.2,106,75.7
0.149660,401.4,39.6,2279.8,77.7,3025.9,190.6,398.8,2280.7,3016.5,106,75.7
0.151660,401.3,40.5,2274.1,77.0,3022.2,195.1,398.1,2279.9,3014.8,105.9,75.7
0.153660,399.6,45.3,2269.8,84.6,3018.5,208.2,397.4,2279.2,3013.2,105.9,75.6
0.155660,398.3,47.8,2269.0,90.6,3019.4,215.5,396.7,2278.4,3011.6,105.8,75.6
0.157660,398.9,46.3,2272.4,89.5,3020.3,215.3,396,2277.6,3010,105.8,75.6
0.159660,400.0,44.6,2280.0,87.8,3014.4,217.1,395.3,2276.7,3008.5,105.8,75.6
0.161660,399.7,47.1,2288.4,92.2,3002.4,222.9,394.7,2275.8,3007.1,105.7,75.6
0.163660,398.6,51.4,2290.8,95.3,2996.9,216.7,394.1,2274.9,3005.7,105.7,75.6
0.165660,398.2,51.1,2286.9,89.1,3003.9,196.8,393.6,2274,3004.4,105.6,75.7
0.167660,399.0,47.1,2281.0,79.5,3015.0,176.9,393,2273,3003.2,105.6,75.7
0.169660,399.2,45.7,2273.9,74.8,3021.7,168.8,392.5,2272,3002.1,105.5,75.6
0.171660,397.6,49.9,2265.4,78.1,3020.8,179.5,392.1,2271,3001,105.5,75.6
0.173660,395.4,54.7,2259.7,82.0,3017.1,196.9,391.7,2270,3000.1,105.5,75.6
0.175660,395.2,53.8,2258.4,78.4,3017.2,200.5,391.3,2268.9,2999.2,105.4,75.6
0.177660,396.6,50.2,2258.0,71.6,3015.9,195.3,391.1,2267.7,2998.4,105.4,75.6
0.179660,397.3,50.6,2255.8,70.5,3004.2,199.1,390.8,2266.6,2997.7,105.3,75.6
0.181660,396.3,56.0,2251.5,79.4,2982.3,217.5,390.6,2265.4,2997.1,105.3,75.5
0.183660,395.0,59.1,2249.1,88.3,2970.5,231.6,390.5,2264.2,2996.6,105.3,75.5
0.185660,395.4,56.1,2250.8,88.0,2974.9,233.1,390.4,2263,2996.2,105.2,75.5
0.187660,396.5,51.8,2253.8,84.4,2981.8,231.4,390.4,2261.7,2995.9,105.2,75.5
0.189660,396.2,52.4,2253.3,86.9,2978.6,237.8,390.4,2260.4,2995.6,105.2,75.5
0.191660,394.3,57.7,2247.1,93.6,2967.8,242.2,390.5,2259.1,2995.5,105.1,75.5
0.193660,393.5,60.0,2241.0,90.5,2966.5,226.5,390.7,2257.7,2995.5,105.1,75.5
0.195660,395.1,57.0,2239.7,78.7,2974.7,200.4,390.9,2256.4,2995.6,105.1,75.5
0.197660,396.9,54.3,2240.9,69.4,2984.3,180.1,391.1,2255,2995.7,105.1,75.4
0.199660,396.4,57.0,2241.1,69.9,2990.5,177.0,391.4,2253.6,2996,105,75.4
0.201660,393.7,62.0,2239.7,77.4,2995.2,186.9,391.8,2252.2,2996.3,105,75.4
0.203660,392.0,61.9,2239.3,79.0,3002.0,192.1,392.2,2250.8,2996.8,105,75.4
0.205660,393.2,57.6,2241.3,72.1,3008.5,188.3,392.6,2249.3,2997.3,105,75.3
0.207660,394.8,56.1,2243.3,66.1,3009.4,189.8,393.1,2247.9,2997.9,104.9,75.3
0.209660,394.5,60.9,2241.7,70.8,3001.0,207.4,393.6,2246.5,2998.6,104.9,75.2
0.211660,392.8,65.8,2234.8,82.6,2992.0,220.2,394.1,2245,2999.3,104.9,75.2
0.213660,393.0,64.1,2227.5,87.1,2992.6,214.5,394.6,2243.6,3000.2,104.9,75.2
0.215660,395.5,59.7,2223.2,84.0,2996.9,205.3,395.2,2242.2,3001,104.9,75.2
0.217660,397.8,58.6,2220.7,80.6,2997.5,199.5,395.8,2240.7,3002,104.8,75.1
0.219660,398.0,62.7,2220.3,78.9,2993.5,191.9,396.4,2239.3,3003,104.8,75.1
0.221660,396.9,64.5,2222.4,74.0,2994.2,177.0,397,2238,3004,104.8,75.1
0.223660,396.7,59.4,2225.0,65.8,3001.8,163.0,397.5,2236.6,3005.1,104.8,75
0.225660,397.7,52.7,2225.9,59.5,3011.3,156.2,398.1,2235.2,3006.2,104.8,75
0.227660,397.7,51.5,2223.9,59.8,3018.2,158.5,398.7,2233.9,3007.4,104.7,74.9
0.229660,395.3,55.7,2219.9,66.0,3021.0,162.9,399.2,2232.6,3008.6,104.7,74.9
0.231660,393.1,58.1,2218.1,68.4,3023.8,157.9,399.7,2231.4,3009.7,104.7,74.8
0.233660,393.9,55.7,2220.8,62.0,3027.9,145.9,400.2,2230.2,3010.9,104.7,74.8
0.235660,396.5,53.3,2225.9,54.5,3030.0,136.1,400.6,2229,3012.1,104.7,74.8
0.237660,397.5,55.7,2230.8,53.9,3025.9,135.9,401,2227.9,3013.3,104.6,74.8
0.239660,395.7,60.4,2233.8,61.3,3016.0,142.2,401.4,2226.8,3014.5,104.6,74.7
0.241660,394.2,59.8,2236.1,66.9,3007.9,142.8,401.7,2225.8,3015.7,104.6,74.7
0.243660,395.1,54.9,2240.6,63.8,3003.6,135.6,401.9,2224.8,3016.8,104.6,74.7
0.245660,396.7,52.2,2247.0,58.7,3000.7,128.0,402.1,2223.9,3017.9,104.6,74.7
0.247660,396.5,55.3,2252.8,59.6,3000.7,125.4,402.2,2223.1,3018.9,104.5,74.7
0.249660,394.3,60.2,2255.6,68.6,3006.7,126.8,402.2,2222.3,3020,104.5,74.7
0.251660,393.0,58.9,2257.1,80.1,3017.9,125.2,402.1,2221.5,3020.9,104.5,74.6
0.253660,394.0,53.2,2261.7,87.1,3029.4,118.7,402,2220.9,3021.8,104.5,74.6
0.255660,395.3,50.8,2269.4,89.6,3036.0,111.9,401.8,2220.3,3022.6,104.5,74.5
0.257660,394.5,55.0,2271.7,92.5,3035.8,110.7,401.5,2219.8,3023.4,104.4,74.4
0.259660,392.6,59.7,2262.5,93.8,3031.6,114.1,401.1,2219.3,3024,104.4,74.4
0.261660,392.8,58.6,2249.6,88.0,3028.8,115.7,400.6,2219,3024.6,104.4,74.3
0.263660,395.2,54.7,2238.6,78.6,3028.3,115.2,400.1,2218.7,3025.1,104.4,74.2
0.265660,396.6,53.7,2230.5,76.1,3026.5,118.2,399.4,2218.4,3025.5,104.4,74.2
0.267660,394.0,56.2,2224.5,86.8,3020.8,126.7,398.7,2218.3,3025.8,104.4,74.1
0.269660,390.1,56.2,2222.7,100.4,3017.7,133.1,397.9,2218.2,3026,104.3,74
0.271660,389.4,51.5,2226.8,105.8,3020.3,135.9,396.9,2218.2,3026.1,104.3,74
0.273660,391.0,46.8,2235.2,105.9,3025.0,139.6,395.9,2218.3,3026.1,104.3,73.9
0.275660,391.5,47.2,2242.8,105.4,3027.4,146.6,394.9,2218.4,3025.9,104.3,73.8
0.277660,389.2,51.9,2242.0,101.5,3025.3,154.5,393.7,2218.7,3025.6,104.3,73.8
0.279660,387.3,53.6,2234.5,90.9,3023.0,154.8,392.5,2218.9,3025.3,104.3,73.7
0.281660,388.3,50.3,2228.8,79.3,3023.5,148.9,391.2,2219.3,3024.7,104.3,73.6
0.283660,390.6,47.8,2226.2,73.0,3021.5,142.6,389.9,2219.7,3024.1,104.3,73.5
0.285660,390.5,51.2,2224.7,76.8,3012.4,136.9,388.4,2220.2,3023.3,104.3,73.5
0.287660,387.4,57.6,2222.9,87.2,3004.2,129.8,387,2220.8,3022.5,104.2,73.4
0.289660,385.5,58.9,2221.9,89.0,3005.2,121.2,385.5,2221.4,3021.4,104.2,73.3
0.291660,386.7,55.7,2223.0,81.1,3011.6,113.6,383.9,2222.1,3020.3,104.2,73.2
