time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025406,349.2,97.4,2033.6,123.6,2543.8,96.6,327.5,2005.2,2524.1,0,53.6
0.027406,318.1,130.1,2045.8,154.8,2550.4,116.7,327.7,2005.2,2524.1,0,54.7
0.029406,278.5,144.2,2044.7,216.9,2556.2,205.4,328,2005.2,2524.3,0,56.6
0.031406,290.1,119.8,2036.8,257.8,2549.6,313.5,328.4,2005.2,2524.5,0,58.7
0.033406,312.4,95.3,2024.0,260.3,2533.8,341.7,329,2005.3,2524.7,0,60.6
0.035406,328.9,77.6,2011.4,240.9,2520.5,321.3,329.6,2005.3,2525.1,0,62
0.037406,341.9,63.0,2001.4,211.8,2511.3,286.8,330.4,2005.3,2525.4,0,63
0.039406,352.1,51.3,1994.6,182.0,2505.8,252.3,331.3,2005.4,2525.8,0,63.4
0.041406,361.3,40.8,1989.6,152.5,2502.3,219.0,332.2,2005.4,2526.3,0,63.4
0.043406,370.5,30.7,1985.5,122.8,2499.9,186.2,333.3,2005.4,2526.8,0,62.8
0.045406,378.7,22.3,1982.5,97.1,2498.9,157.6,334.5,2005.5,2527.3,0,61.9
0.047406,384.6,16.2,1980.8,77.1,2500.8,134.9,335.7,2005.5,2527.9,0,60.5
0.049406,384.3,15.4,1982.2,70.6,2511.9,127.5,337.1,2005.6,2528.5,0,58.8
0.051406,369.6,30.0,1992.5,75.6,2538.2,131.7,338.5,2005.6,2529.1,0,57.3
0.053406,331.4,88.4,2003.3,69.1,2561.9,149.4,340,2005.6,2529.8,0,56.8
0.055406,281.9,165.7,2007.5,78.1,2571.4,241.7,341.5,2005.7,2530.4,0,57.9
0.057406,289.4,178.0,1999.3,122.7,2553.8,259.2,343.1,2005.7,2531.1,0,59.8
0.059406,309.6,149.3,1991.8,172.9,2552.7,199.5,344.8,2005.7,2531.8,0,61.9
0.061406,318.0,113.7,2013.6,203.8,2561.8,189.2,346.5,2005.7,2532.5,0,64
0.063406,325.6,87.8,2036.9,219.2,2565.3,204.4,348.2,2005.7,2533.2,0,65.9
0.065406,335.2,72.1,2040.7,224.5,2558.2,217.1,350,2005.6,2533.9,0,67.4
0.067406,345.0,61.6,2030.7,213.8,2544.5,213.5,351.8,2005.6,2534.5,0,68.6
0.069406,352.7,53.0,2019.5,191.9,2532.5,196.8,353.6,2005.5,2535.2,0,69.4
0.071406,359.4,44.8,2010.2,166.0,2523.6,174.7,355.4,2005.4,2535.8,0,69.8
0.073406,366.0,36.9,2002.3,138.7,2517.3,150.3,357.2,2005.3,2536.4,0,69.9
0.075406,371.7,31.8,1996.0,117.4,2514.6,130.6,359,2005.2,2537,0,69.9
0.077406,375.2,34.0,1990.7,111.1,2518.1,125.2,360.7,2005,2537.5,0,69.8
0.079406,374.0,48.3,1986.9,126.4,2529.0,150.4,362.5,2004.8,2537.9,0,69.7
0.081406,371.8,57.8,1986.5,137.4,2536.1,181.2,364.2,2004.6,2538.4,0,69.9
0.083406,372.8,54.5,1987.5,130.0,2536.1,184.5,365.8,2004.4,2538.7,105,70.2
0.085406,375.7,47.0,1989.3,118.4,2536.0,173.8,367.5,2004.1,2539.1,105,70.6
0.087406,378.3,41.5,1993.3,116.9,2539.8,170.2,369,2003.8,2539.3,105,71.1
0.089406,379.1,39.7,1998.5,130.5,2543.0,178.2,370.6,2003.5,2539.5,105,71.4
0.091406,378.9,38.1,1999.4,139.0,2539.3,179.1,372,2003.1,2539.6,105,71.8
0.093406,379.6,34.4,1996.8,132.3,2532.6,166.7,373.4,2002.7,2539.7,105,72.1
