time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025150,368.8,51.0,1211.4,183.5,2449.8,405.6,372.9,1196.8,2399.5,108,69.8
0.027150,373.6,46.3,1210.7,166.4,2423.7,360.0,373,1197.1,2399.6,108.1,70.2
0.029150,376.2,46.9,1210.3,159.1,2421.1,312.9,373.1,1197.5,2399.6,108.1,70.4
0.031150,374.3,53.1,1211.1,164.6,2423.0,268.8,373.3,1198.1,2399.7,108.2,70.6
0.033150,373.0,57.0,1213.7,165.9,2421.0,230.4,373.6,1198.8,2399.8,108.3,70.8
0.035150,375.9,54.4,1215.9,155.7,2417.1,204.9,374,1199.6,2399.9,108.4,70.9
0.037150,380.0,50.4,1215.7,144.1,2412.9,197.3,374.3,1200.7,2400,108.5,71.1
0.039150,380.4,50.4,1212.6,142.1,2406.6,214.1,374.8,1201.8,2400.2,108.5,71.2
0.041150,377.3,53.3,1209.7,146.3,2396.7,241.6,375.3,1203.1,2400.3,108.6,71.3
0.043150,376.7,53.0,1210.3,143.2,2391.3,245.5,375.8,1204.4,2400.5,108.7,71.4
0.045150,380.0,49.5,1213.0,133.9,2394.4,230.7,376.4,1205.9,2400.6,108.8,71.5
0.047150,382.7,47.6,1214.7,129.9,2400.3,221.7,377,1207.5,2400.8,108.9,71.6
0.049150,381.0,50.5,1214.6,139.3,2403.2,230.5,377.7,1209.1,2400.9,109,71.6
0.051150,377.7,54.8,1215.7,153.0,2402.0,242.3,378.4,1210.8,2401,109.1,71.7
0.053150,378.3,54.3,1218.6,154.1,2400.6,241.0,379.1,1212.5,2401.1,109.2,71.7
0.055150,381.5,50.9,1219.9,146.6,2399.9,236.8,379.9,1214.2,2401.2,109.3,71.8
0.057150,382.2,50.1,1217.1,143.1,2395.6,240.9,380.6,1216,2401.2,109.3,71.8
0.059150,378.9,51.7,1211.4,143.2,2383.3,245.4,381.4,1217.7,2401.2,109.4,71.9
0.061150,376.9,50.3,1209.0,135.8,2371.4,234.4,382.2,1219.5,2401.2,109.5,71.9
0.063150,379.1,45.9,1211.5,123.4,2368.5,216.1,383,1221.1,2401.1,109.5,72
0.065150,382.1,43.2,1214.4,116.5,2370.7,206.1,383.8,1222.8,2401,109.6,72
0.067150,381.9,45.8,1214.0,121.7,2373.1,209.1,384.6,1224.3,2400.9,109.7,72.1
0.069150,380.3,51.1,1213.0,132.5,2377.4,205.2,385.4,1225.8,2400.6,109.7,72.1
0.071150,381.9,52.5,1216.0,135.0,2385.1,180.4,386.2,1227.2,2400.4,109.8,72.1
0.073150,386.0,50.4,1221.5,130.9,2393.1,152.1,386.9,1228.4,2400,109.8,72.2
0.075150,388.4,50.6,1225.6,131.8,2398.4,135.5,387.6,1229.5,2399.6,109.8,72.2
0.077150,387.4,54.5,1226.5,140.1,2398.3,132.1,388.4,1230.5,2399.2,109.8,72.2
0.079150,386.9,55.4,1225.4,141.4,2393.8,131.1,389,1231.4,2398.7,109.8,72.3
0.081150,389.2,50.4,1224.8,131.6,2390.9,125.3,389.7,1232.1,2398.1,109.8,72.3
0.083150,391.8,45.2,1224.1,121.9,2391.7,119.8,390.3,1232.6,2397.4,109.8,72.4
0.085150,391.4,44.5,1220.9,121.7,2393.8,123.8,390.9,1232.9,2396.7,109.8,72.4
0.087150,389.1,46.0,1216.1,126.1,2393.2,135.4,391.4,1233.1,2395.9,109.8,72.4
0.089150,389.4,44.0,1213.5,122.2,2389.0,141.4,391.9,1233.1,2395.1,109.7,72.5
0.091150,392.1,39.2,1213.1,112.0,2384.2,140.0,392.3,1232.9,2394.2,109.7,72.5
0.093150,393.2,36.8,1211.7,106.2,2380.5,143.5,392.7,1232.6,2393.3,109.7,72.5
0.095150,391.0,39.2,1208.9,109.7,2379.3,156.6,393.1,1232,2392.3,109.6,72.5
0.097150,389.5,41.6,1208.1,113.1,2382.3,163.3,393.4,1231.3,2391.3,109.6,72.6
0.099150,391.4,39.8,1210.1,109.2,2387.1,156.6,393.6,1230.3,2390.2,109.5,72.6
0.101150,394.2,36.8,1211.8,104.3,2391.2,150.7,393.8,1229.3,2389.1,109.4,72.7
0.103150,394.0,37.8,1211.9,108.5,2394.5,157.7,393.9,1228,2388,109.4,72.7
0.105150,391.6,43.0,1213.2,120.4,2398.7,165.9,394,1226.6,2386.9,109.3,72.7
0.107150,391.4,45.2,1216.8,124.1,2401.5,157.0,394,1225,2385.7,109.2,72.8
0.109150,393.8,41.6,1217.9,117.5,2401.5,144.8,394,1223.4,2384.6,109.1,72.8
0.111150,395.1,37.9,1215.1,113.6,2398.6,143.9,394,1221.5,2383.4,109.1,72.9
0.113150,392.9,38.5,1210.4,121.1,2391.3,158.3,393.8,1219.6,2382.3,109,72.9
0.115150,390.1,39.9,1208.1,129.9,2382.5,175.4,393.7,1217.6,2381.2,108.9,73
0.117150,390.6,37.9,1208.8,127.4,2377.2,181.6,393.5,1215.5,2380.2,108.8,73.1
0.119150,393.1,34.5,1208.8,120.0,2375.3,185.9,393.2,1213.3,2379.2,108.8,73.1
0.121150,393.3,34.6,1206.6,121.8,2376.0,205.5,393,1211,2378.2,108.7,73.1
0.123150,390.6,39.5,1206.5,133.7,2379.4,238.0,392.6,1208.8,2377.4,108.6,73.1
0.125150,389.4,43.4,1211.7,139.6,2384.5,247.4,392.3,1206.5,2376.6,108.5,73.2
0.127150,391.6,42.4,1217.6,135.6,2387.9,233.3,391.9,1204.2,2375.8,108.5,73.2
0.129150,394.1,40.5,1219.7,134.4,2388.3,225.1,391.5,1201.9,2375.2,108.4,73.2
0.131150,393.2,41.6,1217.4,144.6,2384.6,231.6,391.1,1199.6,2374.7,108.3,73.2
0.133150,389.6,43.4,1211.9,156.2,2374.4,241.2,390.6,1197.4,2374.2,108.3,73.3
0.135150,388.6,40.2,1207.0,149.9,2360.8,241.4,390.2,1195.3,2373.9,108.2,73.3
0.137150,390.7,34.8,1203.7,136.0,2347.9,235.8,389.7,1193.2,2373.7,108.1,73.3
0.139150,392.0,32.5,1200.4,130.6,2340.5,237.1,389.2,1191.3,2373.6,108.1,73.3
0.141150,389.8,34.8,1198.0,135.2,2344.2,244.0,388.7,1189.4,2373.7,108,73.3
0.143150,387.7,37.6,1201.7,138.0,2362.4,233.5,388.3,1187.7,2373.9,108,73.4
0.145150,389.2,37.5,1209.5,135.9,2383.7,208.3,387.8,1186.1,2374.2,107.9,73.4
0.147150,392.1,35.6,1215.7,136.0,2397.8,193.4,387.3,1184.6,2374.7,107.8,73.4
0.149150,392.1,35.5,1217.3,142.6,2403.8,198.5,386.8,1183.4,2375.3,107.8,73.4
0.151150,388.9,37.2,1215.5,144.6,2401.3,205.1,386.4,1182.2,2376,107.7,73.4
0.153150,387.3,37.1,1215.2,133.4,2397.9,188.8,386,1181.3,2376.9,107.7,73.4
0.155150,389.3,35.1,1216.6,121.3,2400.3,160.0,385.5,1180.5,2378,107.6,73.4
0.157150,391.4,33.7,1215.7,119.9,2406.0,143.5,385.1,1179.9,2379.1,107.6,73.4
0.159150,389.5,34.5,1209.4,133.6,2411.8,161.2,384.8,1179.5,2380.5,107.5,73.4
0.161150,385.5,35.3,1200.7,148.7,2410.3,209.7,384.4,1179.3,2381.9,107.5,73.4
0.163150,384.9,32.9,1195.6,147.2,2397.3,239.9,384.1,1179.3,2383.4,107.4,73.3
0.165150,387.5,29.1,1191.4,139.6,2384.7,234.5,383.8,1179.5,2385.1,107.4,73.3
0.167150,388.6,28.0,1182.8,145.2,2378.6,229.6,383.5,1179.8,2386.9,107.3,73.3
0.169150,385.5,30.9,1170.5,165.9,2376.4,245.7,383.3,1180.4,2388.8,107.3,73.3
0.171150,382.1,33.4,1165.4,175.5,2376.1,262.8,383.1,1181.1,2390.8,107.2,73.2
0.173150,382.6,32.4,1168.4,162.9,2377.8,259.1,382.9,1181.9,2392.8,107.2,73.2
0.175150,385.0,30.8,1171.2,148.6,2382.8,247.3,382.7,1183,2395,107.2,73.1
0.177150,384.6,33.0,1170.9,150.5,2391.3,249.5,382.6,1184.1,2397.2,107.1,73.1
0.179150,380.9,38.6,1170.8,166.3,2399.4,263.9,382.5,1185.4,2399.4,107.1,73
0.181150,379.3,40.8,1172.5,176.7,2401.1,271.7,382.4,1186.8,2401.6,107,73
0.183150,382.2,39.2,1177.2,180.3,2405.2,259.1,382.3,1188.3,2403.9,107,73
0.185150,385.5,38.4,1183.8,185.5,2417.8,241.9,382.3,1189.9,2406.2,106.9,73
0.187150,384.3,39.9,1188.7,181.5,2432.2,237.7,382.3,1191.6,2408.5,106.9,73
0.189150,380.6,39.7,1190.9,155.6,2438.5,243.2,382.3,1193.3,2410.8,106.8,73
0.191150,380.2,35.5,1191.4,124.3,2430.3,245.9,382.3,1195,2413,106.8,73
0.193150,383.0,30.9,1190.3,104.7,2418.6,235.1,382.3,1196.8,2415.2,106.7,73
0.195150,384.3,30.4,1187.3,104.6,2416.5,225.2,382.4,1198.5,2417.3,106.7,73
0.197150,381.5,35.3,1185.2,125.9,2422.0,227.1,382.4,1200.3,2419.3,106.6,72.9
0.199150,379.2,40.8,1189.7,151.3,2425.1,225.8,382.4,1202,2421.3,106.5,72.9
0.201150,381.2,41.7,1198.5,162.7,2422.5,215.4,382.5,1203.6,2423.1,106.5,72.9
0.203150,384.9,40.1,1205.3,165.6,2416.6,208.4,382.5,1205.2,2424.8,106.4,72.9
0.205150,385.4,40.7,1208.4,167.0,2410.0,210.1,382.5,1206.6,2426.4,106.4,72.9
0.207150,381.8,42.6,1207.8,157.0,2404.0,211.8,382.5,1208,2427.9,106.3,72.9
0.209150,379.5,40.8,1205.0,133.6,2398.1,203.9,382.5,1209.2,2429.2,106.3,72.9
0.211150,381.2,35.7,1200.9,111.4,2393.6,190.1,382.5,1210.3,2430.3,106.2,72.9
0.213150,383.5,31.4,1194.5,100.4,2392.4,182.0,382.4,1211.2,2431.3,106.1,72.8
0.215150,381.4,31.7,1185.7,107.0,2395.2,187.5,382.3,1212,2432.1,106.1,72.7
0.217150,376.1,35.0,1180.0,124.0,2400.3,192.3,382.2,1212.6,2432.7,106,72.6
0.219150,374.2,36.5,1182.1,130.6,2405.5,177.4,382,1213,2433.2,106,72.5
0.221150,376.7,35.5,1187.2,125.0,2410.5,152.6,381.8,1213.2,2433.5,105.9,72.4
0.223150,378.6,36.3,1190.2,123.0,2415.4,136.5,381.6,1213.2,2433.6,105.9,72.4
0.225150,375.8,42.0,1192.1,133.9,2418.5,136.2,381.3,1213,2433.5,105.8,72.3
0.227150,371.7,48.1,1196.6,144.4,2417.1,138.9,380.9,1212.6,2433.2,105.8,72.2
0.229150,372.3,49.2,1201.9,140.9,2414.2,131.4,380.5,1212,2432.7,105.7,72.1
0.231150,376.0,47.6,1204.7,131.7,2414.6,120.0,380.1,1211.2,2432.1,105.7,72
0.233150,377.3,49.4,1205.1,131.0,2419.8,117.5,379.6,1210.2,2431.3,105.6,72
0.235150,373.9,56.6,1205.9,141.6,2427.7,128.7,379,1208.9,2430.3,105.6,72
0.237150,371.4,61.1,1206.3,147.9,2433.3,143.8,378.4,1207.5,2429.2,105.5,71.9
0.239150,373.9,58.5,1202.6,144.0,2435.7,154.9,377.7,1205.9,2427.9,105.5,71.9
0.241150,377.9,54.5,1195.2,139.9,2438.7,170.8,377,1204.2,2426.5,105.4,71.9
0.243150,377.9,55.0,1188.0,146.2,2443.9,196.2,376.1,1202.3,2425,105.4,71.8
0.245150,373.3,59.2,1187.0,160.0,2448.4,212.8,375.3,1200.2,2423.3,105.4,71.8
0.247150,371.1,60.0,1194.0,163.1,2447.0,198.3,374.3,1198,2421.6,105.3,71.8
0.249150,373.7,57.0,1202.2,153.6,2443.1,168.8,373.3,1195.8,2419.8,105.3,71.7
0.251150,376.5,55.0,1205.6,146.9,2441.3,152.6,372.3,1193.4,2418,105.2,71.6
0.253150,373.8,56.6,1201.4,155.3,2441.4,165.7,371.2,1191,2416.1,105.2,71.5
0.255150,367.6,57.3,1192.0,165.2,2440.2,191.6,370,1188.5,2414.1,105.1,71.5
0.257150,366.0,52.6,1185.3,155.9,2435.8,198.6,368.7,1186,2412.2,105.1,71.4
0.259150,369.1,46.3,1182.6,137.2,2429.7,189.6,367.5,1183.5,2410.3,105.1,71.4
0.261150,371.2,43.8,1181.1,128.3,2424.2,182.5,366.1,1181.1,2408.5,105,71.3
0.263150,367.8,46.8,1179.3,137.7,2419.3,190.5,364.7,1178.7,2406.7,105,71.2
0.265150,363.5,50.2,1180.1,153.9,2414.4,201.4,363.3,1176.3,2404.9,104.9,71.2
0.267150,364.4,49.6,1185.5,159.2,2413.2,196.5,361.8,1174.1,2403.3,104.9,71.1
0.269150,368.4,47.7,1191.7,154.8,2416.1,184.7,360.3,1172.1,2401.8,104.9,71
0.271150,369.1,49.1,1195.4,156.4,2420.4,188.5,358.7,1170.2,2400.4,104.9,70.9
0.273150,363.1,54.6,1195.9,169.5,2422.1,220.9,357.1,1168.5,2399.2,104.8,70.8
0.275150,357.1,56.8,1196.0,173.4,2417.1,257.4,355.5,1167,2398.2,104.8,70.7
0.277150,357.1,53.4,1197.8,158.7,2409.8,270.3,353.8,1165.7,2397.3,104.8,70.5
0.279150,359.6,49.9,1200.3,140.6,2404.0,271.1,352.1,1164.7,2396.7,104.8,70.4
0.281150,357.8,51.7,1201.9,135.1,2400.0,270.9,350.4,1164,2396.3,104.7,70.3
0.283150,350.3,58.2,1202.5,144.1,2399.5,258.9,348.7,1163.6,2396.1,104.7,70.2
0.285150,345.4,61.8,1202.6,153.4,2400.8,233.1,347,1163.5,2396.2,104.7,70
0.287150,346.5,60.7,1201.4,156.4,2400.6,208.5,345.3,1163.7,2396.6,104.7,69.9
0.289150,348.3,61.0,1197.2,163.1,2399.3,195.6,343.5,1164.3,2397.3,104.7,69.8
0.291150,344.9,67.9,1190.1,186.7,2396.6,200.8,341.8,1165.3,2398.2,104.7,69.7
0.293150,339.2,77.4,1185.7,212.9,2394.1,212.3,340.1,1166.7,2399.4,104.7,69.6
0.295150,338.4,78.8,1187.4,210.7,2394.5,207.7,338.4,1168.4,2401,104.7,69.4
0.297150,341.5,74.7,1189.7,190.9,2396.9,191.4,336.7,1170.6,2402.8,104.7,69.3
0.299150,342.0,74.6,1189.2,178.7,2399.5,180.8,335,1173.2,2405,104.7,69.2
0.301150,336.3,84.2,1187.7,187.8,2401.4,186.1,333.3,1176.1,2407.4,104.6,69.1
0.303150,330.6,95.6,1190.2,203.6,2403.4,195.8,331.7,1179.5,2410.2,104.6,69
0.305150,331.1,97.2,1196.2,200.3,2404.9,194.5,330.1,1183.3,2413.3,104.6,68.9
0.307150,333.4,94.0,1203.9,180.3,2404.3,190.7,328.5,1187.5,2416.7,104.6,68.7
0.309150,331.7,95.6,1214.3,157.5,2398.8,200.8,326.9,1192,2420.3,104.5,68.6
0.311150,325.6,103.4,1226.0,138.6,2387.3,225.4,325.4,1197,2424.3,104.5,68.5
0.313150,323.3,105.4,1233.0,121.4,2379.6,233.6,324,1202.3,2428.5,104.5,68.4
0.315150,326.3,99.1,1234.9,105.3,2382.0,217.2,322.5,1207.9,2433,104.4,68.3
0.317150,328.8,90.1,1232.7,90.8,2388.9,197.3,321.1,1213.9,2437.7,104.4,68.3
0.319150,326.6,84.4,1225.6,86.5,2392.3,204.5,319.8,1220.2,2442.7,104.3,68.1
0.321150,324.6,83.5,1213.1,100.5,2388.4,269.3,318.5,1226.8,2447.8,104.2,68
0.323150,330.0,87.1,1201.0,133.9,2403.7,399.5,317.3,1233.7,2453.2,104.2,67.8
