time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025730,353.2,122.5,807.1,153.7,2304.9,232.0,368.2,777.3,2334.8,0,63.4
0.027730,356.0,124.6,806.9,162.5,2298.7,233.1,368.2,777.6,2334.9,0,64.2
0.029730,361.3,110.1,809.3,151.1,2300.3,211.7,368.2,778,2335.2,0,64.9
0.031730,367.0,92.0,811.3,131.8,2304.4,185.8,368.2,778.5,2335.6,0,65.4
0.033730,371.2,76.4,811.1,113.7,2308.7,163.9,368.2,779.3,2336.1,0,65.7
0.035730,370.6,64.5,806.0,100.6,2312.9,150.8,368.3,780.1,2336.7,0,65.8
0.037730,360.5,61.0,792.3,100.3,2315.9,160.7,368.3,781.1,2337.5,0,66
0.039730,342.1,67.8,767.2,121.4,2318.2,214.7,368.3,782.3,2338.3,0,66.4
0.041730,330.4,87.3,742.2,170.7,2325.0,299.2,368.4,783.6,2339.2,0,67
0.043730,333.0,123.4,737.6,246.5,2349.9,321.4,368.4,785,2340.3,0,67.9
0.045730,343.5,150.4,754.6,283.0,2365.7,286.8,368.5,786.5,2341.4,0,68.9
0.047730,354.7,152.9,773.5,277.9,2370.2,254.4,368.6,788.1,2342.6,0,69.8
0.049730,363.5,139.2,787.2,258.5,2370.4,231.7,368.6,789.8,2343.9,100.4,70.6
0.051730,370.7,120.2,797.6,234.4,2369.1,212.6,368.7,791.5,2345.3,100.6,71.2
0.053730,375.4,103.9,803.6,214.2,2366.7,199.5,368.8,793.3,2346.7,100.7,71.7
0.055730,376.7,94.4,804.6,205.3,2363.5,196.3,369,795.2,2348.2,100.9,72.1
0.057730,375.6,96.0,801.6,214.1,2361.6,203.7,369.1,797.1,2349.8,101,72.5
0.059730,376.2,101.2,800.2,224.0,2361.8,206.3,369.2,799,2351.4,101.2,72.8
0.061730,379.8,104.5,801.2,227.9,2363.4,200.6,369.4,801,2353.1,101.4,73.2
0.063730,384.9,108.7,802.8,236.7,2367.4,198.0,369.6,802.9,2354.8,101.6,73.5
0.065730,389.5,117.4,804.5,260.1,2375.0,209.3,369.8,804.8,2356.6,101.8,73.8
0.067730,391.1,125.2,807.6,283.9,2384.7,232.3,370,806.6,2358.4,102,74
0.069730,390.9,125.1,813.4,284.2,2394.9,252.8,370.2,808.4,2360.2,102.2,74.2
0.071730,391.3,118.1,818.0,259.2,2403.9,258.6,370.5,810.2,2362,102.4,74.4
0.073730,392.1,108.7,819.9,221.2,2412.6,254.7,370.8,811.8,2363.9,102.6,74.5
0.075730,390.8,100.4,819.3,185.7,2416.2,246.9,371.1,813.4,2365.7,102.8,74.6
0.077730,386.1,92.4,818.1,157.2,2406.8,230.7,371.4,814.8,2367.6,103,74.7
0.079730,382.3,84.6,818.0,137.9,2389.7,203.9,371.7,816.2,2369.4,103.2,74.7
0.081730,382.0,77.2,819.0,121.3,2376.9,174.4,372.1,817.4,2371.2,103.4,74.8
0.083730,383.4,73.1,820.2,108.6,2370.6,153.8,372.5,818.4,2373,103.6,74.8
0.085730,382.6,72.5,820.8,101.4,2364.1,142.0,372.9,819.3,2374.7,103.8,74.9
0.087730,379.1,73.2,820.2,101.7,2355.7,137.8,373.3,820.1,2376.4,103.9,74.9
0.089730,377.0,71.1,819.2,105.3,2348.8,135.9,373.8,820.6,2378.1,104.1,74.9
0.091730,378.2,66.7,818.5,106.4,2348.7,135.6,374.2,821,2379.6,104.3,74.9
0.093730,379.6,63.1,817.5,105.5,2355.5,144.0,374.7,821.2,2381.2,104.5,74.9
0.095730,377.4,62.9,814.5,108.8,2364.0,170.7,375.2,821.2,2382.6,104.6,74.9
0.097730,373.4,65.2,809.5,121.4,2370.1,218.2,375.7,821.1,2384,104.8,74.9
0.099730,373.1,67.1,806.1,138.1,2377.7,254.3,376.3,820.7,2385.3,104.9,74.9
0.101730,376.4,68.8,805.5,155.0,2393.0,258.7,376.8,820.1,2386.5,105.1,74.9
0.103730,379.0,74.2,804.5,175.2,2402.3,241.3,377.4,819.4,2387.7,105.2,74.9
0.105730,378.0,84.7,798.3,205.3,2394.4,220.2,378,818.4,2388.7,105.3,74.9
0.107730,376.3,91.3,790.7,229.1,2378.2,200.9,378.6,817.2,2389.6,105.5,74.9
0.109730,377.5,87.8,789.2,229.4,2368.7,183.5,379.1,815.9,2390.4,105.6,75
0.111730,379.8,79.1,791.8,211.0,2365.8,168.6,379.7,814.3,2391.2,105.7,75
0.113730,379.3,72.8,791.3,192.0,2362.2,160.8,380.3,812.6,2391.8,105.8,75.1
0.115730,375.7,70.2,785.9,182.9,2352.1,156.7,380.9,810.7,2392.2,105.9,75.2
0.117730,374.4,68.8,782.9,184.2,2346.6,149.7,381.5,808.6,2392.6,106,75.2
0.119730,377.7,67.8,786.5,191.2,2353.8,141.6,382.1,806.4,2392.8,106.1,75.3
0.121730,381.9,69.8,792.1,203.0,2366.8,138.7,382.6,804,2392.9,106.1,75.4
0.123730,383.1,77.6,792.7,224.8,2376.9,144.1,383.2,801.5,2392.9,106.2,75.4
0.125730,381.6,86.5,788.4,249.5,2379.9,155.1,383.7,798.8,2392.8,106.3,75.5
0.127730,382.0,89.3,787.5,265.4,2382.6,164.4,384.3,796.1,2392.5,106.3,75.5
0.129730,385.0,87.2,792.7,267.8,2391.5,167.9,384.8,793.2,2392.1,106.4,75.6
0.131730,387.3,86.3,797.7,265.4,2403.7,169.2,385.3,790.2,2391.5,106.5,75.6
0.133730,385.4,88.0,796.0,264.2,2407.0,171.4,385.7,787.2,2390.9,106.5,75.6
0.135730,382.0,87.1,790.6,264.5,2398.3,173.7,386.1,784.1,2390.1,106.6,75.6
0.137730,382.2,83.0,788.8,269.6,2390.2,175.5,386.5,781,2389.2,106.6,75.7
0.139730,385.9,81.6,790.9,288.9,2395.4,185.0,386.9,777.9,2388.1,106.6,75.7
0.141730,388.6,87.7,789.4,324.7,2410.7,208.1,387.2,774.7,2386.9,106.7,75.7
0.143730,388.0,99.2,778.2,367.8,2419.7,240.9,387.5,771.5,2385.6,106.7,75.6
0.145730,386.5,104.0,767.2,387.8,2409.7,263.1,387.8,768.4,2384.2,106.7,75.6
0.147730,387.2,100.0,763.4,386.2,2390.9,273.1,388,765.3,2382.7,106.8,75.6
0.149730,389.5,97.2,760.5,390.6,2378.0,285.0,388.1,762.3,2381.1,106.8,75.6
0.151730,390.1,101.5,747.5,413.3,2369.9,302.7,388.2,759.3,2379.3,106.8,75.6
0.153730,387.5,105.4,730.9,426.0,2364.0,299.8,388.3,756.4,2377.5,106.8,75.6
0.155730,384.2,97.4,731.7,396.9,2363.5,264.3,388.3,753.6,2375.5,106.8,75.6
0.157730,383.2,82.6,751.4,337.0,2370.5,222.2,388.2,751,2373.5,106.9,75.7
0.159730,383.1,74.1,769.4,283.6,2379.3,194.9,388.2,748.4,2371.4,106.9,75.7
0.161730,380.0,73.7,776.7,249.3,2384.4,184.0,388,746,2369.2,106.9,75.7
0.163730,376.3,74.8,777.1,235.3,2383.8,186.4,387.8,743.8,2366.9,106.9,75.7
0.165730,376.4,72.9,777.9,233.0,2380.7,195.3,387.6,741.7,2364.6,106.9,75.7
0.167730,379.5,71.0,779.1,240.0,2377.9,205.8,387.2,739.8,2362.2,106.9,75.7
0.169730,381.3,74.3,775.1,261.4,2373.7,219.3,386.9,738.1,2359.7,106.9,75.7
