time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025188,356.5,107.7,2104.7,75.4,2795.6,158.4,317.9,2094,2795.8,0,48.8
0.027188,372.2,89.5,2100.0,65.8,2800.7,154.9,318,2094,2795.9,0,47.3
0.029188,385.2,73.5,2093.0,66.0,2816.7,176.6,318.3,2094.1,2795.9,0,45.3
0.031188,390.7,74.7,2082.8,79.4,2845.0,226.1,318.6,2094.2,2796,0,43
0.033188,378.4,106.9,2073.1,119.0,2881.3,292.6,319.1,2094.4,2796.1,0,42.1
0.035188,343.1,169.8,2066.6,212.3,2861.2,294.8,319.6,2094.6,2796.2,0,40.8
0.037188,292.5,247.7,2056.1,352.9,2804.8,192.9,320.2,2094.8,2796.3,0,42.6
0.039188,243.0,287.9,2051.0,403.8,2785.5,127.5,320.9,2095,2796.5,0,45.6
0.041188,213.1,262.1,2050.7,364.3,2780.5,99.2,321.7,2095.3,2796.6,0,48.5
0.043188,199.3,206.3,2051.6,316.9,2779.5,86.5,322.6,2095.5,2796.8,0,51.2
0.045188,199.0,146.4,2051.9,299.9,2781.5,85.3,323.6,2095.8,2797,0,53.7
0.047188,215.2,116.3,2063.0,348.0,2792.1,101.6,324.6,2096.1,2797.2,0,56
0.049188,247.8,140.5,2117.8,285.2,2809.3,107.5,325.8,2096.4,2797.4,0,57.9
0.051188,292.9,186.8,2113.7,159.5,2800.6,140.4,327,2096.8,2797.6,0,59.3
0.053188,328.4,180.0,2109.9,123.2,2769.8,240.7,328.3,2097.1,2797.9,0,60.4
0.055188,346.8,150.9,2112.2,110.6,2744.6,335.1,329.6,2097.4,2798.1,0,61
0.057188,360.5,126.3,2114.2,97.5,2746.8,357.5,331.1,2097.7,2798.3,0,61.2
0.059188,372.2,106.2,2115.9,84.4,2768.4,324.7,332.6,2098,2798.5,0,61.1
0.061188,380.5,89.6,2119.3,75.9,2799.2,265.1,334.1,2098.3,2798.8,0,60.9
0.063188,379.6,84.8,2127.5,80.6,2831.7,209.8,335.7,2098.5,2799,0,61
0.065188,355.6,116.7,2142.4,115.7,2853.1,189.6,337.4,2098.7,2799.2,0,61.7
0.067188,317.1,162.9,2145.3,165.1,2845.2,209.7,339.1,2098.9,2799.4,0,62.9
0.069188,319.0,160.6,2135.7,176.5,2829.9,221.1,340.8,2099.1,2799.6,0,64.4
0.071188,338.5,134.7,2127.7,168.9,2725.6,4819.8,342.6,2099.2,2799.7,0,65.6
0.073188,354.3,110.8,2121.5,154.6,2750.4,3765.3,344.4,2099.3,2799.9,0,66.6
0.075188,365.8,91.9,2116.9,137.0,2800.1,3405.8,346.3,2099.3,2800,0,67.2
0.077188,374.7,76.3,2113.5,118.7,2811.1,172.2,348.2,2099.2,2800.1,0,67.5
0.079188,381.8,63.5,2111.4,102.6,2808.6,154.8,350.1,2099.2,2800.2,0,67.7
0.081188,385.1,55.8,2111.1,95.2,2809.4,141.6,352,2099,2800.3,0,67.7
0.083188,382.6,56.6,2113.5,108.6,2817.9,144.2,353.9,2098.8,2800.3,0,67.8
0.085188,380.2,58.6,2116.6,138.1,2761.7,4661.1,355.9,2098.5,2800.3,0,68.1
0.087188,382.5,54.4,2116.9,152.4,2759.0,4609.2,357.8,2098.1,2800.3,105.7,68.6
0.089188,386.7,48.6,2115.1,148.9,2824.7,163.8,359.7,2097.7,2800.3,105.8,69.1
0.091188,389.5,46.1,2112.5,144.2,2809.1,151.5,361.7,2097.1,2800.2,105.8,69.6
0.093188,388.7,48.5,2107.3,142.7,2794.5,140.1,363.6,2096.5,2800.1,105.8,70.1
0.095188,387.1,50.9,2100.6,135.6,2786.8,128.7,365.5,2095.9,2799.9,105.9,70.5
0.097188,388.0,49.1,2095.3,123.8,2784.3,117.2,367.4,2095.1,2799.7,105.9,70.8
0.099188,390.4,44.9,2091.9,114.6,2783.7,110.3,369.3,2094.2,2799.5,105.9,71.1
