time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025832,270.4,67.7,2126.0,232.8,2483.9,634.2,291.2,2081.3,2460.7,0,60.1
0.027832,279.2,63.5,2121.1,214.1,2491.1,577.0,291.2,2081,2460.5,0,61.2
0.029832,286.8,58.6,2116.2,203.8,2483.8,535.5,291.2,2080.5,2460.1,0,61.8
0.031832,293.3,55.1,2107.6,199.0,2467.2,486.9,291.3,2079.8,2459.6,0,62
0.033832,298.4,57.3,2094.7,187.3,2456.9,414.0,291.3,2078.8,2459,0,61.9
0.035832,298.4,70.3,2085.1,171.4,2454.6,352.9,291.4,2077.7,2458.2,0,61.9
0.037832,281.7,98.0,2081.6,165.6,2452.4,328.6,291.4,2076.3,2457.3,0,62.3
0.039832,251.7,114.8,2081.6,177.9,2450.7,351.3,291.5,2074.8,2456.2,0,63.2
0.041832,245.9,105.8,2083.1,198.4,2464.7,430.0,291.6,2073.1,2455,0,64.3
0.043832,259.2,94.1,2078.2,198.6,2481.9,479.9,291.7,2071.1,2453.7,0,65.5
0.045832,274.2,82.3,2070.5,186.5,2475.4,460.1,291.8,2069,2452.2,0,66.5
0.047832,285.6,71.5,2064.4,174.6,2462.9,429.0,291.9,2066.7,2450.6,0,67.1
0.049832,294.1,61.4,2058.8,167.0,2448.3,407.9,292,2064.3,2448.9,93.1,67.4
0.051832,300.8,53.2,2053.4,162.8,2435.2,395.0,292.1,2061.7,2447,93.6,67.6
0.053832,307.0,47.8,2048.7,162.7,2427.5,390.6,292.2,2058.9,2445.1,94.1,67.6
0.055832,311.8,46.7,2045.5,172.5,2421.1,392.9,292.4,2056,2443,94.6,67.7
0.057832,314.1,46.5,2042.7,179.4,2411.9,378.6,292.5,2052.9,2440.8,95.1,67.9
0.059832,315.4,44.6,2040.1,175.5,2404.8,358.9,292.6,2049.7,2438.4,95.6,68.2
0.061832,316.6,43.4,2038.4,169.9,2401.2,348.3,292.7,2046.3,2436,96.2,68.4
