time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025735,566.8,174.0,956.5,125.3,2981.8,100.6,576,955.9,2983.6,106.5,62.7
0.027735,568.1,167.9,956.3,116.6,2981.6,96.4,575.7,955.8,2983.5,106.5,63.3
0.029735,565.4,171.4,953.4,114.0,2981.1,101.4,575.1,955.7,2983.3,106.5,64
0.031735,560.0,186.4,949.0,122.0,2982.1,120.1,574.3,955.4,2982.9,106.5,64.6
0.033735,558.8,189.8,948.0,127.9,2984.9,133.5,573.3,955.1,2982.5,106.6,65.1
0.035735,560.6,176.4,950.5,121.9,2986.0,128.2,572.1,954.8,2982.1,106.6,65.7
0.037735,560.6,162.1,953.1,111.0,2983.9,117.7,570.7,954.4,2981.5,106.6,66.2
0.039735,556.4,159.7,954.5,107.3,2979.3,117.4,569.2,953.9,2980.9,106.6,66.6
0.041735,551.6,165.6,956.2,114.1,2972.0,128.3,567.4,953.4,2980.1,106.6,67
0.043735,552.1,163.2,958.2,118.8,2967.2,133.4,565.5,952.8,2979.4,106.6,67.4
0.045735,555.3,152.4,959.2,114.1,2967.8,124.9,563.5,952.2,2978.5,106.6,67.7
0.047735,555.6,145.2,957.6,106.7,2970.0,114.3,561.3,951.5,2977.6,106.6,67.9
0.049735,550.6,151.5,953.6,107.0,2971.2,114.4,559,950.8,2976.6,106.5,68.1
0.051735,544.4,164.4,950.1,116.0,2973.1,126.0,556.6,950,2975.6,106.5,68.2
0.053735,544.2,163.8,950.0,120.8,2976.9,131.7,554.2,949.2,2974.6,106.4,68.3
0.055735,547.5,152.8,951.3,116.7,2979.8,127.1,551.7,948.4,2973.5,106.4,68.3
0.057735,548.7,148.8,950.9,113.2,2978.7,127.6,549.2,947.5,2972.3,106.3,68.3
0.059735,545.0,162.3,948.4,120.0,2973.7,146.6,546.6,946.6,2971.2,106.3,68.3
0.061735,540.4,181.0,946.2,131.6,2967.7,174.1,544.1,945.6,2970,106.2,68.3
0.063735,540.9,181.8,946.7,133.4,2965.6,174.3,541.6,944.7,2968.8,106.1,68.2
0.065735,543.5,172.8,946.9,127.7,2965.1,156.1,539.2,943.7,2967.6,106,68.2
0.067735,543.2,170.5,944.2,125.9,2963.8,141.5,536.8,942.8,2966.5,105.9,68.2
0.069735,540.3,179.8,939.5,135.6,2963.5,139.9,534.5,941.8,2965.3,105.8,68.2
0.071735,540.5,182.9,937.3,146.2,2966.6,140.9,532.4,940.8,2964.1,105.7,68.2
0.073735,543.9,170.7,938.2,142.6,2970.4,134.3,530.3,939.8,2963,105.6,68.2
0.075735,546.0,159.1,938.3,134.1,2971.0,126.3,528.4,938.8,2961.9,105.5,68.2
