time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025526,558.6,107.1,770.8,107.9,2733.1,168.9,552.9,692,2717.3,104.6,65.7
0.027526,558.9,110.7,770.6,103.4,2734.4,163.8,552.9,692.5,2717.5,104.6,66.5
0.029526,556.2,130.3,766.4,107.8,2729.3,158.0,552.9,693.3,2717.9,104.6,67.1
0.031526,553.4,155.2,759.2,117.0,2722.6,144.5,552.9,694.5,2718.4,104.6,67.7
0.033526,554.5,165.7,754.3,124.0,2719.7,129.6,552.9,696,2719,104.7,68.3
0.035526,558.1,163.6,754.0,126.8,2719.4,121.0,552.9,697.8,2719.8,104.7,68.8
0.037526,560.7,163.8,754.7,128.1,2717.8,121.5,553,700,2720.6,104.7,69.4
0.039526,561.0,173.9,751.3,132.0,2714.2,127.9,553,702.4,2721.6,104.7,69.9
0.041526,561.4,180.8,745.9,137.1,2713.3,128.0,553,705.1,2722.8,104.7,70.4
0.043526,563.0,174.2,744.9,138.9,2717.1,119.1,553,708,2724,104.7,70.9
0.045526,563.8,162.5,749.0,135.4,2722.5,109.0,553,711.2,2725.3,104.8,71.2
0.047526,561.3,158.7,753.7,129.3,2728.0,104.1,553,714.6,2726.7,104.8,71.5
0.049526,555.1,167.3,754.2,125.9,2735.5,108.2,553,718.1,2728.2,104.8,71.7
0.051526,550.8,176.0,750.8,127.3,2747.3,118.5,553,721.9,2729.8,104.9,71.9
0.053526,551.6,172.1,749.3,128.1,2761.1,127.2,552.9,725.8,2731.4,104.9,72
0.055526,553.5,161.6,752.6,125.3,2772.8,130.7,552.9,729.8,2733,105,72.1
0.057526,552.5,159.6,756.6,123.1,2779.6,131.9,552.9,733.9,2734.7,105,72.1
0.059526,548.3,171.4,755.3,126.2,2779.1,132.9,552.8,738,2736.4,105.1,72.1
0.061526,546.8,181.9,748.6,132.4,2772.3,131.1,552.8,742.2,2738.2,105.2,72.1
0.063526,549.5,178.4,744.4,134.3,2764.8,127.2,552.7,746.4,2739.9,105.2,72.2
0.065526,551.5,168.5,746.1,131.2,2759.8,126.3,552.6,750.6,2741.6,105.3,72.2
0.067526,549.2,166.7,748.3,127.6,2757.1,134.7,552.5,754.7,2743.3,105.4,72.2
0.069526,544.5,175.6,744.5,128.4,2756.4,153.6,552.4,758.7,2745,105.4,72.2
0.071526,544.8,180.2,737.3,131.9,2755.9,169.3,552.3,762.7,2746.6,105.5,72.3
0.073526,549.3,173.4,734.9,133.5,2754.7,174.5,552.1,766.4,2748.1,105.6,72.3
0.075526,553.1,168.3,737.1,135.0,2754.3,178.4,552,770.1,2749.6,105.7,72.4
0.077526,552.4,179.4,736.6,137.8,2755.9,187.7,551.8,773.5,2751,105.7,72.4
0.079526,549.4,199.1,730.1,139.7,2758.5,193.3,551.6,776.7,2752.3,105.8,72.5
0.081526,550.3,202.4,724.6,139.6,2760.3,186.8,551.3,779.7,2753.5,105.9,72.5
0.083526,553.5,190.0,725.6,139.6,2760.1,179.4,551.1,782.4,2754.6,106,72.6
0.085526,554.1,183.2,729.6,140.4,2756.1,181.3,550.8,784.9,2755.6,106,72.6
0.087526,549.5,195.4,729.2,142.2,2747.1,190.3,550.5,787,2756.4,106.1,72.6
0.089526,545.4,212.2,723.7,143.7,2738.8,190.4,550.2,788.8,2757.1,106.2,72.6
0.091526,548.3,213.7,719.6,145.6,2737.6,180.4,549.8,790.3,2757.6,106.2,72.6
0.093526,553.4,206.7,720.1,148.9,2739.9,173.3,549.5,791.5,2758,106.3,72.6
0.095526,553.6,210.4,721.1,151.3,2739.3,176.3,549.1,792.3,2758.2,106.3,72.6
0.097526,546.7,228.0,718.7,149.4,2730.9,182.8,548.6,792.7,2758.3,106.4,72.6
0.099526,540.6,231.1,716.4,144.3,2718.7,174.8,548.2,792.8,2758.2,106.4,72.5
0.101526,540.3,212.3,718.9,138.8,2712.6,156.8,547.7,792.5,2757.9,106.5,72.5
0.103526,540.7,196.1,724.0,134.7,2712.9,143.7,547.2,791.8,2757.5,106.5,72.5
0.105526,536.0,200.3,726.1,131.8,2713.2,141.5,546.7,790.7,2756.9,106.5,72.5
