time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025587,935.0,473.4,1210.0,1248.8,2349.6,699.3,609.8,1088.3,2263.4,0,66.6
0.027587,931.4,536.6,1125.0,1076.9,2337.3,624.1,609.9,1088.9,2264.3,0,67.1
0.029587,836.8,1057.6,1020.9,580.6,2330.1,621.2,610,1090,2265.8,0,67.3
0.031587,614.8,766.7,1068.8,457.6,2314.4,653.1,610.3,1091.5,2267.8,0,67.1
0.033587,586.8,608.7,1089.9,390.2,2302.4,668.6,610.5,1093.4,2270.3,0,66.8
0.035587,550.9,672.9,1092.6,372.5,2316.0,705.1,610.8,1095.8,2273.5,0,66.8
0.037587,355.0,1031.1,1079.6,362.4,2323.4,803.6,611.2,1098.5,2277.2,0,67.3
0.039587,228.7,1206.5,1072.5,371.0,2346.2,782.9,611.6,1101.6,2281.4,0,68.4
0.041587,429.4,1160.2,1071.8,408.0,2393.1,689.0,612.1,1105.1,2286.1,0,69.5
0.043587,577.1,951.8,1089.2,442.8,2415.5,613.1,612.6,1108.9,2291.3,0,70.6
0.045587,638.9,742.3,1120.3,452.8,2425.6,557.2,613.2,1113.1,2297,102.5,71.3
0.047587,659.2,610.9,1147.8,436.5,2431.8,518.4,613.8,1117.6,2303.2,102.8,71.9
0.049587,661.4,535.2,1163.8,407.5,2437.6,495.0,614.5,1122.4,2309.9,103.1,72.3
0.051587,642.0,513.0,1160.2,375.2,2439.9,502.3,615.2,1127.5,2316.9,103.3,72.6
0.053587,609.5,495.7,1144.7,338.3,2431.1,541.8,615.9,1132.9,2324.4,103.6,72.8
0.055587,598.1,452.3,1138.5,311.9,2411.7,567.0,616.7,1138.5,2332.2,103.9,73.1
0.057587,603.9,406.0,1143.4,300.9,2392.0,554.9,617.5,1144.3,2340.4,104.2,73.4
0.059587,611.1,386.0,1152.5,312.5,2370.4,524.1,618.3,1150.4,2348.9,104.5,73.7
0.061587,612.1,402.3,1162.7,350.1,2341.1,488.1,619.2,1156.6,2357.7,104.8,74
0.063587,610.1,429.5,1174.9,383.6,2319.5,452.7,620.1,1162.9,2366.8,105,74.2
0.065587,613.7,425.3,1187.6,380.0,2316.3,425.9,621,1169.4,2376.1,105.3,74.5
0.067587,621.0,400.9,1199.8,361.0,2322.9,411.8,621.9,1175.9,2385.7,105.5,74.7
