time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025773,709.5,239.6,1300.7,209.2,2368.8,131.4,667,1272.4,2352.1,108,63.1
0.027773,705.6,243.0,1308.4,216.8,2367.6,123.6,667.2,1272.7,2352.3,108,64
0.029773,706.3,233.4,1310.6,210.4,2367.6,114.2,667.6,1273.1,2352.5,108.1,64.8
0.031773,705.1,219.2,1307.3,191.5,2369.3,104.4,668.2,1273.7,2352.9,108.1,65.5
0.033773,699.0,212.3,1303.4,173.5,2372.6,99.5,668.9,1274.4,2353.4,108.1,66.2
0.035773,689.1,220.0,1302.0,167.0,2376.3,105.1,669.7,1275.4,2354.1,108.1,66.8
0.037773,683.8,229.9,1302.4,167.2,2377.8,113.9,670.7,1276.4,2354.8,108.1,67.3
0.039773,685.1,228.9,1301.5,161.1,2377.6,113.7,671.8,1277.7,2355.6,108.2,67.8
0.041773,687.2,222.8,1299.7,151.0,2377.6,105.7,673.1,1279,2356.5,108.2,68.2
0.043773,687.6,226.2,1299.1,148.6,2379.1,98.8,674.5,1280.5,2357.5,108.2,68.6
0.045773,689.7,244.9,1301.4,163.4,2380.9,99.1,676,1282.1,2358.5,108.2,68.9
0.047773,695.4,258.1,1303.3,180.3,2381.3,101.9,677.5,1283.8,2359.7,108.2,69.2
0.049773,699.6,254.8,1301.1,180.3,2380.5,99.7,679.2,1285.6,2360.9,108.2,69.4
0.051773,699.5,246.1,1297.7,170.1,2380.2,94.8,681,1287.5,2362.2,108.2,69.6
0.053773,697.2,246.0,1297.2,169.9,2380.9,95.0,682.8,1289.4,2363.5,108.2,69.7
0.055773,697.0,254.0,1301.2,189.5,2381.2,103.1,684.6,1291.4,2364.8,108.2,69.7
0.057773,700.0,253.4,1304.3,206.7,2379.7,107.9,686.5,1293.4,2366.2,108.2,69.8
0.059773,701.2,243.2,1302.5,201.2,2377.3,103.2,688.4,1295.5,2367.6,108.2,69.8
0.061773,700.6,237.8,1301.2,186.4,2375.8,96.2,690.4,1297.5,2369,108.1,69.8
0.063773,702.6,248.4,1306.3,181.2,2375.3,95.1,692.3,1299.5,2370.5,108.1,69.9
0.065773,709.9,261.2,1314.7,184.6,2374.8,100.8,694.2,1301.5,2371.9,108.1,69.9
0.067773,714.3,257.7,1315.7,180.4,2373.6,103.1,696.1,1303.5,2373.3,108,70
0.069773,711.9,246.7,1309.9,168.9,2372.4,99.6,697.9,1305.4,2374.7,108,70.1
0.071773,705.5,241.1,1303.5,164.3,2371.7,98.7,699.6,1307.2,2376,107.9,70.1
0.073773,700.2,244.6,1299.4,178.9,2371.1,105.5,701.3,1309,2377.3,107.8,70.2
0.075773,699.9,244.4,1296.1,197.2,2370.2,110.2,702.9,1310.6,2378.5,107.8,70.2
0.077773,700.2,234.4,1291.7,194.2,2369.5,104.4,704.4,1312.1,2379.7,107.7,70.3
0.079773,698.1,224.6,1288.9,178.4,2369.3,95.1,705.8,1313.5,2380.8,107.6,70.3
0.081773,693.9,225.4,1291.5,167.2,2368.7,90.2,707,1314.7,2381.8,107.5,70.3
